SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,65 E Monroe St #4521,Chicago,IL,60603,794900,2,2.0,CHI - Loop,1630,,2008,2,488,1383,Active,,,https://www.redfin.com/IL/Chicago/65-E-Monroe-St-60603/unit-4521/home/39567709,MRED as Distributed by MLS Grid,12163318,N,Y,41.8806386,-87.6255308
MLS Listing,,Condo/Co-op,1255 N State Pkwy Unit 2AC,Chicago,IL,60610,750000,2,2.0,Churchill,2000,,1924,2,375,3145,Active,,,https://www.redfin.com/IL/Chicago/1255-N-State-Pkwy-60610/unit-2AC/home/14124162,MRED as Distributed by MLS Grid,12163422,N,Y,41.9056616,-87.6284312
MLS Listing,,Condo/Co-op,6248 S Gullikson Rd Unit 4B,Chicago,IL,60638,235000,2,2.0,CHI - Clearing,1100,,2005,2,214,308,Active,,,https://www.redfin.com/IL/Chicago/6248-S-Gullikson-Rd-60638/unit-4B/home/12732794,MRED as Distributed by MLS Grid,12160061,N,Y,41.7778298,-87.7980166
MLS Listing,,Condo/Co-op,4619 S Prairie Ave Unit GDN,Chicago,IL,60653,225000,3,3.0,CHI - Grand Boulevard,2500,,1902,2,90,228,Active,,,https://www.redfin.com/IL/Chicago/4619-S-Prairie-Ave-60653/unit-GDN/home/12707122,MRED as Distributed by MLS Grid,12153793,N,Y,41.8106269,-87.6191882
MLS Listing,,Condo/Co-op,5140 N Albany Ave #2,Chicago,IL,60625,294900,2,2.0,CHI - North Park,1400,,1924,3,211,359,Active,,,https://www.redfin.com/IL/Chicago/5140-N-Albany-Ave-60625/unit-2/home/12622088,MRED as Distributed by MLS Grid,12158848,N,Y,41.9751609,-87.7065229
MLS Listing,,Single Family Residential,3535 N Neva Ave,Chicago,IL,60634,334900,3,2.0,CHI - Dunning,1176,4064,1951,3,285,,Active,,,https://www.redfin.com/IL/Chicago/3535-N-Neva-Ave-60634/home/13468960,MRED as Distributed by MLS Grid,12152144,N,Y,41.9445311,-87.8054747
MLS Listing,,Condo/Co-op,5625 N Wayne Ave Unit G1,Chicago,IL,60660,265000,2,1.0,CHI - Edgewater,906,,1917,3,292,199,Active,,,https://www.redfin.com/IL/Chicago/5625-N-Wayne-Ave-60660/unit-G1/home/39562307,MRED as Distributed by MLS Grid,12161738,N,Y,41.9843817,-87.6632698
MLS Listing,,Condo/Co-op,2012 W Erie St Unit 3E,Chicago,IL,60612,560000,3,2.0,CHI - West Town,,,2013,3,,261,Active,,,https://www.redfin.com/IL/Chicago/2012-W-Erie-St-60612/unit-3E/home/44648843,MRED as Distributed by MLS Grid,12162701,N,Y,41.893361,-87.6776181
MLS Listing,,Condo/Co-op,212 E Cullerton St #812,Chicago,IL,60616,265000,1,1.0,CHI - Near South Side,907,,2003,3,292,378,Active,,,https://www.redfin.com/IL/Chicago/212-E-Cullerton-St-60616/unit-812/home/12677868,MRED as Distributed by MLS Grid,12162663,N,Y,41.8557482,-87.6217636
MLS Listing,,Single Family Residential,3859 W 55th St,Chicago,IL,60632,320000,5,2.0,CHI - West Elsdon,1755,3484,1950,3,182,,Active,,,https://www.redfin.com/IL/Chicago/3859-W-55th-St-60632/home/14012049,MRED as Distributed by MLS Grid,12151970,N,Y,41.7929699,-87.7205158
MLS Listing,,Condo/Co-op,3763 N Wilton Ave Unit 1S,Chicago,IL,60613,755000,3,3.0,CHI - Lake View,1800,,2008,3,419,275,Active,,,https://www.redfin.com/IL/Chicago/3763-N-Wilton-Ave-60613/unit-1S/home/17457988,MRED as Distributed by MLS Grid,12162578,N,Y,41.9509465,-87.6530437
MLS Listing,,Condo/Co-op,2706 W Chicago Ave #3,Chicago,IL,60622,474900,3,2.0,CHI - West Town,1700,,2007,3,279,128,Active,,,https://www.redfin.com/IL/Chicago/2706-W-Chicago-Ave-60622/unit-3/home/26810505,MRED as Distributed by MLS Grid,12162559,N,Y,41.8958821,-87.6946251
MLS Listing,,Condo/Co-op,4343 N Clarendon Ave #2409,Chicago,IL,60613,145000,0,1.0,CHI - Uptown,600,,1974,3,242,630,Active,,,https://www.redfin.com/IL/Chicago/4343-N-Clarendon-Ave-60613/unit-2409/home/13397846,MRED as Distributed by MLS Grid,12162502,N,Y,41.9612878,-87.6494037
MLS Listing,,Condo/Co-op,111 W Maple St #2407,Chicago,IL,60610,205000,1,1.0,CHI - Near North Side,550,,1991,3,373,394,Active,,,https://www.redfin.com/IL/Chicago/111-W-Maple-St-60610/unit-2407/home/12791793,MRED as Distributed by MLS Grid,12162442,N,Y,41.9016475,-87.6318546
MLS Listing,,Condo/Co-op,850 N Damen Ave Unit 2F,Chicago,IL,60622,249999,2,1.0,CHI - West Town,750,,1915,3,333,200,Active,,,https://www.redfin.com/IL/Chicago/850-N-Damen-Ave-60622/unit-2F/home/40378664,MRED as Distributed by MLS Grid,12159042,N,Y,41.8974111,-87.6773467
MLS Listing,,Condo/Co-op,2306 W Touhy Ave #204,Chicago,IL,60645,377000,2,2.0,CHI - West Ridge,1300,,2007,3,290,270,Active,,,https://www.redfin.com/IL/Chicago/2306-W-Touhy-Ave-60645/unit-204/home/18940881,MRED as Distributed by MLS Grid,12162322,N,Y,42.0125611,-87.6879637
MLS Listing,,Single Family Residential,5930 S Narragansett Ave,Chicago,IL,60638,390000,3,3.0,CHI - Clearing,1732,4356,1998,3,225,,Active,,,https://www.redfin.com/IL/Chicago/5930-S-Narragansett-Ave-60638/home/13997055,MRED as Distributed by MLS Grid,12141748,N,Y,41.7840789,-87.7818045
MLS Listing,,Condo/Co-op,701 S Wells St #1605,Chicago,IL,60607,354900,2,2.0,CHI - Loop,1263,,2002,4,281,945,Active,,,https://www.redfin.com/IL/Chicago/701-S-Wells-St-60607/unit-1605/home/12693469,MRED as Distributed by MLS Grid,12161834,N,Y,41.8731482,-87.6332396
MLS Listing,,Single Family Residential,6014 W Fletcher St,Chicago,IL,60634,330000,3,1.0,CHI - Belmont Cragin,1336,,1940,4,247,,Active,,,https://www.redfin.com/IL/Chicago/6014-W-Fletcher-St-60634/home/13437655,MRED as Distributed by MLS Grid,12126404,N,Y,41.9376988,-87.776878
MLS Listing,,Single Family Residential,32 W 109th Pl,Chicago,IL,60628,210000,3,2.5,CHI - Roseland,1717,6098,1912,4,122,,Active,,,https://www.redfin.com/IL/Chicago/32-W-109th-Pl-60628/home/13075513,MRED as Distributed by MLS Grid,12157808,N,Y,41.6954886,-87.6244211
MLS Listing,,Single Family Residential,21 W 114th Pl,Chicago,IL,60628,195000,5,2.0,CHI - Roseland,1573,6098,1888,4,124,,Active,,,https://www.redfin.com/IL/Chicago/21-W-114th-Pl-60628/home/13062008,MRED as Distributed by MLS Grid,12156061,N,Y,41.6860225,-87.6238466
MLS Listing,,Condo/Co-op,7714 N Paulina St Unit 1S,Chicago,IL,60626,384900,3,2.5,CHI - Rogers Park,1809,,1923,4,213,458,Active,,,https://www.redfin.com/IL/Chicago/7714-N-Paulina-St-60626/unit-1S/home/192496990,MRED as Distributed by MLS Grid,12160754,N,Y,42.0217224,-87.6733902
MLS Listing,,Condo/Co-op,444 W Fullerton Pkwy #1909,Chicago,IL,60614,425000,2,2.0,CHI - Lincoln Park,,,1972,4,,1145,Active,,,https://www.redfin.com/IL/Chicago/444-W-Fullerton-Pkwy-60614/unit-1909/home/22924476,MRED as Distributed by MLS Grid,12161430,N,Y,41.9258338,-87.6408832
MLS Listing,,Condo/Co-op,4355 S Lake Park Ave Unit 2N,Chicago,IL,60653,625000,3,3.0,CHI - Kenwood,2000,,2012,4,313,,Active,,,https://www.redfin.com/IL/Chicago/4355-S-Lake-Park-Ave-60653/unit-2N/home/64226846,MRED as Distributed by MLS Grid,12150936,N,Y,41.8156405,-87.5973525
MLS Listing,,Condo/Co-op,2238 W Walton St #2,Chicago,IL,60622,665000,3,2.0,CHI - West Town,,,1914,4,,195,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/IL/Chicago/2238-W-Walton-St-60622/unit-2/home/190720788,MRED as Distributed by MLS Grid,12159247,N,Y,41.8987532,-87.6835627
MLS Listing,,Multi-Family (2-4 Unit),3342 S Aberdeen St,Chicago,IL,60608,595000,7,4.0,CHI - Bridgeport,,3125,1900,4,,,Active,,,https://www.redfin.com/IL/Chicago/3342-S-Aberdeen-St-60608/home/190326005,MRED as Distributed by MLS Grid,12161031,N,Y,41.833034,-87.6537778
MLS Listing,,Single Family Residential,10942 S Peoria St,Chicago,IL,60643,320000,5,3.0,CHI - Morgan Park,1715,5227,1948,4,187,,Active,,,https://www.redfin.com/IL/Chicago/10942-S-Peoria-St-60643/home/13073619,MRED as Distributed by MLS Grid,12155338,N,Y,41.6947246,-87.6451915
MLS Listing,,Condo/Co-op,808 N Greenview Ave Unit 3E,Chicago,IL,60642,450000,2,2.0,CHI - West Town,1254,,2003,4,359,298,Active,,,https://www.redfin.com/IL/Chicago/808-N-Greenview-Ave-60642/unit-3E/home/21866184,MRED as Distributed by MLS Grid,12161108,N,Y,41.896367,-87.665085
MLS Listing,,Single Family Residential,1643 N Washtenaw Ave,Chicago,IL,60647,999000,4,3.5,CHI - West Town,3200,3123,1894,5,312,,Active,,,https://www.redfin.com/IL/Chicago/1643-N-Washtenaw-Ave-60647/home/13414431,MRED as Distributed by MLS Grid,12156331,N,Y,41.9115988,-87.6943229
MLS Listing,,Condo/Co-op,3110 W Berteau Ave #1,Chicago,IL,60618,349000,3,2.0,CHI - Irving Park,1350,,1926,5,259,405,Active,,,https://www.redfin.com/IL/Chicago/3110-W-Berteau-Ave-60618/unit-1/home/18929282,MRED as Distributed by MLS Grid,12160023,N,Y,41.9577349,-87.7060619
MLS Listing,,Condo/Co-op,2809 W Washington Blvd #101,Chicago,IL,60612,159000,1,1.0,CHI - East Garfield Park,,,1922,5,,279,Active,,,https://www.redfin.com/IL/Chicago/2809-W-Washington-Blvd-60612/unit-101/home/18941089,MRED as Distributed by MLS Grid,12159977,N,Y,41.8825983,-87.6967544
MLS Listing,,Condo/Co-op,1440 S Michigan Ave #420,Chicago,IL,60605,250000,1,1.0,CHI - Near South Side,775,,2001,5,323,366,Active,,,https://www.redfin.com/IL/Chicago/1440-S-Michigan-Ave-60605/unit-420/home/12734088,MRED as Distributed by MLS Grid,12159929,N,Y,41.8629784,-87.6243933
MLS Listing,,Single Family Residential,4543 W Schubert Ave,Chicago,IL,60639,395000,3,2.0,CHI - Hermosa,2252,3720,1927,6,175,,Active,,,https://www.redfin.com/IL/Chicago/4543-W-Schubert-Ave-60639/home/13443451,MRED as Distributed by MLS Grid,12159236,N,Y,41.929338,-87.7409552
MLS Listing,,Condo/Co-op,737 W Washington Blvd #3004,Chicago,IL,60661,569000,2,2.0,CHI - Near West Side,1300,,2003,9,438,1111,Active,,,https://www.redfin.com/IL/Chicago/737-W-Washington-Blvd-60661/unit-3004/home/12681021,MRED as Distributed by MLS Grid,12157517,N,Y,41.8821306,-87.6468599
