SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1809 Marble Ave NW,Albuquerque,NM,87104,850000,4,4.5,Albuquerque,4548,11325,1936,31,187,,Active,,,https://www.redfin.com/NM/Albuquerque/1809-Marble-Ave-NW-87104/home/92012508,Southwest MLS,1068815,N,Y,35.0951712,-106.6660328
MLS Listing,,Vacant Land,U20 B6 L21 Volcano Clfs NW,Albuquerque,NM,87120,85000,,,Plat Volcano Cliffs,,10019,,1,,,Active,,,https://www.redfin.com/NM/Albuquerque/Cliff-Rd-Nw-87120/home/114032815,Southwest MLS,1070774,N,Y,35.14666,-106.725341
MLS Listing,,Vacant Land,Neq Unser & Bluewater,Albuquerque,NM,87121,396605,,,Atrisco Business,,49576,,1,,,Active,,,https://www.redfin.com/NM/Albuquerque/Unknown-87121/home/165786564,Southwest MLS,1070769,N,Y,35.083817,-106.725048
MLS Listing,,Single Family Residential,1100 Bona Terra Pl NW,Albuquerque,NM,87114,1450000,4,4.0,Bona Terra,3866,49658,2004,1,375,131,Active,,,https://www.redfin.com/NM/Albuquerque/1100-Bona-Terra-Pl-NW-87114/home/91963290,Southwest MLS,1070211,N,Y,35.1956442,-106.6379632
MLS Listing,,Single Family Residential,7701 Red Finch Ct NW,Albuquerque,NM,87114,399000,4,2.5,Albuquerque,2150,5227,2005,1,186,18,Active,,,https://www.redfin.com/NM/Albuquerque/7701-Red-Finch-Ct-NW-87114/home/92128088,Southwest MLS,1070756,N,Y,35.2014782,-106.7439232
MLS Listing,,Single Family Residential,2315 Granite Mtn NW,Albuquerque,NM,87120,450000,3,2.0,Albuquerque,1836,8712,2018,1,245,189,Active,,,https://www.redfin.com/NM/Albuquerque/2315-Granite-Mountain-Loop-NW-87120/home/168279009,Southwest MLS,1070754,N,Y,35.1107989,-106.7468529
MLS Listing,,Single Family Residential,19 Sandia Heights Dr NE,Albuquerque,NM,87122,700000,3,3.0,Albuquerque,2839,17859,1980,1,247,,Active,,,https://www.redfin.com/NM/Albuquerque/19-Sandia-Heights-Dr-NE-87122/home/92116664,Southwest MLS,1070746,N,Y,35.1925979,-106.4834558
MLS Listing,,Vacant Land,1821 Lomas Blvd NW,Albuquerque,NM,87104,164000,,,Roehls Gardens-Old Town,,10890,,1,,,Active,,,https://www.redfin.com/NM/Albuquerque/1821-Lomas-Blvd-NW-87104/home/191072863,Southwest MLS,1070744,N,Y,35.0933672,-106.6673185
MLS Listing,,Single Family Residential,6620 Conrad Ave NW,Albuquerque,NM,87120,317500,3,2.0,Albuquerque,1509,4356,1996,1,210,,Active,September-19-2024 02:00 PM,September-19-2024 04:00 PM,https://www.redfin.com/NM/Albuquerque/6620-Conrad-Ave-NW-87120/home/91978498,Southwest MLS,1070745,N,Y,35.1424398,-106.7146899
