SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,307 Yoakum Pkwy #502,Alexandria,VA,22304,285000,1,1.0,WATERGATE AT LANDMARK,863,,1977,1,330,928,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/307-Yoakum-Pkwy-22304/unit-502/home/11859624,BRIGHT MLS,VAAX2038076,N,Y,38.8086552,-77.1433932
MLS Listing,,Condo/Co-op,1724 Osage St #304,Alexandria,VA,22302,515000,2,2.5,KINGSGATE,1319,,1993,3,390,422,Active,,,https://www.redfin.com/VA/Alexandria/1724-Osage-St-22302/unit-304/home/11872026,BRIGHT MLS,VAAX2037616,N,Y,38.8278931,-77.0857204
MLS Listing,,Townhouse,4667 Kell Ln,Alexandria,VA,22311,895000,3,3.5,STONEGATE,2176,2491,1995,3,411,113,Pre On-Market,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/VA/Alexandria/4667-Kell-Ln-22311/home/11871503,BRIGHT MLS,VAAX2037890,N,Y,38.8350993,-77.1085517
MLS Listing,,Townhouse,6329 Franconia Commons Dr,Alexandria,VA,22310,725000,3,3.0,SKYLINE HOMES,1714,2745,1997,4,423,,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/6329-Franconia-Commons-Dr-22310/home/9752992,BRIGHT MLS,VAFX2198188,N,Y,38.7793424,-77.1512149
MLS Listing,,Townhouse,3342 Commonwealth Ave,Alexandria,VA,22305,669000,2,1.5,LANDS OF HERBERT,1008,3033,1981,4,664,,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/3342-Commonwealth-Ave-22305/home/11864645,BRIGHT MLS,VAAX2037980,N,Y,38.8345572,-77.0585264
MLS Listing,,Condo/Co-op,1225 Martha Custis Dr #720,Alexandria,VA,22302,345000,2,2.0,PARC EAST,1178,,1980,4,293,921,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/1225-Martha-Custis-Dr-22302/unit-720/home/11863112,BRIGHT MLS,VAAX2037966,N,Y,38.8424901,-77.0801082
MLS Listing,,Townhouse,2989 S Columbus St,Arlington,VA,22206,625000,2,2.0,FAIRLINGTON VIL,1383,,1944,4,452,463,Pre On-Market,,,https://www.redfin.com/VA/Arlington/2989-S-Columbus-St-22206/home/11268617,BRIGHT MLS,VAAR2048084,N,Y,38.8373897,-77.1003811
MLS Listing,,Condo/Co-op,7512 Ashby Ln Unit J,Alexandria,VA,22315,450000,2,2.0,STRATFORD PLACE AT KINGS,1189,,1992,5,378,469,Active,,,https://www.redfin.com/VA/Alexandria/7512-Ashby-Ln-22315/unit-J/home/9786188,BRIGHT MLS,VAFX2199394,N,Y,38.752876,-77.150421
MLS Listing,,Condo/Co-op,805 N Howard St #229,Alexandria,VA,22304,324900,2,2.0,THE PLAZA,1026,,1974,6,317,717,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/805-N-Howard-St-22304/unit-229/home/11867631,BRIGHT MLS,VAAX2037872,N,Y,38.817995,-77.104654
MLS Listing,,Townhouse,7 Herbert St,Alexandria,VA,22305,849900,3,2.5,LANDS OF HERBERT,1508,1179,1990,10,564,135,Pre On-Market,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Alexandria/7-Herbert-St-22305/home/11870722,BRIGHT MLS,VAAX2037628,N,Y,38.8344555,-77.0587637
MLS Listing,,Single Family Residential,5628 Gary Ave,Alexandria,VA,22311,749000,4,1.5,SHIRLEY FOREST,1862,10475,1959,11,402,,Active,,,https://www.redfin.com/VA/Alexandria/5628-Gary-Ave-22311/home/11857297,BRIGHT MLS,VAAX2037714,N,Y,38.8355062,-77.126423
MLS Listing,,Single Family Residential,8271 Media St,Alexandria,VA,22309,1099000,6,5.5,SUNNY VIEW,4559,15442,2013,11,241,,Active,,,https://www.redfin.com/VA/Alexandria/8271-Media-St-22309/home/9815648,BRIGHT MLS,VAFX2199864,N,Y,38.7338472,-77.0870639
MLS Listing,,Condo/Co-op,6919 Victoria Dr Unit D,Alexandria,VA,22310,325000,2,2.0,SURREY AT MANCHESTER LAK,833,,1987,11,390,445,Active,,,https://www.redfin.com/VA/Alexandria/6919-Victoria-Dr-22310/unit-D/home/9781512,BRIGHT MLS,VAFX2199756,N,Y,38.7682159,-77.1524601
MLS Listing,,Condo/Co-op,6101 Fairview Farm Dr #103,Alexandria,VA,22315,685000,3,2.5,CREST OF ALEXANDRIA,1858,,2019,12,369,736,Pre On-Market,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Alexandria/6101-Fairview-Farm-Dr-22315/unit-103/home/172400686,BRIGHT MLS,VAFX2199800,N,Y,38.7461224,-77.152876
MLS Listing,,Townhouse,3742 Keller Ave,Alexandria,VA,22302,559900,2,2.0,FAIRLINGTON TOWNE,875,,1954,13,640,406,Active,,,https://www.redfin.com/VA/Alexandria/3742-Keller-Ave-22302/home/11866647,BRIGHT MLS,VAAX2037028,N,Y,38.8285899,-77.0938144
MLS Listing,,Townhouse,2842 S Columbus St,Arlington,VA,22206,599900,2,2.0,FAIRLINGTON VILLAGE,1383,,1948,18,434,447,Active,,,https://www.redfin.com/VA/Arlington/2842-S-Columbus-St-22206/home/184588445,BRIGHT MLS,VAAX2037376,N,Y,38.8396695,-77.1040096
MLS Listing,,Townhouse,1667 Preston Rd,Alexandria,VA,22302,454900,2,1.0,PARKFAIRFAX,930,,1941,24,489,600,Active,,,https://www.redfin.com/VA/Alexandria/1667-Preston-Rd-22302/home/11861008,BRIGHT MLS,VAAX2037328,N,Y,38.8363423,-77.0816942
MLS Listing,,Condo/Co-op,6101 Edsall Rd #611,Alexandria,VA,22304,389900,2,2.0,ALEXANDRIA KNOLLS,1405,,1975,25,278,1082,Active,,,https://www.redfin.com/VA/Alexandria/6101-Edsall-Rd-22304/unit-611/home/11854839,BRIGHT MLS,VAAX2037158,N,Y,38.8088565,-77.1379729
MLS Listing,,Townhouse,2043 Arlington Ter,Alexandria,VA,22303,549000,2,1.0,HUNTINGTON,816,6400,1947,32,673,,Active,,,https://www.redfin.com/VA/Alexandria/2043-Arlington-Ter-22303/home/9760570,BRIGHT MLS,VAFX2196694,N,Y,38.7940269,-77.0665762
MLS Listing,,Condo/Co-op,922 S Washington St #111,Alexandria,VA,22314,409900,2,1.0,THE BOULEVARD,861,,1941,45,476,675,Active,,,https://www.redfin.com/VA/Alexandria/922-S-Washington-St-22314/unit-111/home/11878846,BRIGHT MLS,VAAX2036690,N,Y,38.7950018,-77.0486507
MLS Listing,,Single Family Residential,305 Mount Pl,Alexandria,VA,22305,1275000,4,3.0,ECHOWOOD,3194,14027,1960,47,399,,Active,,,https://www.redfin.com/VA/Alexandria/305-Mount-Pl-22305/home/11849179,BRIGHT MLS,VAAX2036084,N,Y,38.8354752,-77.0679253
MLS Listing,,Single Family Residential,4921 Tunlaw St,Alexandria,VA,22312,945000,5,3.0,OAK RUN PARK,3400,20000,1963,60,278,,Active,,,https://www.redfin.com/VA/Alexandria/4921-Tunlaw-St-22312/home/9722212,BRIGHT MLS,VAFX2181646,N,Y,38.8171799,-77.1735671
MLS Listing,,Single Family Residential,8036 Holland Rd,Alexandria,VA,22306,1199000,4,2.5,PROPERTY OF DOROTHY H HARRIS,2724,25739,1999,69,440,,Active,,,https://www.redfin.com/VA/Alexandria/8036-Holland-Rd-22306/home/9816314,BRIGHT MLS,VAFX2185536,N,Y,38.7387053,-77.0799185
MLS Listing,,Condo/Co-op,1200 Braddock Pl #606,Alexandria,VA,22314,414990,1,1.0,BRADDOCK PLACE,675,,1990,1,615,466,Active,September-22-2024 01:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/VA/Alexandria/1200-Braddock-Pl-22314/unit-606/home/11870329,BRIGHT MLS,VAAX2037470,N,Y,38.8147475,-77.0509145
MLS Listing,,Townhouse,715 N Fayette St,Alexandria,VA,22314,1075000,3,2.5,BRADDOCK LOFTS,2340,1216,2002,1,459,127,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/VA/Alexandria/715-N-Fayette-St-22314/home/11876269,BRIGHT MLS,VAAX2037098,N,Y,38.812823,-77.050426
MLS Listing,,Townhouse,7200 Parsons Ct,Alexandria,VA,22306,575000,2,3.0,WOODSTONE,1278,2280,1987,1,450,80,Active,,,https://www.redfin.com/VA/Alexandria/7200-Parsons-Ct-22306/home/9791279,BRIGHT MLS,VAFX2200748,N,Y,38.7628388,-77.0995518
MLS Listing,,Townhouse,1613 Ripon Pl,Alexandria,VA,22302,415000,2,1.0,PARKFAIRFAX,930,,1941,1,446,600,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/1613-Ripon-Pl-22302/home/22670772,BRIGHT MLS,VAAX2037704,N,Y,38.8349915,-77.0826754
MLS Listing,,Townhouse,707 Devon Pl,Alexandria,VA,22314,889900,2,2.0,MT VERNON CONST CO,1377,1681,1939,1,646,,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/707-Devon-Pl-22314/home/11842033,BRIGHT MLS,VAAX2038100,N,Y,38.8206094,-77.0452363
