SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1724 Osage St #304,Alexandria,VA,22302,515000,2,2.5,KINGSGATE,1319,,1993,4,390,422,Active,,,https://www.redfin.com/VA/Alexandria/1724-Osage-St-22302/unit-304/home/11872026,BRIGHT MLS,VAAX2037616,N,Y,38.8278931,-77.0857204
MLS Listing,,Condo/Co-op,1225 Martha Custis Dr #720,Alexandria,VA,22302,345000,2,2.0,PARC EAST,1178,,1980,5,293,921,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/1225-Martha-Custis-Dr-22302/unit-720/home/11863112,BRIGHT MLS,VAAX2037966,N,Y,38.8424901,-77.0801082
MLS Listing,,Townhouse,2989 S Columbus St,Arlington,VA,22206,625000,2,2.0,FAIRLINGTON VIL,1383,,1944,5,452,463,Pre On-Market,,,https://www.redfin.com/VA/Arlington/2989-S-Columbus-St-22206/home/11268617,BRIGHT MLS,VAAR2048084,N,Y,38.8373897,-77.1003811
MLS Listing,,Single Family Residential,2115 Military Rd,Arlington,VA,22207,1599000,5,5.0,MAYWOOD,3487,6582,1920,12,459,,Active,,,https://www.redfin.com/VA/Arlington/2115-Military-Rd-22207/home/11232946,BRIGHT MLS,VAAR2047590,N,Y,38.8977804,-77.1085658
MLS Listing,,Townhouse,2842 S Columbus St,Arlington,VA,22206,599900,2,2.0,FAIRLINGTON VILLAGE,1383,,1948,19,434,447,Active,,,https://www.redfin.com/VA/Arlington/2842-S-Columbus-St-22206/home/184588445,BRIGHT MLS,VAAX2037376,N,Y,38.8396695,-77.1040096
MLS Listing,,Condo/Co-op,1924 N Rhodes St #84,Arlington,VA,22201,409000,2,1.0,COLONIAL VILLAGE,906,,1940,20,451,578,Active,,,https://www.redfin.com/VA/Arlington/1924-N-Rhodes-St-22201/unit-84/home/11249593,BRIGHT MLS,VAAR2047924,N,Y,38.8960834,-77.0823087
MLS Listing,,Condo/Co-op,2100 Langston Blvd #418,Arlington,VA,22201,389900,1,1.0,ASTORIA,721,,1987,21,541,659,Active,,,https://www.redfin.com/VA/Arlington/2100-Langston-Blvd-22201/unit-418/home/11249916,BRIGHT MLS,VAAR2047446,N,Y,38.8959296,-77.0837196
MLS Listing,,Condo/Co-op,1200 S Arlington Ridge Rd #408,Arlington,VA,22202,257900,1,1.0,THE CAVENDISH,779,,1958,26,331,774,Active,,,https://www.redfin.com/VA/Arlington/1200-S-Arlington-Ridge-Rd-22202/unit-408/home/11275320,BRIGHT MLS,VAAR2047714,N,Y,38.8627157,-77.0666642
MLS Listing,,Condo/Co-op,1404 12th St N #24,Arlington,VA,22209,375000,2,1.0,ROSSLYN HGHTS,840,,1952,33,446,631,Active,,,https://www.redfin.com/VA/Arlington/1404-12th-St-N-22209/unit-24/home/166996850,BRIGHT MLS,VAAR2047240,N,Y,38.8880721,-77.0725868
MLS Listing,,Condo/Co-op,1111 Arlington Blvd #740,Arlington,VA,22209,163500,1,1.0,RIVER PLACE,514,,1955,42,318,591,Active,,,https://www.redfin.com/VA/Arlington/1111-Arlington-Blvd-22209/unit-740/home/11253163,BRIGHT MLS,VAAR2046968,N,Y,38.8925425,-77.0699146
MLS Listing,,Single Family Residential,4015 N Randolph St,Arlington,VA,22207,2275000,6,6.0,ARLINGWOOD,6393,29913,1987,153,356,,Active,,,https://www.redfin.com/VA/Arlington/4015-N-Randolph-St-22207/home/11228524,BRIGHT MLS,VAAR2042148,N,Y,38.9272841,-77.1204787
MLS Listing,,Single Family Residential,4615 8th St S,Arlington,VA,22204,989900,4,2.0,BARCROFT,1416,6000,1953,1,699,,Pre On-Market,,,https://www.redfin.com/VA/Arlington/4615-8th-St-S-22204/home/11261113,BRIGHT MLS,VAAR2048728,N,Y,38.8604705,-77.1088513
MLS Listing,,Condo/Co-op,4505 36th St S Unit B2,Arlington,VA,22206,334500,1,1.0,FAIRLINGTON ARBR,711,,1940,1,470,282,Pre On-Market,September-28-2024 02:00 PM,September-28-2024 04:00 PM,https://www.redfin.com/VA/Arlington/4505-36th-St-S-22206/unit-B2/home/11269832,BRIGHT MLS,VAAR2048704,N,Y,38.8315636,-77.091408
MLS Listing,,Condo/Co-op,2200 N Westmoreland St #421,Arlington,VA,22213,625000,2,2.0,WESTLEE,1228,,2006,1,509,458,Active,,,https://www.redfin.com/VA/Arlington/2200-N-Westmoreland-St-22213/unit-421/home/12040741,BRIGHT MLS,VAAR2048724,N,Y,38.886224,-77.1627611
MLS Listing,,Townhouse,1905 N Quaker Ln,Alexandria,VA,22302,395000,2,1.0,PARKFAIRFAX,930,,1941,1,425,600,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/1905-N-Quaker-Ln-22302/home/11862566,BRIGHT MLS,VAAX2038066,N,Y,38.8342915,-77.0844967
MLS Listing,,Single Family Residential,211 S Barton St,Arlington,VA,22204,1159000,4,3.5,PENROSE,3345,5808,1986,1,346,,Active,,,https://www.redfin.com/VA/Arlington/211-S-Barton-St-22204/home/11262588,BRIGHT MLS,VAAR2048718,N,Y,38.8707713,-77.0852198
MLS Listing,,Townhouse,5309 8th Rd S Lot 2014A,Arlington,VA,22204,949990,5,4.5,CARLIN,2290,1020,2024,1,415,130,Active,,,https://www.redfin.com/VA/Arlington/5309-8th-Rd-S-22204/unit-2014A/home/192579072,BRIGHT MLS,VAAR2048714,N,Y,38.85707,-77.1198579
MLS Listing,,Condo/Co-op,1111 Arlington Blvd #1005,Arlington,VA,22209,350000,2,2.0,RIVER PLACE,1072,,1955,1,326,1100,Pre On-Market,,,https://www.redfin.com/VA/Arlington/1111-Arlington-Blvd-22209/unit-1005/home/11253272,BRIGHT MLS,VAAR2048608,N,Y,38.8925425,-77.0699146
MLS Listing,,Condo/Co-op,4141 N Henderson Rd N #316,Arlington,VA,22203,360000,1,1.0,HYDE PARK,916,,1973,1,393,798,Pre On-Market,September-19-2024 05:00 PM,September-19-2024 07:00 PM,https://www.redfin.com/VA/Arlington/4141-N-Henderson-Rd-22203/unit-316/home/11257224,BRIGHT MLS,VAAR2048552,N,Y,38.8758024,-77.1094008
MLS Listing,,Single Family Residential,2312 N Florida St,Arlington,VA,22207,1999000,5,4.5,COUNTRY CLUB,4158,6000,2025,1,481,,Active,,,https://www.redfin.com/VA/Arlington/2312-N-Florida-St-22207/home/11228060,BRIGHT MLS,VAAR2048582,N,Y,38.8971066,-77.1345868
MLS Listing,,Single Family Residential,5605 24th St N,Arlington,VA,22205,1999000,5,4.5,TUCKAHOE VILLAGE,4104,6000,,1,487,,Pre On-Market,,,https://www.redfin.com/VA/Arlington/5605-24th-St-N-22205/home/11237775,BRIGHT MLS,VAAR2048706,N,Y,38.8947044,-77.1403425
MLS Listing,,Condo/Co-op,801 S Greenbrier St #220,Arlington,VA,22204,467000,2,2.0,THE SIERRA,1300,,2005,1,359,756,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/VA/Arlington/801-S-Greenbrier-St-22204/unit-220/home/11281595,BRIGHT MLS,VAAR2048696,N,Y,38.8578548,-77.1192458
MLS Listing,,Condo/Co-op,1800 Wilson Blvd #210,Arlington,VA,22201,769000,2,2.0,1800 WILSON,1243,,2007,2,619,646,Active,September-22-2024 12:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Arlington/1800-Wilson-Blvd-22201/unit-210/home/12041131,BRIGHT MLS,VAAR2048420,N,Y,38.8934424,-77.0793665
MLS Listing,,Single Family Residential,4719 25th St N,Arlington,VA,22207,979000,4,2.0,LYONHURST,1127,4550,1950,2,869,,Active,October-5-2024 01:00 PM,October-5-2024 03:00 PM,https://www.redfin.com/VA/Arlington/4719-25th-St-N-22207/home/11230182,BRIGHT MLS,VAAR2047740,N,Y,38.9022871,-77.1252951
