SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,21810 Petworth Ct,Ashburn,VA,20147,509990,3,2.5,PARKSIDE AT ASHBURN,1406,,2001,2,363,291,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/VA/Ashburn/21810-Petworth-Ct-20147/home/12078704,BRIGHT MLS,VALO2080102,N,Y,39.0131448,-77.4944171
MLS Listing,,Townhouse,43310 Foyt Ter,Ashburn,VA,20147,635000,4,3.5,BROADLANDS,1896,1742,2013,5,335,120,Active,,,https://www.redfin.com/VA/Ashburn/43310-Foyt-Ter-20147/home/56519225,BRIGHT MLS,VALO2079546,N,Y,39.0150658,-77.5034355
MLS Listing,,Townhouse,43138 Whelplehill Ter,Ashburn,VA,20148,665000,4,3.5,LOUDOUN VALLEY ESTATES 2,1841,1742,2013,6,361,132,Active,,,https://www.redfin.com/VA/Ashburn/43138-Whelplehill-Ter-20148/home/49796288,BRIGHT MLS,VALO2079170,N,Y,38.9760193,-77.5099755
MLS Listing,,Condo/Co-op,42920 Firefly Sonata Ter #204,Ashburn,VA,20148,589990,3,2.0,SUMMIT AT BIRCHWOOD CONDO,1845,,2024,13,320,699,Active,,,https://www.redfin.com/VA/Brambleton/42920-Firefly-Sonata-Ter-20148/unit-204/home/192382251,BRIGHT MLS,VALO2079386,N,Y,38.9622116,-77.5188467
MLS Listing,,Condo/Co-op,20761 Heron Landing Dr,Sterling,VA,20166,535000,3,2.5,KINCORA LAND BAY D CONDOMINIUM,1448,,2020,15,369,240,Active,,,https://www.redfin.com/VA/Sterling/20761-Heron-Landing-Dr-20166/home/171044811,BRIGHT MLS,VALO2078724,N,Y,39.0427861,-77.437882
MLS Listing,,Condo/Co-op,23679 Bolton Crescent Ter #404,Ashburn,VA,20148,559822,2,2.0,BIRCHWOOD AT BRAMBLETON,1563,,2024,26,358,699,Active,,,https://www.redfin.com/VA/Brambleton/23679-Bolton-Crescent-Ter-20148/unit-404/home/192207702,BRIGHT MLS,VALO2077566,N,Y,38.9628049,-77.5208989
MLS Listing,,Condo/Co-op,42874 Firefly Sonata Ter #204,Ashburn,VA,20148,584990,3,2.0,SUMMIT AT BIRCHWOOD CONDO,1845,,2023,26,317,699,Active,,,https://www.redfin.com/VA/Brambleton/42874-Firefly-Sonata-Ter-20148/unit-204/home/192207574,BRIGHT MLS,VALO2078508,N,Y,38.9621998,-77.5199978
MLS Listing,,Townhouse,23328 Evening Primrose,Brambleton,VA,20148,889999,4,3.5,BRAMBLETON,3240,3049,2012,26,275,231,Active,September-19-2024 05:00 PM,September-19-2024 07:00 PM,https://www.redfin.com/VA/Brambleton/23328-Evening-Primrose-Sq-20148/home/28588208,BRIGHT MLS,VALO2078232,N,Y,38.9714781,-77.5311968
MLS Listing,,Townhouse,22701 Settlers Trl,Brambleton,VA,20148,475000,3,2.5,RESIDENCES AT BRAMBLETON 2,1610,,2007,30,295,493,Active,,,https://www.redfin.com/VA/Brambleton/22701-Settlers-Trail-Ter-20148/home/14365028,BRIGHT MLS,VALO2078072,N,Y,38.9898735,-77.5285249
MLS Listing,,Townhouse,43925 Hurleys Hunt Ter,Ashburn,VA,20147,863000,4,3.0,REGENCY AT BELMONT CHASE,3243,2178,2022,35,266,155,Active,,,https://www.redfin.com/VA/Ashburn/43925-Hurleys-Hunt-Ter-20147/home/183397268,BRIGHT MLS,VALO2077904,N,Y,39.0667814,-77.4810239
MLS Listing,,Townhouse,42799 Macbeth Ter,Ashburn,VA,20148,899900,3,2.5,BRAMBLETON ACTIVE ADULT,2832,5391,2020,35,318,296,Active,,,https://www.redfin.com/VA/Ashburn/42799-Macbeth-Ter-20148/home/191945600,BRIGHT MLS,VALO2077346,N,Y,38.9676714,-77.5219729
MLS Listing,,Townhouse,22654 Narragansett Ter,Ashburn,VA,20148,729000,3,3.0,LOUDOUN PARKWAY CENTER,2984,2614,2001,36,244,117,Active,,,https://www.redfin.com/VA/Ashburn/22654-Narragansett-Ter-20148/home/12048961,BRIGHT MLS,VALO2076630,N,Y,38.9899044,-77.4841561
MLS Listing,,Townhouse,21022 Mossy Glen Ter,Ashburn,VA,20147,599900,3,3.5,ASHBURN VILLAGE,1835,1742,1997,55,327,146,Active,,,https://www.redfin.com/VA/Ashburn/21022-Mossy-Glen-Ter-20147/home/11986153,BRIGHT MLS,VALO2073474,N,Y,39.034818,-77.4760796
