SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2336 Stoughton Cir,Aurora,IL,60502,330000,3,2.5,Park Avenue,1668,,2002,5,198,289,Active,,,https://www.redfin.com/IL/Aurora/2336-Stoughton-Cir-60502/home/17980966,MRED as Distributed by MLS Grid,12151944,N,Y,41.7590946,-88.2571184
MLS Listing,,Single Family Residential,2236 Red Maple Ln,Aurora,IL,60502,780000,5,3.5,Aurora / Eola,3501,10018,2000,1,223,48,Active,,,https://www.redfin.com/IL/Aurora/2236-Red-Maple-Ln-60502/home/17992051,MRED as Distributed by MLS Grid,12165050,N,Y,41.8097768,-88.2622978
MLS Listing,,Single Family Residential,1669 Pinnacle Ct,Aurora,IL,60502,480000,5,3.0,Aurora / Eola,2540,11151,1996,1,189,11,Active,,,https://www.redfin.com/IL/Aurora/1669-Pinnacle-Ct-60502/home/12579596,MRED as Distributed by MLS Grid,12164921,N,Y,41.8147486,-88.2721922
MLS Listing,,Single Family Residential,776 Sumac Dr,Aurora,IL,60506,400000,3,3.5,The Lindens,2240,1568,2003,1,179,13,Active,,,https://www.redfin.com/IL/Aurora/776-Sumac-Dr-60506/home/16923065,MRED as Distributed by MLS Grid,12156543,N,Y,41.7470876,-88.3854149
MLS Listing,,Townhouse,4414 Chelsea Manor Cir,Aurora,IL,60504,592810,3,2.5,Chelsea Manor,2025,1262,2024,1,293,258,Active,,,https://www.redfin.com/IL/Aurora/4414-Chelsea-Manor-Cir-60504/home/185878837,MRED as Distributed by MLS Grid,12165206,N,Y,41.736871,-88.213706
MLS Listing,,Townhouse,4488 Chelsea Manor Cir,Aurora,IL,60504,561540,3,2.5,Chelsea Manor,2116,1262,2024,1,265,258,Active,,,https://www.redfin.com/IL/Aurora/4488-Chelsea-Manor-Cir-60504/home/192577360,MRED as Distributed by MLS Grid,12165183,N,Y,41.7386909,-88.2149213
MLS Listing,,Townhouse,1603 Sager Way,Batavia,IL,60510,415000,3,2.5,Prairie Commons,2221,1248,2022,1,187,150,Active,,,https://www.redfin.com/IL/Batavia/1603-Sager-Way-60510/home/172001294,MRED as Distributed by MLS Grid,12163537,N,Y,41.8223954,-88.2762182
MLS Listing,,Townhouse,4377 Chelsea Manor Cir,Aurora,IL,60504,449920,3,3.0,Chelsea Manor,1468,1250,2024,1,306,258,Active,,,https://www.redfin.com/IL/Aurora/4377-Chelsea-Manor-Cir-60504/home/185878961,MRED as Distributed by MLS Grid,12165154,N,Y,41.73796,-88.212709
MLS Listing,,Single Family Residential,425 Bangs St,Aurora,IL,60505,249000,2,1.0,Aurora / Eola,872,4160,1924,1,286,,Active,,,https://www.redfin.com/IL/Aurora/425-Bangs-St-60505/home/14181042,MRED as Distributed by MLS Grid,12164291,N,Y,41.7474478,-88.3033326
MLS Listing,,Townhouse,4375 Chelsea Manor Cir,Aurora,IL,60504,472600,3,3.0,Chelsea Manor,1577,1250,2024,1,300,258,Active,,,https://www.redfin.com/IL/Aurora/4375-Chelsea-Manor-Cir-60504/home/185878962,MRED as Distributed by MLS Grid,12165129,N,Y,41.737961,-88.212611
MLS Listing,,Townhouse,4511 Chelsea Manor Cir,Aurora,IL,60504,491700,3,3.5,Chelsea Manor,2104,1250,2024,1,234,258,Active,,,https://www.redfin.com/IL/Aurora/4511-Chelsea-Manor-Cir-60504/home/185878923,MRED as Distributed by MLS Grid,12165099,N,Y,41.7385499,-88.214451
MLS Listing,,Single Family Residential,28 S Rosedale Ave,Aurora,IL,60506,287500,3,1.0,Aurora / Eola,1128,6250,1954,1,255,,Active,,,https://www.redfin.com/IL/Aurora/28-S-Rosedale-Ave-60506/home/16949843,MRED as Distributed by MLS Grid,12164424,N,Y,41.7626156,-88.3577594
MLS Listing,,Single Family Residential,2965 Juniper Ct,Aurora,IL,60502,299900,3,2.5,Butterfield,1700,,1990,2,176,,Active,,,https://www.redfin.com/IL/Aurora/2965-Juniper-Ct-60502/home/18145232,MRED as Distributed by MLS Grid,12150505,N,Y,41.8149485,-88.2527157
MLS Listing,,Single Family Residential,1267 Cranbrook Cir,Aurora,IL,60502,590000,3,3.0,Stonebridge,2443,9587,1989,3,242,360,Active,,,https://www.redfin.com/IL/Aurora/1267-Cranbrook-Cir-60502/home/14178255,MRED as Distributed by MLS Grid,12164331,N,Y,41.7854578,-88.2491546
MLS Listing,,Townhouse,2417 Georgetown Cir #2417,Aurora,IL,60503,309999,3,2.5,Georgetown Commons,1611,,2003,3,192,395,Active,,,https://www.redfin.com/IL/Aurora/2417-Georgetown-Cir-60503/unit-2417/home/179953293,MRED as Distributed by MLS Grid,12164356,N,Y,41.7111698,-88.2514682
MLS Listing,,Single Family Residential,1749 Melbourne Ln,Aurora,IL,60503,399900,4,2.5,Aurora / Eola,1800,6600,1999,3,222,20,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/IL/Aurora/1749-Melbourne-Ln-60503/home/23264896,MRED as Distributed by MLS Grid,12164316,N,Y,41.7235557,-88.2592298
MLS Listing,,Single Family Residential,160 Goldenrod Dr,Sugar Grove,IL,60554,563999,4,3.0,Settlers Ridge,2718,15942,2022,3,208,90,Active,,,https://www.redfin.com/IL/Sugar-Grove/160-Goldenrod-Dr-60554/home/22974855,MRED as Distributed by MLS Grid,12164273,N,Y,41.7629039,-88.4095272
MLS Listing,,Single Family Residential,140 Canterbury Rd,Aurora,IL,60506,430000,4,3.0,Orchard Valley,2503,,2003,3,172,13,Active,,,https://www.redfin.com/IL/Aurora/140-N-Canterbury-Rd-60506/home/16969496,MRED as Distributed by MLS Grid,12161323,N,Y,41.7672592,-88.3791432
MLS Listing,,Condo/Co-op,2242 Sunrise Cir #2242,Aurora,IL,60503,315000,2,2.5,Summit Fields,1599,,2002,4,197,250,Active,,,https://www.redfin.com/IL/Aurora/2242-Sunrise-Cir-60503/unit-2242/home/40024711,MRED as Distributed by MLS Grid,12160048,N,Y,41.7123949,-88.2578358
MLS Listing,,Townhouse,1773 Carlstedt Dr,Batavia,IL,60510,409900,3,2.5,Prairie Commons,2221,1248,2020,4,185,150,Active,,,https://www.redfin.com/IL/Batavia/1773-Carlstedt-Dr-60510/home/173441478,MRED as Distributed by MLS Grid,12158934,N,Y,41.8221142,-88.2742362
MLS Listing,,Single Family Residential,1343 N Randall Rd,Aurora,IL,60506,325000,5,2.0,Aurora / Eola,1781,32663,1950,4,182,,Active,,,https://www.redfin.com/IL/Aurora/1343-N-Randall-Rd-60506/home/16963960,MRED as Distributed by MLS Grid,12163796,N,Y,41.7861752,-88.3491672
MLS Listing,,Townhouse,534 Wolverine Dr,Aurora,IL,60502,449900,3,2.5,Liberty Meadows,2039,,2024,4,221,180,Active,,,https://www.redfin.com/IL/Aurora/534-Wolverine-Dr-60502/home/186022803,MRED as Distributed by MLS Grid,12152914,N,Y,41.7636,-88.257
MLS Listing,,Townhouse,1651 Bentz Way,Batavia,IL,60510,419900,3,2.5,Prairie Commons,2381,,2023,4,176,150,Active,,,https://www.redfin.com/IL/Batavia/1651-Bentz-Way-60510/home/172001309,MRED as Distributed by MLS Grid,12163688,N,Y,41.821079,-88.275592
MLS Listing,,Single Family Residential,2177 Red Maple Ln,Aurora,IL,60502,675000,3,3.0,Ginger Woods,2700,11425,2000,4,250,48,Active,,,https://www.redfin.com/IL/Aurora/2177-Red-Maple-Ln-60502/home/14180802,MRED as Distributed by MLS Grid,12163426,N,Y,41.8093386,-88.2634416
MLS Listing,,Single Family Residential,3122 Village Green Dr,Aurora,IL,60504,399000,3,3.0,Pheasant Creek,1568,,1985,4,254,,Active,,,https://www.redfin.com/IL/Aurora/3122-Village-Green-Dr-60504/home/18067320,MRED as Distributed by MLS Grid,12161846,N,Y,41.7458626,-88.2371088
