SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8104 Antebellum Ave,Baton Rouge,LA,70820,297000,3,2.0,Pelican Lakes,1545,6098,2015,2,192,40,Active,,,https://www.redfin.com/LA/Baton-Rouge/8104-Antebellum-Ave-70820/home/88632778,GBRMLS,2024017385,N,Y,30.3603144,-91.1356351
MLS Listing,,Single Family Residential,14422 Acacia St,Baton Rouge,LA,70819,272000,3,2.0,Oak Manor,2283,10454,1980,5,119,,Active,,,https://www.redfin.com/LA/Baton-Rouge/14422-Acacia-St-70819/home/85536429,GBRMLS,2024017342,N,Y,30.4587352,-91.0249089
MLS Listing,,Single Family Residential,14485 N Holly St,Baton Rouge,LA,70819,171000,2,2.0,Donwood,1098,21780,1980,6,156,,Active,,,https://www.redfin.com/LA/Baton-Rouge/14485-N-Holly-St-70819/home/82970668,GBRMLS,2024017230,N,Y,30.4627682,-91.0239796
MLS Listing,,Single Family Residential,9653 Mollylea Dr,Baton Rouge,LA,70815,260000,3,2.0,North Broadmoor,2379,21780,1955,15,109,,Active,,,https://www.redfin.com/LA/Baton-Rouge/9653-Mollylea-Dr-70815/home/82805729,GBRMLS,2024016788,N,Y,30.4527734,-91.0800297
MLS Listing,,Condo/Co-op,6765 Corporate Blvd #5112,Baton Rouge,LA,70809,212000,2,2.0,Reserve At Cedar Lodge,1018,,2005,34,208,275,Active,,,https://www.redfin.com/LA/Baton-Rouge/6765-Corporate-Blvd-70809/unit-5112/home/85627847,GBRMLS,2024015596,N,Y,30.4266368,-91.1221611
MLS Listing,,Single Family Residential,645 Napoleon St,Baton Rouge,LA,70802,266000,2,2.0,Beauregard Town,1284,3049,1947,36,207,,Active,,,https://www.redfin.com/LA/Baton-Rouge/645-Napoleon-St-70802/home/82941301,GBRMLS,2024015451,N,Y,30.4422226,-91.183477
MLS Listing,,Single Family Residential,4311 Blue Ribbon Dr,Baton Rouge,LA,70814,215000,3,2.0,Sugar Mill Ridge,1374,5227,1986,56,156,2,Active,,,https://www.redfin.com/LA/Baton-Rouge/4311-Blueribbon-Dr-70814/home/82981419,GBRMLS,2024014156,N,Y,30.4891765,-91.0374723
MLS Listing,,Single Family Residential,733 Wordsworth Dr,Baton Rouge,LA,70810,444000,3,2.0,Windermere,2524,9147,1997,56,176,17,Active,,,https://www.redfin.com/LA/Baton-Rouge/733-Wordsworth-Dr-70810/home/82803313,GBRMLS,2024014147,N,Y,30.3671263,-91.0814915
MLS Listing,,Single Family Residential,12967 Castle Hill Dr,Baton Rouge,LA,70814,294900,3,3.0,Greenwell Forest,2184,17859,1980,58,135,,Active,,,https://www.redfin.com/LA/Baton-Rouge/12967-Castle-Hill-Dr-70814/home/85655234,GBRMLS,2024013919,N,Y,30.4954419,-91.0417058
MLS Listing,,Condo/Co-op,11110 Boardwalk Dr #49,Baton Rouge,LA,70816,199900,3,2.0,Baywood Quarters,1565,,2007,58,128,255,Active,,,https://www.redfin.com/LA/Baton-Rouge/11110-Boardwalk-Dr-70816/unit-49/home/82973565,GBRMLS,2024013918,N,Y,30.430891,-91.0609384
MLS Listing,,Single Family Residential,427 S Ardenwood Dr,Baton Rouge,LA,70806,221000,2,1.0,Ardenwood,1106,10018,1969,61,200,,Active,,,https://www.redfin.com/LA/Baton-Rouge/427-S-Ardenwood-Dr-70806/home/82929911,GBRMLS,2024013780,N,Y,30.4454628,-91.1269818
MLS Listing,,Condo/Co-op,1720 Nicholson Dr #32,Baton Rouge,LA,70802,240000,3,2.0,Redstick Lofts,2002,,2006,68,120,165,Active,,,https://www.redfin.com/LA/Baton-Rouge/1720-Nicholson-Dr-70802/unit-32/home/82956014,GBRMLS,2024013288,N,Y,30.4314803,-91.1881899
MLS Listing,,Multi-Family (2-4 Unit),1736 Mast Dr Unit 13-A,Baton Rouge,LA,70820,199999,8,8.0,South Highland Ind Pk,,8276,,72,,,Active,,,https://www.redfin.com/LA/Baton-Rouge/1736-Mast-Dr-70820/unit-13-A/home/85668911,GBRMLS,2024012949,N,Y,30.3566497,-91.1339129
MLS Listing,,Single Family Residential,608 College Hill Dr,Baton Rouge,LA,70808,287000,4,2.0,College Hills,1487,10890,1977,74,193,,Active,,,https://www.redfin.com/LA/Baton-Rouge/608-College-Hill-Dr-70808/home/85647929,GBRMLS,2024011882,N,Y,30.3962015,-91.1532733
MLS Listing,,Single Family Residential,17505 Lake Willow Ave,Baton Rouge,LA,70817,389900,4,3.5,Willowbrook,2620,6098,2010,188,149,25,Active,,,https://www.redfin.com/LA/Baton-Rouge/17505-Lake-Willow-Ave-70817/home/82930465,GBRMLS,2024004240,N,Y,30.358021,-90.9940797
MLS Listing,,Vacant Land,9550 W Inniswold Rd,Baton Rouge,LA,70809,200000,,,Inniswold Estates,,11761,,523,,,Active,,,https://www.redfin.com/LA/Baton-Rouge/9550-W-Inniswold-Rd-70809/home/144830176,GBRMLS,2023005790,N,Y,30.4005084,-91.077391
MLS Listing,,Single Family Residential,5256 N Afton Pkwy,Baton Rouge,LA,70806,190000,3,2.0,Melrose Place,1668,16988,1969,1,114,,Active,,,https://www.redfin.com/LA/Baton-Rouge/5256-N-Afton-Pkwy-70806/home/85575057,GBRMLS,2024017507,N,Y,30.4552565,-91.1359438
MLS Listing,,Single Family Residential,5540 Lanier Dr,Baton Rouge,LA,70812,140000,3,1.0,Kildare,1068,43560,1949,1,131,,Active,,,https://www.redfin.com/LA/Baton-Rouge/5540-Lanier-Dr-70812/home/85568837,GBRMLS,2024017505,N,Y,30.5011764,-91.107473
MLS Listing,,Single Family Residential,5255 Breckenridge Ave,Baton Rouge,LA,70805,54900,2,2.0,East Garden City,1950,179902,1955,1,28,,Active,,,https://www.redfin.com/LA/Baton-Rouge/5255-Breckenridge-Ave-70805/home/85561843,GBRMLS,2024017504,N,Y,30.497165,-91.163667
MLS Listing,,Single Family Residential,10720 Cane River Dr,Baton Rouge,LA,70810,619900,3,2.5,Preserve At Harveston The,2315,5397,2018,1,268,108,Active,,,https://www.redfin.com/LA/Baton-Rouge/10720-Cane-River-Dr-70810/home/113822923,GBRMLS,2024017496,N,Y,30.337837,-91.108812
MLS Listing,,Single Family Residential,13021 Country Park Ave,Baton Rouge,LA,70816,249900,3,2.0,Country Manor,1343,15681,1983,1,186,3,Active,,,https://www.redfin.com/LA/Baton-Rouge/13021-Country-Park-Ave-70816/home/82809916,GBRMLS,2024017489,N,Y,30.4184035,-91.0345112
MLS Listing,,Condo/Co-op,1701 Lobdell Ave #18,Baton Rouge,LA,70806,80000,1,1.0,Bocage Condos,680,,1984,1,118,260,Active,,,https://www.redfin.com/LA/Baton-Rouge/1701-Lobdell-Ave-70806/unit-18/home/85634215,GBRMLS,2024017487,N,Y,30.4331958,-91.1081382
MLS Listing,,Townhouse,1963 S Brightside View Dr Unit 115-C,Baton Rouge,LA,70820,134900,2,2.5,Brightside Park,1250,1742,1985,1,108,284,Active,,,https://www.redfin.com/LA/Baton-Rouge/1963-S-Brightside-View-Dr-70820/unit-115-C/home/192595221,GBRMLS,2024017480,N,Y,30.3853602,-91.1810142
MLS Listing,,Multi-Family (2-4 Unit),5130 Brightside View Dr #3,Baton Rouge,LA,70820,388000,,,Brightside View Condominium,,3,,1,,,Active,,,https://www.redfin.com/LA/Baton-Rouge/5130-Brightside-View-Dr-70820/unit-3/home/192594334,GBRMLS,2024017477,N,Y,30.3872484,-91.1819742
MLS Listing,,Single Family Residential,5022 Sweetbriar St,Baton Rouge,LA,70808,649000,4,3.5,Sweetbriar Place,2655,14810,1960,1,244,,Active,,,https://www.redfin.com/LA/Baton-Rouge/5022-Sweetbriar-St-70808/home/82960487,GBRMLS,2024017476,N,Y,30.408446,-91.1407666
MLS Listing,,Single Family Residential,11652 Silo Dr,Baton Rouge,LA,70810,925000,4,3.5,Settlement At Willow Grove,3212,6098,2016,1,288,125,Active,,,https://www.redfin.com/LA/Baton-Rouge/11652-Silo-Dr-70810/home/113823009,GBRMLS,2024017474,N,Y,30.3803313,-91.0818866
MLS Listing,,Townhouse,13314 Virage Ct Unit TH-28,Central,LA,70818,370000,2,2.0,Village At Magnolia Square The,1420,293,2020,1,261,148,Active,,,https://www.redfin.com/LA/Baton-Rouge/13314-Virage-Ct-70818/unit-TH-28/home/192594107,GBRMLS,2024017473,N,Y,30.5208738,-91.0405066
MLS Listing,,Townhouse,7958 Wrenwood Blvd #25,Baton Rouge,LA,70809,485000,3,2.5,Wrenwood Townhomes,2234,2178,1980,1,217,214,Active,,,https://www.redfin.com/LA/Baton-Rouge/7958-Wrenwood-Blvd-70809/unit-25/home/192591236,GBRMLS,2024017460,N,Y,30.4238549,-91.0994659
MLS Listing,,Townhouse,7652 Trail Bend Ave #64,Baton Rouge,LA,70836,321990,3,2.5,Baton Rouge,1727,2613,2024,1,186,145,Active,,,https://www.redfin.com/LA/Baton-Rouge/7652-Trail-Bend-AVE-Unknown/unit-64/home/192591085,GBRMLS,2024017459,N,Y,30.389,-91.0857
MLS Listing,,Single Family Residential,7821 Director Dr,Baton Rouge,LA,70817,270000,3,2.0,Old Jefferson Subd,1750,12196,1985,1,154,,Active,,,https://www.redfin.com/LA/Baton-Rouge/7821-Director-Dr-70817/home/85536161,GBRMLS,2024017457,N,Y,30.381007,-91.0210331
MLS Listing,,Single Family Residential,3822 N Kings Canyon Dr,Baton Rouge,LA,70814,189000,3,2.0,Park Forest,1423,10454,1984,1,133,,Active,,,https://www.redfin.com/LA/Baton-Rouge/3822-Kings-Canyon-Dr-N-70814/home/82943614,GBRMLS,2024017450,N,Y,30.4844669,-91.0761817
MLS Listing,,Single Family Residential,18254 Deep Forest Ave,Baton Rouge,LA,70817,525000,5,3.0,Lake At White Oak The,2829,17859,1992,2,186,25,Active,,,https://www.redfin.com/LA/Baton-Rouge/18254-Deep-Forest-Ave-70817/home/85586773,GBRMLS,2024017448,N,Y,30.3994633,-90.9840567
MLS Listing,,Multi-Family (2-4 Unit),3227 Toulon Dr Unit 17A,Baton Rouge,LA,70816,348500,8,6.0,Plaza 12 Garden Homes,4000,7840,,2,87,,Active,,,https://www.redfin.com/LA/Baton-Rouge/3227-Toulon-Dr-70816/unit-17A/home/192582131,GBRMLS,2024017443,N,Y,30.4215539,-91.0595912
MLS Listing,,Condo/Co-op,12138 Coursey Blvd Unit H,Baton Rouge,LA,70816,151000,2,1.5,Solar Pointe,1048,,1999,2,144,160,Active,,,https://www.redfin.com/LA/Baton-Rouge/12138-Coursey-Blvd-70816/unit-H/home/85632213,GBRMLS,2024017441,N,Y,30.4111999,-91.0450449
MLS Listing,,Single Family Residential,11635 Sewanee Dr,Baton Rouge,LA,70816,179900,3,1.5,Eastgate,1108,6098,1973,2,162,,Active,,,https://www.redfin.com/LA/Baton-Rouge/11635-Sewanee-Dr-70816/home/82906239,GBRMLS,2024017435,N,Y,30.4285092,-91.053353
MLS Listing,,Single Family Residential,2631 Tiger Crossing Dr,Baton Rouge,LA,70810,885000,4,5.0,University Club Plantation,3101,13503,2018,2,285,148,Active,,,https://www.redfin.com/LA/Baton-Rouge/2631-Tiger-Crossing-Dr-70810/home/85633553,GBRMLS,2024017433,N,Y,30.3215291,-91.1091866
MLS Listing,,Single Family Residential,2834 Hollywood St,Baton Rouge,LA,70805,65000,3,1.0,Baton Rouge,1454,,1952,2,45,,Active,,,https://www.redfin.com/LA/Baton-Rouge/2834-Hollywood-St-70805/home/85637855,GSREIN,2466837,N,Y,30.4992296,-91.162049
MLS Listing,,Single Family Residential,1615 Myrtle Walk,Baton Rouge,LA,70802,99900,3,2.0,O'Conner Place,1224,5227,1979,2,82,,Active,,,https://www.redfin.com/LA/Baton-Rouge/1615-Myrtle-Walk-70802/home/85536285,GBRMLS,2024017428,N,Y,30.4386272,-91.1715435
MLS Listing,,Single Family Residential,10013 Ole Millstead Ct,Baton Rouge,LA,70816,247000,3,2.0,Baton Rouge,1538,5662,2022,2,161,28,Active,,,https://www.redfin.com/LA/Baton-Rouge/10013-Ole-Millstead-Ct-70816/home/174606363,GBRMLS,2024017069,N,Y,30.4314628,-91.077104
MLS Listing,,Townhouse,2333 Shadowbrook Dr #108,Baton Rouge,LA,70816,210000,3,2.0,Shadowbrook,1642,2482,2004,2,128,343,Active,,,https://www.redfin.com/LA/Baton-Rouge/2333-Shadowbrook-Dr-70816/unit-108/home/87402202,GBRMLS,2024017418,N,Y,30.4305507,-91.0155994
MLS Listing,,Single Family Residential,3871 Wayne Dr,Baton Rouge,LA,70805,89900,3,2.0,Babin,3000,5227,1948,2,30,,Active,,,https://www.redfin.com/LA/Baton-Rouge/3871-Wayne-Dr-70805/home/85600169,GBRMLS,2024017413,N,Y,30.4843507,-91.1481785
MLS Listing,,Single Family Residential,12516 Schlayer Ave,Baton Rouge,LA,70816,350000,4,3.0,Afton Oaks,2645,11761,1983,2,132,4,Active,,,https://www.redfin.com/LA/Baton-Rouge/12516-Schlayer-Ave-70816/home/82938572,GBRMLS,2024017412,N,Y,30.4203208,-91.0428249
MLS Listing,,Single Family Residential,2742 Harveston Mill Dr,Baton Rouge,LA,70810,865000,3,3.0,Baton Rouge,2670,8276,2022,2,324,83,Active,September-22-2024 01:00 PM,September-22-2024 05:00 PM,https://www.redfin.com/LA/Baton-Rouge/2742-Harveston-Mill-Dr-70810/home/179380929,GBRMLS,2024017401,N,Y,30.3319078,-91.1093453
MLS Listing,,Single Family Residential,934 N 26th St,Baton Rouge,LA,70802,75000,1,1.0,Abramson,1000,871,,2,75,,Active,,,https://www.redfin.com/LA/Baton-Rouge/934-N-26th-St-70802/home/85589491,GBRMLS,2024017400,N,Y,30.4570456,-91.1618359
MLS Listing,,Single Family Residential,1826 Stuart Ave,Baton Rouge,LA,70808,521000,3,2.0,Southdowns,2207,11325,1939,2,236,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/LA/Baton-Rouge/1826-Stuart-Ave-70808/home/85577332,GBRMLS,2024017396,N,Y,30.4132831,-91.1494844
MLS Listing,,Condo/Co-op,333 E Boyd Dr #24,Baton Rouge,LA,70808,390000,3,3.0,Baton Rouge,1330,,2012,2,293,200,Active,,,https://www.redfin.com/LA/Baton-Rouge/333-E-Boyd-Dr-70808/unit-24/home/85633040,GBRMLS,2024017394,N,Y,30.4010442,-91.1744377
MLS Listing,,Condo/Co-op,6765 Corporate Blvd #9202,Baton Rouge,LA,70809,155000,1,1.0,Reserve At Cedar Lodge,769,,2006,2,202,200,Active,,,https://www.redfin.com/LA/Baton-Rouge/6765-Corporate-Blvd-70809/unit-9202/home/85628654,GBRMLS,2024017391,N,Y,30.4266368,-91.1221611
MLS Listing,,Single Family Residential,5680 Matthews St,Baton Rouge,LA,70812,75000,3,1.0,Greendale,800,5227,1975,3,94,,Active,,,https://www.redfin.com/LA/Baton-Rouge/5680-Matthews-St-70812/home/85570416,GBRMLS,2024017378,N,Y,30.5029798,-91.1148717
