SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1927 SE Fairwood Dr,Bend,OR,97702,895000,4,2.5,Tanglewood,2496,11326,1994,4,359,,Active,,,https://www.redfin.com/OR/Bend/1927-SE-Fairwood-Dr-97702/home/77534923,MLSCO,220189819,N,Y,44.0436062,-121.2759014
MLS Listing,,Single Family Residential,19943 Cliffrose Dr,Bend,OR,97702,734000,3,2.0,Elkhorn Ridge,1656,6534,2001,33,443,,Active,,,https://www.redfin.com/OR/Bend/19943-Cliffrose-Dr-97702/home/109493196,MLSCO,220188287,N,Y,44.026254,-121.3262417
MLS Listing,,Single Family Residential,2293 NE Lynda Ln,Bend,OR,97701,629000,4,2.5,WOodcrest,2172,6534,2001,53,290,,Active,,,https://www.redfin.com/OR/Bend/2293-NE-Lynda-Ln-97701/home/77350944,MLSCO,220187121,N,Y,44.0803212,-121.2699638
MLS Listing,,Single Family Residential,61489 Linton Loop,Bend,OR,97702,765000,3,3.0,Sagewood,1786,5227,2003,61,428,25,Active,,,https://www.redfin.com/OR/Bend/61489-Linton-Loop-97702/home/112348136,MLSCO,220186605,N,Y,44.0333446,-121.3394442
MLS Listing,,Single Family Residential,1285 SW Wheeler Pl,Bend,OR,97702,669000,3,2.0,Summerhill,1618,5227,2004,67,413,,Active,,,https://www.redfin.com/OR/Bend/1285-SW-Wheeler-Pl-97702/home/101707771,MLSCO,220186262,N,Y,44.0357987,-121.3133264
MLS Listing,,Condo/Co-op,57369 Lake Aspen Ln,Sunriver,OR,97707,615000,2,2.0,Quelah Estates,1208,,1982,137,509,341,Active,,,https://www.redfin.com/OR/Bend/57369-Lake-Aspen-Ln-97707/home/112025132,MLSCO,220181811,N,Y,43.8843531,-121.4424789
MLS Listing,,Vacant Land,61411 Cannon Ct,Bend,OR,97702,785000,0,,Tetherow,,29185,,1,,187,Active,,,https://www.redfin.com/OR/Bend/61411-Cannon-Ct-97702/home/113899924,MLSCO,220189963,N,Y,44.030178,-121.367652
MLS Listing,,Single Family Residential,61380 Sunbrook Dr,Bend,OR,97702,815000,3,2.5,Alpenglow Estates S,2322,4792,2016,1,351,,Active,,,https://www.redfin.com/OR/Bend/61380-Sunbrook-Dr-97702/home/104486545,MLSCO,220189935,N,Y,44.0290427,-121.3203731
MLS Listing,,Ranch,65535 Cline Falls Rd,Bend,OR,97703,825000,0,,Bend,,435600,,1,,,Active,,,https://www.redfin.com/OR/Bend/65535-Cline-Falls-Rd-97703/home/92335445,MLSCO,220189944,N,Y,44.179361,-121.326419
MLS Listing,,Single Family Residential,61230 Brookhollow Dr,Bend,OR,97702,639000,3,2.0,320 - Deschutes County,1428,6534,2004,2,447,29,Active,,,https://www.redfin.com/OR/Bend/61230-Brookhollow-Dr-97702/home/112344536,RMLS,24074965,N,Y,44.0237898,-121.2897262
