SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7008 Sunny Ln,Hoover,AL,35244,615000,4,2.0,Abingdon,2468,8712,2021,4,249,,Active,October-3-2024 02:00 PM,October-3-2024 04:00 PM,https://www.redfin.com/AL/Birmingham/7008-Sunny-LN-35244/home/177316782,Greater Alabama MLS,21396799,N,Y,33.3639393,-86.8119917
MLS Listing,,Single Family Residential,3504 Springhill Rd,Mountain Brook,AL,35223,689900,3,3.0,Brookwood Forest,2471,17859,1971,1,279,,Active,,,https://www.redfin.com/AL/Mountain-Brk/3504-Springhill-Rd-35223/home/80948324,Greater Alabama MLS,21397372,N,Y,33.4803976,-86.7363592
MLS Listing,,Single Family Residential,3923 8th Ct S,Birmingham,AL,35222,615000,3,2.0,Forest Park,1948,10454,1922,1,316,,Active,,,https://www.redfin.com/AL/Birmingham/3923-8th-Ct-S-35222/home/81039376,Greater Alabama MLS,21397218,N,Y,33.5160226,-86.7728403
MLS Listing,,Single Family Residential,5221 7th Ave S,Birmingham,AL,35212,259000,3,1.0,Crestwood,1552,7405,1930,1,167,,Active,,,https://www.redfin.com/AL/Birmingham/5221-7th-Ave-S-35212/home/80929686,Greater Alabama MLS,21397105,N,Y,33.5320189,-86.7521459
MLS Listing,,Condo/Co-op,2700 Arlington Ave #37,Birmingham,AL,35205,1149000,3,3.5,Arlington Crest,3774,,1991,1,304,1498,Active,,,https://www.redfin.com/AL/Birmingham/2700-Arlington-Ave-S-35205/unit-37/home/192523454,Greater Alabama MLS,21397231,N,Y,33.4996707,-86.7841963
MLS Listing,,Single Family Residential,2016 Brook Highland Rdg,Birmingham,AL,35242,729000,4,3.5,Brook Highland,3181,27007,1993,1,229,23,Active,,,https://www.redfin.com/AL/Birmingham/2016-Brook-Highland-Rdg-35242/home/80689603,Greater Alabama MLS,21397277,N,Y,33.4355033,-86.6814098
MLS Listing,,Condo/Co-op,186 Mountain Brook Park Dr Unit C-4,Mountain Brook,AL,35213,580000,4,3.5,Mountain Brook Park,3204,,1998,1,181,,Active,,,https://www.redfin.com/AL/Mountain-Brook/186-Mountain-Park-Dr-35213/unit-C-4/home/192538072,Greater Alabama MLS,21397318,N,Y,33.4973968,-86.7498864
MLS Listing,,Single Family Residential,817 Grove St,Homewood,AL,35209,469900,3,2.0,Oak Grove Estates,1384,,1950,1,340,,Active,,,https://www.redfin.com/AL/Birmingham/817-Grove-St-35209/home/80981238,Greater Alabama MLS,21397202,N,Y,33.4567867,-86.822289
MLS Listing,,Single Family Residential,3125 Aspen Ave Aspen Ave,Birmingham,AL,35221,125000,3,2.0,West End,1728,10454,1925,1,72,,Active,,,https://www.redfin.com/AL/Birmingham/3125-Aspen-Ave-SW-35221/home/80978884,Greater Alabama MLS,21397499,N,Y,33.4637555,-86.884057
MLS Listing,,Single Family Residential,117 Melbourne Cir,Bessemer,AL,35022,425000,3,2.5,Mountain Ridge,2934,13503,2024,1,145,,Active,,,https://www.redfin.com/AL/Bessemer/117-Melbourn-Cir-35022/home/165104584,Greater Alabama MLS,21397573,N,Y,33.400577,-86.8930479
