SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1325 NW 16th St,Boca Raton,FL,33486,899900,3,2.0,Sabal Park,1883,9723,1980,5,478,,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/FL/Boca-Raton/1325-NW-16th-St-33486/home/42306884,Beaches MLS,RX-11020808,N,Y,26.364705,-80.1132181
MLS Listing,,Condo/Co-op,300 NE 20th St #109,Boca Raton,FL,33431,139900,1,1.0,Boca Verde Condo,727,,1965,12,192,302,Active,,,https://www.redfin.com/FL/Boca-Raton/300-NE-20th-St-33431/unit-109/home/173717601,Beaches MLS,F10459945,N,Y,26.3661034,-80.0817783
MLS Listing,,Single Family Residential,10471 Stonebridge Blvd,Boca Raton,FL,33498,1295000,4,4.5,Stonebridge 2,4050,12572,1990,13,320,365,Active,,,https://www.redfin.com/FL/Boca-Raton/10471-Stonebridge-Blvd-33498/home/42117169,Beaches MLS,RX-11018233,N,Y,26.4149605,-80.217064
MLS Listing,,Single Family Residential,21320 Sawmill Ct,Boca Raton,FL,33498,759000,4,2.5,Boca Chase,2728,5933,1989,27,278,172,Active,,,https://www.redfin.com/FL/Boca-Raton/21320-Sawmill-Ct-33498/home/42115266,Beaches MLS,RX-11014672,N,Y,26.4021398,-80.2270076
MLS Listing,,Condo/Co-op,22135 Cocoa Palm Way #261,Boca Raton,FL,33433,329900,3,2.0,Woodhaven Condo,1500,,1979,27,220,593,Active,,,https://www.redfin.com/FL/Boca-Raton/22135-Cocoa-Palm-Way-33433/unit-261/home/42260789,Beaches MLS,RX-11014547,N,Y,26.3483804,-80.1486729
MLS Listing,,Single Family Residential,21991 Altona Dr,Boca Raton,FL,33428,849888,4,3.0,Boca Winds Par G,2269,11289,1995,40,375,139,Active,,,https://www.redfin.com/FL/Boca-Raton/21991-Altona-Dr-33428/home/42120659,Beaches MLS,RX-11011188,N,Y,26.3489208,-80.2503609
MLS Listing,,Single Family Residential,10642 Stonebridge Blvd,Boca Raton,FL,33498,1400000,3,3.5,Stonebridge 02,3080,12502,1988,41,455,675,Active,,,https://www.redfin.com/FL/Boca-Raton/10642-Stonebridge-Blvd-33498/home/42112715,Beaches MLS,F10455094,N,Y,26.4100012,-80.2194344
MLS Listing,,Condo/Co-op,147 Brighton D,Boca Raton,FL,33434,85000,1,1.0,Brighton AT Century Village Condo,600,,1979,47,142,573,Active,,,https://www.redfin.com/FL/Boca-Raton/147-Brighton-D-33434/home/42632206,Beaches MLS,RX-11009143,N,Y,26.384264,-80.1840958
MLS Listing,,Single Family Residential,942 W Camino Real,Boca Raton,FL,33486,619900,3,2.0,Boca Raton Square Unit 1,1345,8251,1958,48,461,,Active,,,https://www.redfin.com/FL/Boca-Raton/942-W-Camino-Real-33486/home/42313051,Beaches MLS,RX-11008869,N,Y,26.3438943,-80.1054985
MLS Listing,,Condo/Co-op,9431 Boca Cove Cir #1001,Boca Raton,FL,33428,264000,2,2.0,Boca Cove Condo,900,,1990,84,293,456,Active,,,https://www.redfin.com/FL/Boca-Raton/9431-Boca-Cove-Cir-33428/unit-1001/home/42277714,Beaches MLS,RX-10999328,N,Y,26.3282024,-80.1933917
MLS Listing,,Single Family Residential,1701 SW 7th St,Boca Raton,FL,33486,799999,4,2.5,Boca Raton Square Unit 19,2199,12273,1975,89,364,,Active,,,https://www.redfin.com/FL/Boca-Raton/1701-SW-7th-St-33486/home/42313099,Beaches MLS,RX-10996025,N,Y,26.3419036,-80.11891
MLS Listing,,Single Family Residential,4081 NW Briarcliff Cir,Boca Raton,FL,33496,2199000,3,3.0,Briarcliff AT Woodfield Country Club,2585,9807,1996,1,851,975,Active,,,https://www.redfin.com/FL/Boca-Raton/4081-NW-Briarcliff-Cir-33496/home/42301013,Beaches MLS,RX-11020634,N,Y,26.4020932,-80.1673502
MLS Listing,,Condo/Co-op,555 NW 4th Ave #2220,Boca Raton,FL,33432,235000,2,2.0,STARLITE CONDO,1056,,1969,1,223,674,Active,,,https://www.redfin.com/FL/Boca-Raton/555-NW-4th-Ave-33432/unit-2220/home/42318947,Stellar MLS as Distributed by MLS Grid,U8251929,N,Y,26.3542985,-80.094186
MLS Listing,,Single Family Residential,21645 Cartagena Dr,Boca Raton,FL,33428,5900000,5,5.5,Boca Grande,4565,218236,1988,1,1292,1000,Active,,,https://www.redfin.com/FL/Boca-Raton/21645-Cartagena-Dr-33428/home/42118477,Beaches MLS,RX-11021786,N,Y,26.3546243,-80.209922
MLS Listing,,Condo/Co-op,9235 SW 8th St #406,Boca Raton,FL,33428,230000,2,2.0,ISLE OF SANDALFOOT CONDO,979,,1981,1,235,518,Active,,,https://www.redfin.com/FL/Boca-Raton/9235-SW-8th-St-33428/unit-406/home/42271631,MARMLS,A11659494,N,Y,26.339811,-80.1890289
MLS Listing,,Condo/Co-op,9261 Vista Del Lago Unit H,Boca Raton,FL,33428,325000,2,2.0,PINES OF BOCA LAGO CONDO,1216,,1980,1,267,1494,Active,,,https://www.redfin.com/FL/Boca-Raton/9261-Vista-del-Lago-33428/unit-H/home/42260620,MARMLS,A11660597,N,Y,26.354181,-80.192741
MLS Listing,,Single Family Residential,170 Royal Palm Way,Boca Raton,FL,33432,12500000,5,6.0,Royal Palm Yacht & Country Club,7207,15187,2020,1,1734,315,Active,,,https://www.redfin.com/FL/Boca-Raton/170-Royal-Palm-Way-33432/home/42323695,Beaches MLS,RX-11021781,N,Y,26.3297133,-80.0889708
MLS Listing,,Condo/Co-op,23385 Barwood Ln S #304,Boca Raton,FL,33428,265000,2,2.0,Pines OF Boca Barwood Condo,1160,,1979,1,228,684,Active,,,https://www.redfin.com/FL/Boca-Raton/23385-Barwood-Ln-S-33428/unit-304/home/42268128,Beaches MLS,RX-11021761,N,Y,26.3284664,-80.196825
MLS Listing,,Single Family Residential,17046 Wandering Wave Ave,Boca Raton,FL,33496,3189000,5,7.0,Lotus,5393,,2020,1,591,505,Active,,,https://www.redfin.com/FL/Boca-Raton/17046-Wandering-Wave-Ave-33496/home/174310459,Beaches MLS,RX-11021743,N,Y,26.4223972,-80.1819922
MLS Listing,,Single Family Residential,7791 La Corniche Cir,Boca Raton,FL,33433,1549000,3,2.5,LA CORNICHE AT BOCA POINT,3028,12367,1991,1,512,525,Active,,,https://www.redfin.com/FL/Boca-Raton/7791-La-Corniche-Cir-33433/home/42265204,MARMLS,A11659964,N,Y,26.3384103,-80.1672171
MLS Listing,,Townhouse,21596 Coronado Ave,Boca Raton,FL,33433,439000,2,2.0,Tiburon II PH II,1176,3598,1985,1,373,265,Active,,,https://www.redfin.com/FL/Boca-Raton/21596-Coronado-Ave-33433/home/42256098,Beaches MLS,RX-11021735,N,Y,26.3560453,-80.1507888
