SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,901 W Belmont St,Boise,ID,83706-3620,389900,1,1.0,South Boise,704,2178,1942,5,554,,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/ID/Boise/901-W-Belmont-St-83706/home/106755324,IMLS,98923725,N,Y,43.59954,-116.19274
MLS Listing,,Single Family Residential,2412 N Fry St,Boise,ID,83704,430000,3,2.0,Dollard Pauley,1486,8712,1959,18,289,,Active,,,https://www.redfin.com/ID/Boise/2412-N-Fry-St-83704/home/106657152,IMLS,98922448,N,Y,43.6273838,-116.2639286
MLS Listing,,Single Family Residential,305 S Curtis Rd,Boise,ID,83705-1018,369900,4,2.5,Boise Bench - 0400,2409,7361,1951,43,154,,Active,,,https://www.redfin.com/ID/Boise/305-S-Curtis-Rd-83705/home/106671187,IMLS,98918295,N,Y,43.6015438,-116.2539299
MLS Listing,,Single Family Residential,2335 S Rushmore Ct,Boise,ID,83709-6593,620000,4,3.5,Pepper Hills Su,2468,9016,2006,47,251,,Active,,,https://www.redfin.com/ID/Boise/2335-S-Rushmore-Ct-83709/home/106676820,IMLS,98919237,N,Y,43.5815533,-116.332859
MLS Listing,,Townhouse,9577 W Arnold Ln,Boise,ID,83714,450000,3,2.0,Serrano Ct Condos,1394,3354,2017,1,323,85,Active,,,https://www.redfin.com/ID/Boise/9577-W-Arnold-Ln-83714/home/109561234,IMLS,98923262,N,Y,43.6875123,-116.303193
MLS Listing,,Single Family Residential,111 S Cotterell Dr,Boise,ID,83709-0308,725000,3,3.0,Maple Grove Acres,3045,42688,1964,1,238,,Active,,,https://www.redfin.com/ID/Boise/111-S-Cotterell-Dr-83709/home/106794826,IMLS,98924055,N,Y,43.6036026,-116.3039826
MLS Listing,,Single Family Residential,2308 E Table Rock Dr,Boise,ID,83712,1595000,4,3.0,Northridge Sub,4351,32234,1979,1,367,,Active,,,https://www.redfin.com/ID/Boise/2308-E-Table-Rock-Rd-83712/home/106732414,IMLS,98924030,N,Y,43.6156274,-116.1615626
MLS Listing,,Single Family Residential,7714 Robson St,Boise,ID,83714,564900,4,2.5,Pebble Creek Boise,2626,6969,2015,1,215,32,Active,,,https://www.redfin.com/ID/Boise/7714-Robson-St-83714/home/106787769,IMLS,98924019,N,Y,43.6837072,-116.2892264
MLS Listing,,Single Family Residential,2122 Bent Bow,Boise,ID,83703,1175000,5,3.5,Eyrie Canyon,3417,13024,2015,1,344,54,Active,,,https://www.redfin.com/ID/Boise/2122-W-Bent-Bow-St-83703/home/106687983,IMLS,98924018,N,Y,43.6573499,-116.2144825
MLS Listing,,Mobile/Manufactured Home,5307 N Glen,Boise,ID,83714,97900,2,2.0,Glenbrier,1296,,1988,1,76,,Active,,,https://www.redfin.com/ID/Boise/5307-N-Glen-Ln-83714/home/192577543,IMLS,98924017,N,Y,43.6683259,-116.2747246
MLS Listing,,Single Family Residential,5251 N Quail Summit Way,Boise,ID,83703,1199000,4,2.5,Quail Ridge,3367,21344,1994,1,356,67,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/ID/Boise/5251-N-Quail-Summit-Way-83703/home/106745556,IMLS,98924015,N,Y,43.6677454,-116.2361116
MLS Listing,,Condo/Co-op,806 E Riverpark Ln,Boise,ID,83706,639900,2,2.0,Parr Condos,1578,2178,1996,1,406,214,Active,,,https://www.redfin.com/ID/Boise/806-E-Riverpark-Ln-83706/home/106684710,IMLS,98924012,N,Y,43.5911865,-116.1731173
MLS Listing,,Mobile/Manufactured Home,445 S Maple Grove Rd #18,Boise,ID,83709,52000,3,2.0,Maple Hill,840,,1972,1,62,,Active,,,https://www.redfin.com/ID/Boise/445-S-Maple-Grove-Rd-83709/unit-18/home/192576527,IMLS,98924010,N,Y,43.6011457,-116.2954117
MLS Listing,,Single Family Residential,1828 S Curtis Rd,Boise,ID,83705,475000,3,2.5,Country Meadows,1959,3397,2017,1,242,50,Active,,,https://www.redfin.com/ID/Boise/1828-S-Curtis-Rd-83705/home/106699622,IMLS,98924009,N,Y,43.5869632,-116.252551
MLS Listing,,Single Family Residential,804 S Colfax St,Boise,ID,83709-0249,648888,5,3.0,Brookhollow,3652,30927,1978,1,178,,Active,,,https://www.redfin.com/ID/Boise/804-S-Colfax-St-83709/home/106717541,IMLS,98924007,N,Y,43.598323,-116.3153135
MLS Listing,,Vacant Land,3537 E Interstellar Ct,Boise,ID,83712,750000,,,Boulder Point,,12632,,1,,146,Active,,,https://www.redfin.com/ID/Boise/3537-E-Interstellar-Ct-83712/home/186479037,IMLS,98923999,N,Y,43.584,-116.140086
MLS Listing,,Multi-Family (5+ Unit),4002 W Overland Rd,Boise,ID,83705,3495000,8,8.0,Whitney Homes,10830,,2022,1,323,,Active,,,https://www.redfin.com/ID/Boise/4002-W-Overland-Rd-83705/home/176756179,IMLS,98923997,N,Y,43.5901339,-116.2311709
MLS Listing,,Townhouse,8098 W San Fernando Ct,Boise,ID,83704,393000,3,2.5,Ashlee Park Twn,1385,3049,1998,1,284,125,Active,,,https://www.redfin.com/ID/Boise/8098-W-San-Fernando-Ct-83704/home/106665964,IMLS,98923998,N,Y,43.633215,-116.282649
MLS Listing,,Single Family Residential,611 E Reserve St,Boise,ID,83712,629900,3,2.0,Boise NE - 0200,1422,6534,1947,1,443,,Active,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/ID/Boise/611-E-Reserve-St-83712/home/106743999,IMLS,98923846,N,Y,43.61406,-116.186701
MLS Listing,,Single Family Residential,10945 W Irving Ct,Boise,ID,83713,370000,3,2.0,Amber Estates,1128,6098,1993,3,328,,Active,,,https://www.redfin.com/ID/Boise/10945-W-Irving-Ct-83713/home/106693518,IMLS,98919149,N,Y,43.6154315,-116.3187276
MLS Listing,,Single Family Residential,6700 N Amesbury,Boise,ID,83714,430000,3,2.0,Pheasant Hollow (Ada),1122,6969,1991,3,383,,Active,,,https://www.redfin.com/ID/Boise/6700-N-Amesbury-Way-83714/home/106717900,IMLS,98923971,N,Y,43.6791919,-116.2783089
MLS Listing,,Single Family Residential,9539 W Appling Dr Unit -,Boise,ID,83704-4104,375000,3,2.5,West Capital Ma,1656,9147,1981,3,226,,Active,,,https://www.redfin.com/ID/Boise/9539-W-Appling-Dr-83704/home/106713896,IMLS,98923968,N,Y,43.6387081,-116.3013178
MLS Listing,,Condo/Co-op,3850 E Haystack #207,Boise,ID,83716,549900,3,2.0,Harris Ranch Lofts,1255,1219,2022,3,438,381,Active,,,https://www.redfin.com/ID/Boise/3850-E-Haystack-St-83716/unit-207/home/181149434,IMLS,98923473,N,Y,43.5736673,-116.1358086
MLS Listing,,Mobile/Manufactured Home,303 Driftwood,Boise,ID,83713,199900,3,2.0,West Meadow Estates,1440,,1976,3,139,,Active,,,https://www.redfin.com/ID/Boise/303-Driftwood-Rd-83713/home/186349075,IMLS,98923943,N,Y,43.6124669,-116.3177776
MLS Listing,,Single Family Residential,10006 W Shelborne,Boise,ID,83709,450000,4,2.5,Devonshire,2009,4791,2006,3,224,29,Active,,,https://www.redfin.com/ID/Boise/10006-W-Shelborne-Dr-83709/home/106738389,IMLS,98923942,N,Y,43.5459099,-116.30701
MLS Listing,,Single Family Residential,1157 E Rubicon Dr,Boise,ID,83716,805000,4,3.0,Promontory Ridge,2720,5619,2017,3,296,75,Active,,,https://www.redfin.com/ID/Boise/1157-E-Rubicon-Dr-83716/home/106757688,IMLS,98923935,N,Y,43.5631516,-116.1691205
MLS Listing,,Single Family Residential,2530 N Joretta Dr,Boise,ID,83704-6132,595000,4,2.0,Willow Lane,1986,9626,1957,3,300,,Active,,,https://www.redfin.com/ID/Boise/2530-N-Joretta-Dr-83704/home/106705035,IMLS,98923932,N,Y,43.6285177,-116.2627072
MLS Listing,,Single Family Residential,403 E Reserve St,Boise,ID,83712,759900,3,1.5,Krall John Add,1459,5227,1893,4,521,,Active,,,https://www.redfin.com/ID/Boise/403-E-Reserve-St-83712/home/106669282,IMLS,98923929,N,Y,43.613275,-116.189734
MLS Listing,,Single Family Residential,2493 S Charlotte Ave,Boise,ID,83709,599900,5,3.0,Charleston Plac,2441,10018,1997,4,246,25,Active,,,https://www.redfin.com/ID/Boise/2493-S-Charlotte-Ave-83709/home/106699591,IMLS,98923905,N,Y,43.5804423,-116.3111961
MLS Listing,,Single Family Residential,4287 E Driftwood Dr,Meridian,ID,83642,525000,4,3.0,Westdale Park,1726,10890,1996,4,304,25,Active,,,https://www.redfin.com/ID/Meridian/4287-E-Driftwood-Dr-83642/home/106705525,IMLS,98923896,N,Y,43.6124923,-116.3409342
MLS Listing,,Single Family Residential,12347 W Medalist Dr,Boise,ID,83709-6500,759900,3,2.5,Medalist Sub,2469,12545,2001,4,308,31,Active,,,https://www.redfin.com/ID/Boise/12347-W-Medalist-Dr-83709/home/106715918,IMLS,98923879,N,Y,43.5449506,-116.3363575
MLS Listing,,Single Family Residential,5921 S Sedum Way,Boise,ID,83716,475000,3,2.0,Columbia Villag,1283,6882,1998,4,370,47,Active,,,https://www.redfin.com/ID/Boise/5921-S-Sedum-Way-83716/home/106654786,IMLS,98923878,N,Y,43.5484426,-116.1241194
MLS Listing,,Multi-Family (2-4 Unit),6524 W Lucky Ln,Boise,ID,83714,935000,8,8.0,Janell Place Sub,3952,,1997,4,237,300,Active,,,https://www.redfin.com/ID/Boise/6524-W-Lucky-Ln-83714/home/106665730,IMLS,98923875,N,Y,43.6642977,-116.2702456
MLS Listing,,Townhouse,2037 Jessie Pl,Boise,ID,83705,397900,2,2.0,Sandringham,1014,5662,1998,4,392,100,Active,September-18-2024 03:30 PM,September-18-2024 05:30 PM,https://www.redfin.com/ID/Boise/2037-S-Jessie-Pl-83705/home/106744040,IMLS,98923866,N,Y,43.5844879,-116.209987
MLS Listing,,Single Family Residential,220 N Owyhee St,Boise,ID,83706,685000,3,2.0,Marrazzo/Tony S,1674,9147,1963,4,409,,Active,,,https://www.redfin.com/ID/Boise/220-N-Owyhee-St-83706/home/106666901,IMLS,98923864,N,Y,43.6066156,-116.223252
MLS Listing,,Single Family Residential,6695 E Bear Ridge Ct,Boise,ID,83716,849900,5,4.5,Sunny Ridge,3445,12196,2014,4,247,114,Active,,,https://www.redfin.com/ID/Boise/6695-E-Bear-Ridge-Ct-83716/home/106777195,IMLS,98923859,N,Y,43.5286196,-116.1010448
MLS Listing,,Single Family Residential,1321 N Colorado,Boise,ID,83706,535000,4,3.0,Londoners First,1665,6098,1955,4,321,,Active,,,https://www.redfin.com/ID/Boise/1321-N-Colorado-83706/home/192543899,IMLS,98923858,N,Y,43.5921208,-116.1933302
MLS Listing,,Single Family Residential,12170 Chinden Rdg,Boise,ID,83714,1100000,5,3.5,Matthews Sub,3600,51879,1970,4,306,,Active,,,https://www.redfin.com/ID/Garden-City/12170-W-Chinden-Ridge-Dr-83714/home/106651425,IMLS,98923856,N,Y,43.6635266,-116.3343374
MLS Listing,,Townhouse,3273 N Patricia Pl,Boise,ID,83704,354900,3,2.0,Hennessey Court,1346,3092,2001,4,264,117,Active,,,https://www.redfin.com/ID/Boise/3273-N-Patricia-Pl-83704/home/106696465,IMLS,98923851,N,Y,43.6346139,-116.2987
MLS Listing,,Mobile/Manufactured Home,9390 W Ustick Rd Spc A,Boise,ID,83704,285000,3,2.0,Aspen Creek,1784,,1994,4,160,,Active,,,https://www.redfin.com/ID/Boise/9390-W-Ustick-Rd-83704/unit-A/home/143212131,IMLS,98923847,N,Y,43.6362884,-116.2980453
MLS Listing,,Single Family Residential,10015 Sagramore Ave,Boise,ID,83704,369900,3,2.0,Camelot Sub Ada,1480,9234,1973,4,250,,Active,,,https://www.redfin.com/ID/Boise/10015-W-Sagramore-Ave-83704/home/106746980,IMLS,98923548,N,Y,43.6311892,-116.3064893
MLS Listing,,Single Family Residential,3300 W Hill Rd,Boise,ID,83703,925000,3,3.5,Boise North - 0100,4805,40510,1956,4,193,,Active,,,https://www.redfin.com/ID/Boise/3300-W-Hill-Rd-83703/home/106673788,IMLS,98923839,N,Y,43.6538457,-116.2299935
MLS Listing,,Vacant Land,5808 E Millet Dr,Boise,ID,83716,475000,,,Triplett Ranch,,22651,,4,,135,Active,,,https://www.redfin.com/ID/Boise/5808-E-Millet-Dr-83716/home/106778511,IMLS,98923837,N,Y,43.5705699,-116.111273
MLS Listing,,Single Family Residential,1815 W Bannock,Boise,ID,83702-5109,335000,1,1.0,Mc Carthy Sub,736,3920,1918,4,455,,Active,,,https://www.redfin.com/ID/Boise/1815-W-Bannock-St-83702/home/106718818,IMLS,98923834,N,Y,43.6233053,-116.2146739
MLS Listing,,Vacant Land,5078 N Becker Ridge Ln,Boise,ID,83702,475000,,,Hackberry Ridge,,17946,,4,,50,Active,,,https://www.redfin.com/ID/Boise/5078-N-Becker-Ridge-Ln-83702/home/175430230,IMLS,98923833,N,Y,43.662897,-116.194242
MLS Listing,,Single Family Residential,5462 S Pepperidge,Boise,ID,83709,425000,3,2.0,Peppertree,1226,10890,2008,4,347,30,Active,,,https://www.redfin.com/ID/Boise/5462-S-Pepperridge-Way-83709/home/106700055,IMLS,98923830,N,Y,43.5533786,-116.3208424
MLS Listing,,Condo/Co-op,323 W Jefferson #309,Boise,ID,83702,899900,2,2.0,The Jefferson,1358,,2009,4,663,648,Active,,,https://www.redfin.com/ID/Boise/323-W-Jefferson-St-83702/unit-309/home/106692091,IMLS,98923824,N,Y,43.6151534,-116.1966599
MLS Listing,,Condo/Co-op,3757 S Gekeler Ln #195,Boise,ID,83706,320000,2,2.0,Tomlinson Condo,1048,,1989,4,305,286,Active,,,https://www.redfin.com/ID/Boise/3757-S-Gekeler-Ln-83706/unit-195/home/106801455,IMLS,98923821,N,Y,43.5687603,-116.1804515
MLS Listing,,Single Family Residential,764 E Ashbourne Ln,Eagle,ID,83616,1280000,4,3.5,Lakemoor,2827,4356,2022,4,453,142,Active,,,https://www.redfin.com/ID/Eagle/764-E-Ashbourne-Ln-83616/home/146076290,IMLS,98923537,N,Y,43.6642535,-116.3450244
MLS Listing,,Single Family Residential,2779 E Hancock Ct,Boise,ID,83706,459000,3,2.0,Willow Springs,1190,6098,1989,4,386,,Active,,,https://www.redfin.com/ID/Boise/2779-E-Hancock-Ct-83706/home/106669504,IMLS,98922597,N,Y,43.5657458,-116.1486633
MLS Listing,,Single Family Residential,3207 S Virginia Ave,Boise,ID,83705,589900,3,2.5,Y Meadows,2139,5009,2018,4,276,17,Active,,,https://www.redfin.com/ID/Boise/3207-S-Virginia-Ave-83705/home/144233609,IMLS,98923801,N,Y,43.5728982,-116.2026094
MLS Listing,,Single Family Residential,4217 N Marylebone Way,Boise,ID,83713,519000,4,2.5,Combes Park,2086,9583,1980,4,249,8,Active,,,https://www.redfin.com/ID/Boise/4217-N-Marylebone-Way-83713/home/106773694,IMLS,98923511,N,Y,43.6429213,-116.3325164
MLS Listing,,Single Family Residential,407 W Ofarrell St,Boise,ID,83702,1049990,3,2.0,Hyde Park Sub,2590,6098,1900,4,405,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/ID/Boise/407-W-Ofarrell-St-83702/home/106700440,IMLS,98923796,N,Y,43.62464,-116.1927501
MLS Listing,,Mobile/Manufactured Home,790 N Riviera Dr #50 Dr,Boise,ID,83703,129900,2,1.0,Stonegate,952,,1978,4,136,460,Active,,,https://www.redfin.com/ID/Boise/790-N-Riviera-Dr-83703/home/165429226,IMLS,98923792,N,Y,43.6318903,-116.2335393
MLS Listing,,Single Family Residential,3551 S Creekwood Way,Boise,ID,83709,449500,3,2.5,Creekwood Sub,1511,8712,2004,4,297,23,Active,,,https://www.redfin.com/ID/Boise/3551-S-Creekwood-Way-83709/home/106710988,IMLS,98923790,N,Y,43.5700651,-116.2784098
MLS Listing,,Vacant Land,TBD E Wildhorse Ln,Boise,ID,83712,749900,,,Wildhorse Ranch,,1755903,,4,,133,Active,,,https://www.redfin.com/ID/Boise/TBD-E-Wildhorse-Ln-83712/home/143183815,IMLS,98923788,N,Y,43.6156568,-116.1170738
MLS Listing,,Mobile/Manufactured Home,428 Mesquite St,Boise,ID,83713,115000,3,2.0,Rustic Acres,1152,,2017,5,100,,Active,,,https://www.redfin.com/ID/Boise/428-Mesquite-St-83713/home/192528266,IMLS,98923782,N,Y,43.6134746,-116.3202969
MLS Listing,,Mobile/Manufactured Home,181 N Liberty St,Boise,ID,83704,155000,3,2.0,Coach Royale Pa,1152,,2019,5,135,,Active,,,https://www.redfin.com/ID/Boise/181-N-Liberty-St-83704/home/145176608,IMLS,98923780,N,Y,43.6068318,-116.2630097
MLS Listing,,Single Family Residential,3881 E Timbersaw Dr,Boise,ID,83716,934900,5,4.0,Dallas Harris Estates,3006,7840,2013,5,311,98,Active,,,https://www.redfin.com/ID/Boise/3881-E-Timbersaw-Dr-83716/home/106649256,IMLS,98923772,N,Y,43.5777113,-116.1356198
