SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,13013 Marthas Choice Cir,Bowie,MD,20720,650000,5,3.5,RED WILLOW CLUSTER,3743,23324,1988,1,174,29,Pre On-Market,,,https://www.redfin.com/MD/Bowie/13013-Marthas-Choice-Cir-20720/home/10902264,BRIGHT MLS,MDPG2122042,N,Y,38.9741446,-76.7789023
MLS Listing,,Single Family Residential,16103 Eastlawn Ct,Bowie,MD,20716,650000,5,3.5,COVINGTON,2208,9137,2001,3,294,24,Pre On-Market,,,https://www.redfin.com/MD/Bowie/16103-Eastlawn-Ct-20716/home/10654118,BRIGHT MLS,MDPG2125794,N,Y,38.9372837,-76.7268881
MLS Listing,,Condo/Co-op,11220 Raging Brook Dr #218,Bowie,MD,20720,250000,1,1.0,GLENSFORD CONDO,1038,,1990,6,241,343,Active,,,https://www.redfin.com/MD/Bowie/11220-Raging-Brook-Dr-20720/unit-218/home/10813979,BRIGHT MLS,MDPG2122314,N,Y,38.9536203,-76.8111837
MLS Listing,,Townhouse,12902 Libertys Delight Dr Unit 85A,Bowie,MD,20720,498900,3,2.5,FAIRWOOD,2879,,2006,11,173,269,Active,,,https://www.redfin.com/MD/Bowie/12902-Libertys-Delight-Dr-20720/unit-85A/home/11755628,BRIGHT MLS,MDPG2124300,N,Y,38.9606053,-76.7827826
MLS Listing,,Single Family Residential,2306 Grove Hurst Ln,Bowie,MD,20721,749900,4,4.0,BALK HILL VILLAGE,4520,5988,2016,22,166,72,Active,,,https://www.redfin.com/MD/Bowie/2306-Grove-Hurst-Ln-20721/home/109737360,BRIGHT MLS,MDPG2119624,N,Y,38.9203079,-76.8421111
MLS Listing,,Single Family Residential,15808 Perkins Ln,Bowie,MD,20716,415000,3,2.0,POINTER RIDGE AT,1020,14261,1972,45,407,,Active,,,https://www.redfin.com/MD/Bowie/15808-Perkins-Ln-20716/home/10664504,BRIGHT MLS,MDPG2118854,N,Y,38.9123026,-76.7335049
MLS Listing,,Single Family Residential,803 Congressional Ct,Bowie,MD,20721,430000,3,2.5,NEWBRIDGE,1636,10627,1982,69,263,24,Active,,,https://www.redfin.com/MD/Bowie/803-Congressional-Ct-20721/home/10845754,BRIGHT MLS,MDPG2118414,N,Y,38.9024639,-76.8091742
MLS Listing,,Single Family Residential,3602 Violetwood Pl,Bowie,MD,20715,575000,6,2.5,VICTORIA HEIGHTS AT BELAIR,2736,12056,1968,1,210,,Active,,,https://www.redfin.com/MD/Bowie/3602-Violetwood-Pl-20715/home/10896432,BRIGHT MLS,MDPG2125904,N,Y,38.98476,-76.7359386
MLS Listing,,Townhouse,11224 Westport Dr,Bowie,MD,20720,360000,3,1.5,LOTTSFORD COMMUNITY-PLAT 14,1166,1500,1985,1,309,93,Pre On-Market,,,https://www.redfin.com/MD/Bowie/11224-Westport-Dr-20720/home/10837764,BRIGHT MLS,MDPG2126086,N,Y,38.9509269,-76.81081
MLS Listing,,Vacant Land,16309 Ayrwood Ln,Bowie,MD,20716,399999,,,Bowie,,20898,,1,,,Active,,,https://www.redfin.com/MD/Bowie/16309-Ayrwood-Ln-20716/home/174576996,BRIGHT MLS,MDPG2126074,N,Y,38.916828,-76.721548
