SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1009 Royal Tern Ct,Brentwood,CA,94513,1399000,5,4.0,STERLING PRESERVE,4217,11417,2005,13,332,,Active,,,https://www.redfin.com/CA/Brentwood/1009-Royal-Tern-Ct-94513/home/2108372,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41070787,N,Y,37.9590423,-121.715227
MLS Listing,,Single Family Residential,886 Larkspur Ct,Brentwood,CA,94513,899000,5,3.0,Garin Ranch,2939,5693,2004,26,306,,Active,,,https://www.redfin.com/CA/Brentwood/886-Larkspur-Ct-94513/home/23168605,San Francisco MLS,424056382,N,Y,37.9390239,-121.6884306
MLS Listing,,Single Family Residential,2101 Carrara St,Brentwood,CA,94513,699000,3,2.5,Not Listed,1861,3445,2006,28,376,,Active,,,https://www.redfin.com/CA/Brentwood/2101-Carrara-St-94513/home/12122617,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41069194,N,Y,37.9293178,-121.7355415
MLS Listing,,Townhouse,394 Gravenstein,Brentwood,CA,94513,510000,2,2.0,SUMMERSET 1,994,2630,1994,50,513,133,Active,,,https://www.redfin.com/CA/Brentwood/394-Gravenstein-Ter-94513/home/542951,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41068005,N,Y,37.9308687,-121.7263913
MLS Listing,,Single Family Residential,1714 St Emilion Ln,Brentwood,CA,94513,1098000,2,2.5,TRILOGY VINEYARDS,2101,8125,2007,54,523,416,Active,,,https://www.redfin.com/CA/Brentwood/1714-Saint-Emilion-Ln-94513/home/17168084,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41067801,N,Y,37.9045903,-121.7283925
MLS Listing,,Townhouse,851 Villa Ter,Brentwood,CA,94513,467000,2,1.5,VILLA TERRACE,948,1435,1985,67,493,193,Active,,,https://www.redfin.com/CA/Brentwood/851-Villa-Ter-94513/home/886873,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41066265,N,Y,37.9338787,-121.7008468
MLS Listing,,Single Family Residential,68 Guise Way,Brentwood,CA,94513,695000,4,3.0,Brentwood,1654,5097,2000,1,420,,Active,,,https://www.redfin.com/CA/Brentwood/68-Guise-Way-94513/home/1206837,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073323,N,Y,37.9238101,-121.6799762
MLS Listing,,Single Family Residential,926 Yardley Pl,Brentwood,CA,94513,774888,3,2.5,BRENTWOOD,1704,6760,1999,1,455,,Active,,,https://www.redfin.com/CA/Brentwood/926-Yardley-Pl-94513/home/1606703,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41072955,N,Y,37.9454365,-121.7123004
MLS Listing,,Single Family Residential,639 Ray Ct,Brentwood,CA,94513,899900,4,3.0,BRENTWOOD,2514,7150,2015,1,358,,Active,,,https://www.redfin.com/CA/Brentwood/639-Ray-Ct-94513/home/23125017,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073303,N,Y,37.9429519,-121.6886305
MLS Listing,,Single Family Residential,1320 Berry Ln,Brentwood,CA,94513,525000,3,1.0,Brentwood,1070,5000,1957,1,491,,Active,,,https://www.redfin.com/CA/Brentwood/1320-Berry-Ln-94513/home/779486,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073275,N,Y,37.9402281,-121.6971669
MLS Listing,,Single Family Residential,210 Chaparral Dr,Brentwood,CA,94513,724900,3,2.0,DEER RIDGE,1400,4500,2003,3,518,,Active,,,https://www.redfin.com/CA/Brentwood/210-Chaparral-Dr-94513/home/1818039,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073193,N,Y,37.9219078,-121.7406621
MLS Listing,,Single Family Residential,1728 Latour Ave,Brentwood,CA,94513,1265950,2,2.5,TRILOGY VINEYARDS,2651,8306,2007,4,478,416,Active,,,https://www.redfin.com/CA/Brentwood/1728-Latour-Ave-94513/home/17167944,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073023,N,Y,37.906485,-121.73157
