SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,432 Callodine Ave,Amherst,NY,14226,199900,2,1.0,Amherst,912,4480,1960,1,219,,Active,,,https://www.redfin.com/NY/Buffalo/432-Callodine-Ave-14226/home/79308189,WNYREIS,B1565897,N,Y,42.9711219,-78.8151426
MLS Listing,,Single Family Residential,4549 Union Rd,Cheektowaga,NY,14225,249000,4,2.0,Holland Land Company's Su,1698,6098,1945,1,147,,Active,,,https://www.redfin.com/NY/Buffalo/4549-Union-Rd-14225/home/79344378,WNYREIS,B1565807,N,Y,42.9377893,-78.7538478
MLS Listing,,Single Family Residential,58 Edna Pl,Buffalo,NY,14209,169000,5,2.0,Buffalo,3221,4422,1910,1,52,,Active,,,https://www.redfin.com/NY/Buffalo/58-Edna-Pl-14209/home/91488302,WNYREIS,B1565573,N,Y,42.9050539,-78.8634774
MLS Listing,,Multi-Family (2-4 Unit),1882 Union Rd,West Seneca,NY,14224,199900,5,2.0,West Seneca,2157,5200,1940,1,93,,Active,,,https://www.redfin.com/NY/West-Seneca/1882-Union-Rd-14224/home/73038227,WNYREIS,B1565078,N,Y,42.8513678,-78.7548485
MLS Listing,,Multi-Family (2-4 Unit),448 14th St,Buffalo,NY,14213,179900,6,2.0,Buffalo,3018,5960,1900,1,60,,Active,,,https://www.redfin.com/NY/Buffalo/448-14th-St-14213/home/92529809,WNYREIS,B1566029,N,Y,42.9118807,-78.8923342
MLS Listing,,Single Family Residential,28 Thornwood Dr,Cheektowaga,NY,14227,320000,3,2.5,Buffalo Crk Reservation,1718,7405,1983,1,186,,Active,September-19-2024 05:30 PM,September-19-2024 07:30 PM,https://www.redfin.com/NY/Buffalo/28-Thornwood-Dr-14227/home/92559294,WNYREIS,B1565642,N,Y,42.874192,-78.7241057
MLS Listing,,Single Family Residential,40 Greenspring Ct,West Seneca,NY,14224,639050,4,2.5,Greenspring Reserve,2183,,2024,1,293,,Active,,,https://www.redfin.com/NY/Buffalo/40-Greenspring-Ct-14224/home/184700676,WNYREIS,B1565989,N,Y,42.813147,-78.733678
MLS Listing,,Single Family Residential,206 Macarthur Dr,Amherst,NY,14221,399900,4,2.5,Fairfax Sub Pt 12,2149,10018,1967,1,186,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/NY/Buffalo/206-MacArthur-Dr-14221/home/79305641,WNYREIS,B1565830,N,Y,42.9835764,-78.7292921
MLS Listing,,Single Family Residential,88 Midland Dr,Cheektowaga,NY,14225,179999,3,1.0,Cheektowaga,1147,4792,1948,1,157,,Active,,,https://www.redfin.com/NY/Buffalo/88-Midland-Dr-14225/home/79268165,WNYREIS,B1565613,N,Y,42.9197127,-78.7810141
MLS Listing,,Single Family Residential,642 Emerson Dr,Amherst,NY,14226,199900,3,1.0,Amherst,1092,6892,1939,1,183,,Active,September-22-2024 11:00 AM,September-22-2024 01:00 PM,https://www.redfin.com/NY/Buffalo/642-Emerson-Dr-14226/home/92547851,WNYREIS,B1565900,N,Y,42.9877703,-78.8096639
