SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,131 Main St #607,Burlington,VT,05401,274900,1,1.0,Burlington,580,,1911,3,474,610,Active,,,https://www.redfin.com/VT/Burlington/131-Main-St-05401/unit-607/home/91184052,PrimeMLS,5014368,N,Y,44.4755088,-73.2137142
MLS Listing,,Single Family Residential,254 Pearl St,Burlington,VT,05401,499000,2,2.0,Burlington,1780,6098,1920,4,280,,Active,,,https://www.redfin.com/VT/Burlington/254-Pearl-St-05401/home/91182160,PrimeMLS,5014292,N,Y,44.4810589,-73.2084703
MLS Listing,,Single Family Residential,191 Staniford Rd,Burlington,VT,05401,489000,3,2.0,Burlington,1584,9147,1955,4,309,,Active,,,https://www.redfin.com/VT/Burlington/191-Staniford-Rd-05408/home/91181317,PrimeMLS,5014226,N,Y,44.5089189,-73.25813
MLS Listing,,Single Family Residential,1381 North Ave,Burlington,VT,05408,435000,3,1.0,Burlington,1276,10890,1940,4,341,,Active,,,https://www.redfin.com/VT/Burlington/1381-North-Ave-05408/home/91181569,PrimeMLS,5014181,N,Y,44.5118824,-73.251966
MLS Listing,,Multi-Family (2-4 Unit),256-258 Pearl St,Burlington,VT,05401,899000,4,3.0,Burlington,4276,7405,1899,5,210,,Active,,,https://www.redfin.com/VT/Burlington/256-258-Pearl-St-05401/home/190725193,PrimeMLS,5014073,N,Y,44.480808,-73.208486
MLS Listing,,Multi-Family (2-4 Unit),122 124 Intervale Ave,Burlington,VT,05401,949900,7,4.0,Burlington,3088,7840,1899,5,308,,Active,,,https://www.redfin.com/VT/Burlington/124-Intervale-Ave-05401/home/192523062,PrimeMLS,5014007,N,Y,44.4876599,-73.2111387
MLS Listing,,Single Family Residential,45 Venus Ave,Burlington,VT,05408,491900,3,2.0,Burlington,1800,6969,1967,5,273,,Active,,,https://www.redfin.com/VT/Burlington/45-Venus-Ave-05408/home/91174872,PrimeMLS,5013988,N,Y,44.5202364,-73.2539117
MLS Listing,,Condo/Co-op,141 Ledgewood Cir #101,Burlington,VT,05401,345000,2,1.0,Burlington,1065,,1978,5,324,235,Active,,,https://www.redfin.com/VT/Burlington/141-Ledgewood-Cir-05401/unit-101/home/91184851,PrimeMLS,5013978,N,Y,44.4505991,-73.2232498
MLS Listing,,Single Family Residential,55 Case Pkwy,Burlington,VT,05401,685000,3,2.0,Burlington,2291,6969,1948,5,299,,Active,,,https://www.redfin.com/VT/Burlington/55-Case-Pkwy-05401/home/91180415,PrimeMLS,5013921,N,Y,44.4797484,-73.1900095
MLS Listing,,Condo/Co-op,40 College St Unit 405C,Burlington,VT,05401,565000,1,1.0,Burlington,898,,1997,6,629,629,Active,,,https://www.redfin.com/VT/Burlington/40-College-St-05401/unit-405C/home/91181497,PrimeMLS,5013782,N,Y,44.4773745,-73.2177507
