SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,522 SE 4th St,Cape Coral,FL,33990,515000,3,2.0,CAPE CORAL,1707,10018,1998,11,302,,Active,,,https://www.redfin.com/FL/Cape-Coral/522-SE-4th-St-33990/home/61849946,FORTMLS,224072892,N,Y,26.6447148,-81.9634067
MLS Listing,,Single Family Residential,2318 SE 15th Ter,Cape Coral,FL,33990,610000,3,2.0,CAPE CORAL,1545,10018,1998,12,395,,Active,,,https://www.redfin.com/FL/Cape-Coral/2318-SE-15th-Ter-33990/home/61819925,FORTMLS,224072359,N,Y,26.6243384,-81.9249481
MLS Listing,,Single Family Residential,1718 SW 9th Pl,Cape Coral,FL,33991,345000,3,2.0,CAPE CORAL,1489,10628,2003,27,232,,Active,,,https://www.redfin.com/FL/Cape-Coral/1718-SW-9th-Pl-33991/home/61927608,FORTMLS,224068383,N,Y,26.6199899,-81.9951735
MLS Listing,,Single Family Residential,2529 SW 38th Ter,Cape Coral,FL,33914,549000,4,2.0,CAPE CORAL,2255,10018,2003,40,243,,Active,,,https://www.redfin.com/FL/Cape-Coral/2529-SW-38th-Ter-33914/home/67742684,FORTMLS,224065398,N,Y,26.5812872,-82.026071
MLS Listing,,Vacant Land,2310 SW 28th St,Cape Coral,FL,33914,225000,,,CAPE CORAL,,10018,,48,,,Active,,,https://www.redfin.com/FL/Cape-Coral/2310-SW-28th-St-33914/home/67921315,FORTMLS,224062915,N,Y,26.600483,-82.0209069
MLS Listing,,Single Family Residential,1738 SW 51st St,Cape Coral,FL,33914,465000,4,2.0,CAPE CORAL,2147,14984,1993,69,217,,Active,,,https://www.redfin.com/FL/Cape-Coral/1738-SW-51st-St-33914/home/67813969,FORTMLS,224057512,N,Y,26.5564951,-82.0112026
MLS Listing,,Single Family Residential,4905 SW 27th Ave,Cape Coral,FL,33914,575000,3,2.0,CAPE CORAL,1775,10018,2018,77,324,,Active,,,https://www.redfin.com/FL/Cape-Coral/4905-SW-27th-Ave-33914/home/62048503,FORTMLS,224055544,N,Y,26.5597925,-82.0292902
MLS Listing,,Single Family Residential,5540 Burnham Ct,North Fort Myers,FL,33903,415000,3,2.0,LOCHMOOR,2022,13983,1979,83,205,,Active,,,https://www.redfin.com/FL/North-Fort-Myers/5540-Burnham-Ct-33903/home/67811401,Stellar MLS as Distributed by MLS Grid,T3537677,N,Y,26.6389434,-81.922058
MLS Listing,,Condo/Co-op,108 SE 47th St #104,Cape Coral,FL,33904,279000,2,2.0,CRESCENT BAY CONDO,1252,2613,1981,92,223,575,Active,,,https://www.redfin.com/FL/Cape-Coral/108-SE-47th-St-33904/unit-104/home/67787967,FORTMLS,224051661,N,Y,26.5644216,-81.9731348
MLS Listing,,Single Family Residential,1114 SW Trafalgar Pkwy,Cape Coral,FL,33991,405000,4,2.0,PALMETTO PINES COUNTRY CLUB,1853,10798,2018,109,219,,Active,,,https://www.redfin.com/FL/Cape-Coral/1114-SW-Trafalgar-Pkwy-33991/home/62054609,FORTMLS,224047080,N,Y,26.6223837,-81.9988358
