SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,61 Congress St,Charleston,SC,29403,995000,3,2.5,North Central,2016,3049,1920,60,494,,Active,,,https://www.redfin.com/SC/Charleston/61-Congress-St-29403/home/68552765,Charleston Trident MLS,24018451,N,Y,32.7996329,-79.9462866
MLS Listing,,Townhouse,612 Mclernon Trce,Johns Island,SC,29455,419900,3,2.5,Marshview Commons,1984,2178,2019,130,212,342,Active,,,https://www.redfin.com/SC/Johns-Island/612-McLernon-Trce-29455/home/162290742,Charleston Trident MLS,24011990,N,Y,32.79959,-80.111826
MLS Listing,,Single Family Residential,3680 Edings Ct,Johns Island,SC,29455,1659000,5,5.5,Bohicket Oaks,4350,36590,2008,1,381,167,Active,,,https://www.redfin.com/SC/Johns-Island/3680-Edings-Ct-29455/home/68932490,Charleston Trident MLS,24023932,N,Y,32.7112071,-80.0722197
MLS Listing,,Townhouse,252 Howle Ave Unit C3,Charleston,SC,29412,330000,2,1.5,Pecan Grove,1066,,1983,1,310,350,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/SC/Charleston/252-Howle-Ave-29412/unit-C3/home/68625851,Charleston Trident MLS,24023927,N,Y,32.7598762,-79.9841963
MLS Listing,,Condo/Co-op,2334 Treescape Dr #2004,Charleston,SC,29414,237500,2,2.0,Ashleytowne Village,1070,,1984,1,222,335,Active,,,https://www.redfin.com/SC/Charleston/2334-Treescape-Dr-29414/unit-2004/home/108165114,Charleston Trident MLS,24023926,N,Y,32.8443693,-80.0521657
MLS Listing,,Single Family Residential,1787 Hay Rd,Johns Island,SC,29455,575000,4,2.0,Dunmovin,1828,14810,1963,1,315,,Active,,,https://www.redfin.com/SC/Johns-Island/1787-Hay-Rd-29455/home/108152580,Charleston Trident MLS,24023913,N,Y,32.7225247,-80.0797052
MLS Listing,,Single Family Residential,1134 Mim Ave,Charleston,SC,29407,810000,3,2.0,Northbridge Terrace,1920,16552,1974,1,422,,Active,,,https://www.redfin.com/SC/Charleston/1134-Mim-Ave-29407/home/87084102,Charleston Trident MLS,24023909,N,Y,32.8207482,-79.9891511
MLS Listing,,Single Family Residential,1617 Wigeon Ln,Charleston,SC,29412,600000,3,1.0,Riverfront,1000,6969,2002,1,600,,Active,,,https://www.redfin.com/SC/Charleston/1617-Wigeon-Ln-29412/home/87096233,Charleston Trident MLS,24023876,N,Y,32.6888286,-79.9555943
MLS Listing,,Vacant Land,791 Hughes Rd,Johns Island,SC,29455,675000,,,Johns Island,,60983,,1,,,Active,,,https://www.redfin.com/SC/Johns-Island/791-Hughes-Rd-29455/home/87080981,Charleston Trident MLS,24023875,N,Y,32.808007,-80.133954
MLS Listing,,Condo/Co-op,250 Little Oak Dr #250,Folly Beach,SC,29439,793000,3,3.0,Little Oak Island,1258,,1983,1,630,1359,Active,,,https://www.redfin.com/SC/Folly-Beach/250-Little-Oak-Dr-29439/unit-250/home/68926524,Charleston Trident MLS,24023874,N,Y,32.66928,-79.9391
MLS Listing,,Single Family Residential,46 Fenwick Dr,Charleston,SC,29407,985000,3,2.0,Windermere,2078,13068,1958,1,474,,Active,September-20-2024 11:00 AM,September-20-2024 02:00 PM,https://www.redfin.com/SC/Charleston/46-Fenwick-Dr-29407/home/68622908,Charleston Trident MLS,24023833,N,Y,32.7768824,-79.9720851
MLS Listing,,Single Family Residential,1928 Mossdale Dr,Johns Island,SC,29455,710000,4,3.5,Oakfield,2816,4791,2019,1,252,55,Active,,,https://www.redfin.com/SC/Johns-Island/1928-Mossdale-Dr-29455/home/145328392,Charleston Trident MLS,24023832,N,Y,32.7295241,-80.0423458
MLS Listing,,Condo/Co-op,2311 Tall Sail Dr #1108,Charleston,SC,29414,325000,2,2.0,Seagate,1152,,1986,1,282,428,Active,September-19-2024 10:00 AM,September-19-2024 12:00 PM,https://www.redfin.com/SC/Charleston/2311-Tall-Sail-Dr-29414/unit-1108/home/169087040,Charleston Trident MLS,24023831,N,Y,32.845142,-80.0505529
MLS Listing,,Condo/Co-op,1025 Riverland Woods Pl #1103,Charleston,SC,29412,419000,2,2.0,The Retreat at Riverland,1290,,2005,1,325,,Active,,,https://www.redfin.com/SC/Charleston/1025-Riverland-Woods-Pl-29412/unit-1103/home/108173546,Charleston Trident MLS,24023819,N,Y,32.716788,-79.973081
MLS Listing,,Single Family Residential,2000 Indian Mound Trl,Charleston,SC,29407,1325000,5,4.5,Ashley Harbor,4110,14810,1992,1,322,133,Active,,,https://www.redfin.com/SC/Charleston/2000-Indian-Mound-Trl-29407/home/68570177,Charleston Trident MLS,24023818,N,Y,32.824294,-80.0220744
MLS Listing,,Single Family Residential,2376 Rushland Landing Rd,Johns Island,SC,29455,1950000,5,3.5,Rushland Plantation,4380,22651,2015,1,445,145,Active,,,https://www.redfin.com/SC/Johns-Island/2376-Rushland-Landing-Rd-29455/home/68969782,Charleston Trident MLS,24023815,N,Y,32.7686714,-80.0452217
MLS Listing,,Single Family Residential,1841 Gammon St,Charleston,SC,29414,640000,5,3.0,Carolina Bay,2539,5662,2016,1,252,53,Active,,,https://www.redfin.com/SC/Charleston/1841-Gammon-St-29414/home/104213071,Charleston Trident MLS,24023783,N,Y,32.8071785,-80.0722731
MLS Listing,,Townhouse,421 Doane Way,Wando,SC,29492,299999,2,1.5,Beresford Commons,1008,1306,2006,1,298,448,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/SC/Charleston/421-Doane-Way-29492/home/68701282,Charleston Trident MLS,24023052,N,Y,32.8951134,-79.913131
MLS Listing,,Condo/Co-op,45 Sycamore Ave #1123,Charleston,SC,29407,339000,2,1.0,Concord West of The Ashley,893,,2000,2,380,345,Active,,,https://www.redfin.com/SC/Charleston/45-Sycamore-Ave-29407/unit-1123/home/68887294,Charleston Trident MLS,24023809,N,Y,32.7872706,-79.988798
MLS Listing,,Townhouse,4147 Rigsby Ln,Charleston,SC,29414,425000,3,2.5,Ashley Park,1700,4356,2018,2,250,67,Active,,,https://www.redfin.com/SC/Charleston/4147-Rigsby-Ln-29414/home/145328469,Charleston Trident MLS,24023791,N,Y,32.813863,-80.074637
MLS Listing,,Single Family Residential,2646 Alamanda Dr,Johns Island,SC,29455,579900,5,3.0,The Cottages at Johns Island,2440,5662,2020,2,238,,Active,,,https://www.redfin.com/SC/Johns-Island/2646-Alamanda-DR-29455/home/166646955,Charleston Trident MLS,24023748,N,Y,32.74778,-80.04338
