SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,5212 Berkeley View Cir,Charlotte,NC,28277,525000,3,2.5,Berkeley on Providence,2596,3310,2003,4,202,350,Active,,,https://www.redfin.com/NC/Charlotte/5212-Berkeley-View-Cir-28277/home/44117275,CANOPYMLS as Distributed by MLS Grid,4181590,N,Y,35.0697692,-80.7735069
MLS Listing,,Single Family Residential,4404 Brownes Ferry Rd,Charlotte,NC,28269,445000,4,2.5,Cheshunt,2468,12196,1993,8,180,53,Active,,,https://www.redfin.com/NC/Charlotte/4404-Brownes-Ferry-Rd-28269/home/43880597,CANOPYMLS as Distributed by MLS Grid,4177403,N,Y,35.3398186,-80.8020156
MLS Listing,,Single Family Residential,6610 Nevin Glen Dr,Charlotte,NC,28269,325000,3,2.5,Nevin Glen,1608,7840,2005,11,202,,Active,,,https://www.redfin.com/NC/Charlotte/6610-Nevin-Glen-Dr-28269/home/44132608,CANOPYMLS as Distributed by MLS Grid,4180103,N,Y,35.2985768,-80.8361435
MLS Listing,,Single Family Residential,2912 Dunaire Dr,Charlotte,NC,28205,450000,4,2.5,Darby Acres,1940,10890,1964,11,232,,Active,,,https://www.redfin.com/NC/Charlotte/2912-Dunaire-Dr-28205/home/44142927,CANOPYMLS as Distributed by MLS Grid,4168155,N,Y,35.217538,-80.7689458
MLS Listing,,Townhouse,14411 Adair Manor Ct,Charlotte,NC,28277,425000,3,2.5,Adair at Ballantyne,1902,1742,1999,13,223,299,Active,,,https://www.redfin.com/NC/Charlotte/14411-Adair-Manor-Ct-28277/home/44080919,CANOPYMLS as Distributed by MLS Grid,4178161,N,Y,35.051254,-80.865535
MLS Listing,,Townhouse,9209 Colin Crossing Ct,Charlotte,NC,28277,675000,3,3.0,Greenway Village,2645,20037,2018,18,255,205,Active,,,https://www.redfin.com/NC/Charlotte/9209-Colin-Crossing-Ct-28277/home/161801689,CANOPYMLS as Distributed by MLS Grid,4177874,N,Y,35.068025,-80.836761
MLS Listing,,Single Family Residential,15711 Southern Garden Ln,Charlotte,NC,28278,435000,4,2.5,River Oaks,1980,12501,2001,24,220,17,Active,,,https://www.redfin.com/NC/Charlotte/15711-Southern-Garden-Ln-28278/home/44151602,CANOPYMLS as Distributed by MLS Grid,4174360,N,Y,35.1051582,-81.0052783
MLS Listing,,Single Family Residential,7029 Gardner Pond Ct,Charlotte,NC,28270,999000,4,2.5,Gardner Lane,3240,8886,2006,25,308,,Active,,,https://www.redfin.com/NC/Charlotte/7029-Gardner-Pond-Ct-28270/home/44129885,CANOPYMLS as Distributed by MLS Grid,4174201,N,Y,35.1195763,-80.7734718
MLS Listing,,Single Family Residential,11716 Withers Mill Dr,Charlotte,NC,28278,385000,3,2.0,Withers Grove,1603,9016,1998,25,240,24,Active,,,https://www.redfin.com/NC/Charlotte/11716-Withers-Mill-Dr-28278/home/44148150,CANOPYMLS as Distributed by MLS Grid,4174372,N,Y,35.131253,-80.9977554
MLS Listing,,Townhouse,9341 Lenox Pointe Dr,Charlotte,NC,28273,389500,3,3.5,Ayrsley Ryan Townhomes,2301,1873,2010,33,169,255,Active,,,https://www.redfin.com/NC/Charlotte/9341-Lenox-Pointe-Dr-28273/home/44171040,CANOPYMLS as Distributed by MLS Grid,4170120,N,Y,35.1300914,-80.9363223
