SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,794 E Martin Luther King Blvd,Chattanooga,TN,37403,395000,3,3.0,Chattanooga,1768,2613,2013,5,223,,Active,,,https://www.redfin.com/TN/Chattanooga/794-E-Martin-Luther-King-Blvd-37403/home/120765876,GCAR,1399145,N,Y,35.0412383,-85.2965265
MLS Listing,,Single Family Residential,4603 Tarpon Trl,Chattanooga,TN,37416,349900,3,2.5,Chattanooga,1779,39639,1965,6,197,,Active,,,https://www.redfin.com/TN/Chattanooga/4603-Tarpon-Trl-37416/home/120939212,GCAR,1399075,N,Y,35.0923431,-85.2000297
MLS Listing,,Single Family Residential,9334 Charbar Cir,Chattanooga,TN,37421,499000,3,2.5,Chattanooga,2200,16552,2024,10,227,,Active,,,https://www.redfin.com/TN/Chattanooga/9334-Charbar-Cir-37421/home/120608297,GCAR,1398887,N,Y,35.0026075,-85.1063765
MLS Listing,,Condo/Co-op,1000 E Martin Luther King Blvd #204,Chattanooga,TN,37403,289900,1,1.0,Chattanooga,868,,2007,66,334,191,Active,,,https://www.redfin.com/TN/Chattanooga/1000-E-Martin-Luther-King-Blvd-37403/unit-204/home/190965106,GCAR,1395606,N,Y,35.0399895,-85.2935762
MLS Listing,,Single Family Residential,518 Divyan Ct,Chattanooga,TN,37405,1050000,5,4.5,Chattanooga,3674,7840,2024,1,286,,Active,,,https://www.redfin.com/TN/Chattanooga/518-Divyan-Ct-37405/home/192585402,GCAR,1399177,N,Y,35.073611,-85.306698
MLS Listing,,Single Family Residential,1131 Stringers Ridge Rd Unit 8k,Chattanooga,TN,37405,239900,1,1.0,The Pinnacle,1075,395960,1974,1,223,423,Active,,,https://www.redfin.com/TN/Chattanooga/1131-Stringers-Ridge-Rd-37405/unit-8K/home/121898373,REALTRACS as Distributed by MLS Grid,2704435,N,Y,35.0737897,-85.3194173
MLS Listing,,Vacant Land,4095 Manor Rd,Chattanooga,TN,37411,29900,,,Mountain City Investment Co,,10018,,1,,,Active,,,https://www.redfin.com/TN/Chattanooga/4095-Manor-Rd-37411/home/178029943,REALTRACS as Distributed by MLS Grid,2704438,N,Y,35.018885,-85.236741
MLS Listing,,Single Family Residential,3626 Mountain View Dr,Chattanooga,TN,37406,269900,3,2.0,Battery Hgts,1196,16117,2023,1,226,,Active,,,https://www.redfin.com/TN/Chattanooga/3626-Mountain-View-Dr-37406/home/191720124,REALTRACS as Distributed by MLS Grid,2704369,N,Y,35.076097,-85.2367432
MLS Listing,,Single Family Residential,3612 Parkway Dr,Chattanooga,TN,37406,264900,3,2.0,Battery Hgts,1196,10018,2023,1,221,,Active,,,https://www.redfin.com/TN/Chattanooga/3612-Parkway-Dr-37406/home/163132322,REALTRACS as Distributed by MLS Grid,2704348,N,Y,35.0771749,-85.235933
MLS Listing,,Single Family Residential,3614 Parkway Dr,Chattanooga,TN,37406,264900,3,2.0,Battery Hgts,1196,11325,2023,1,221,,Active,,,https://www.redfin.com/TN/Chattanooga/3614-Parkway-Dr-37406/home/163107178,REALTRACS as Distributed by MLS Grid,2704337,N,Y,35.07738,-85.235758
MLS Listing,,Single Family Residential,4614 Amethyst Rd,Chattanooga,TN,37419,1499000,4,4.5,Black Creek,4314,21780,2024,4,347,110,Active,,,https://www.redfin.com/TN/Chattanooga/4614-Amethyst-Rd-37419/home/182828073,REALTRACS as Distributed by MLS Grid,2703875,N,Y,35.006109,-85.416262
MLS Listing,,Single Family Residential,5034 Amethyst Rd,Chattanooga,TN,37419,999900,3,3.5,Black Creek,2905,11325,2024,4,344,110,Active,,,https://www.redfin.com/TN/Chattanooga/5034-Amethyst-Rd-37419/home/182828098,REALTRACS as Distributed by MLS Grid,2703827,N,Y,35.001928,-85.420717
MLS Listing,,Single Family Residential,4892 Amethyst Rd,Chattanooga,TN,37419,949900,4,3.5,Black Creek,2506,12196,2024,4,379,110,Active,,,https://www.redfin.com/TN/Chattanooga/4892-Amethyst-Rd-37419/home/182828092,REALTRACS as Distributed by MLS Grid,2703823,N,Y,35.003247,-85.419376
MLS Listing,,Single Family Residential,4976 Amethyst Rd,Chattanooga,TN,37419,949900,3,3.5,Black Creek,2462,10890,2024,4,386,110,Active,,,https://www.redfin.com/TN/Chattanooga/4976-Amethyst-Rd-37419/home/182828096,REALTRACS as Distributed by MLS Grid,2703814,N,Y,35.002355,-85.42024
MLS Listing,,Single Family Residential,908 Curleque Dr,Chattanooga,TN,37411,275000,3,2.0,Arcadia Hgts,2064,22651,1962,4,133,,Active,,,https://www.redfin.com/TN/Chattanooga/908-Curleque-Dr-37411/home/121624383,REALTRACS as Distributed by MLS Grid,2703781,N,Y,35.0399681,-85.235367
MLS Listing,,Single Family Residential,4401 Tennessee Ave,Chattanooga,TN,37409,1400000,5,4.0,Chattanooga,4100,9583,1914,4,341,,Active,,,https://www.redfin.com/TN/Chattanooga/4401-Tennessee-Ave-37409/home/120592723,REALTRACS as Distributed by MLS Grid,2703701,N,Y,35.0016085,-85.3278168
MLS Listing,,Single Family Residential,606 Orr St,Chattanooga,TN,37405,825000,3,3.0,Chattanooga,2341,6534,1920,4,352,,Active,,,https://www.redfin.com/TN/Chattanooga/606-Orr-St-37405/home/120502616,REALTRACS as Distributed by MLS Grid,2703697,N,Y,35.0668195,-85.2953928
MLS Listing,,Single Family Residential,989 Charlotte Ave,Chattanooga,TN,37421,348000,3,2.0,--NONE--,1728,17859,1960,4,201,,Active,,,https://www.redfin.com/TN/Chattanooga/989-Charlotte-Ave-37421/home/120688813,RCAOR,20244059,N,Y,35.0018615,-85.155941
