SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6240 Bona Vista Pl,Cincinnati,OH,45213,240000,2,1.5,Pleasant Ridge,1075,4617,1924,4,223,,Active,,,https://www.redfin.com/OH/Cincinnati/6240-Bona-Vista-Pl-45213/home/100964890,Cincy MLS,1817997,N,Y,39.1869202,-84.4318768
MLS Listing,,Single Family Residential,5745 Sovereign Dr,Sharonville,OH,45241,449500,4,3.5,Sharonville,2655,12327,1985,5,169,37,Active,,,https://www.redfin.com/OH/Cincinnati/5745-Sovereign-Dr-45241/home/78758049,Cincy MLS,1817784,N,Y,39.2923035,-84.3754178
MLS Listing,,Single Family Residential,6412 Coleridge Ave,Cincinnati,OH,45213,239900,2,1.0,Kennedy Hts.,1400,,1941,11,171,,Active,,,https://www.redfin.com/OH/Cincinnati/6412-Coleridge-Ave-45213/home/100966211,Cincy MLS,1816908,N,Y,39.1863715,-84.4102085
MLS Listing,,Multi-Family (2-4 Unit),988 Cleveland Ave,Cincinnati,OH,45229,279000,6,3.0,Avondale,2797,8712,1926,13,100,,Active,,,https://www.redfin.com/OH/Cincinnati/988-Cleveland-Ave-45229/home/78971831,Cincy MLS,1816951,N,Y,39.142385,-84.4850766
MLS Listing,,Single Family Residential,3312 Graydon Ave,Cincinnati,OH,45207,249900,2,1.5,Evanston,1050,3485,1891,20,238,,Active,,,https://www.redfin.com/OH/Cincinnati/3312-Graydon-Ave-45207/home/100955152,Cincy MLS,1816283,N,Y,39.13772,-84.4693665
MLS Listing,,Single Family Residential,5107 Cleves Warsaw Pike,Delhi Twp,OH,45238,230000,4,2.0,Delhi Twp.,1822,7449,1939,25,126,,Active,,,https://www.redfin.com/OH/Cincinnati/5107-Cleves-Warsaw-Pike-45238/home/78853336,Cincy MLS,1815970,N,Y,39.1183967,-84.6076195
MLS Listing,,Single Family Residential,7364 Clovernook Ave,Mt Healthy,OH,45231,210000,3,2.0,Mt. Healthy,1778,9627,1941,1,118,,Active,,,https://www.redfin.com/OH/Cincinnati/7364-Clovernook-Ave-45231/home/76141559,Cincy MLS,1818365,N,Y,39.2287228,-84.5365053
MLS Listing,,Single Family Residential,3565 Paxton Ave,Cincinnati,OH,45208,549900,4,2.0,Hyde Park,2044,7231,1906,1,269,,Active,,,https://www.redfin.com/OH/Cincinnati/3565-Paxton-Ave-45208/home/76095779,Cincy MLS,1813601,N,Y,39.1410559,-84.434071
MLS Listing,,Single Family Residential,5351 Grand Vista Ct,Cincinnati,OH,45227,1165000,5,4.0,Madisonville,4110,7854,2015,1,283,292,Active,,,https://www.redfin.com/OH/Cincinnati/5351-Grand-Vista-Ct-45227/home/110109871,Cincy MLS,1818158,N,Y,39.1652432,-84.386332
MLS Listing,,Single Family Residential,2259 Washington Ave,Norwood,OH,45212,425000,4,2.0,Norwood,,,1912,1,,,Active,,,https://www.redfin.com/OH/Norwood/2259-Washington-Ave-45212/home/78782039,Cincy MLS,1818010,N,Y,39.157364,-84.452081
