SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,9151 Helaine Hamlet Way,Columbia,MD,21045,469999,3,3.0,VILLAGE OF LONG REACH,1980,1922,1981,1,237,60,Pre On-Market,September-22-2024 12:00 PM,September-22-2024 02:00 PM,https://www.redfin.com/MD/Columbia/9151-Helaine-Hamlet-Way-21045/home/9988717,BRIGHT MLS,MDHW2044060,N,Y,39.2071498,-76.8284815
MLS Listing,,Single Family Residential,5405 Trotter Rd,Clarksville,MD,21029,900000,3,2.0,RIVERHILL,912,43560,1974,11,987,,Active,,,https://www.redfin.com/MD/Clarksville/5405-Trotter-Rd-21029/home/10118615,BRIGHT MLS,MDHW2044402,N,Y,39.2226175,-76.9248173
MLS Listing,,Single Family Residential,9333 Cornshock Ct,Columbia,MD,21045,495000,3,2.0,Columbia,1560,9000,1976,25,317,94,Active,,,https://www.redfin.com/MD/Columbia/9333-Cornshock-Ct-21045/home/9970029,BRIGHT MLS,MDHW2043902,N,Y,39.181755,-76.8350183
MLS Listing,,Condo/Co-op,5930 Millrace Ct Unit F 201,Columbia,MD,21045,285000,2,1.0,VILLAGE OF LONG REACH,952,,1995,1,299,349,Pre On-Market,,,https://www.redfin.com/MD/Columbia/5930-Millrace-Ct-21045/unit-F201/home/10006507,BRIGHT MLS,MDHW2044748,N,Y,39.2021687,-76.8116805
MLS Listing,,Townhouse,10540 Jason Ln,Columbia,MD,21044,348000,3,2.5,VILLAGE OF WILDE LAKE,1684,,1968,1,207,43,Pre On-Market,,,https://www.redfin.com/MD/Columbia/10540-Jason-Ln-21044/home/9916935,BRIGHT MLS,MDHW2044806,N,Y,39.2219555,-76.87712
MLS Listing,,Condo/Co-op,9121 Gracious End Ct #301,Columbia,MD,21046,349900,3,2.0,GATEWAY OVERLOOK,1750,,1997,1,200,318,Active,,,https://www.redfin.com/MD/Columbia/9121-Gracious-End-Ct-21046/unit-301/home/10200921,BRIGHT MLS,MDHW2044610,N,Y,39.1772154,-76.8254069
MLS Listing,,Townhouse,7520 Rain Flower Way,Columbia,MD,21046,393000,3,2.5,VILLAGE OF KINGS CONTRIVANCE,1680,1576,1983,1,234,150,Pre On-Market,,,https://www.redfin.com/MD/Columbia/7520-Rain-Flower-Way-21046/home/9993349,BRIGHT MLS,MDHW2044880,N,Y,39.1654718,-76.8515787
MLS Listing,,Single Family Residential,10037 Cape Ann Dr,Columbia,MD,21046,625000,4,2.5,KINGS CONTRIVANCE,2004,8225,1979,2,312,116,Pre On-Market,,,https://www.redfin.com/MD/Columbia/10037-Cape-Ann-Dr-21046/home/9980108,BRIGHT MLS,MDHW2044830,N,Y,39.1819408,-76.8595884
MLS Listing,,Townhouse,6050 Weekend Way Unit G-36,Columbia,MD,21044,415000,2,3.5,BANNEKER PLACE,1580,1740,1994,2,263,253,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/MD/Columbia/6050-Weekend-Way-21044/unit-G36/home/9942519,BRIGHT MLS,MDHW2044820,N,Y,39.2103542,-76.8702832
MLS Listing,,Townhouse,7453 Broken Staff,Columbia,MD,21045,510000,3,3.5,OWEN BROWN ESTATES,2346,2439,1979,3,217,86,Active,,,https://www.redfin.com/MD/Columbia/7453-Broken-Staff-21045/home/9982121,BRIGHT MLS,MDHW2044822,N,Y,39.1850066,-76.8476512
MLS Listing,,Townhouse,9026 Queen Maria Ct,Columbia,MD,21045,395000,3,3.0,VILLAGE OF LONG REACH,1616,1408,1973,3,244,65,Pre On-Market,,,https://www.redfin.com/MD/Columbia/9026-Queen-Maria-Ct-21045/home/9954412,BRIGHT MLS,MDHW2044800,N,Y,39.2201677,-76.8186285
