SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1426 Sedgefield Dr,New Albany,OH,43054,398000,3,3.5,Mifflin,2224,1742,1995,2,179,400,Active,,,https://www.redfin.com/OH/New-Albany/1426-Sedgefield-Dr-43054/home/75693951,CBRMLS,224032018,N,Y,40.0527565,-82.8280784
MLS Listing,,Condo/Co-op,925 Ingleside Ave #115,Columbus,OH,43215,359900,2,2.0,,1170,1306,2009,10,308,394,Active,,,https://www.redfin.com/OH/Columbus/925-Ingleside-Ave-43215/unit-115/home/100720024,CBRMLS,224031598,N,Y,39.979635,-83.01818
MLS Listing,,Single Family Residential,5809 Marble Creek St,Dublin,OH,43016,375000,3,2.5,,1926,3484,2014,11,195,110,Active,,,https://www.redfin.com/OH/Dublin/5809-Marble-Creek-St-43016/home/100724355,CBRMLS,224031435,N,Y,40.064165,-83.1747023
MLS Listing,,Single Family Residential,573 Frebis Ave,Columbus,OH,43206,225000,3,2.0,,1608,8276,1920,18,140,,Active,,,https://www.redfin.com/OH/Columbus/573-Frebis-Ave-43206/home/75590893,CBRMLS,224030542,N,Y,39.9352175,-82.9805613
MLS Listing,,Condo/Co-op,825 N 4th St #312,Columbus,OH,43215,299900,1,1.0,,927,23086,2008,32,324,356,Active,,,https://www.redfin.com/OH/Columbus/825-N-4th-St-43215/unit-312/home/144856322,CBRMLS,224028558,N,Y,39.9799783,-82.9986148
MLS Listing,,Multi-Family (2-4 Unit),102 W Tompkins St,Columbus,OH,43202,460000,5,,,1704,6098,1880,39,270,,Active,,,https://www.redfin.com/OH/Columbus/102-W-Tompkins-St-43202/home/79763501,CBRMLS,224027683,N,Y,40.0131116,-83.013904
MLS Listing,,Single Family Residential,3317 Somerford Rd,Columbus,OH,43221,515000,3,2.5,,1892,10454,1963,45,272,,Active,,,https://www.redfin.com/OH/Columbus/3317-Somerford-Rd-43221/home/75699964,CBRMLS,224027010,N,Y,40.0243081,-83.0632923
MLS Listing,,Single Family Residential,1380 Stanwix Ct,Columbus,OH,43223,319000,4,4.0,,2422,9583,1993,46,132,,Active,,,https://www.redfin.com/OH/Columbus/1380-Stanwix-Ct-43223/home/79708871,CBRMLS,224026742,N,Y,39.9275599,-83.0513499
MLS Listing,,Vacant Land,314 S Warren Ave,Columbus,OH,43204,35000,,,,,3484,,46,,,Active,,,https://www.redfin.com/OH/Columbus/314-S-Warren-Ave-43204/home/107857469,CBRMLS,224026708,N,Y,39.9485373,-83.0709895
MLS Listing,,Single Family Residential,198 E Tompkins St,Columbus,OH,43202,269000,3,1.5,,1344,5227,1900,59,200,,Active,,,https://www.redfin.com/OH/Columbus/198-E-Tompkins-St-43202/home/79523633,CBRMLS,224024345,N,Y,40.0143922,-83.0057888
MLS Listing,,Multi-Family (2-4 Unit),1033 Scott St,Columbus,OH,43222,389900,6,,,3281,7840,1900,69,119,,Active,,,https://www.redfin.com/OH/Columbus/1033-Scott-St-43222/home/75658492,CBRMLS,224023348,N,Y,39.9600941,-83.0283724
MLS Listing,,Single Family Residential,2793 Pickwick Dr,Upper Arlington,OH,43221,629900,4,2.5,,2295,14810,1959,73,274,,Active,,,https://www.redfin.com/OH/Columbus/2793-Pickwick-Dr-43221/home/79569663,CBRMLS,224019636,N,Y,40.0147885,-83.049874
MLS Listing,,Condo/Co-op,391 Library Park S #2,Columbus,OH,43215,398000,3,2.5,,1792,871,1900,1,222,117,Pre On-Market,,,https://www.redfin.com/OH/Columbus/391-Library-Park-S-43215/unit-2/home/100747307,CBRMLS,224032950,N,Y,39.960587,-82.989637
MLS Listing,,Single Family Residential,3741 Alkire Lakes Dr,Grove City,OH,43123,340000,4,2.5,,1680,6098,2021,1,202,17,Pre On-Market,,,https://www.redfin.com/OH/Grove-City/3741-Alkire-Lakes-Dr-43123/home/178719735,CBRMLS,224032947,N,Y,39.9127662,-83.0958227
MLS Listing,,Single Family Residential,5233 Wolf Run Dr,Columbus,OH,43230,395000,4,2.5,,1912,13068,1978,1,207,,Active,,,https://www.redfin.com/OH/Columbus/5233-Wolf-Run-Dr-43230/home/79512260,CBRMLS,224032941,N,Y,40.0619122,-82.8820812
MLS Listing,,Single Family Residential,8111 Loden Ct,Blacklick,OH,43004,289900,3,2.5,,1260,6969,1996,1,230,,Active,,,https://www.redfin.com/OH/Blacklick/8111-Loden-Ct-43004/home/79595850,CBRMLS,224032939,N,Y,39.994088,-82.7904105
MLS Listing,,Single Family Residential,1560 E 26th Ave,Columbus,OH,43211,139900,3,1.0,,1144,5662,1926,1,122,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/1560-E-26th-Ave-43211/home/75658967,CBRMLS,224032938,N,Y,40.0078911,-82.9671049
MLS Listing,,Single Family Residential,2624 Creekwillow Pl,Grove City,OH,43123,259900,3,2.0,,1262,6534,1996,1,206,,Pre On-Market,,,https://www.redfin.com/OH/Grove-City/2624-Creekwillow-Pl-43123/home/79537451,CBRMLS,224032936,N,Y,39.9028875,-83.0431342
MLS Listing,,Single Family Residential,5449 Coble Square Pl,Canal Winchester,OH,43110,333333,4,2.5,,2332,4791,2021,1,143,35,Pre On-Market,,,https://www.redfin.com/OH/Canal-Winchester/5449-Coble-Square-Pl-43110/home/174636424,CBRMLS,224032934,N,Y,39.8865798,-82.84761
MLS Listing,,Multi-Family (2-4 Unit),361 S Harris Ave #361,Columbus,OH,43204,190000,5,,,1890,3920,1917,1,101,,Active,,,https://www.redfin.com/OH/Columbus/361-S-Harris-Ave-43204/unit-361/home/100736043,CBRMLS,224032932,N,Y,39.9474742,-83.0724767
MLS Listing,,Single Family Residential,1883 Prominence Dr,Grove City,OH,43123,335000,3,2.5,,1924,4791,2008,1,174,13,Pre On-Market,,,https://www.redfin.com/OH/Grove-City/1883-Prominence-Dr-43123/home/79670350,CBRMLS,224032924,N,Y,39.9146357,-83.1034046
MLS Listing,,Single Family Residential,857 Bledsoe Dr,Galloway,OH,43119,324900,3,2.5,,1368,6969,1994,1,238,,Active,,,https://www.redfin.com/OH/Galloway/857-Bledsoe-Dr-43119/home/75713562,CBRMLS,224032920,N,Y,39.9329981,-83.1518563
MLS Listing,,Condo/Co-op,854 Village Brook Way,Columbus,OH,43235,379900,3,2.0,,1455,,1996,1,261,329,Pre On-Market,,,https://www.redfin.com/OH/Columbus/854-Village-Brook-Way-43235/home/79480855,CBRMLS,224032916,N,Y,40.0692319,-83.0421373
MLS Listing,,Single Family Residential,1585 Humphrey Ave,Columbus,OH,43223,179900,2,1.0,Franklin,1215,5662,1949,1,148,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/1585-Humphrey-Ave-43223/home/75705790,CBRMLS,224032914,N,Y,39.942447,-83.039401
MLS Listing,,Single Family Residential,5151 Algean Dr,Canal Winchester,OH,43110,285000,3,2.5,,1368,6969,1999,1,208,5,Pre On-Market,,,https://www.redfin.com/OH/Canal-Winchester/5151-Algean-Dr-43110/home/79609628,CBRMLS,224032911,N,Y,39.874781,-82.814807
MLS Listing,,Condo/Co-op,888 Burr Ave #20,Columbus,OH,43212,799900,3,3.5,,2127,871,2015,1,376,328,Active,,,https://www.redfin.com/OH/Columbus/888-Burr-Ave-43212/unit-20/home/102811930,CBRMLS,224032909,N,Y,39.976873,-83.0278819
MLS Listing,,Single Family Residential,294 Zimpfer St,Columbus,OH,43206,750000,3,3.5,,3014,3049,2001,1,249,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/294-Zimpfer-St-43206/home/79639270,CBRMLS,224032908,N,Y,39.9425352,-82.9886588
MLS Listing,,Single Family Residential,1107 Berkeley Rd,Columbus,OH,43206,292000,7,2.5,,2177,5227,1929,1,134,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/1107-Berkeley-Rd-43206/home/79486980,CBRMLS,224032903,N,Y,39.9438825,-82.9581453
MLS Listing,,Condo/Co-op,3441 Fishinger Mill Dr,Hilliard,OH,43026,225000,2,2.0,,1188,871,1988,1,189,316,Pre On-Market,,,https://www.redfin.com/OH/Hilliard/3441-Fishinger-Mill-Dr-43026/home/79718359,CBRMLS,224032895,N,Y,40.0235041,-83.1113427
MLS Listing,,Single Family Residential,2814 Atwood Ter,Columbus,OH,43211,224900,3,2.0,,1588,5662,1970,1,142,,Pre On-Market,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/OH/Columbus/2814-Atwood-Ter-43211/home/100737361,CBRMLS,224032894,N,Y,40.0228377,-82.9848543
MLS Listing,,Condo/Co-op,5126 Singleton Dr,Hilliard,OH,43026,229000,2,1.5,,839,871,1991,1,273,202,Pre On-Market,,,https://www.redfin.com/OH/Hilliard/5126-Singleton-Dr-43026/home/192577958,CBRMLS,224032893,N,Y,40.0101238,-83.1453631
MLS Listing,,Condo/Co-op,1142 Hamlet St,Columbus,OH,43201,769900,3,2.5,,2570,12196,2022,1,300,20,Active,,,https://www.redfin.com/OH/Columbus/1142-Hamlet-St-43201/home/171174457,CBRMLS,224032880,N,Y,39.9862955,-83.0005918
