SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1208 Buchanan St,Des Moines,IA,50316,189000,3,2.0,Des Moines,1015,,1916,27,186,,Active,,,https://www.redfin.com/IA/Des-Moines/1208-Buchanan-St-50316/home/123940092,DMMLS,701330,N,Y,41.5981983,-93.6034335
MLS Listing,,Condo/Co-op,201 Grand Ave #107,Des Moines,IA,50309,435000,3,3.5,Des Moines,2037,1132,2006,68,214,350,Active,,,https://www.redfin.com/IA/Des-Moines/201-Grand-Ave-50309/unit-107/home/124907574,DMMLS,698777,N,Y,41.5888499,-93.6208921
MLS Listing,,Single Family Residential,1523 Evergreen Ave,Des Moines,IA,50320,175000,3,1.0,Des Moines,984,26600,1914,1,178,,Active,,,https://www.redfin.com/IA/Des-Moines/1523-Evergreen-Ave-50320/home/125009522,DMMLS,704024,N,Y,41.5513926,-93.5931145
MLS Listing,,Single Family Residential,3205 Madison Ave,Des Moines,IA,50310,289900,4,2.0,Des Moines,1086,10759,1960,1,267,,Active,,,https://www.redfin.com/IA/Des-Moines/3205-Madison-Ave-50310/home/123210574,DMMLS,704051,N,Y,41.6334136,-93.6619428
MLS Listing,,Vacant Land,5660 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,12108,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5660-Walnut-Ridge-Dr-50317/home/192579453,DMMLS,704043,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5652 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,11708,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5652-Walnut-Ridge-Dr-50317/home/192579271,DMMLS,704039,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5644 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,10494,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5644-Walnut-Ridge-Dr-50317/home/192579240,DMMLS,704037,N,Y,41.6228167,-93.5101833
MLS Listing,,Single Family Residential,5612 Grand Ave,Des Moines,IA,50312,329990,4,2.5,Des Moines,1492,11228,1955,1,221,,Active,,,https://www.redfin.com/IA/Des-Moines/5612-Grand-Ave-50312/home/124179317,DMMLS,703976,N,Y,41.5825773,-93.6944958
MLS Listing,,Condo/Co-op,4415 Cameron,Pleasant Hill,IA,50327,299500,3,3.5,Pleasant Hill,1532,1997,2001,1,195,187,Active,,,https://www.redfin.com/IA/Pleasant-Hill/4415-Cameron-Swing-50327/home/123292978,DMMLS,704005,N,Y,41.607248,-93.528254
MLS Listing,,Vacant Land,5666 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,11992,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5666-Walnut-Ridge-Dr-50317/home/192577956,DMMLS,703914,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5684 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,10291,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5684-Walnut-Ridge-Dr-50317/home/192577875,DMMLS,703922,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5688 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,7734,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5688-Walnut-Ridge-Dr-50317/home/192577870,DMMLS,703925,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5680 Walnut Ridge Dr,Des Moines,IA,50317,81000,0,,Des Moines,,10160,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5680-Walnut-Ridge-Dr-50317/home/192577869,DMMLS,703918,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5661 Walnut Ridge Dr,Des Moines,IA,50317,94000,0,,Des Moines,,12368,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5661-Walnut-Ridge-Dr-50317/home/192577718,DMMLS,704023,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5665 Walnut Ridge Dr,Des Moines,IA,50317,94000,0,,Des Moines,,11116,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5665-Walnut-Ridge-Dr-50317/home/192577647,DMMLS,704021,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5669 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,11417,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5669-Walnut-Ridge-Dr-50317/home/192577575,DMMLS,704019,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5673 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,12307,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5673-Walnut-Ridge-Dr-50317/home/192577530,DMMLS,704017,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5677 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,10437,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5677-Walnut-Ridge-Dr-50317/home/192577505,DMMLS,704016,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5681 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,9099,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5681-Walnut-Ridge-Dr-50317/home/192577455,DMMLS,704015,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5685 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,9203,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5685-Walnut-Ridge-Dr-50317/home/192577341,DMMLS,704014,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5689 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,7700,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5689-Walnut-Ridge-Dr-50317/home/192577323,DMMLS,704013,N,Y,41.6228167,-93.5101833
MLS Listing,,Vacant Land,5693 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,9127,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5693-Walnut-Ridge-Dr-50009/home/192577259,DMMLS,704012,N,Y,41.6256726,-93.5004493
MLS Listing,,Vacant Land,5695 Walnut Ridge Dr,Des Moines,IA,50317,89000,0,,Des Moines,,9249,,1,,,Active,,,https://www.redfin.com/IA/Des-Moines/5695-Walnut-Ridge-Dr-50009/home/192577232,DMMLS,704011,N,Y,41.6256726,-93.5004493
