SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18672 Cherrylawn St,Detroit,MI,48221,317000,4,2.5,Det 6-8 Grfld-Dequindre,1668,3920,1935,39,190,,Active,,,https://www.redfin.com/MI/Detroit/18672-Cherrylawn-St-48221/home/98377935,REALCOMP,20240057757,N,Y,42.4289056,-83.1550846
MLS Listing,,Unknown,503 W GRAND Blvd,Detroit,MI,48216 2200,475000,,,Scotten Lovett & Davis Sub (plats),4389,6534,,1,108,,Active,,,https://www.redfin.com/MI/Detroit/503-W-Grand-Blvd-48216/home/185890162,MiRealSource-MiMLS,60316761,N,Y,42.3232272,-83.090029
MLS Listing,,Unknown,14693 E 8 Mile Rd,Warren,MI,48089,375000,,,Investment Park,800,3920,1948,1,469,,Active,,,https://www.redfin.com/MI/Warren/14693-Mile-Rd-48089/home/192585990,MiRealSource-MiMLS,50155421,N,Y,42.450107,-82.972552
MLS Listing,,Unknown,,Detroit,MI,48221,35900,,,,2660,,1985,1,13,,Active,,,https://www.redfin.com/MI/Detroit/Undisclosed-address-48221/home/182300953,MiRealSource-MiMLS,70421485,N,Y,42.4315562,-83.1668671
MLS Listing,,Unknown,14635 MACK Ave,Detroit,MI,48215 2522,179900,,,Edwin Lodge (plats),1318,1306,,1,136,,Active,,,https://www.redfin.com/MI/Detroit/14635-Mack-Ave-48215/home/185875144,MiRealSource-MiMLS,60318320,N,Y,42.387148,-82.95007
MLS Listing,,Unknown,1759 20th St,Detroit,MI,48216,2800000,,,George H Hammonds Resub (plats),17797,56628,,1,157,,Active,,,https://www.redfin.com/MI/Detroit/1759-20th-St-48216/home/190189788,MiRealSource-MiMLS,60294157,N,Y,42.3254822,-83.0814418
MLS Listing,,Unknown,6907 Greenfield Rd,Detroit,MI,48228,200000,,,Detroit,1200,,,1,167,,Active,,,https://www.redfin.com/MI/Detroit/6907-Greenfield-Rd-48228/home/192098826,MiRealSource-MiMLS,60332183,N,Y,42.3430666,-83.1966173
MLS Listing,,Unknown,7631 E WARREN Ave,Detroit,MI,48214 1053,100000,,,E C Van Husans (plats),616,3484,,1,162,,Active,,,https://www.redfin.com/MI/Detroit/7631-E-Warren-Ave-48214/home/187633739,MiRealSource-MiMLS,60304824,N,Y,42.3751027,-83.015285
MLS Listing,,Unknown,9145 PEASE St,Detroit,MI,48211 1620,800000,,,Bessenger & Moores Mt Elliott Ave (plats),6240,10890,,1,128,,Active,,,https://www.redfin.com/MI/Detroit/9145-Pease-St-48211/home/192569652,MiRealSource-MiMLS,60339753,N,Y,42.396679,-83.0355683
MLS Listing,,Unknown,14299 HOUSTON WHITTIER St,Detroit,MI,48205 4051,100000,,,Young Stephen,2198,11761,,1,45,,Pre On-Market,,,https://www.redfin.com/MI/Detroit/14299-Houston-Whittier-St-48205/home/182881352,MiRealSource-MiMLS,60340033,N,Y,42.4209567,-82.9752106
