SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10416 Shannon Pl,El Paso,TX,79925,219500,3,2.0,Scotsdale Garden,1375,6968,1971,6,160,,Active,,,https://www.redfin.com/TX/El-Paso/10416-Shannon-Pl-79925/home/107461191,GEPARMLS,908620,N,Y,31.7953646,-106.3365589
MLS Listing,,Single Family Residential,12429 Paseo Rojo Dr,El Paso,TX,79928,250000,3,2.0,Paseos Del Sol,1510,5100,2005,12,166,,Active,,,https://www.redfin.com/TX/El-Paso/12429-Paseo-Rojo-Dr-79928/home/107480057,GEPARMLS,908262,N,Y,31.7360992,-106.2620953
MLS Listing,,Single Family Residential,11504 David Lee Ct,El Paso,TX,79936,239000,4,2.0,Vista Del Sol,1398,8249,1980,12,171,,Active,,,https://www.redfin.com/TX/El-Paso/11504-David-Lee-Ct-79936/home/75031744,GEPARMLS,908241,N,Y,31.7522571,-106.295406
MLS Listing,,Single Family Residential,1128 Wind Ridge Dr,El Paso,TX,79912,470000,4,2.5,Ridge View Estates,2703,12104,1993,14,174,,Active,,,https://www.redfin.com/TX/El-Paso/1128-Wind-Ridge-Dr-79912/home/107474043,GEPARMLS,908131,N,Y,31.8676284,-106.5446556
MLS Listing,,Single Family Residential,5713 Sanders Ave,El Paso,TX,79924,190500,2,2.0,Skyview,1179,6969,1960,20,162,,Active,,,https://www.redfin.com/TX/El-Paso/5713-Sanders-Ave-79924/home/102010880,GEPARMLS,907846,N,Y,31.8808744,-106.4084109
MLS Listing,,Single Family Residential,8620 Grover Dr,El Paso,TX,79925,219900,3,2.0,Cielo Vista Park,1472,7975,1968,62,149,,Active,,,https://www.redfin.com/TX/El-Paso/8620-Grover-Dr-79925/home/107419965,GEPARMLS,905331,N,Y,31.7774213,-106.3751261
MLS Listing,,Single Family Residential,905 Malven Pl,El Paso,TX,79928,275000,4,2.0,Hillside Park at Mission Ridge,1387,4935,2020,69,198,,Active,,,https://www.redfin.com/TX/El-Paso/905-Malven-Pl-79928/home/172989646,GEPARMLS,904878,N,Y,31.7142257,-106.2482555
MLS Listing,,Townhouse,2018 Rogelio Ave,El Paso,TX,79902,184900,2,2.5,Highland Park,1377,2280,1996,116,134,,Active,,,https://www.redfin.com/TX/El-Paso/2018-Rogelio-Ave-79902/home/107411304,GEPARMLS,902135,N,Y,31.7802538,-106.4743941
MLS Listing,,Multi-Family (2-4 Unit),589 Myra St,El Paso,TX,79915,375000,,,Linda Vista Gar,4000,19170,1948,1,94,,Active,,,https://www.redfin.com/TX/El-Paso/589-Myra-St-79915/home/75012356,GEPARMLS,877841,N,Y,31.7397514,-106.354071
MLS Listing,,Single Family Residential,10604 Onyxstone St,El Paso,TX,79924,184950,3,2.0,Desertaire Park,1111,5355,1993,1,166,,Active,,,https://www.redfin.com/TX/El-Paso/10604-Onyxstone-St-79924/home/107438972,GEPARMLS,908895,N,Y,31.9214707,-106.3814282
