SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1930 Stonecrest Dr,Eugene,OR,97401,899000,6,5.0,242 - Lane Co: Ferry Street Bridge,3384,18295,1975,2,266,,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/OR/Eugene/1930-Stonecrest-Dr-97401/home/26228812,RMLS,24467072,N,Y,44.0843053,-123.0954907
MLS Listing,,Condo/Co-op,1511 Fetters Loop,Eugene,OR,97402,220000,1,1.5,245 - Lane Co: West Eugene,824,,1980,4,267,213,Active,,,https://www.redfin.com/OR/Eugene/1511-Fetters-Loop-97402/home/26216507,RMLS,24681901,N,Y,44.0436306,-123.1330592
MLS Listing,,Single Family Residential,610 Spencer Ct,Eugene,OR,97405,635000,5,3.0,243 - Lane Co: East Eugene,2063,12196,1961,14,308,,Active,,,https://www.redfin.com/OR/Eugene/610-Spencer-Ct-97405/home/26161234,RMLS,24581054,N,Y,44.0120492,-123.0837186
MLS Listing,,Single Family Residential,135 E 34th Ave,Eugene,OR,97405,439900,2,1.0,243 - Lane Co: East Eugene,936,9147,1951,34,470,,Active,,,https://www.redfin.com/OR/Eugene/135-E-34th-Ave-97405/home/25845243,RMLS,24599701,N,Y,44.0201733,-123.0889287
MLS Listing,,Condo/Co-op,1313 Lincoln St #1008,Eugene,OR,97401,349000,2,1.5,245 - Lane Co: West Eugene,744,,1966,35,469,430,Active,,,https://www.redfin.com/OR/Eugene/1313-Lincoln-St-97401/unit-1008/home/25798407,RMLS,24682338,N,Y,44.0445568,-123.096702
MLS Listing,,Single Family Residential,324 Brookside Dr,Eugene,OR,97405,610000,4,2.5,244 - Lane Co: Southwest Eugene,2304,12196,1971,41,265,,Active,,,https://www.redfin.com/OR/Eugene/324-Brookside-Dr-97405/home/26263927,RMLS,24392252,N,Y,44.0059226,-123.0979626
MLS Listing,,Single Family Residential,1114 Polk St,Eugene,OR,97402,495000,3,2.5,245 - Lane Co: West Eugene,1456,3049,2020,42,340,,Active,,,https://www.redfin.com/OR/Eugene/1114-Polk-St-97402/home/109857100,RMLS,24411438,N,Y,44.0475825,-123.1127355
MLS Listing,,Single Family Residential,5080 Whiteaker St,Eugene,OR,97405,579000,3,2.5,243 - Lane Co: East Eugene,1939,6969,1975,48,299,,Active,,,https://www.redfin.com/OR/Eugene/5080-Whiteaker-St-97405/home/26260351,RMLS,24270953,N,Y,43.9972427,-123.0735286
MLS Listing,,Single Family Residential,3292 Korbel St,Eugene,OR,97404,859000,5,3.0,248 - Lane Co: Santa Clara,3284,9583,2020,79,262,,Active,,,https://www.redfin.com/OR/Eugene/3292-Korbel-St-97404/home/143031930,RMLS,24314370,N,Y,44.1096277,-123.159424
MLS Listing,,Mobile/Manufactured Home,1199 N Terry St,Eugene,OR,97402,69500,3,2.0,Daneland Mobile Home Park LLC,1503,,1978,1,46,879,Active,,,https://www.redfin.com/OR/Eugene/1199-N-Terry-St-97402/home/28938554,RMLS,24330837,N,Y,44.0747953,-123.1868573
MLS Listing,,Condo/Co-op,1210 Spyglass Dr,Eugene,OR,97401,610000,2,2.0,242 - Lane Co: Ferry Street Bridge,1705,,1976,1,358,400,Active,,,https://www.redfin.com/OR/Eugene/1210-Spyglass-Dr-97401/home/26262529,RMLS,24113427,N,Y,44.0755482,-123.088185
MLS Listing,,Single Family Residential,3813 Shannon St,Eugene,OR,97404,474900,4,2.5,248 - Lane Co: Santa Clara,2087,4791,2007,1,228,,Active,,,https://www.redfin.com/OR/Eugene/3813-Shannon-St-97404/home/26193277,RMLS,24017774,N,Y,44.1194005,-123.1346589
MLS Listing,,Multi-Family (2-4 Unit),3684 Babcock Ln,Eugene,OR,97401,1250000,7,7.0,242 - Lane Co: Ferry Street Bridge,3495,8712,2023,1,358,,Active,,,https://www.redfin.com/OR/Eugene/3684-Babcock-Ln-97401/home/189091029,RMLS,24500473,N,Y,44.0736282,-123.0523114
MLS Listing,,Single Family Residential,4401 Cascade Dr,Eugene,OR,97402,345000,3,2.0,246 - Lane Co: Danebo,1412,10018,1960,1,244,,Active,,,https://www.redfin.com/OR/Eugene/4401-Cascade-Dr-97402/home/26144191,RMLS,24190724,N,Y,44.0766503,-123.1706967
MLS Listing,,Single Family Residential,2875 Adams St,Eugene,OR,97405,675000,3,2.0,244 - Lane Co: Southwest Eugene,1632,12196,1951,1,414,,Active,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/OR/Eugene/2875-Adams-St-97405/home/26201456,RMLS,24186060,N,Y,44.02628,-123.1067711
MLS Listing,,Single Family Residential,3023 Skyview Ln,Eugene,OR,97405,990000,4,2.5,244 - Lane Co: Southwest Eugene,4861,15246,2004,1,204,,Active,,,https://www.redfin.com/OR/Eugene/3023-Skyview-Ln-97405/home/26231691,RMLS,24227520,N,Y,44.0238033,-123.142637
MLS Listing,,Single Family Residential,2239 Amirante St,Eugene,OR,97402,419900,3,1.0,Active Bethel Citizen,1438,6098,1978,1,292,,Active,,,https://www.redfin.com/OR/Eugene/2239-Amirante-St-97402/home/26168921,RMLS,24242308,N,Y,44.0903318,-123.1927174
MLS Listing,,Single Family Residential,2883 Kincaid St,Eugene,OR,97405,442000,3,1.0,Amazon Neighbors Association,1411,6969,1950,2,313,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/OR/Eugene/2883-Kincaid-St-97405/home/26210093,RMLS,24236955,N,Y,44.0259277,-123.0788097
MLS Listing,,Condo/Co-op,347 Rustic Pl #17,Eugene,OR,97401,349900,1,1.0,Terraces at the Pavilion,801,,2006,2,437,255,Active,,,https://www.redfin.com/OR/Eugene/347-Rustic-Pl-97401/unit-17/home/26223466,RMLS,24352576,N,Y,44.0669183,-123.0703819
MLS Listing,,Single Family Residential,2756 Chad Dr,Eugene,OR,97408,450000,4,3.0,241 - Lane Co: North Gilham,1680,6534,1983,2,268,,Active,,,https://www.redfin.com/OR/Eugene/2756-Chad-Dr-97408/home/26209153,RMLS,24577512,N,Y,44.088673,-123.0680978
MLS Listing,,Single Family Residential,3049 Deerbrush Way,Eugene,OR,97405,615000,3,2.5,244 - Lane Co: Southwest Eugene,1889,6098,2014,2,326,50,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/OR/Eugene/3049-Deerbrush-Way-97405/home/26133622,RMLS,24161756,N,Y,44.0229174,-123.1433364
MLS Listing,,Single Family Residential,211 Bobby Doerr Way,Eugene,OR,97402,330000,2,1.0,246 - Lane Co: Danebo,768,3484,1995,2,430,,Active,,,https://www.redfin.com/OR/Eugene/211-Bobby-Doerr-Way-97402/home/26239171,RMLS,24608708,N,Y,44.0641245,-123.144358
MLS Listing,,Mobile/Manufactured Home,4055 Royal Ave #131,Eugene,OR,97402,230000,3,2.0,SongBrook,2286,,1997,2,101,,Active,September-20-2024 12:00 PM,September-20-2024 02:00 PM,https://www.redfin.com/OR/Eugene/4055-Royal-Ave-97402/unit-131/home/26188090,RMLS,24517625,N,Y,44.0701998,-123.1646418
MLS Listing,,Single Family Residential,85898 Lorane Hwy,Eugene,OR,97405,1650000,5,6.5,244 - Lane Co: Southwest Eugene,6084,2265120,1963,3,271,,Active,,,https://www.redfin.com/OR/Eugene/85898-Lorane-Hwy-97405/home/25781963,RMLS,24022363,N,Y,43.990994,-123.1601841
MLS Listing,,Condo/Co-op,1569 Garfield Pl,Eugene,OR,97402,215000,2,1.0,245 - Lane Co: West Eugene,581,,1965,4,370,311,Active,,,https://www.redfin.com/OR/Eugene/1569-Garfield-Pl-97402/home/25762828,RMLS,24304745,N,Y,44.0429128,-123.1233146
MLS Listing,,Single Family Residential,479 E 53rd Ave,Eugene,OR,97405,740000,4,3.0,243 - Lane Co: East Eugene,2540,7840,1979,4,291,,Active,,,https://www.redfin.com/OR/Eugene/479-E-53rd-Ave-97405/home/26109941,RMLS,24121217,N,Y,43.9992618,-123.086689
MLS Listing,,Condo/Co-op,650 W 12th Ave #124,Eugene,OR,97402,285000,0,1.0,245 - Lane Co: West Eugene,604,,2006,4,472,221,Active,,,https://www.redfin.com/OR/Eugene/650-W-12th-Ave-97402/unit-124/home/25765389,RMLS,24399802,N,Y,44.0462564,-123.1026493
MLS Listing,,Mobile/Manufactured Home,1800 Lakewood Ct #5,Eugene,OR,97402,28000,2,2.0,Lakewood Vista,1320,,1970,4,21,,Active,,,https://www.redfin.com/OR/Eugene/1800-Lakewood-Ct-97402/unit-5/home/26113847,RMLS,24557483,N,Y,44.0813646,-123.1551785
MLS Listing,,Single Family Residential,3593 Westward HO Ave,Eugene,OR,97401,525000,5,3.0,242 - Lane Co: Ferry Street Bridge,1708,9147,1970,4,307,,Active,,,https://www.redfin.com/OR/Eugene/3593-Westward-Ho-Ave-97401/home/25761077,RMLS,24558107,N,Y,44.0648067,-123.0546365
MLS Listing,,Single Family Residential,1072 Throne Dr,Eugene,OR,97402,549500,3,2.0,246 - Lane Co: Danebo,2015,6098,2005,5,273,21,Active,,,https://www.redfin.com/OR/Eugene/1072-Throne-Dr-97402/home/26192124,RMLS,24004940,N,Y,44.0733364,-123.1828897
MLS Listing,,Single Family Residential,3251 W 18th Ave,Eugene,OR,97402,410000,4,1.5,245 - Lane Co: West Eugene,1388,12196,1951,5,295,,Active,,,https://www.redfin.com/OR/Eugene/3251-W-18th-Ave-97402/home/26101157,RMLS,24038940,N,Y,44.040854,-123.1403255
MLS Listing,,Single Family Residential,27004 Briggs Hill Rd,Eugene,OR,97405,1200000,3,2.0,245 - Lane Co: West Eugene,1952,1298959,1984,5,615,,Active,,,https://www.redfin.com/OR/Eugene/27004-Briggs-Hill-Rd-97405/home/26104597,RMLS,24367085,N,Y,43.955189,-123.268693
MLS Listing,,Single Family Residential,34825 Seavey Loop Rd,Eugene,OR,97405,295000,3,3.0,234 - Lane Co: Pleasant Hill / Oakridge,1470,22651,1961,5,201,,Active,,,https://www.redfin.com/OR/Eugene/34825-Seavey-Loop-Rd-97405/home/25893222,RMLS,24237296,N,Y,44.0043522,-123.0006447
MLS Listing,,Single Family Residential,3210 Agate St,Eugene,OR,97405,1500000,4,2.0,243 - Lane Co: East Eugene,2698,174240,1957,5,556,,Active,,,https://www.redfin.com/OR/Eugene/3210-Agate-St-97405/home/26151213,RMLS,24287399,N,Y,44.0216652,-123.0705668
MLS Listing,,Single Family Residential,822 W 18th Pl,Eugene,OR,97402,545000,3,1.5,244 - Lane Co: Southwest Eugene,1576,6534,1956,5,346,,Active,,,https://www.redfin.com/OR/Eugene/822-W-18th-Pl-97402/home/26150649,RMLS,24311675,N,Y,44.0394202,-123.1060713
MLS Listing,,Single Family Residential,87893 Green Hill Rd,Eugene,OR,97402,1100000,4,2.0,244 - Lane Co: Southwest Eugene,2556,217800,1978,5,430,,Active,September-22-2024 03:00 PM,September-22-2024 05:00 PM,https://www.redfin.com/OR/Eugene/87893-Green-Hill-Rd-97402/home/25803313,RMLS,24610956,N,Y,44.046294,-123.207101
MLS Listing,,Single Family Residential,788 Stephens Dr,Eugene,OR,97404,745000,5,3.5,247 - Lane Co: River Road,3637,9147,2004,5,205,,Active,,,https://www.redfin.com/OR/Eugene/788-Stephens-Dr-97404/home/26205746,RMLS,24387509,N,Y,44.0747316,-123.1166563
MLS Listing,,Single Family Residential,1273 Hughes St,Eugene,OR,97402,389000,3,2.0,246 - Lane Co: Danebo,1260,4356,2010,5,309,,Active,,,https://www.redfin.com/OR/Eugene/1273-Hughes-St-97402/home/35655102,RMLS,24391546,N,Y,44.0755904,-123.1535176
MLS Listing,,Single Family Residential,2662 Donner Pl,Eugene,OR,97401,606000,4,2.5,242 - Lane Co: Ferry Street Bridge,2179,13503,1956,5,278,,Active,September-20-2024 03:30 PM,September-20-2024 06:30 PM,https://www.redfin.com/OR/Eugene/2662-Donner-Pl-97401/home/26205262,RMLS,24164227,N,Y,44.0633745,-123.0695722
MLS Listing,,Single Family Residential,2555 Birch Ln,Eugene,OR,97403,799000,4,2.0,243 - Lane Co: East Eugene,2986,6098,1967,6,268,,Active,,,https://www.redfin.com/OR/Eugene/2555-Birch-Ln-97403/home/26226469,RMLS,24301741,N,Y,44.0411265,-123.0554426
MLS Listing,,Single Family Residential,1564 Regency Dr,Eugene,OR,97401,1950000,5,3.5,242 - Lane Co: Ferry Street Bridge,5146,30056,1993,6,379,,Active,,,https://www.redfin.com/OR/Eugene/1564-Regency-Dr-97401/home/26257311,RMLS,24520226,N,Y,44.080923,-123.0556062
MLS Listing,,Single Family Residential,827 Meadow Butte Loop,Eugene,OR,97401,725000,3,2.5,242 - Lane Co: Ferry Street Bridge,1925,4356,2007,6,377,,Active,,,https://www.redfin.com/OR/Eugene/827-Meadow-Butte-Loop-97401/home/26132429,RMLS,24198208,N,Y,44.0697136,-123.0958377
MLS Listing,,Condo/Co-op,327 Rustic Pl #42,Eugene,OR,97401,354000,1,1.0,242 - Lane Co: Ferry Street Bridge,820,,2006,6,432,255,Active,,,https://www.redfin.com/OR/Eugene/327-Rustic-Pl-97401/unit-42/home/26194553,RMLS,24026978,N,Y,44.0663641,-123.0698967
MLS Listing,,Single Family Residential,2190 Ridgeway Dr,Eugene,OR,97401,859000,4,3.5,242 - Lane Co: Ferry Street Bridge,3820,7840,2004,6,225,,Active,,,https://www.redfin.com/OR/Eugene/2190-Ridgeway-Dr-97401/home/25809456,RMLS,24677191,N,Y,44.0863491,-123.0973326
MLS Listing,,Single Family Residential,3422 Deerfern Rd Lot 3,Eugene,OR,97403,577610,3,2.5,EAST MOUNTAIN,1670,,2025,6,346,27,Active,September-18-2024 11:00 AM,September-18-2024 05:00 PM,https://www.redfin.com/OR/Eugene/3422-Deerfern-Rd-97403/unit-3/home/192524336,RMLS,24473002,N,Y,44.0293143,-123.0445952
MLS Listing,,Single Family Residential,3735 Norwich Ave,Eugene,OR,97408,1140000,5,3.5,241 - Lane Co: North Gilham,3745,9583,2015,6,304,,Active,,,https://www.redfin.com/OR/Eugene/3735-Norwich-Ave-97408/home/26131192,RMLS,24236155,N,Y,44.1061613,-123.0755119
MLS Listing,,Condo/Co-op,139 Treehill Loop,Eugene,OR,97405,298500,2,2.0,244 - Lane Co: Southwest Eugene,940,,1974,6,318,479,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/OR/Eugene/139-Treehill-Loop-97405/home/26174595,RMLS,24339724,N,Y,44.0010977,-123.0971114
MLS Listing,,Multi-Family (2-4 Unit),5551 Burnett St,Eugene,OR,97402,2300000,22,11.0,242 - Lane Co: Ferry Street Bridge,,10890,1987,6,,,Active,,,https://www.redfin.com/OR/Eugene/5551-Burnett-Ave-97402/home/26144380,RMLS,24431598,N,Y,44.0871716,-123.1974708
MLS Listing,,Single Family Residential,90820 Coburg Rd,Eugene,OR,97408,869900,3,2.5,240 - Lane Co: Coburg 1-5,1874,123710,1920,6,464,,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/OR/Eugene/90820-Coburg-Rd-97408/home/26115524,RMLS,24567181,N,Y,44.1304535,-123.0630267
MLS Listing,,Single Family Residential,925 Ascot Dr,Eugene,OR,97401,700000,4,2.5,242 - Lane Co: Ferry Street Bridge,2153,11761,1957,6,325,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/OR/Eugene/925-Ascot-Dr-97401/home/26098108,RMLS,24299127,N,Y,44.072211,-123.0635711
MLS Listing,,Single Family Residential,1935 Sylvan St,Eugene,OR,97403,750000,4,2.0,Hendricks Park,1980,9583,1965,6,379,,Active,,,https://www.redfin.com/OR/Eugene/1935-Sylvan-St-97403/home/26148982,RMLS,24084356,N,Y,44.037473,-123.0529852
MLS Listing,,Condo/Co-op,650 W 12th Ave #223,Eugene,OR,97402,299000,0,1.0,245 - Lane Co: West Eugene,657,,2006,6,455,245,Active,,,https://www.redfin.com/OR/Eugene/650-W-12th-Ave-97402/unit-223/home/26778296,RMLS,24596794,N,Y,44.0462564,-123.1026493
MLS Listing,,Mobile/Manufactured Home,1800 Lakewood Ct #128,Eugene,OR,97402,43000,2,1.0,246 - Lane Co: Danebo,792,,1973,7,54,,Active,,,https://www.redfin.com/OR/Eugene/1800-Lakewood-Ct-97402/unit-128/home/26114122,RMLS,24615844,N,Y,44.0813646,-123.1551785
MLS Listing,,Single Family Residential,320 N Grove Ct,Eugene,OR,97404,420000,4,2.0,248 - Lane Co: Santa Clara,1908,4356,1944,7,220,,Active,,,https://www.redfin.com/OR/Eugene/320-N-Grove-Ct-97404/home/25818177,RMLS,24397997,N,Y,44.1195793,-123.1337479
MLS Listing,,Single Family Residential,1980 Kimberly Dr,Eugene,OR,97405,945000,4,2.5,243 - Lane Co: East Eugene,2911,11761,1973,7,325,,Active,,,https://www.redfin.com/OR/Eugene/1980-Kimberly-Dr-97405/home/26151860,RMLS,24328705,N,Y,44.0186165,-123.063711
MLS Listing,,Mobile/Manufactured Home,1625 Henderson Ave Unit E16,Eugene,OR,97403,57900,2,2.0,249 - Lane Co: Springfield,900,,1969,7,64,,Active,,,https://www.redfin.com/OR/Eugene/1625-Henderson-Ave-97403/unit-E16/home/26178633,RMLS,24340061,N,Y,44.0415978,-123.0373531
MLS Listing,,Single Family Residential,440 Wilkie St,Eugene,OR,97402,325000,2,1.0,246 - Lane Co: Danebo,1362,7840,1932,7,239,,Active,,,https://www.redfin.com/OR/Eugene/440-Wilkie-St-97402/home/26202100,RMLS,24037317,N,Y,44.0666851,-123.1366133
MLS Listing,,Single Family Residential,84846 S Willamette St,Eugene,OR,97405,699000,4,2.0,243 - Lane Co: East Eugene,1904,503989,1962,7,367,,Active,,,https://www.redfin.com/OR/Eugene/84846-S-Willamette-St-97405/home/113860343,RMLS,24058080,N,Y,43.965063,-123.1080174
