SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,4169 Brookgreen Dr,Fairfax,VA,22033,690000,4,2.0,FAIR LAKES COURT,1860,1927,1999,2,371,115,Pre On-Market,,,https://www.redfin.com/VA/Fairfax/4169-Brookgreen-Dr-22033/home/9516918,BRIGHT MLS,VAFX2200302,N,Y,38.8676654,-77.3742334
MLS Listing,,Single Family Residential,9602 Braddock Rd,Fairfax,VA,22032,899500,4,3.5,OLDE FORGE,2964,10722,1966,7,303,,Active,,,https://www.redfin.com/VA/Fairfax/9602-Braddock-Rd-22032/home/9696152,BRIGHT MLS,VAFX2200038,N,Y,38.819642,-77.2762235
MLS Listing,,Condo/Co-op,12217 Fairfield House Dr Unit 109A,Fairfax,VA,22033,435000,2,2.0,FAIRFIELD HOUSE CONDO,1180,,1990,13,369,395,Active,September-22-2024 01:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/VA/Fairfax/12217-Fairfield-House-Dr-22033/unit-109A/home/9515851,BRIGHT MLS,VAFX2199792,N,Y,38.8633883,-77.370353
MLS Listing,,Townhouse,4605 Buckhorn Rdg,Fairfax,VA,22030,729900,3,3.0,FAIRFAX RIDGE,1720,1742,1997,13,424,139,Pre On-Market,,,https://www.redfin.com/VA/Fairfax/4605-Buckhorn-Rdg-22030/home/9609438,BRIGHT MLS,VAFX2199166,N,Y,38.8495615,-77.36388
MLS Listing,,Townhouse,2917 Everleigh Way,Fairfax,VA,22031,620000,3,2.5,COVINGTON,1320,1560,1980,14,470,87,Active,,,https://www.redfin.com/VA/Fairfax/2917-Everleigh-Way-22031/home/9538071,BRIGHT MLS,VAFX2199868,N,Y,38.8717488,-77.256378
MLS Listing,,Townhouse,3889 Rainier Dr,Fairfax,VA,22033,1189500,5,4.5,PENDER OAKS,3916,1892,2022,15,304,145,Active,,,https://www.redfin.com/VA/Fairfax/3889-Rainier-Dr-22033/home/172391559,BRIGHT MLS,VAFX2196474,N,Y,38.874783,-77.374756
MLS Listing,,Single Family Residential,11114 Byrd Dr,Fairfax,VA,22030,925000,5,3.5,FAIRFAX VILLA,2622,12015,1962,19,353,,Active,,,https://www.redfin.com/VA/Fairfax/11114-Byrd-Dr-22030/home/9614731,BRIGHT MLS,VAFX2192198,N,Y,38.8451472,-77.3312102
MLS Listing,,Condo/Co-op,10755 Fairgrounds Dr #337,Fairfax,VA,22030,690000,3,2.0,Fairfax,1321,,2022,66,522,617,Active,,,https://www.redfin.com/VA/Fairfax/10755-Fairgrounds-Dr-22030/unit-337/home/191213511,BRIGHT MLS,VAFC2004750,N,Y,38.8542055,-77.3145721
MLS Listing,,Vacant Land,11601 Braddock Rd,Fairfax,VA,22030,1700000,,,BRADDOCK ROAD,,276828,,83,,,Active,,,https://www.redfin.com/VA/Fairfax/11601-Braddock-Rd-22030/home/39592750,BRIGHT MLS,VAFX2188382,N,Y,38.832036,-77.347267
MLS Listing,,Condo/Co-op,4116-F Monument Ct #203,Fairfax,VA,22033,410000,2,2.0,FAIRMONT CONDO,1238,,1996,1,331,355,Pre On-Market,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Fairfax/4116-Monument-Ct-22033/unit-203/home/9516508,BRIGHT MLS,VAFX2202312,N,Y,38.8684356,-77.3682285
MLS Listing,,Single Family Residential,12414 Ox Hill Rd,Fairfax,VA,22033,950000,4,2.5,FAIR OAKS ESTATES,2533,9430,1981,1,375,23,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Fairfax/12414-Ox-Hill-Rd-22033/home/9498959,BRIGHT MLS,VAFX2199758,N,Y,38.878747,-77.3776132
MLS Listing,,Single Family Residential,4618 Gramlee Cir,Fairfax,VA,22032,950000,4,2.5,OLDE FORGE,2876,16434,1965,1,330,,Active,,,https://www.redfin.com/VA/Fairfax/4618-Gramlee-Cir-22032/home/9696112,BRIGHT MLS,VAFX2200934,N,Y,38.8236424,-77.2770929
MLS Listing,,Single Family Residential,3804 Richardson Pl,Fairfax,VA,22030,650000,3,2.0,TUSICO VILLA,2834,10001,1956,1,229,,Active,September-19-2024 05:00 PM,September-19-2024 07:00 PM,https://www.redfin.com/VA/Fairfax/3804-Richardson-Pl-22030/home/12027012,BRIGHT MLS,VAFC2005014,N,Y,38.8528003,-77.3106567
MLS Listing,,Single Family Residential,12415 Castner Ct,Fairfax,VA,22030,1599900,5,4.5,FIRST ADDITION TO,5509,46618,2002,1,290,28,Active,,,https://www.redfin.com/VA/Fairfax/12415-Castner-Ct-22030/home/9840414,BRIGHT MLS,VAFX2200612,N,Y,38.841269,-77.3776417
MLS Listing,,Condo/Co-op,9720 Kingsbridge Dr #002,Fairfax,VA,22031,299900,2,1.5,HAWTHORNE VILLAGE,1070,,1973,1,280,668,Active,September-22-2024 12:00 PM,September-22-2024 02:00 PM,https://www.redfin.com/VA/Fairfax/9720-Kingsbridge-Dr-22031/unit-002/home/143497958,BRIGHT MLS,VAFX2202316,N,Y,38.8688342,-77.2816867
MLS Listing,,Single Family Residential,3908 Egan Dr,Fairfax,VA,22030,725000,3,3.0,FAIRCHESTER,2577,10500,1959,1,281,,Pre On-Market,,,https://www.redfin.com/VA/Fairfax/3908-Egan-Dr-22030/home/12026317,BRIGHT MLS,VAFC2005112,N,Y,38.8549677,-77.3260875
MLS Listing,,Townhouse,13044 Red Admiral Pl,Fairfax,VA,22033,959000,5,4.5,WILLOW OAKS AT FAIR LAKES,4574,5134,2004,1,210,175,Active,,,https://www.redfin.com/VA/Fairfax/13044-Red-Admiral-Pl-22033/home/9844779,BRIGHT MLS,VAFX2202394,N,Y,38.8619107,-77.3984315
MLS Listing,,Townhouse,4051 Fairfax Center Hunt Trl,Fairfax,VA,22030,699800,3,3.5,FAIRFAX CENTER,1606,1950,2003,1,436,140,Pre On-Market,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/VA/Fairfax/4051-Fairfax-Center-Hunt-Trl-22030/home/9840841,BRIGHT MLS,VAFX2201378,N,Y,38.855171,-77.343978
MLS Listing,,Single Family Residential,3727 Valley Oaks Dr,Fairfax,VA,22033,1400000,4,3.5,FAIR OAKS GLEN,4265,8960,1999,1,328,90,Pre On-Market,,,https://www.redfin.com/VA/Fairfax/3727-Valley-Oaks-Dr-22033/home/9501802,BRIGHT MLS,VAFX2202384,N,Y,38.8845001,-77.3855696
MLS Listing,,Townhouse,4151 Timber Log Way,Fairfax,VA,22030,640000,2,2.5,RIDGE TOP ROAD,1530,1134,2002,1,418,148,Pre On-Market,,,https://www.redfin.com/VA/Fairfax/4151-Timber-Log-Way-22030/home/9840917,BRIGHT MLS,VAFX2202214,N,Y,38.8544931,-77.3432707
MLS Listing,,Townhouse,4522 English Holly Dr,Fairfax,VA,22030,755000,3,3.0,FAIR CHASE,2200,1760,2005,1,343,146,Pre On-Market,,,https://www.redfin.com/VA/Fairfax/4522-English-Holly-Dr-22030/home/9845448,BRIGHT MLS,VAFX2202332,N,Y,38.853994,-77.369161
MLS Listing,,Townhouse,11628-A Cavalier Landing Ct Unit 1405-A,Fairfax,VA,22030,450000,2,2.0,GREENS AT WESCOTT RIDGE,1128,,2002,1,399,323,Active,September-22-2024 12:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/VA/Fairfax/11628-Cavalier-Landing-Ct-22030/unit-1405-A/home/171826591,BRIGHT MLS,VAFX2200754,N,Y,38.8512463,-77.345394
MLS Listing,,Single Family Residential,10210 Stratford Ave,Fairfax,VA,22030,700000,5,2.5,LORD FAIRFAX ESTATES,2088,10857,1955,1,335,,Active,,,https://www.redfin.com/VA/Fairfax/10210-Stratford-Ave-22030/home/12027216,BRIGHT MLS,VAFC2005084,N,Y,38.859748,-77.2980309
MLS Listing,,Single Family Residential,9707 Saint Andrews Dr,Fairfax,VA,22030,825000,3,3.0,FAIRFAX COUNTRY CLUB EST,2506,16377,1958,2,329,,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/VA/Fairfax/9707-Saint-Andrews-Dr-22030/home/12030112,BRIGHT MLS,VAFC2005076,N,Y,38.8537757,-77.2802896
