SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6710 Silver Saddle Rd,Flagstaff,AZ,86004,1250000,6,4.0,Doney Park West,3846,104108,1986,47,325,,Active,,,https://www.redfin.com/AZ/Flagstaff/6710-Silver-Saddle-Rd-86004/home/116657384,NAZMLS,197791,N,Y,35.2690263,-111.5293574
MLS Listing,,Vacant Land,19 W Cedar Ave #8,Flagstaff,AZ,86001,444000,,,North West City,,10800,,152,,,Active,,,https://www.redfin.com/AZ/Flagstaff/19-W-Cedar-Ave-86001/unit-8/home/190547077,NAZMLS,196433,N,Y,35.212911,-111.643215
MLS Listing,,Single Family Residential,531 N Valerian Ln Lot 21,Flagstaff,AZ,86004,920673,4,3.5,Canyon Del Rio,2631,6000,2024,1,350,90,Active,,,https://www.redfin.com/AZ/Flagstaff/531-N-Valerian-Ln-86004/unit-21/home/192583959,NAZMLS,198326,N,Y,35.192681,-111.613135
MLS Listing,,Single Family Residential,2687 N Carefree Cir,Flagstaff,AZ,86004,1225000,4,3.0,EVERGREEN,3587,11761,1988,1,342,54,Active,,,https://www.redfin.com/AZ/Flagstaff/2687-N-Carefree-Cir-86004/home/116699756,ARMLS,6758121,N,Y,35.205608,-111.5885443
MLS Listing,,Condo/Co-op,5805 E Bear Paw Dr #12148,Flagstaff,AZ,86004,399000,1,1.5,Continental Cntry Clb,1069,958,1988,1,373,297,Active,,,https://www.redfin.com/AZ/Flagstaff/5805-E-Bear-Paw-Dr-86004/unit-12148/home/170310200,NAZMLS,198324,N,Y,35.2026153,-111.5733178
MLS Listing,,Townhouse,1326 E Trevor Way,Flagstaff,AZ,86001,655900,4,4.0,Rio Homes,2123,2396,2005,1,309,242,Active,,,https://www.redfin.com/AZ/Flagstaff/1326-E-Trevor-Way-86001/home/116892181,NAZMLS,198323,N,Y,35.1840434,-111.6396667
MLS Listing,,Townhouse,2510 E Eva Loop,Flagstaff,AZ,86004,425000,3,2.0,Lower Greenlaw,1358,2309,1991,1,313,165,Active,,,https://www.redfin.com/AZ/Flagstaff/2510-E-Eva-Loop-86004/home/116833166,NAZMLS,198315,N,Y,35.2161807,-111.609681
MLS Listing,,Single Family Residential,2261 W Mission Timber Cir,Flagstaff,AZ,86001,669000,4,2.5,Presidio,1936,3877,2020,2,346,29,Active,,,https://www.redfin.com/AZ/Flagstaff/2261-W-Mission-Timber-Cir-86001/home/116924210,NAZMLS,198313,N,Y,35.1833472,-111.685595
MLS Listing,,Single Family Residential,7298 Golden Eagle Dr,Flagstaff,AZ,86004,825000,3,2.0,Doney Park East,1600,107767,2020,3,516,,Active,,,https://www.redfin.com/AZ/Flagstaff/7298-Golden-Eagle-Dr-86004/home/116286488,NAZMLS,198312,N,Y,35.2663568,-111.5190383
MLS Listing,,Single Family Residential,3112 Pioneer Trl,Flagstaff,AZ,86005,750000,2,2.0,Lake Mary Meadows,1216,109703,2008,3,617,32,Active,,,https://www.redfin.com/AZ/Flagstaff/3112-Pioneer-Trl-86005/home/116241742,NAZMLS,198309,N,Y,35.0916127,-111.6290654
