SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3000 NW 8th Pl,Fort Lauderdale,FL,33311,138000,,,Washington Park Third Add,5251,5251,,22,26,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/3000-NW-8th-Pl-33311/home/192244943,Beaches MLS,F10458340,N,Y,26.1327623,-80.1849294
MLS Listing,,Condo/Co-op,2670 E Sunrise Blvd #1428,Fort Lauderdale,FL,33304,249900,1,1.0,GALLERY ONE CONDO,585,,1988,46,427,1815,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2670-E-Sunrise-Blvd-33304/unit-1428/home/42049395,MARMLS,A11632417,N,Y,26.1374752,-80.1092489
MLS Listing,,Condo/Co-op,3750 Galt Ocean Dr #2008,Fort Lauderdale,FL,33308,489900,1,1.5,Regency Tower South Condo,1187,,1970,53,413,984,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/3750-Galt-Ocean-Dr-33308/unit-2008/home/41711070,Beaches MLS,RX-11007469,N,Y,26.1740725,-80.0981731
MLS Listing,,Multi-Family (2-4 Unit),615 - 617 NE 9th Ave,Fort Lauderdale,FL,33304,2995000,10,7.0,Progresso 2-18 D,4487,,1957,60,667,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/615-NE-9th-Ave-33304/home/185849839,MARMLS,A11623177,N,Y,26.1305688,-80.1344359
MLS Listing,,Condo/Co-op,2421 NE 65th St #104,Fort Lauderdale,FL,33308,309000,1,1.0,Lauderdale One Condo,845,,2006,71,366,671,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2421-NE-65th-St-33308/unit-104/home/42062231,Beaches MLS,RX-11002316,N,Y,26.2092277,-80.108975
MLS Listing,,Condo/Co-op,315 NE 3rd Ave #1003,Fort Lauderdale,FL,33301,564000,2,2.5,Strada,1568,,2007,82,360,1727,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/315-NE-3rd-Ave-33301/unit-1003/home/42077034,Beaches MLS,F10447810,N,Y,26.1258143,-80.1410285
MLS Listing,,Condo/Co-op,45 Hendricks Isle #201,Fort Lauderdale,FL,33301,2175000,3,3.5,45 HENDRICKS CONDO,2979,,2007,85,730,2379,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/FL/Fort-Lauderdale/45-Hendricks-Isle-33301/unit-201/home/42061833,MARMLS,A11611277,N,Y,26.1219951,-80.122283
MLS Listing,,Condo/Co-op,505 N Fort Lauderdale Beach Blvd #605,Fort Lauderdale,FL,33304,320000,1,1.5,Q CLUB RESORT & RESIDENCE,906,,2006,112,353,2077,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/505-N-Beach-Blvd-33304/unit-605/home/42054049,MARMLS,A11591569,N,Y,26.1294954,-80.1039719
MLS Listing,,Single Family Residential,2990 NW 8th Pl,Fort Lauderdale,FL,33311,368000,4,2.0,Washington Park Third Add,1624,5251,1960,148,227,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2990-NW-8th-Pl-33311/home/41788025,Beaches MLS,F10435703,N,Y,26.1327644,-80.1848187
MLS Listing,,Single Family Residential,1531 NE 59th Pl,Fort Lauderdale,FL,33334,754999,2,2.0,Coral Ridge Isles,1352,7996,1965,1,558,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/1531-NE-59th-Pl-33334/home/41645705,Beaches MLS,F10461467,N,Y,26.2025018,-80.1256648
