SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4345 Willow Way Rd,Fort Worth,TX,76133,360000,4,2.0,Candleridge Add,2234,12110,1978,6,161,,Active,,,https://www.redfin.com/TX/Fort-Worth/4345-Willow-Way-Rd-76133/home/31453521,NTREIS,20721320,N,Y,32.6450828,-97.3867956
MLS Listing,,Single Family Residential,2525 Starwater Dr,Fort Worth,TX,76179,354700,4,2.0,Northpointe Ph 1a,2004,6011,2021,6,177,46,Active,,,https://www.redfin.com/TX/Fort-Worth/2525-Starwater-Dr-76179/home/183876678,NTREIS,20719392,N,Y,32.8980264,-97.4096186
MLS Listing,,Single Family Residential,767 Peach Ln,Burleson,TX,76028,388000,4,2.5,Mistletoe Hill Ph IV,2541,7405,2009,6,153,30,Active,,,https://www.redfin.com/TX/Burleson/767-Peach-Ln-76028/home/31283439,NTREIS,20715039,N,Y,32.5716547,-97.3337786
MLS Listing,,Single Family Residential,413 Roundrock Ln,Fort Worth,TX,76140,330000,4,2.5,Parks Of Deer Creek Add,2366,7275,2014,9,139,40,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/TX/Fort-Worth/413-Roundrock-Ln-76140/home/31083013,NTREIS,20709945,N,Y,32.5997797,-97.3256163
MLS Listing,,Single Family Residential,2862 Southpark Ln,Fort Worth,TX,76133,277777,3,2.0,South Ridge Add,2017,6708,1980,12,138,,Active,,,https://www.redfin.com/TX/Fort-Worth/2862-Southpark-Ln-76133/home/32079416,NTREIS,20720486,N,Y,32.644316,-97.3639844
MLS Listing,,Single Family Residential,5428 Whitman Ave,Fort Worth,TX,76133,239000,3,2.0,Wedgwood Add,1424,12371,1955,12,168,,Active,,,https://www.redfin.com/TX/Fort-Worth/5428-Whitman-Ave-76133/home/32160042,NTREIS,20720801,N,Y,32.6674064,-97.3837562
MLS Listing,,Single Family Residential,2532 6th Ave,Fort Worth,TX,76110,825000,3,3.0,Ryan Place Add,3074,7013,1924,13,268,,Active,,,https://www.redfin.com/TX/Fort-Worth/2532-6th-Ave-76110/home/32009132,NTREIS,20705002,N,Y,32.7144739,-97.3405197
MLS Listing,,Single Family Residential,8817 Greenhaven Dr,Fort Worth,TX,76179,329900,3,2.0,Lake Country Estates Add,1805,12153,1984,15,183,17,Active,,,https://www.redfin.com/TX/Fort-Worth/8817-Greenhaven-Dr-76179/home/31729714,NTREIS,20713057,N,Y,32.8845064,-97.4367989
MLS Listing,,Multi-Family (2-4 Unit),3904 Clarke Ave,Fort Worth,TX,76107,850000,6,5.0,Mc Cart Add,3692,7492,1978,21,230,,Active,,,https://www.redfin.com/TX/Fort-Worth/3904-Clarke-Ave-76107/home/32277561,NTREIS,20703398,N,Y,32.7481183,-97.3756563
MLS Listing,,Single Family Residential,4104 Meandering Ct,Lakeside,TX,76135,340000,3,2.0,Youngs Ella Lake Worth Add,1096,22303,1955,28,310,,Active,,,https://www.redfin.com/TX/Lakeside/4104-Meandering-Ct-76135/home/32228339,NTREIS,20696721,N,Y,32.8176144,-97.4791966
MLS Listing,,Single Family Residential,4321 Pershing Ave,Fort Worth,TX,76107,525000,2,1.0,Chamberlain Arl Heights 1st Add,1517,8756,1937,33,346,,Active,,,https://www.redfin.com/TX/Fort-Worth/4321-Pershing-Ave-76107/home/31472335,NTREIS,20699569,N,Y,32.7354575,-97.3831827
MLS Listing,,Single Family Residential,9153 Cottonwood Village Dr,Fort Worth,TX,76120,447500,4,2.5,Academy At Waterchase Add,2797,6970,2007,34,160,63,Active,,,https://www.redfin.com/TX/Fort-Worth/9153-Cottonwood-Village-Dr-76120/home/31164847,NTREIS,20694330,N,Y,32.7614377,-97.1530813
MLS Listing,,Single Family Residential,8821 Friendswood Dr,Fort Worth,TX,76123,320000,4,2.0,Summer Creek Ranch Add,2163,5750,2003,40,148,29,Active,,,https://www.redfin.com/TX/Fort-Worth/8821-Friendswood-Dr-76123/home/32488112,NTREIS,20691897,N,Y,32.6123187,-97.388797
MLS Listing,,Single Family Residential,5261 Gaucho Trl,Fort Worth,TX,76126,599900,4,3.5,Skyline Ranch,2868,7841,2020,40,209,40,Active,,,https://www.redfin.com/TX/Fort-Worth/5261-Gaucho-Trl-76126/home/169574367,NTREIS,20691259,N,Y,32.6749063,-97.4951586
MLS Listing,,Single Family Residential,1421 Eagle Feather Way,Fort Worth,TX,76052,825000,6,4.0,Sendera Ranch Ph Iii-3b,4393,11761,2022,41,188,46,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/TX/Haslet/1421-Eagle-Feather-Way-76052/home/182424928,NTREIS,20677090,N,Y,32.9928393,-97.3896893
MLS Listing,,Single Family Residential,1021 Triple Crown Dr,Fort Worth,TX,76179,340000,4,2.5,Remington Point Add,2741,5227,2001,41,124,30,Active,,,https://www.redfin.com/TX/Fort-Worth/1021-Triple-Crown-Dr-76179/home/32466507,NTREIS,20682576,N,Y,32.8450733,-97.3787414
MLS Listing,,Single Family Residential,2516 Prospect Hill Dr,Fort Worth,TX,76123,319900,4,2.5,Meadow Creek South Add,2180,5489,2005,43,147,20,Active,,,https://www.redfin.com/TX/Fort-Worth/2516-Prospect-Hill-Dr-76123/home/31029927,NTREIS,20684452,N,Y,32.6154907,-97.359151
MLS Listing,,Single Family Residential,10513 Lone Pine Ln,Fort Worth,TX,76108,339999,4,2.0,Chapel Creek,1868,8407,1996,51,182,,Active,,,https://www.redfin.com/TX/Fort-Worth/10513-Lone-Pine-Ln-76108/home/28937334,NTREIS,20680106,N,Y,32.7578143,-97.5060316
MLS Listing,,Single Family Residential,8400 Wildwest Dr,Fort Worth,TX,76131,339900,4,2.0,Bar C Ranch,1820,7710,2022,53,187,37,Active,,,https://www.redfin.com/TX/Fort-Worth/8400-Wildwest-Dr-76131/home/191770384,NTREIS,20682548,N,Y,32.8934189,-97.3720202
MLS Listing,,Single Family Residential,13352 Austin Stone Dr,Fort Worth,TX,76052,414900,5,3.0,Sendera Ranch,3036,12197,2004,57,137,40,Active,,,https://www.redfin.com/TX/Haslet/13352-Austin-Stone-Dr-76052/home/31037422,NTREIS,20671172,N,Y,32.9720453,-97.38384
MLS Listing,,Single Family Residential,4908 Calmont Ave,Fort Worth,TX,76107,369000,2,1.0,Chamberlain Arlington Heights 1st,1310,6273,1950,68,282,,Active,,,https://www.redfin.com/TX/Fort-Worth/4908-Calmont-Ave-76107/home/31468580,NTREIS,20637141,N,Y,32.7341315,-97.3936785
