SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,3741 Stone Barn Dr,Frederick,MD,21704,669000,3,2.5,Frederick,2228,1782,2023,1,300,154,Pre On-Market,,,https://www.redfin.com/MD/Frederick/3741-Stone-Barn-Dr-21704/home/177208784,BRIGHT MLS,MDFR2054300,N,Y,39.332631,-77.36665
MLS Listing,,Townhouse,209 E 4th St,Frederick,MD,21701,450000,3,1.5,DOWNTOWN,1236,2175,1900,1,364,,Pre On-Market,,,https://www.redfin.com/MD/Frederick/209-E-4th-St-21701/home/15227370,BRIGHT MLS,MDFR2054294,N,Y,39.4189425,-77.4066758
MLS Listing,,Townhouse,443 W South St,Frederick,MD,21701,369000,3,1.5,Frederick,1048,1957,1927,2,352,,Pre On-Market,,,https://www.redfin.com/MD/Frederick/443-W-South-St-21701/home/15179646,BRIGHT MLS,MDFR2054200,N,Y,39.411315,-77.4199871
MLS Listing,,Single Family Residential,5200 Maitland Ter,Frederick,MD,21703,833000,3,3.5,Frederick,5135,47045,2013,13,162,75,Active,,,https://www.redfin.com/MD/Frederick/5200-Maitland-Ter-21703/home/22636411,BRIGHT MLS,MDFR2053542,N,Y,39.4118838,-77.486969
MLS Listing,,Townhouse,2225 Bear Den Rd,Frederick,MD,21701,539000,4,3.5,WORMANS MILL,2284,2500,1997,14,236,114,Active,,,https://www.redfin.com/MD/Frederick/2225-Bear-Den-Rd-21701/home/15219028,BRIGHT MLS,MDFR2052566,N,Y,39.4543547,-77.3831106
MLS Listing,,Townhouse,410 Terry Ct Unit B6,Frederick,MD,21701,279000,3,2.0,Frederick,1100,,1984,20,254,355,Active,,,https://www.redfin.com/MD/Frederick/410-Terry-Ct-21701/unit-B6/home/15226403,BRIGHT MLS,MDFR2053430,N,Y,39.4038716,-77.4264715
MLS Listing,,Townhouse,5900 Forum Sq,Frederick,MD,21703,399000,3,2.5,JEFFERSON PLACE,2100,,2017,27,190,306,Active,,,https://www.redfin.com/MD/Frederick/5900-Forum-Sq-21703/home/144250767,BRIGHT MLS,MDFR2052608,N,Y,39.3951,-77.4535889
MLS Listing,,Single Family Residential,1203 Apollo Dr,Frederick,MD,21702,574900,4,2.5,TUSCARORA CREEK,1904,7514,2020,28,302,36,Active,,,https://www.redfin.com/MD/Frederick/1203-Apollo-Dr-21702/home/174680788,BRIGHT MLS,MDFR2052920,N,Y,39.468057,-77.432948
MLS Listing,,Townhouse,9001 Shady Pines Dr,Frederick,MD,21704,649000,5,4.5,VILLAGES OF URBANA,2400,1900,2021,33,270,154,Pre On-Market,,,https://www.redfin.com/MD/Frederick/9001-Shady-Pines-Dr-21704/home/174682101,BRIGHT MLS,MDFR2052942,N,Y,39.3309508,-77.3649302
MLS Listing,,Single Family Residential,6637 Jefferson Blvd,Frederick,MD,21703,500000,4,2.5,BRADDOCK HEIGHTS,1564,13200,1930,35,320,,Active,,,https://www.redfin.com/MD/Frederick/6637-Jefferson-Blvd-21703/home/15214122,BRIGHT MLS,MDFR2052758,N,Y,39.4151789,-77.5061748
MLS Listing,,Townhouse,463 Arwell Ct #463,Frederick,MD,21703,330000,3,1.5,FREDERICK HEIGHTS,1024,1742,1987,39,322,30,Active,,,https://www.redfin.com/MD/Frederick/463-Arwell-Ct-21703/unit-463/home/15222217,BRIGHT MLS,MDFR2050504,N,Y,39.4112112,-77.4471249
MLS Listing,,Single Family Residential,6709 Mount Phillip Rd,Frederick,MD,21703,650000,4,2.5,WEST PARK VILLAGE,2624,5352,2023,105,248,84,Active,,,https://www.redfin.com/MD/Frederick/6709-Mt-Phillip-Rd-21703/home/167611494,BRIGHT MLS,MDFR2049224,N,Y,39.416866,-77.467327
