SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9850 Ranchero Dr,Frisco,TX,75033,830000,5,3.5,The Trails Ph 5 Sec B,3756,7187,2006,4,221,88,Active,September-28-2024 02:00 PM,September-28-2024 04:00 PM,https://www.redfin.com/TX/Frisco/9850-Ranchero-Dr-75033/home/32571375,NTREIS,20709892,N,Y,33.1605926,-96.8753756
MLS Listing,,Single Family Residential,4002 Fairfield Pl,Frisco,TX,75035,585000,4,2.5,Prestmont - Ph III,2463,6970,1999,12,238,24,Active,,,https://www.redfin.com/TX/Frisco/4002-Fairfield-Pl-75035/home/32249603,NTREIS,20713070,N,Y,33.1120736,-96.7949211
MLS Listing,,Single Family Residential,13263 Cooper River Trl,Frisco,TX,75035,758000,3,2.5,Park Vista,2857,12153,2021,13,265,75,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/TX/Frisco/13263-Cooper-River-Trl-75035/home/176999100,NTREIS,20717223,N,Y,33.1736512,-96.7626195
MLS Listing,,Single Family Residential,8769 Fredrick Dr,Frisco,TX,75033,535000,4,3.0,Preston Highlands Village,2084,6098,2005,47,257,42,Active,,,https://www.redfin.com/TX/Frisco/8769-Fredrick-Dr-75033/home/31651413,NTREIS,20682320,N,Y,33.1698484,-96.8055595
MLS Listing,,Single Family Residential,9789 Robinwoods Dr,Frisco,TX,75035,795000,5,5.0,Crown Ridge Ph 3b,3874,8756,2014,58,205,60,Active,,,https://www.redfin.com/TX/Frisco/9789-Robinwoods-Dr-75035/home/101343492,NTREIS,20659113,N,Y,33.1962039,-96.7962877
MLS Listing,,Townhouse,11261 Lost Maples Trl,Frisco,TX,75035,685000,3,2.5,Park Vista,2009,2483,2022,61,341,250,Active,,,https://www.redfin.com/TX/Frisco/11261-Lost-Maples-Trl-75035/home/177779225,NTREIS,20673038,N,Y,33.170725,-96.765542
MLS Listing,,Single Family Residential,4 Spyglass Ct,Frisco,TX,75034,1279000,4,4.5,Stonebriar Sec I,4045,12807,1989,65,316,300,Active,,,https://www.redfin.com/TX/Frisco/4-Spyglass-Ct-75034/home/32803145,NTREIS,20614378,N,Y,33.0981817,-96.8446687
MLS Listing,,Single Family Residential,5252 Longvue Dr,Frisco,TX,75034,1500000,5,5.0,The Lakes On Legacy Drive Ph II,4734,9932,2000,82,317,208,Active,,,https://www.redfin.com/TX/Frisco/5252-Longvue-Dr-75034/home/33107997,NTREIS,20653222,N,Y,33.11357,-96.8419799
MLS Listing,,Single Family Residential,6917 Cinnabar Dr,Frisco,TX,75035,529000,4,3.5,Preston Vineyards Sec III Ph 2,2363,7219,1995,123,224,,Active,,,https://www.redfin.com/TX/Frisco/6917-Cinnabar-Dr-75035/home/32224352,NTREIS,20616065,N,Y,33.1362252,-96.7872928
MLS Listing,,Single Family Residential,525 Birch Valley Ct,Frisco,TX,75036,560000,2,2.0,Frisco Lakes Del Webb Ph 1a,2208,8146,2006,161,254,170,Active,,,https://www.redfin.com/TX/Frisco/525-Birch-Valley-Ct-75036/home/32633231,NTREIS,20576755,N,Y,33.142278,-96.8958646
MLS Listing,,Single Family Residential,4731 Wicklow Dr,Frisco,TX,75034,1175000,5,3.5,Heritage Green Ph 1,4413,12240,2001,1,266,42,Active,September-21-2024 03:00 PM,September-21-2024 05:00 PM,https://www.redfin.com/TX/Frisco/4731-Wicklow-Dr-75034/home/33127914,NTREIS,20724347,N,Y,33.1185649,-96.852187
MLS Listing,,Single Family Residential,3528 Melvina Dr,Frisco,TX,75033,1839264,5,6.0,The Fields Summit,4506,9104,2024,1,408,225,Active,,,https://www.redfin.com/TX/Frisco/3528-Melvina-Dr-75033/home/190855657,NTREIS,20729198,N,Y,33.1956904,-96.8575417
MLS Listing,,Single Family Residential,14582 Snowshill Dr,Frisco,TX,75035,729900,5,3.5,Turnbridge Manor Phase Two,3778,7590,2002,1,193,63,Active,,,https://www.redfin.com/TX/Frisco/14582-Snowshill-Dr-75035/home/32325635,NTREIS,20730617,N,Y,33.1246363,-96.7489947
MLS Listing,,Townhouse,7391 Panicum Dr,Frisco,TX,75033,550000,3,2.5,Frisco Springs,2241,3049,2020,1,245,340,Active,,,https://www.redfin.com/TX/Frisco/7391-Panicum-Dr-75033/home/169608418,NTREIS,20729955,N,Y,33.1798518,-96.8195324
MLS Listing,,Single Family Residential,2605 Wiregrass Rd,Frisco,TX,75033,749900,3,2.0,Hollyhock Ph 3,2207,8451,2021,1,340,192,Active,,,https://www.redfin.com/TX/Frisco/2605-Wiregrass-Rd-75033/home/167539021,NTREIS,20729765,N,Y,33.2110641,-96.8662876
MLS Listing,,Single Family Residential,3104 Hampshire Ct,Frisco,TX,75034,750000,3,2.5,Stonebriar Sec V North Ph 2,2283,6360,1994,2,329,300,Active,,,https://www.redfin.com/TX/Frisco/3104-Hampshire-Ct-75034/home/32840638,NTREIS,20724775,N,Y,33.1048347,-96.8434165
MLS Listing,,Single Family Residential,10127 Burnt Mill Ln,Frisco,TX,75035,719999,4,3.0,Village At Panther Creek Ph One The,3054,7841,2006,3,236,42,Active,,,https://www.redfin.com/TX/Frisco/10127-Burnt-Mill-Ln-75035/home/31593093,NTREIS,20729635,N,Y,33.1775508,-96.7923149
MLS Listing,,Single Family Residential,9312 Santee Ln,Frisco,TX,75033,749999,4,3.0,Meadow Creek Ph II,3202,8668,2010,3,234,36,Active,,,https://www.redfin.com/TX/Frisco/9312-Santee-Ln-75033/home/32707089,NTREIS,20729627,N,Y,33.1564291,-96.8790303
MLS Listing,,Single Family Residential,12224 Pennywise Dr,Frisco,TX,75035,674900,4,3.5,Village At Panther Creek Ph One The,3460,7405,2010,3,195,46,Active,,,https://www.redfin.com/TX/Frisco/12224-Pennywise-Dr-75035/home/31593129,NTREIS,20711187,N,Y,33.1786902,-96.7893647
MLS Listing,,Single Family Residential,14120 Esplanada Dr,Frisco,TX,75035,1250000,6,6.5,Miramonte Ph 3,5506,9583,2018,3,227,83,Active,September-20-2024 05:30 PM,September-20-2024 07:30 PM,https://www.redfin.com/TX/Frisco/14120-Esplanada-Dr-75035/home/144139890,NTREIS,20728958,N,Y,33.1945659,-96.7767581
MLS Listing,,Single Family Residential,754 Burnswick Isles Way,Frisco,TX,75036,450000,3,2.0,Frisco Lakes Del Webb Ph 1a,1676,5750,2006,4,268,170,Active,,,https://www.redfin.com/TX/Frisco/754-Burnswick-Isles-Way-75036/home/32633223,NTREIS,20726075,N,Y,33.1420112,-96.8974254
MLS Listing,,Single Family Residential,1380 Gleneagle Ln,Frisco,TX,75036,685000,4,2.5,Waterford Falls Ph Two A,2833,7362,2001,4,242,41,Active,,,https://www.redfin.com/TX/Frisco/1380-Gleneagle-Ln-75036/home/33155743,NTREIS,20728466,N,Y,33.149716,-96.8799276
MLS Listing,,Single Family Residential,2404 Greenwood Dr,Frisco,TX,75036,793000,4,3.5,Heritage Village Ph 1,3559,9496,2002,4,223,48,Active,,,https://www.redfin.com/TX/Frisco/2404-Greenwood-Dr-75036/home/33168090,NTREIS,20729005,N,Y,33.1455058,-96.8700829
MLS Listing,,Single Family Residential,7295 Prairie Flower Ln,Frisco,TX,75033,499000,4,2.0,Meadow Hill Estates Ph Three,2271,7405,2001,4,220,53,Active,,,https://www.redfin.com/TX/Frisco/7295-Prairie-Flower-Ln-75033/home/32296171,NTREIS,20724646,N,Y,33.1693202,-96.820702
MLS Listing,,Single Family Residential,13665 Woodford Ln,Frisco,TX,75035,1295000,5,5.0,Estates At Shaddock Park Ph 1,4220,7754,2019,4,307,78,Active,September-22-2024 03:00 PM,September-22-2024 04:30 PM,https://www.redfin.com/TX/Frisco/13665-Woodford-Ln-75035/home/167677515,NTREIS,20719258,N,Y,33.1532643,-96.7589039
MLS Listing,,Single Family Residential,15917 Weymouth Dr,Frisco,TX,75036,467900,3,2.0,Rivendale By The Lake Ph 1,1862,5881,2015,4,251,49,Active,,,https://www.redfin.com/TX/Frisco/15917-Weymouth-Dr-75036/home/59374567,NTREIS,20728718,N,Y,33.1550052,-96.9192311
MLS Listing,,Vacant Land,120 Fallwood St,Frisco,TX,75033,875000,,,The Preserve at Fields,,12993,,4,,833,Active,,,https://www.redfin.com/TX/Unknown/120-Fallwood-St-75033/home/192541448,NTREIS,20725862,N,Y,33.2028691,-96.85728412
MLS Listing,,Single Family Residential,10417 Burgundy Dr,Frisco,TX,75035,495000,3,2.5,Preston Vineyards Sec One,1792,5663,1992,4,276,,Active,,,https://www.redfin.com/TX/Frisco/10417-Burgundy-Dr-75035/home/32054543,NTREIS,20727391,N,Y,33.135138,-96.79073
MLS Listing,,Single Family Residential,9820 Chapel Trl,Frisco,TX,75033,819000,4,3.0,The Trails Ph 1 Sec B,3245,10542,1999,4,252,88,Active,,,https://www.redfin.com/TX/Frisco/9820-Chapel-Trl-75033/home/33059193,NTREIS,20726146,N,Y,33.159756,-96.8748624
MLS Listing,,Single Family Residential,3683 Whitney Dr,Frisco,TX,75034,875000,6,4.0,Village Lakes Ph 3,4283,8625,2012,4,204,63,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/TX/Frisco/3683-Whitney-Dr-75034/home/40606519,NTREIS,20727374,N,Y,33.1442986,-96.8574824
MLS Listing,,Single Family Residential,7070 Coulter Lake Rd,Frisco,TX,75036,1275000,5,4.5,Phillips Creek Ranch Ph 1,4009,9801,2017,4,318,202,Active,,,https://www.redfin.com/TX/Frisco/7070-Coulter-Lake-Rd-75036/home/109672846,NTREIS,20725252,N,Y,33.1379927,-96.8767182
MLS Listing,,Single Family Residential,3808 Wrexham St,Frisco,TX,75036,539999,4,4.0,Rivendale By The Lake Ph 2,2810,5489,2015,4,192,50,Active,,,https://www.redfin.com/TX/Frisco/3808-Wrexham-St-75036/home/109679059,NTREIS,20726040,N,Y,33.1579975,-96.9187724
MLS Listing,,Single Family Residential,3701 Fordham St,Frisco,TX,75036,474000,4,2.0,Rivendale By The Lake Ph 2,2033,5489,2015,4,233,54,Active,,,https://www.redfin.com/TX/Frisco/3701-Fordham-St-75036/home/109679583,NTREIS,20728582,N,Y,33.158949,-96.9200223
MLS Listing,,Single Family Residential,12409 Ocean Spray Dr,Frisco,TX,75036,410000,4,2.0,Hidden Cove Ph One,2120,6621,2007,4,193,73,Active,,,https://www.redfin.com/TX/Frisco/12409-Ocean-Spray-Dr-75036/home/32631056,NTREIS,20728603,N,Y,33.1418613,-96.9205689
MLS Listing,,Single Family Residential,4200 Curtiss Dr,Frisco,TX,75034,645000,3,3.0,Park West,2384,4400,2020,4,271,90,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/TX/Frisco/4200-Curtiss-Dr-75034/home/167527031,NTREIS,20708705,N,Y,33.1509031,-96.8518964
MLS Listing,,Single Family Residential,11108 Newport Dr,Frisco,TX,75035,399000,3,2.0,Plantation Resort Ph 2a The,1417,6098,1994,4,282,30,Active,,,https://www.redfin.com/TX/Frisco/11108-Newport-Dr-75035/home/32212505,NTREIS,20716153,N,Y,33.130383,-96.7819619
