SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1526 E Lexington Ave,Gilbert,AZ,85234,829500,4,3.0,BRIGHTON AMD,2610,7150,2017,5,318,120,Active,,,https://www.redfin.com/AZ/Gilbert/1526-E-Lexington-Ave-85234/home/120164955,ARMLS,6755392,N,Y,33.3554216,-111.7573686
MLS Listing,,Single Family Residential,961 E Blue Spruce Ln,Gilbert,AZ,85298,845000,6,3.5,FELTY FARMS,3128,6600,2006,12,270,106,Active,September-21-2024 10:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/AZ/Gilbert/961-E-Blue-Spruce-Ln-85298/home/27677448,ARMLS,6750625,N,Y,33.2489683,-111.7692034
MLS Listing,,Townhouse,1712 E Bridgeport Pkwy,Gilbert,AZ,85295,499000,3,3.5,VAL VISTA CLASSIC PARCEL 1 CONDOMINIUM BLOCKS 20 T,1915,833,2020,18,261,270,Active,,,https://www.redfin.com/AZ/Gilbert/1712-E-Bridgeport-Pkwy-85295/home/167766520,ARMLS,6750999,N,Y,33.3009393,-111.7532062
MLS Listing,,Single Family Residential,1415 E Black Diamond Dr,Gilbert,AZ,85296,749000,4,3.0,WESTERN SKIES ESTATES UNIT 1,3102,11439,1995,47,241,45,Active,,,https://www.redfin.com/AZ/Gilbert/1415-E-Black-Diamond-Dr-85296/home/28369561,ARMLS,6736116,N,Y,33.3288375,-111.7592514
MLS Listing,,Single Family Residential,2474 E Cherry Hill Dr,Gilbert,AZ,85298,860000,6,4.0,ADORA TRAILS PARCEL 15,3687,7475,2019,47,233,104,Active,,,https://www.redfin.com/AZ/Gilbert/2474-E-Cherry-Hill-Dr-85298/home/167764300,ARMLS,6737452,N,Y,33.2179885,-111.7365232
MLS Listing,,Single Family Residential,4151 E Cullumber Ct,Gilbert,AZ,85234,749900,5,4.0,HIGHLAND GROVES AT MORRISON RANCH,3098,6538,2005,60,242,133,Active,,,https://www.redfin.com/AZ/Gilbert/4151-E-Cullumber-Ct-85234/home/28150295,ARMLS,6733642,N,Y,33.3545669,-111.7011441
MLS Listing,,Single Family Residential,2123 E Aris Dr,Gilbert,AZ,85298,1825000,5,6.0,LEGACY AT FREEMAN FARMS AMD,4235,21060,2015,81,431,200,Active,,,https://www.redfin.com/AZ/Gilbert/2123-E-Aris-Dr-85298/home/95457606,ARMLS,6724152,N,Y,33.2401986,-111.7440511
MLS Listing,,Single Family Residential,234 E Avenida Sierra Madre --,Gilbert,AZ,85296,680000,3,2.0,COLONIA GRANDE,1915,11308,1983,107,355,,Active,,,https://www.redfin.com/AZ/Gilbert/234-E-Avenida-Sierra-Madre-85296/home/27148258,ARMLS,6706250,N,Y,33.3488945,-111.7839597
MLS Listing,,Single Family Residential,1704 S Rochester Dr,Gilbert,AZ,85295,725000,4,3.5,LYONS GATE PHASE 1 AND 2,3308,6990,2006,109,219,80,Active,,,https://www.redfin.com/AZ/Gilbert/1704-S-Rochester-Dr-85295/home/28258140,ARMLS,6712825,N,Y,33.3195874,-111.728218
MLS Listing,,Single Family Residential,4531 E Aspen Way,Gilbert,AZ,85234,700000,4,3.0,HIGHLAND RANCH AT SUPERSTITION SPRINGS,3746,8625,1997,185,187,75,Active,,,https://www.redfin.com/AZ/Gilbert/4531-E-Aspen-Way-85234/home/26875364,ARMLS,6669518,N,Y,33.3641724,-111.6935075
