SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2307 Robincrest Ln,Glenview,IL,60025,625000,3,3.0,Glenview / Golf,1587,9583,1955,6,394,,Active,,,https://www.redfin.com/IL/Glenview/2307-Robincrest-Ln-60025/home/12747128,MRED as Distributed by MLS Grid,12148804,N,Y,42.0664424,-87.8160689
MLS Listing,,Vacant Land,1651 Portage Run,Glenview,IL,60025,650000,,,Glenview / Golf,,88862,,32,,,Active,,,https://www.redfin.com/IL/Glenview/1651-Portage-Run-60025/home/170488338,MRED as Distributed by MLS Grid,12134631,N,Y,42.0845714,-87.8568505
MLS Listing,,Single Family Residential,2809 Helen Dr,Glenview,IL,60025,540000,3,2.0,Glenview / Golf,,9217,1968,1,,,Active,,,https://www.redfin.com/IL/Glenview/2809-Helen-Dr-60025/home/13678106,MRED as Distributed by MLS Grid,12164871,N,Y,42.059707,-87.8277038
MLS Listing,,Single Family Residential,2616 Pauline Ave,Glenview,IL,60025,469900,4,2.0,Glenview / Golf,1600,7605,1960,2,294,,Active,,,https://www.redfin.com/IL/Glenview/2616-Pauline-Ave-60025/home/13677428,MRED as Distributed by MLS Grid,12164732,N,Y,42.0569199,-87.823335
MLS Listing,,Single Family Residential,3510 Carol Ln,Northbrook,IL,60062,569900,3,2.0,Timber Trails,1950,10454,1962,3,292,,Active,,,https://www.redfin.com/IL/Northbrook/3510-Carol-Ln-60062/home/13799313,MRED as Distributed by MLS Grid,12163999,N,Y,42.0890314,-87.8757011
MLS Listing,,Single Family Residential,1133 Wildwood Ln,Glenview,IL,60025,2599000,6,6.5,Glenview / Golf,6600,19131,2009,4,394,,Active,,,https://www.redfin.com/IL/Glenview/1133-Wildwood-Ln-60025/home/18954876,MRED as Distributed by MLS Grid,12156145,N,Y,42.0862633,-87.7878572
MLS Listing,,Single Family Residential,1215 Heather Ln,Glenview,IL,60025,1595000,5,3.5,Glenview / Golf,4613,22490,1967,5,346,,Active,,,https://www.redfin.com/IL/Glenview/1215-Heather-Ln-60025/home/13634190,MRED as Distributed by MLS Grid,12161933,N,Y,42.0599477,-87.7896234
MLS Listing,,Single Family Residential,1526 Monterey Dr,Glenview,IL,60026,1675000,5,3.5,Southgate on the Glen,4024,11343,2000,5,416,80,Active,,,https://www.redfin.com/IL/Glenview/1526-Monterey-Dr-60026/home/12729422,MRED as Distributed by MLS Grid,12161138,N,Y,42.0826722,-87.8320579
MLS Listing,,Single Family Residential,411 Woodland Ct,Glenview,IL,60025,1850000,6,6.5,Glenview / Golf,7800,30491,1969,5,237,,Active,,,https://www.redfin.com/IL/Glenview/411-Woodland-Ct-60025/home/13633964,MRED as Distributed by MLS Grid,12162627,N,Y,42.0629288,-87.7802726
MLS Listing,,Townhouse,2818 Pawnee Cir,Glenview,IL,60026,699500,3,3.5,Glenview / Golf,2869,,1999,5,244,360,Active,,,https://www.redfin.com/IL/Glenview/2818-Pawnee-Cir-60026/home/12798301,MRED as Distributed by MLS Grid,12162471,N,Y,42.104749,-87.865117
MLS Listing,,Single Family Residential,1350 Buttonwood Ln,Glenview,IL,60025,1025000,4,2.5,Swainwood,,17454,1954,5,,,Active,,,https://www.redfin.com/IL/Glenview/1350-Buttonwood-Ln-60025/home/13794749,MRED as Distributed by MLS Grid,12161887,N,Y,42.0797592,-87.8112677
MLS Listing,,Single Family Residential,816 Echo Ln,Glenview,IL,60025,995000,4,3.5,Glenview / Golf,,8640,1981,5,,,Active,,,https://www.redfin.com/IL/Glenview/816-Echo-Ln-60025/home/13777974,MRED as Distributed by MLS Grid,12159391,N,Y,42.0694669,-87.7682099
MLS Listing,,Townhouse,1504 Topp Ln Unit E,Glenview,IL,60025,550000,3,2.5,Glenview / Golf,2100,12500,1972,5,262,200,Active,,,https://www.redfin.com/IL/Glenview/1504-Topp-Ln-60025/unit-E/home/13801309,MRED as Distributed by MLS Grid,12162151,N,Y,42.083537,-87.7958139
MLS Listing,,Condo/Co-op,10369 Dearlove Rd Unit 2A,Glenview,IL,60025,239900,3,2.0,Regency,,,1978,6,,464,Active,,,https://www.redfin.com/IL/Glenview/10369-Dearlove-Rd-60025/unit-2A/home/172337055,MRED as Distributed by MLS Grid,12161622,N,Y,42.0677159,-87.8560091
MLS Listing,,Single Family Residential,921 Huckleberry Ln,Glenview,IL,60025,1695000,5,4.5,Glenview / Golf,6000,12022,2003,6,283,,Active,,,https://www.redfin.com/IL/Glenview/921-Huckleberry-Ln-60025/home/13802619,MRED as Distributed by MLS Grid,12161473,N,Y,42.0854969,-87.7818928
MLS Listing,,Single Family Residential,3912 Brett Ln,Glenview,IL,60026,775000,4,3.0,Glenview / Golf,,10071,,6,,,Active,,,https://www.redfin.com/IL/Glenview/3912-Brett-Ln-60026/home/13798927,MRED as Distributed by MLS Grid,12161239,N,Y,42.0947191,-87.8524754
MLS Listing,,Townhouse,8702 Gregory Ln Unit B,Des Plaines,IL,60016,315000,3,1.5,Greenwood Park,1500,,1968,7,210,230,Active,,,https://www.redfin.com/IL/Des-Plaines/8702-Gregory-Ln-60016/unit-B/home/13677287,MRED as Distributed by MLS Grid,12155153,N,Y,42.0576721,-87.8440974
MLS Listing,,Townhouse,3079 Lexington Ln,Glenview,IL,60026,429000,2,2.0,Princeton Club,1526,,1997,7,281,620,Active,,,https://www.redfin.com/IL/Glenview/3079-Lexington-Ln-60026/home/192460200,MRED as Distributed by MLS Grid,12085604,N,Y,42.1066725,-87.8315565
MLS Listing,,Single Family Residential,821 Harlem Ave,Glenview,IL,60025,1450000,5,3.5,Glenview / Golf,4682,6751,2024,7,310,,Active,,,https://www.redfin.com/IL/Glenview/821-Harlem-Ave-60025/home/13792196,MRED as Distributed by MLS Grid,12160328,N,Y,42.070091,-87.805111
MLS Listing,,Single Family Residential,2407 Saranac Ln,Glenview,IL,60025,1195000,6,5.5,Indian Ridge,5000,,1988,8,239,108,Active,,,https://www.redfin.com/IL/Glenview/2407-Saranac-Ln-60026/home/13807001,MRED as Distributed by MLS Grid,12151256,N,Y,42.0985536,-87.8634123
