SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2618 Maunawai Pl #1,Honolulu,HI,96826,420000,2,1.0,Kapiolani,738,6621,1981,6,569,559,Active,,,https://www.redfin.com/HI/Honolulu/2618-Maunawai-Pl-96826/unit-1/home/88508635,HiCentral MLS,202420722,N,Y,21.2873817,-157.8192486
MLS Listing,,Condo/Co-op,88 Piikoi St Unit 3501/3502,Honolulu,HI,96814,1598000,2,2.0,Kakaako,1967,267981,1999,12,812,1673,Active,,,https://www.redfin.com/HI/Honolulu/88-Piikoi-St-96814/unit-3501-3502/home/68336256,HiCentral MLS,202419272,N,Y,21.2927813,-157.847431
MLS Listing,,Condo/Co-op,469 Ena Rd #3702,Honolulu,HI,96815,2400000,3,2.0,Waikiki,1626,,1971,18,1476,1332,Active,,,https://www.redfin.com/HI/Honolulu/469-Ena-Rd-96815/unit-3702/home/63835759,HiCentral MLS,202418706,N,Y,21.2869026,-157.8344475
MLS Listing,,Single Family Residential,2941 Laola Pl Unit B,Honolulu,HI,96813,1993000,3,3.5,Pacific Heights,2638,10000,1999,21,755,,Active,,,https://www.redfin.com/HI/Honolulu/2941-Laola-Pl-96813/unit-B/home/88488827,HiCentral MLS,202418361,N,Y,21.326099,-157.841974
MLS Listing,,Condo/Co-op,3054 Ala Poha Pl #1901,Honolulu,HI,96818,792000,3,2.0,Salt Lake,1044,124930,1995,25,759,861,Active,,,https://www.redfin.com/HI/Honolulu/3054-Ala-Poha-Pl-96818/unit-1901/home/88475612,HiCentral MLS,202418373,N,Y,21.3494905,-157.9043908
MLS Listing,,Single Family Residential,729 Ekela Ave,Honolulu,HI,96816,1610000,8,4.0,Kapahulu,2136,4302,1950,32,754,,Active,,,https://www.redfin.com/HI/Honolulu/729-Ekela-Ave-96816/home/64020859,HiCentral MLS,202418189,N,Y,21.2821417,-157.8160942
MLS Listing,,Condo/Co-op,999 Wilder Ave #504,Honolulu,HI,96822,916000,2,2.0,Punchbowl Area,1369,64382,1966,32,669,1685,Active,,,https://www.redfin.com/HI/Honolulu/999-Wilder-Ave-96822/unit-504/home/88494859,HiCentral MLS,202418105,N,Y,21.3089661,-157.8434268
MLS Listing,,Condo/Co-op,320 Liliuokalani Ave #2201,Honolulu,HI,96815,455000,2,1.0,Waikiki,684,14244,1978,34,665,1222,Active,,,https://www.redfin.com/HI/Honolulu/320-Liliuokalani-Ave-96815/unit-2201/home/63822818,HiCentral MLS,202418104,N,Y,21.2771727,-157.8209543
MLS Listing,,Condo/Co-op,2211 Ala Wai Blvd #2006,Honolulu,HI,96815,340000,1,1.0,Waikiki,413,47175,1976,34,823,701,Active,,,https://www.redfin.com/HI/Honolulu/2211-Ala-Wai-Blvd-96815/unit-2006/home/88502171,HiCentral MLS,202417813,N,Y,21.2823806,-157.8269389
MLS Listing,,Condo/Co-op,2140 Kuhio Ave #611,Honolulu,HI,96815,478000,1,1.0,Waikiki,553,31320,1974,34,864,977,Active,,,https://www.redfin.com/HI/Honolulu/2140-Kuhio-Ave-96815/unit-611/home/63782978,HiCentral MLS,202417805,N,Y,21.2825134,-157.8292034
