SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8815 Sharpview Dr,Houston,TX,77036,235000,4,2.0,Sharpstown Country Club Terrac,1951,8330,1968,1,120,21,Active,,,https://www.redfin.com/TX/Houston/8815-Sharpview-Dr-77036/home/30163589,HARMLS,41353621,N,Y,29.6979095,-95.5397868
MLS Listing,,Single Family Residential,9226 Kerrwood Ln,Houston,TX,77080,744900,4,2.5,Spring Branch Estates Sec 02,2389,23900,2000,1,312,2,Pre On-Market,,,https://www.redfin.com/TX/Houston/9226-Kerrwood-Ln-77080/home/29964751,HARMLS,8906440,N,Y,29.8124165,-95.5189606
MLS Listing,,Single Family Residential,1630 Live Oak St,Houston,TX,77003,430000,3,3.0,Signe Oaks,1972,1744,2007,2,218,83,Pre On-Market,,,https://www.redfin.com/TX/Houston/1630-Live-Oak-St-77003/home/29429455,HARMLS,84404476,N,Y,29.7438089,-95.3555556
MLS Listing,,Townhouse,52 Legend Ln,Houston,TX,77024,665000,3,3.0,Legend Lane T/h R/p,3005,2400,1973,4,221,167,Pre On-Market,,,https://www.redfin.com/TX/Houston/52-Legend-Ln-77024/home/30224114,HARMLS,31247262,N,Y,29.7614547,-95.5541347
MLS Listing,,Single Family Residential,13419 Popes Creek Ln,Houston,TX,77044,450000,4,2.5,Summerwood,2824,9044,2005,4,159,77,Pre On-Market,,,https://www.redfin.com/TX/Houston/13419-Popes-Creek-Ln-77044/home/29327676,HARMLS,3837776,N,Y,29.9213921,-95.1703141
MLS Listing,,Single Family Residential,3519 Westridge St,Houston,TX,77025,440000,3,2.0,Woodside Sec 02,2268,7504,1955,4,194,,Active,,,https://www.redfin.com/TX/Houston/3519-Westridge-St-77025/home/30069563,HARMLS,11520971,N,Y,29.6818421,-95.4323861
MLS Listing,,Single Family Residential,10026 Fairplum Dr,Houston,TX,77099,221000,3,2.0,Keegans Glen Sec 06 R/p,1216,5580,1983,4,182,26,Active,,,https://www.redfin.com/TX/Houston/10026-Fairplum-Dr-77099/home/30510379,HARMLS,77719320,N,Y,29.6687407,-95.5884563
MLS Listing,,Single Family Residential,2110 Willowlake Dr,Houston,TX,77077,430000,4,2.5,Shadowbriar,2755,8050,1981,4,156,52,Active,,,https://www.redfin.com/TX/Houston/2110-Willowlake-Dr-77077/home/30396094,HARMLS,88339652,N,Y,29.7424453,-95.5946755
MLS Listing,,Single Family Residential,5607 Evening Shore Dr,Houston,TX,77041,625000,5,3.5,Lakes On Eldridge,3942,10132,1995,5,159,155,Active,,,https://www.redfin.com/TX/Houston/5607-Evening-Shore-Dr-77041/home/30659674,HARMLS,27233327,N,Y,29.8494136,-95.5990056
MLS Listing,,Single Family Residential,3935 Alberta St,Houston,TX,77021,245000,4,2.0,Scott Terrace,1673,6150,1951,5,146,,Active,,,https://www.redfin.com/TX/Houston/3935-Alberta-St-77021/home/30019484,HARMLS,31165255,N,Y,29.6942115,-95.3596398
