SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3843 Planewood Dr,Indianapolis,IN,46235,239000,3,2.5,Deer Run,1801,10019,2003,5,133,10,Active,,,https://www.redfin.com/IN/Indianapolis/3843-Planewood-Dr-46235/home/60150337,MIBOR as Distributed by MLS Grid,22001350,N,Y,39.8281004,-85.9618301
MLS Listing,,Single Family Residential,12548 Castilla Pl,Indianapolis,IN,46236,415000,4,3.0,Persimmon Creek,3185,8973,2001,9,130,39,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/IN/Indianapolis/12548-Castilla-Pl-46236/home/82276544,MIBOR as Distributed by MLS Grid,22000051,N,Y,39.9031654,-85.9415127
MLS Listing,,Single Family Residential,8326 Ledyard Ct,Indianapolis,IN,46256,585000,4,3.5,Hamptons At Geist,4300,15551,1992,13,136,33,Active,,,https://www.redfin.com/IN/Indianapolis/8326-Ledyard-Ct-46256/home/76737599,MIBOR as Distributed by MLS Grid,21999529,N,Y,39.9078999,-85.9991675
MLS Listing,,Single Family Residential,8768 Wintergreen Way,Indianapolis,IN,46256,344000,4,2.5,The Village,1920,7928,1987,54,179,88,Active,,,https://www.redfin.com/IN/Indianapolis/8768-Wintergreen-Way-46256/home/82198776,MIBOR as Distributed by MLS Grid,21992058,N,Y,39.9153713,-86.0209763
MLS Listing,,Single Family Residential,7251 Birch Leaf Dr,Indianapolis,IN,46259,505000,5,3.0,Overlook At Birchwood Park,2992,14026,2019,61,169,55,Active,,,https://www.redfin.com/IN/Indianapolis/7251-Birch-Leaf-Dr-46259/home/170063348,MIBOR as Distributed by MLS Grid,21991366,N,Y,39.6614986,-86.0401531
MLS Listing,,Single Family Residential,8622 Cedar Key Dr,Indianapolis,IN,46256,339900,3,2.0,Village Woods,1492,18295,1988,61,228,32,Active,,,https://www.redfin.com/IN/Indianapolis/8622-Cedar-Key-Dr-46256/home/66997742,MIBOR as Distributed by MLS Grid,21990916,N,Y,39.9194195,-86.016487
MLS Listing,,Single Family Residential,6104 Pinnacle Blvd,Indianapolis,IN,46237,259000,3,2.5,Churchman Estates,1568,12496,1997,69,165,21,Active,,,https://www.redfin.com/IN/Indianapolis/6104-Pinnacle-Blvd-46237/home/60081055,MIBOR as Distributed by MLS Grid,21989501,N,Y,39.7066101,-86.0615201
MLS Listing,,Single Family Residential,1404 Lexington Ave,Indianapolis,IN,46203,444000,3,2.0,Fountain Square,3334,4182,1910,70,133,,Active,,,https://www.redfin.com/IN/Indianapolis/1404-Lexington-Ave-46203/home/66958109,MIBOR as Distributed by MLS Grid,21988930,N,Y,39.756278,-86.1355881
MLS Listing,,Single Family Residential,8130 Bounty Ct,Indianapolis,IN,46236,799000,7,4.5,Feather Cove,5101,35022,1989,82,157,42,Active,,,https://www.redfin.com/IN/Indianapolis/8130-Bounty-Ct-46236/home/61424529,MIBOR as Distributed by MLS Grid,21987626,N,Y,39.9022979,-85.9854262
MLS Listing,,Vacant Land,9255 E 82nd St,Indianapolis,IN,46256,995000,,,No Subdivision,,326264,,90,,,Active,,,https://www.redfin.com/IN/Indianapolis/9255-E-82nd-St-46256/home/82187796,MIBOR as Distributed by MLS Grid,21985828,N,Y,39.900821,-86.007376
