SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,206 Marinella Aisle,Irvine,CA,92606,1129800,3,2.5,Aventura (AVEN),1347,,1997,5,839,367,Active,,,https://www.redfin.com/CA/Irvine/206-Marinella-Aisle-92606/home/5703638,CRMLS,OC24189465,N,Y,33.689863,-117.811893
MLS Listing,,Condo/Co-op,128 Paramount,Irvine,CA,92618,1398000,3,3.5,Other (OTHR),1939,,2015,20,721,441,Active,,,https://www.redfin.com/CA/Irvine/128-Paramount-92618/home/143914886,CRMLS,OC24173731,N,Y,33.6865116,-117.7342706
MLS Listing,,Condo/Co-op,255 Chorus,Irvine,CA,92618,2349800,4,4.0,Other (OTHR),2963,,2019,25,793,215,Active,,,https://www.redfin.com/CA/Irvine/255-Chorus-92618/home/192182683,CRMLS,OC24172406,N,Y,33.6691157,-117.7197206
MLS Listing,,Condo/Co-op,72 Renewal,Irvine,CA,92618,1299900,3,3.0,Other (OTHR),2038,,2014,33,638,450,Active,,,https://www.redfin.com/CA/Irvine/72-Renewal-92618/home/167402909,CRMLS,OC24169206,N,Y,33.699236,-117.731395
MLS Listing,,Condo/Co-op,127 Stage,Irvine,CA,92618,1349900,3,2.5,Other (OTHR),1656,,2019,33,815,240,Active,,,https://www.redfin.com/CA/Irvine/127-Stage-92618/home/173437535,CRMLS,OC24167183,N,Y,33.6840918,-117.7182263
MLS Listing,,Condo/Co-op,38 Stepping Stone,Irvine,CA,92603,1150000,3,3.0,Casalon (CASA),1600,1600,2004,1,719,437,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/38-Stepping-Stone-92603/home/5953829,CRMLS,OC24192418,N,Y,33.653407,-117.780335
MLS Listing,,Condo/Co-op,99 Sawbuck,Irvine,CA,92618,2398000,4,4.5,Other (OTHR),3203,,2024,1,749,260,Active,,,https://www.redfin.com/CA/Irvine/99-Sawbuck-92618/home/190544837,CRMLS,OC24192772,N,Y,33.6677518,-117.7210821
MLS Listing,,Single Family Residential,15 Bascom St,Irvine,CA,92612,1950000,3,2.0,Other (OTHR),1592,5000,1965,1,1225,181,Active,,,https://www.redfin.com/CA/Irvine/15-Bascom-St-92612/home/4697892,CRMLS,OC24192621,N,Y,33.6654734,-117.8240684
MLS Listing,,Condo/Co-op,121 Toretta,Irvine,CA,92602,2450000,4,3.0,Other (OTHR),2424,,2020,1,1011,320,Active,,,https://www.redfin.com/CA/Irvine/121-Toretta-92602/home/169487168,CRMLS,OC24192419,N,Y,33.733414,-117.73988
MLS Listing,,Single Family Residential,11 Alaska,Irvine,CA,92606,2250000,5,3.0,699 - Not Defined,2719,4450,1998,1,828,169,Active,,,https://www.redfin.com/CA/Irvine/11-Alaska-92606/home/4678404,CRMLS,PW24191768,N,Y,33.7147763,-117.7914783
MLS Listing,,Single Family Residential,25 Finisterra,Irvine,CA,92614,1788000,3,2.5,Promenade (PR),1599,4050,1987,1,1118,53,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 05:00 PM,https://www.redfin.com/CA/Irvine/25-Finisterra-92614/home/4659356,CRMLS,OC24190148,N,Y,33.679153,-117.8256119
MLS Listing,,Townhouse,173 Oval Rd #2,Irvine,CA,92604,849979,3,2.0,Walnut Square (WS),1091,1100,1972,1,779,380,Active,September-21-2024 12:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/173-Oval-Rd-92604/unit-2/home/5345072,CRMLS,OC24164296,N,Y,33.6913671,-117.773696
MLS Listing,,Condo/Co-op,507 Rockefeller,Irvine,CA,92612,928000,1,1.5,Madison (CPWMD),1426,,2013,1,651,515,Active,September-21-2024 11:00 AM,September-21-2024 03:00 PM,https://www.redfin.com/CA/Irvine/507-Rockefeller-92612/home/58556886,CRMLS,ND24172445,N,Y,33.6765621,-117.8490977
MLS Listing,,Condo/Co-op,478 E Yale #16,Irvine,CA,92614,1598888,4,2.5,Garden Estates (GE),2326,,1984,1,687,619,Active,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/478-E-Yale-Loop-92614/unit-16/home/5668926,CRMLS,OC24187966,N,Y,33.6672069,-117.7994055
MLS Listing,,Condo/Co-op,402 Rockefeller #408,Irvine,CA,92612,1336000,2,2.5,Lennox (CPWLX),2081,,2012,1,642,1296,Active,,,https://www.redfin.com/CA/Irvine/402-Rockefeller-92612/unit-408/home/40102529,CRMLS,OC24191861,N,Y,33.6767786,-117.8482321
MLS Listing,,Single Family Residential,4201 Blackfin Ave,Irvine,CA,92620,1875000,4,3.0,Racquet Club (RC),2039,6000,1971,1,920,,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/4201-Blackfin-Ave-92620/home/4777120,CRMLS,PW24192081,N,Y,33.7138102,-117.7740071
MLS Listing,,Condo/Co-op,580 Cultivate,Irvine,CA,92618,1580000,3,3.0,699 - Not Defined,2033,2500,2019,2,777,250,Active,September-19-2024 10:00 AM,September-19-2024 02:00 PM,https://www.redfin.com/CA/Irvine/580-Cultivate-92618/home/169483495,CRMLS,OC24192072,N,Y,33.6830665,-117.7197485
MLS Listing,,Single Family Residential,113 Wanderer,Irvine,CA,92618,2898000,4,4.5,Other (OTHR),3122,3627,2018,3,928,183,Pre On-Market,,,https://www.redfin.com/CA/Irvine/113-Wanderer-92618/home/143912260,CRMLS,OC24189656,N,Y,33.6930454,-117.7070363
MLS Listing,,Single Family Residential,3852 Claremont St,Irvine,CA,92614,1590000,5,2.5,WP - Westpark,2067,5000,1971,3,769,75,Pre On-Market,,,https://www.redfin.com/CA/Irvine/3852-Claremont-St-92614/home/4656349,CRMLS,TR24186597,N,Y,33.6709533,-117.8244563
MLS Listing,,Condo/Co-op,2960 Champion Way #2716,Tustin,CA,92782,625000,1,1.0,Rancho Veracruz (RV),735,,1990,3,850,390,Active,,,https://www.redfin.com/CA/Tustin/2960-Champion-Way-92782/unit-2716/home/5623336,CRMLS,OC24191471,N,Y,33.7393135,-117.7771417
MLS Listing,,Single Family Residential,17 Diamante,Irvine,CA,92620,2000000,3,2.5,Park Paseo (PS),1915,7280,1980,3,1044,160,Active,,,https://www.redfin.com/CA/Irvine/17-Diamante-92620/home/4785997,CRMLS,PW24191455,N,Y,33.7173832,-117.7525769
MLS Listing,,Condo/Co-op,93 Canopy,Irvine,CA,92603,1799900,3,2.5,Laurel Quail Hill (LAUR),2073,,2003,3,868,286,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/93-Canopy-92603/home/5944506,CRMLS,OC24191503,N,Y,33.6457227,-117.7751113
MLS Listing,,Single Family Residential,60 Canyon Crk,Irvine,CA,92603,10999888,5,5.5,Shady Canyon Custom (SHDC),7112,22085,2005,3,1547,750,Active,,,https://www.redfin.com/CA/Irvine/60-Canyon-Crk-92603/home/5929769,CRMLS,NP24157338,N,Y,33.6388544,-117.7859649
MLS Listing,,Townhouse,410 E Yale Loop,Irvine,CA,92614,1700000,4,3.0,Garden Estates (GE),2371,,1985,3,717,619,Active,,,https://www.redfin.com/CA/Irvine/410-E-Yale-Loop-92614/home/192559981,CRMLS,OC24179269,N,Y,33.668199,-117.7945886
MLS Listing,,Condo/Co-op,523 Rockefeller,Irvine,CA,92612,915000,1,1.5,AA - Airport Area,1426,,2013,3,642,515,Pre On-Market,September-21-2024 10:00 AM,September-21-2024 02:00 PM,https://www.redfin.com/CA/Irvine/523-Rockefeller-92612/home/58556839,CRMLS,OC24191397,N,Y,33.6766571,-117.8490707
MLS Listing,,Single Family Residential,28 Cloister,Irvine,CA,92602,4199800,5,5.5,Saviero (OHSAV),4083,6162,2015,4,1029,289,Active,,,https://www.redfin.com/CA/Irvine/28-Cloister-92602/home/58551775,CRMLS,OC24191393,N,Y,33.7412636,-117.7599218
MLS Listing,,Condo/Co-op,32 Mirador,Irvine,CA,92612,2268000,3,3.0,Pointe - Turtle Rock (PO),2357,3800,1984,4,962,595,Active,,,https://www.redfin.com/CA/Irvine/32-Mirador-92612/home/184278130,CRMLS,OC24191379,N,Y,33.6485885,-117.7995138
MLS Listing,,Condo/Co-op,3131 Michelson Dr #603,Irvine,CA,92612,1200000,2,2.0,Marquee at Park Place (MARQ),1583,43560,2006,4,758,1362,Active,,,https://www.redfin.com/CA/Irvine/3131-Michelson-Dr-92612/unit-603/home/7219092,CRMLS,OC24188858,N,Y,33.6736938,-117.8437394
MLS Listing,,Condo/Co-op,65 Orange Blossom #80,Irvine,CA,92618,549900,1,1.0,Other (OTHR),814,,1976,4,676,418,Active,,,https://www.redfin.com/CA/Irvine/65-Orange-Blossom-92618/unit-80/home/5459005,CRMLS,OC24190276,N,Y,33.67269,-117.773239
MLS Listing,,Condo/Co-op,43 Glenhurst #24,Irvine,CA,92604,1097777,3,2.5,Parkside (PS),1383,,1979,4,794,499,Pre On-Market,,,https://www.redfin.com/CA/Irvine/43-Glenhurst-92604/unit-24/home/5516642,CRMLS,OC24191091,N,Y,33.6759302,-117.7829419
MLS Listing,,Condo/Co-op,139 Lamplighter,Irvine,CA,92620,1098800,2,2.0,Other (OTHR),1200,,2011,4,916,445,Active,,,https://www.redfin.com/CA/Irvine/139-Lamplighter-92620/home/40103459,CRMLS,OC24189723,N,Y,33.6977037,-117.747654
MLS Listing,,Condo/Co-op,22926 Caminito Nicosia #43,Laguna Hills,CA,92653,699900,2,1.0,Casa De Laguna (CL),954,1000,1977,4,734,500,Active,,,https://www.redfin.com/CA/Laguna-Hills/22926-Caminito-Nicosia-92653/unit-43/home/5468077,CRMLS,OC24191188,N,Y,33.6294261,-117.7410712
MLS Listing,,Condo/Co-op,120 Mighty Oak,Irvine,CA,92602,1300000,2,2.0,Entrata (OHENT),1458,,2015,4,892,392,Active,,,https://www.redfin.com/CA/Irvine/120-Mighty-Oak-92602/home/112729020,CRMLS,OC24191247,N,Y,33.7378824,-117.7497625
MLS Listing,,Condo/Co-op,240 Crescent Moon,Irvine,CA,92602,1960000,3,2.5,Vista Scena (OHVIS),1914,,2016,4,1024,430,Active,,,https://www.redfin.com/CA/Irvine/240-Crescent-Moon-92602/home/143915853,CRMLS,OC24190284,N,Y,33.7360267,-117.7472401
MLS Listing,,Condo/Co-op,94 Briarwood #103,Irvine,CA,92604,850000,2,1.5,Glen (WB) (GL),1037,,1978,4,820,620,Active,,,https://www.redfin.com/CA/Irvine/94-Briarwood-92604/unit-103/home/5507323,CRMLS,OC24188173,N,Y,33.6783894,-117.7860167
MLS Listing,,Condo/Co-op,206 Ashby,Irvine,CA,92618,1680000,3,3.5,PS - Portola Springs,2083,,2024,4,807,557,Pre On-Market,,,https://www.redfin.com/CA/Irvine/206-Ashby-92618/home/192545190,CRMLS,WS24191073,N,Y,33.6932755,-117.6914096
MLS Listing,,Condo/Co-op,239 Radial,Irvine,CA,92618,1550000,3,2.5,GP - Great Park,1810,2530,2016,4,856,240,Active,,,https://www.redfin.com/CA/Irvine/239-Radial-92618/home/143913827,CRMLS,AR24189799,N,Y,33.6886596,-117.7315416
MLS Listing,,Single Family Residential,48 Congress Pl,Irvine,CA,92602,1150000,2,2.5,Wisteria (WIST),1211,100,2002,4,950,215,Pre On-Market,,,https://www.redfin.com/CA/Irvine/48-Congress-Pl-92602/home/5917001,CRMLS,OC24190950,N,Y,33.7324416,-117.7775331
MLS Listing,,Condo/Co-op,33 Bianco,Irvine,CA,92618,1638888,3,2.5,Other (OTHR),1713,3000,2012,4,957,280,Active,,,https://www.redfin.com/CA/Irvine/33-Bianco-92618/home/45383500,CRMLS,OC24189367,N,Y,33.647386,-117.760081
MLS Listing,,Single Family Residential,134 Hyperion,Irvine,CA,92618,3380000,4,4.5,Other (OTHR),3225,7663,2024,4,1048,225,Active,,,https://www.redfin.com/CA/Irvine/134-Hyperion-92618/home/182269261,CRMLS,OC24190344,N,Y,33.686532,-117.704259
MLS Listing,,Condo/Co-op,162 Villa Rdg,Irvine,CA,92602,2525000,4,3.0,Other (OTHR),2424,,2022,4,1042,299,Active,,,https://www.redfin.com/CA/Irvine/162-Villa-Rdg-92602/home/191490174,CRMLS,OC24186134,N,Y,33.733496,-117.739888
MLS Listing,,Townhouse,25 Misty Mdws #18,Irvine,CA,92612,1750000,3,3.0,Vista (Turtle Rock) (VT),2091,100,1978,4,837,550,Active,September-18-2024 10:30 AM,September-18-2024 01:30 PM,https://www.redfin.com/CA/Irvine/25-Misty-Mdws-92612/unit-18/home/5496505,CRMLS,OC24187781,N,Y,33.65365,-117.8183561
MLS Listing,,Townhouse,202 Greenmoor #89,Irvine,CA,92614,1100000,3,2.5,WB - Woodbridge,1406,,1984,4,782,457,Active,September-21-2024 01:30 PM,September-21-2024 05:00 PM,https://www.redfin.com/CA/Irvine/202-Greenmoor-92614/unit-89/home/5653003,CRMLS,OC24181895,N,Y,33.6654379,-117.7990394
MLS Listing,,Condo/Co-op,20 Night Bloom,Irvine,CA,92602,1389900,3,2.5,Other (OTHR),1678,,2006,4,828,192,Active,October-5-2024 12:00 AM,October-5-2024 11:59 PM,https://www.redfin.com/CA/Irvine/20-Night-Bloom-92602/home/12256270,CRMLS,OC24184893,N,Y,33.713706,-117.7793219
MLS Listing,,Condo/Co-op,130 Sash,Irvine,CA,92618,2098000,4,3.0,GP - Great Park,2656,,2022,4,790,235,Active,,,https://www.redfin.com/CA/Irvine/130-Sash-92618/home/192353471,CRMLS,OC24176103,N,Y,33.6699817,-117.7083577
MLS Listing,,Condo/Co-op,9 Cerrito,Irvine,CA,92612,1280000,3,2.0,RSJ Townhomes (JH),1466,,1977,4,873,588,Active,,,https://www.redfin.com/CA/Irvine/9-Cerrito-92612/home/5431620,CRMLS,NP24185111,N,Y,33.6582431,-117.829733
MLS Listing,,Single Family Residential,27 Nevada,Irvine,CA,92606,2420000,5,3.5,Cambridge (CAMB),3062,6200,1998,4,790,177,Active,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/27-Nevada-92606/home/4678188,CRMLS,OC24187452,N,Y,33.7135396,-117.7934846
MLS Listing,,Condo/Co-op,77 Sarabande,Irvine,CA,92620,1720000,4,3.0,WD - Woodbury,2065,,2005,4,833,355,Active,,,https://www.redfin.com/CA/Irvine/77-Sarabande-92620/home/7210767,CRMLS,PW24187496,N,Y,33.6956157,-117.7530156
MLS Listing,,Condo/Co-op,25 deergrass,Irvine,CA,92618,1680000,4,3.0,STE - Stonegate East,1956,2617,2011,4,859,386,Active,,,https://www.redfin.com/CA/Irvine/25-Deergrass-92618/home/45383023,CRMLS,OC24185615,N,Y,33.6989771,-117.7368988
MLS Listing,,Condo/Co-op,85 Waldorf,Irvine,CA,92612,1296000,2,2.5,Other (OTHR),1989,,2010,5,652,515,Active,,,https://www.redfin.com/CA/Irvine/85-Waldorf-92612/home/112720996,CRMLS,OC24184059,N,Y,33.676025,-117.8499335
MLS Listing,,Single Family Residential,32 Amberhill,Irvine,CA,92602,2588000,4,3.0,Sheridan Square (SHSQ),3176,4967,2000,5,815,197,Active,,,https://www.redfin.com/CA/Irvine/32-Amberhill-92602/home/5768712,CRMLS,PW24188972,N,Y,33.7456626,-117.7669476
MLS Listing,,Single Family Residential,102 Linda Vis,Irvine,CA,92618,2078000,3,2.5,IRVINE,1890,3100,2022,5,1099,280,Active,,,https://www.redfin.com/CA/Irvine/102-Linda-Vis-92603/home/192528616,MLSListings,ML81980239,N,Y,33.639395,-117.7424001
MLS Listing,,Townhouse,32 Arboles #35,Irvine,CA,92612,1375000,2,2.5,RSJ Townhomes (JH),1645,1742,1975,5,836,588,Active,,,https://www.redfin.com/CA/Irvine/32-Arboles-92612/unit-35/home/5441921,CRMLS,OC24180024,N,Y,33.6586653,-117.835672
MLS Listing,,Single Family Residential,24 Beechwood,Irvine,CA,92604,2638000,5,3.0,Gables (GB),3168,5665,1978,5,833,139,Active,,,https://www.redfin.com/CA/Irvine/24-Beechwood-92604/home/4690987,CRMLS,OC24182836,N,Y,33.679681,-117.7950533
MLS Listing,,Single Family Residential,131 Parakeet,Irvine,CA,92620,2690000,4,3.0,Beverly (EVBEV),2563,4250,2021,5,1050,150,Active,,,https://www.redfin.com/CA/Irvine/131-Parakeet-92620/home/167385204,CRMLS,AR24186985,N,Y,33.7181617,-117.7450967
MLS Listing,,Single Family Residential,107 Summerland,Irvine,CA,92602,3499900,4,4.5,OH - Orchard Hills,3286,4470,2020,5,1065,320,Active,,,https://www.redfin.com/CA/Irvine/107-Summerland-92602/home/167379346,CRMLS,OC24183042,N,Y,33.732189,-117.7398569
MLS Listing,,Single Family Residential,12 Red Coat Pl,Irvine,CA,92602,1688000,3,2.5,WI - West Irvine,2004,3465,1997,5,842,,Active,September-21-2024 11:00 AM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Irvine/12-Red-Coat-Pl-92602/home/4792299,CRMLS,PW24189097,N,Y,33.7378251,-117.7716861
MLS Listing,,Single Family Residential,1 Wright,Irvine,CA,92620,1525000,3,2.0,Irvine,1507,5775,1977,5,1012,,Active,,,https://www.redfin.com/CA/Irvine/1-Wright-92620/home/4780171,SDMLS,240021686,N,Y,33.7030679,-117.7700311
MLS Listing,,Condo/Co-op,3141 Michelson Dr #301,Irvine,CA,92612,999000,2,2.0,Marquee at Park Place (MARQ),1293,,2006,5,773,1332,Pre On-Market,,,https://www.redfin.com/CA/Irvine/3141-Michelson-Dr-92612/unit-301/home/7211324,CRMLS,OC24189919,N,Y,33.6739906,-117.8431281
MLS Listing,,Single Family Residential,36 Elksford Ave #4,Irvine,CA,92604,669000,2,1.0,Walnut Square (WS),862,1100,1971,5,776,380,Active,,,https://www.redfin.com/CA/Irvine/36-Elksford-Ave-92604/unit-4/home/5329705,CRMLS,PW24185471,N,Y,33.691909,-117.7751148
MLS Listing,,Condo/Co-op,3059 Scholarship,Irvine,CA,92612,1850000,2,2.5,3000 The Plaza (3PLZ),2024,,2007,5,914,1949,Pre On-Market,,,https://www.redfin.com/CA/Irvine/3059-Scholarship-92612/home/21935404,CRMLS,OC24189880,N,Y,33.667131,-117.85241
MLS Listing,,Condo/Co-op,230 Harringay,Irvine,CA,92618,1268000,3,3.5,GP - Great Park,2036,1018,2018,5,623,486,Pre On-Market,,,https://www.redfin.com/CA/Irvine/230-Harringay-92618/home/169481695,CRMLS,OC24187331,N,Y,33.6864832,-117.7395135
MLS Listing,,Condo/Co-op,52 Clearbrook #53,Irvine,CA,92614,675000,3,2.0,Park Vista (PV),1164,,1980,5,580,506,Active,,,https://www.redfin.com/CA/Irvine/52-Clearbrook-92614/unit-53/home/5640928,CRMLS,OC24188723,N,Y,33.6667011,-117.8096937
MLS Listing,,Condo/Co-op,112 Character,Irvine,CA,92618,2050000,4,3.0,Other (OTHR),2798,,2019,5,733,215,Active,,,https://www.redfin.com/CA/Irvine/112-Character-92618/home/173436906,CRMLS,OC24188054,N,Y,33.6833451,-117.7253111
