SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11146 Engineering Way,Jacksonville,FL,32256,600000,3,2.5,Kettering At Etown,2308,6534,2022,7,260,31,Active,,,https://www.redfin.com/FL/Jacksonville/11146-Engineering-Way-32256/home/183326577,realMLS,2046670,N,Y,30.2008801,-81.5113462
MLS Listing,,Single Family Residential,3846 Sandy Shores Dr,Jacksonville,FL,32277,885000,5,3.5,Sandy Shores,3308,26571,1995,7,268,,Active,,,https://www.redfin.com/FL/Jacksonville/3846-Sandy-Shores-Dr-32277/home/72754882,realMLS,2045725,N,Y,30.3696548,-81.6146179
MLS Listing,,Multi-Family (2-4 Unit),1720 Union St W,Jacksonville,FL,32209,325000,8,4.0,McClellan Cunningham,2776,10018,1971,8,117,,Active,,,https://www.redfin.com/FL/Jacksonville/1720-Union-St-W-32209/home/62448199,realMLS,2046641,N,Y,30.3367852,-81.685079
MLS Listing,,Multi-Family (2-4 Unit),1710 Union St W,Jacksonville,FL,32209,325000,8,4.0,McClellan Cunningham,2776,6969,1971,8,117,,Active,,,https://www.redfin.com/FL/Jacksonville/1710-Union-St-W-32209/home/104508994,realMLS,2046638,N,Y,30.3369178,-81.6849
MLS Listing,,Single Family Residential,109 Perry Creek Dr,Jacksonville,FL,32220,299000,4,2.0,Hammock Plantation,1890,7405,2006,8,158,39,Active,,,https://www.redfin.com/FL/Jacksonville/109-Perry-Creek-Dr-32220/home/108808199,realMLS,2046531,N,Y,30.3143411,-81.862661
MLS Listing,,Single Family Residential,8060 Hastings St,Jacksonville,FL,32220,289000,3,2.0,Marietta,1470,5662,2018,11,197,,Active,,,https://www.redfin.com/FL/Jacksonville/8060-Hastings-St-32220/home/160375796,realMLS,2046096,N,Y,30.3176709,-81.7831477
MLS Listing,,Condo/Co-op,4308 Plaza Gate Ln S #201,Jacksonville,FL,32217,137000,2,2.0,Golfview Condominium,1247,1742,1969,11,110,520,Active,,,https://www.redfin.com/FL/Jacksonville/4308-Plaza-Gate-Ln-S-32217/unit-201/home/58758554,realMLS,2046092,N,Y,30.2303577,-81.6069832
MLS Listing,,Single Family Residential,4671 Quilting Cir,Jacksonville,FL,32257,579000,4,3.0,Olde Mandarin Estates,2282,8712,2024,12,254,74,Active,,,https://www.redfin.com/FL/Jacksonville/4671-Quilting-Cir-32257/home/189032857,realMLS,2044703,N,Y,30.1832378,-81.5943707
MLS Listing,,Single Family Residential,6445 Pottsburg Dr,Jacksonville,FL,32211,1500000,5,4.5,Seabrook Cove,3411,36590,2003,18,440,,Active,,,https://www.redfin.com/FL/Jacksonville/6445-Pottsburg-Dr-32211/home/58710769,realMLS,2045063,N,Y,30.3224789,-81.5924386
MLS Listing,,Condo/Co-op,1756 El Prado Rd #4,Jacksonville,FL,32216,128000,2,2.0,Southbrook Condo,992,871,1967,19,129,400,Active,,,https://www.redfin.com/FL/Jacksonville/1756-El-Prado-Rd-32216/unit-4/home/62068484,realMLS,2044770,N,Y,30.290955,-81.5814373
