SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),34 CONCORD St,Jersey City,NJ,07306,685000,3,2.0,Jersey City (Journal Square),,,,19,,,Active,,,https://www.redfin.com/NJ/Jersey-City/34-Concord-St-07306/home/36515196,HCMLS,240016939,N,Y,40.7335243,-74.0521971
MLS Listing,,Condo/Co-op,50 DEY St #225,Jersey City,NJ,07306,579900,1,2.0,Jersey City (Journal Square),1052,,,47,551,937,Active,,,https://www.redfin.com/NJ/Jersey-City/50-Dey-St-07306/unit-225/home/39921401,HCMLS,240014888,N,Y,40.7377266,-74.0665203
MLS Listing,,Condo/Co-op,3267 JOHN F KENNEDY Blvd #1,Jersey City,NJ,07306,499000,3,2.0,Jersey City (Heights),935,,,81,534,300,Active,,,https://www.redfin.com/NJ/Jersey-City/3267-John-F-Kennedy-Blvd-07306/unit-1/home/36429108,HCMLS,240012453,N,Y,40.7443669,-74.0588668
MLS Listing,,Multi-Family (2-4 Unit),411 Palisade Ave,Jersey City,NJ,07307,1300000,6,2.0,Jersey City,,2613,1880,1,,,Active,,,https://www.redfin.com/NJ/Jersey-City/411-Palisade-Ave-07307/home/145618736,MOMLS,22427008,N,Y,40.7428363,-74.0453158
MLS Listing,,Single Family Residential,241 CAMBRIDGE Ave,Jersey City,NJ,07307,589000,2,1.0,Jersey City (Heights),,,,1,,,Active,,,https://www.redfin.com/NJ/Jersey-City/241-Cambridge-Ave-07307/home/36520412,HCMLS,240018322,N,Y,40.7511062,-74.0452421
MLS Listing,,Condo/Co-op,227 MONTGOMERY St,Jersey City,NJ,07302,1175000,2,2.0,Jersey City (Downtown),1230,,,1,955,374,Active,September-22-2024 01:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/NJ/Jersey-City/227-Montgomery-St-07302/home/36506400,HCMLS,240018319,N,Y,40.7176044,-74.0449766
MLS Listing,,Single Family Residential,257 Woodlawn Ave,Jersey City,NJ,07305,899000,5,3.0,Jersey City,,2426,,1,,,Active,,,https://www.redfin.com/NJ/Jersey-City/257-Woodlawn-Ave-07305/home/36527434,NJMLS,24029936,N,Y,40.7057273,-74.0903751
MLS Listing,,Multi-Family (2-4 Unit),397 COMMUNIPAW Ave,Jersey City,NJ,07304,1375000,8,4.0,Jersey City (Bergen-Lafayette),,,,1,,,Active,,,https://www.redfin.com/NJ/Jersey-City/397-Communipaw-Ave-07304/home/36577700,HCMLS,240018294,N,Y,40.7126758,-74.064447
MLS Listing,,Condo/Co-op,109 LIBERTY VIEW Dr #173,Jersey City,NJ,07302,849000,2,1.0,Jersey City (Downtown),937,,,1,906,580,Active,September-19-2024 05:00 PM,September-19-2024 07:00 PM,https://www.redfin.com/NJ/Jersey-City/109-Liberty-View-Dr-07302/unit-173/home/50258670,HCMLS,240018293,N,Y,40.7159242,-74.047252
MLS Listing,,Multi-Family (2-4 Unit),160 HOPKINS Ave,Jersey City,NJ,07306,799900,5,2.0,Jersey City (Heights),,,,1,,,Active,,,https://www.redfin.com/NJ/Jersey-City/160-Hopkins-Ave-07306/home/36516015,HCMLS,240018277,N,Y,40.7377255,-74.0572186
MLS Listing,,Multi-Family (2-4 Unit),608 PALISADE Ave,Jersey City,NJ,07307,849777,3,3.0,Jersey City (Heights),,,,1,,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/NJ/Jersey-City/608-Palisade-Ave-07307/home/36520251,HCMLS,240018248,N,Y,40.749217,-74.0407195
MLS Listing,,Condo/Co-op,45 RIVER Dr S #1601,Jersey City,NJ,07310,485000,,,Jersey City (Downtown),567,,,1,855,,Active,September-18-2024 05:00 PM,September-18-2024 07:00 PM,https://www.redfin.com/NJ/Jersey-City/45-River-Dr-S-07310/unit-1601/home/40622023,HCMLS,240018245,N,Y,40.728265,-74.033484
MLS Listing,,Condo/Co-op,232 PAVONIA Ave #517,Jersey City,NJ,07302,730000,1,1.0,Jersey City (Downtown),861,,,1,848,610,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/NJ/Jersey-City/232-Pavonia-Ave-07302/unit-517/home/59142047,HCMLS,240018238,N,Y,40.7278401,-74.0435474
MLS Listing,,Single Family Residential,51 Concord St,Jersey City,NJ,07306,889000,2,2.0,Jersey City,,,,1,,,Active,,,https://www.redfin.com/NJ/Jersey-City/51-Concord-St-07306/home/184723915,NJMLS,24029842,N,Y,40.7342863,-74.0518718
MLS Listing,,Condo/Co-op,2600 KENNEDY Blvd Unit 7G,Jersey City,NJ,07306,409999,2,1.0,Jersey City (Journal Square),1150,,,1,357,777,Active,,,https://www.redfin.com/NJ/Jersey-City/2600-John-F-Kennedy-Blvd-07306/unit-7G/home/59175703,HCMLS,240018230,N,Y,40.7253544,-74.0728868
MLS Listing,,Condo/Co-op,203 SHEARWATER Ct W #22,Jersey City,NJ,07305,349900,1,1.0,Jersey City (Greenville),750,,,2,467,1085,Active,,,https://www.redfin.com/NJ/Jersey-City/203-Shearwater-Ct-W-07305/unit-22/home/40622565,HCMLS,240018206,N,Y,40.6875949,-74.0731669
MLS Listing,,Condo/Co-op,88 PROSPECT St #1,Jersey City,NJ,07305,879999,4,3.0,Jersey City (Heights),2317,,,3,380,,Active,,,https://www.redfin.com/NJ/Jersey-City/88-Prospect-St-07307/unit-1/home/145282076,HCMLS,240018195,N,Y,40.7390222,-74.0510915
MLS Listing,,Condo/Co-op,414 NEW YORK Ave Unit D,Jersey City,NJ,07307,999000,3,2.0,Jersey City (Heights),1373,,,3,728,,Active,,,https://www.redfin.com/NJ/Jersey-City/414-New-York-Ave-07307/unit-D/home/192547728,HCMLS,240018193,N,Y,40.7501217,-74.041189
MLS Listing,,Condo/Co-op,126 WEBSTER Ave Unit 3B,Jersey City,NJ,07307,749900,1,1.0,Jersey City (Heights),1379,,,3,544,551,Active,,,https://www.redfin.com/NJ/Jersey-City/126-Webster-Ave-07307/unit-3B/home/173782115,HCMLS,240018189,N,Y,40.7427163,-74.0466984
MLS Listing,,Condo/Co-op,4 CONSTELLATION Pl #310,Jersey City,NJ,07305,569000,2,2.0,Jersey City (Greenville),1510,,,3,377,1262,Active,,,https://www.redfin.com/NJ/Jersey-City/4-Constellation-Pl-07305/unit-310/home/40617952,HCMLS,240018187,N,Y,40.6893659,-74.074383
MLS Listing,,Condo/Co-op,2 2ND St #2703,Jersey City,NJ,07302,1900000,2,2.5,Jersey City (Downtown),1373,,,3,1384,1078,Active,,,https://www.redfin.com/NJ/Jersey-City/2-2nd-St-07302/unit-2703/home/39922107,HCMLS,240018186,N,Y,40.7215519,-74.03182
MLS Listing,,Condo/Co-op,420 OGDEN Ave #2,Jersey City,NJ,07307,1500000,3,2.0,Jersey City (Heights),,,,3,,350,Active,,,https://www.redfin.com/NJ/Jersey-City/420-Ogden-Ave-07307/unit-2/home/190833120,HCMLS,240018182,N,Y,40.7477574,-74.040661
MLS Listing,,Condo/Co-op,418 OGDEN Ave #1,Jersey City,NJ,07307,1650000,3,3.0,Jersey City (Heights),,,,3,,350,Active,,,https://www.redfin.com/NJ/Jersey-City/418-Ogden-Ave-07307/unit-1/home/190831229,HCMLS,240018180,N,Y,40.7476539,-74.040485
MLS Listing,,Condo/Co-op,418 OGDEN Ave #2,Jersey City,NJ,07307,1500000,3,2.0,Jersey City (Heights),,,,3,,350,Active,,,https://www.redfin.com/NJ/Jersey-City/418-Ogden-Ave-07307/unit-2/home/190832875,HCMLS,240018178,N,Y,40.7476539,-74.040485
MLS Listing,,Multi-Family (2-4 Unit),57 DWIGHT St,Jersey City,NJ,07305,649000,5,2.0,Jersey City (Greenville),,,,3,,,Active,,,https://www.redfin.com/NJ/Jersey-City/57-Dwight-St-07305/home/36542004,HCMLS,240018161,N,Y,40.701899,-74.0814258
MLS Listing,,Single Family Residential,189 CLAREMONT Ave,Jersey City,NJ,07305,499000,3,3.0,Jersey City (Greenville),1500,,,3,333,,Active,,,https://www.redfin.com/NJ/Jersey-City/189-Claremont-Ave-07305/home/36574336,HCMLS,240018146,N,Y,40.7103747,-74.0816001
MLS Listing,,Condo/Co-op,81 ASTOR Pl #2,Jersey City,NJ,07304,875000,3,2.5,Jersey City (Journal Square),1726,,,3,507,,Active,,,https://www.redfin.com/NJ/Jersey-City/81-Astor-Pl-07304/unit-2/home/36570754,HCMLS,240018139,N,Y,40.718579,-74.069799
MLS Listing,,Condo/Co-op,138 LEONARD St Unit 3L,Jersey City,NJ,07307,565000,2,2.0,Jersey City (Heights),976,,,3,579,325,Active,,,https://www.redfin.com/NJ/Jersey-City/138-Leonard-St-07307/unit-3L/home/192540584,HCMLS,240018132,N,Y,40.757235,-74.049168
MLS Listing,,Condo/Co-op,196 DELAWARE Ave #2,Jersey City,NJ,07306,699000,3,2.0,Jersey City (Journal Square),1225,,,3,571,,Active,,,https://www.redfin.com/NJ/Jersey-City/196-Delaware-Ave-07306/unit-2/home/179990836,HCMLS,240018131,N,Y,40.727543,-74.07688
MLS Listing,,Single Family Residential,530 Liberty Ave,Jersey City,NJ,07307,950000,5,2.0,Jersey City,,2500,,3,,,Active,,,https://www.redfin.com/NJ/Jersey-City/530-Liberty-Ave-07307/home/36523762,NJMLS,24029664,N,Y,40.7546893,-74.0534176
MLS Listing,,Multi-Family (2-4 Unit),43 GRACE St,Jersey City,NJ,07307,1799000,6,4.5,Jersey City (Heights),,,,3,,,Active,,,https://www.redfin.com/NJ/Jersey-City/43-Grace-St-07307/home/36520853,HCMLS,240018123,N,Y,40.754529,-74.0452625
MLS Listing,,Single Family Residential,55 GARDNER Ave,Jersey City,NJ,07304,550000,4,2.0,Jersey City (Journal Square),,,,3,,,Active,,,https://www.redfin.com/NJ/Jersey-City/55-Gardner-Ave-07304/home/36568367,HCMLS,240018118,N,Y,40.7201421,-74.069587
MLS Listing,,Condo/Co-op,360 1/2 5TH St Unit TRIPLEX,Jersey City,NJ,07302,1850000,4,3.0,Jersey City (Downtown),2350,,,3,787,,Active,,,https://www.redfin.com/NJ/Jersey-City/334-1-2-5th-St-07302/unit-TRIPLEX/home/192537693,HCMLS,240018115,N,Y,40.7252012,-74.048654
MLS Listing,,Condo/Co-op,527 CENTRAL Ave Unit B,Jersey City,NJ,07307,1075000,3,2.0,Jersey City (Heights),1652,,,3,651,,Active,,,https://www.redfin.com/NJ/Jersey-City/527-Central-Ave-07307/unit-B/home/192537470,HCMLS,240018114,N,Y,40.7526677,-74.0449986
MLS Listing,,Condo/Co-op,75 PARK Ln S #3004,Jersey City,NJ,07310,1890000,2,2.5,Jersey City (Downtown),1410,,,3,1340,1202,Active,,,https://www.redfin.com/NJ/Jersey-City/75-Park-Ln-S-07310/unit-3004/home/171593868,HCMLS,240018111,N,Y,40.7311011,-74.033001
MLS Listing,,Condo/Co-op,151 BAY St #1604,Jersey City,NJ,07302,1825000,3,2.0,Jersey City (Downtown),1446,,,3,1262,,Active,,,https://www.redfin.com/NJ/Jersey-City/151-Bay-St-07302/unit-1604/home/192536538,HCMLS,240018105,N,Y,40.7204602,-74.0400927
MLS Listing,,Single Family Residential,168 GRAND St,Jersey City,NJ,07302,2000000,4,3.5,Jersey City (Downtown),,,,4,,,Active,,,https://www.redfin.com/NJ/Jersey-City/168-Grand-St-07302/home/36506705,HCMLS,240018103,N,Y,40.7159193,-74.0414246
MLS Listing,,Multi-Family (2-4 Unit),64 OAK St,Jersey City,NJ,07304,499900,2,3.0,Jersey City (Bergen-Lafayette),,,,4,,,Active,,,https://www.redfin.com/NJ/Jersey-City/64-Oak-St-07304/home/36574588,HCMLS,240018079,N,Y,40.714022,-74.0769985
MLS Listing,,Condo/Co-op,414 NEW YORK Ave Unit C,Jersey City,NJ,07307,699000,2,2.0,Jersey City (Heights),1073,,,4,651,,Active,,,https://www.redfin.com/NJ/Jersey-City/414-New-York-Ave-07307/unit-C/home/192525144,HCMLS,240018077,N,Y,40.7501217,-74.041189
MLS Listing,,Single Family Residential,252 Woodlawn Ave,Jersey City,NJ,07305,749900,3,1.5,Jersey City,,2426,,4,,,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/NJ/Jersey-City/252-Woodlawn-Ave-07305/home/36527250,NJMLS,24029566,N,Y,40.7058459,-74.0898497
MLS Listing,,Single Family Residential,116 CLINTON Ave,Jersey City,NJ,07304,749000,3,2.0,Jersey City (Bergen-Lafayette),,,,4,,,Active,,,https://www.redfin.com/NJ/Jersey-City/116-Clinton-Ave-07304/home/36571152,HCMLS,240018059,N,Y,40.7176471,-74.0759051
MLS Listing,,Condo/Co-op,30 GRAHAM St #2,Jersey City,NJ,07307,999000,3,2.0,Jersey City (Heights),1650,,,4,605,,Active,,,https://www.redfin.com/NJ/Jersey-City/30-Graham-St-07307/unit-2/home/192523788,HCMLS,240018052,N,Y,40.7521898,-74.0466573
MLS Listing,,Condo/Co-op,149 ESSEX St Unit 2L,Jersey City,NJ,07302,899000,2,2.0,Jersey City (Downtown),936,,,4,960,736,Active,,,https://www.redfin.com/NJ/Jersey-City/149-Essex-St-07302/unit-2L/home/40616076,HCMLS,240018051,N,Y,40.7130338,-74.0409366
MLS Listing,,Condo/Co-op,277 Harrison Ave Unit E7,Jersey City,NJ,07304,399000,2,1.0,Jersey City,1306,,,4,306,750,Active,,,https://www.redfin.com/NJ/Jersey-City/277-Harrison-Ave-07304/unit-E7/home/148144756,NJMLS,24029529,N,Y,40.7214002,-74.0801857
MLS Listing,,Condo/Co-op,227 4TH St #402,Jersey City,NJ,07302,940000,2,2.0,Jersey City (Downtown),1000,,,4,940,461,Active,,,https://www.redfin.com/NJ/Jersey-City/227-4th-St-07302/unit-402/home/113667440,HCMLS,240018048,N,Y,40.7238332,-74.0438225
MLS Listing,,Condo/Co-op,30 GRAHAM St #1,Jersey City,NJ,07307,1075000,3,2.5,Jersey City (Heights),1650,,,4,652,,Active,,,https://www.redfin.com/NJ/Jersey-City/30-Graham-St-07307/unit-1/home/192523491,HCMLS,240018046,N,Y,40.7521898,-74.0466573
MLS Listing,,Condo/Co-op,144 HANCOCK Ave #2,Jersey City,NJ,07307,869000,3,2.0,Jersey City (Heights),1445,,,4,601,147,Active,,,https://www.redfin.com/NJ/Jersey-City/144-Hancock-Ave-07307/unit-2/home/175241576,HCMLS,240018031,N,Y,40.7474059,-74.0460084
MLS Listing,,Condo/Co-op,414 NEW YORK Ave Unit A,Jersey City,NJ,07307,899000,3,2.0,Jersey City (Heights),1307,,,4,688,,Active,,,https://www.redfin.com/NJ/Jersey-City/414-New-York-Ave-07307/unit-A/home/192519163,HCMLS,240018026,N,Y,40.7501217,-74.041189
MLS Listing,,Condo/Co-op,285 8TH St Unit 1R,Jersey City,NJ,07302,1075000,2,3.0,Jersey City (Downtown),1484,,,4,724,650,Active,,,https://www.redfin.com/NJ/Jersey-City/285-8th-St-07302/unit-1R/home/173783596,HCMLS,240018014,N,Y,40.7269005,-74.0460259
MLS Listing,,Single Family Residential,22 HOWARD Pl,Jersey City,NJ,07306,850000,5,3.5,Jersey City (Journal Square),,,,4,,,Active,,,https://www.redfin.com/NJ/Jersey-City/22-Howard-Pl-07306/home/36568343,HCMLS,240018010,N,Y,40.7218379,-74.0669725
