SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10611 N Northbrooke Dr,Kansas City,MO,64155,525000,3,3.0,Meadowbrook Heights,2872,56628,2002,7,183,,Active,,,https://www.redfin.com/MO/Kansas-City/10611-N-Northbrooke-Dr-64155/home/78238300,Heartland MLS as Distributed by MLS Grid,2509536,N,Y,39.2872253,-94.5821517
MLS Listing,,Single Family Residential,118 NE 109th St,Kansas City,MO,64155,315000,3,2.0,Havenwood,1354,10018,1988,12,233,,Active,September-19-2024 06:00 PM,September-19-2024 08:00 PM,https://www.redfin.com/MO/Kansas-City/118-NE-109th-St-64155/home/78254431,Heartland MLS as Distributed by MLS Grid,2508690,N,Y,39.2912868,-94.5781811
MLS Listing,,Single Family Residential,4102 Scarritt Ave,Kansas City,MO,64123,289000,3,2.0,McKinney Heights,1856,6442,1909,33,156,,Active,,,https://www.redfin.com/MO/Kansas-City/4102-Scarritt-Ave-64123/home/93089385,Heartland MLS as Distributed by MLS Grid,2504673,N,Y,39.1152603,-94.5338497
MLS Listing,,Single Family Residential,5121 Wabash Ave,Kansas City,MO,64130,190000,4,3.0,Schell's Add,1724,4356,1923,43,110,,Active,,,https://www.redfin.com/MO/Kansas-City/5121-Wabash-Ave-64130/home/93159497,Heartland MLS as Distributed by MLS Grid,2503345,N,Y,39.0328574,-94.5556932
MLS Listing,,Single Family Residential,10012 Hillcrest Rd,Kansas City,MO,64134,160000,3,1.0,Skyline Heights,992,17640,1955,47,161,,Active,,,https://www.redfin.com/MO/Kansas-City/10012-Hillcrest-Rd-64134/home/93252857,Heartland MLS as Distributed by MLS Grid,2502592,N,Y,38.9433998,-94.5226399
MLS Listing,,Single Family Residential,921 Benton Blvd,Kansas City,MO,64127,225000,5,3.5,,3608,3385,1900,82,62,,Active,,,https://www.redfin.com/MO/Kansas-City/921-Benton-Blvd-64127/home/93131914,Heartland MLS as Distributed by MLS Grid,2496575,N,Y,39.101426,-94.5440096
MLS Listing,,Condo/Co-op,435 W 104th St Unit E,Kansas City,MO,64114,129999,1,1.0,The Talisman,749,732,1965,105,174,273,Active,,,https://www.redfin.com/MO/Kansas-City/435-W-104th-St-64114/unit-E/home/93250378,Heartland MLS as Distributed by MLS Grid,2492003,N,Y,38.9384677,-94.5989459
MLS Listing,,Single Family Residential,4731 Fairmount Ave,Kansas City,MO,64112,1100000,4,3.5,Vogle Park,3000,4234,2021,132,367,,Active,,,https://www.redfin.com/MO/Kansas-City/4731-Fairmount-Ave-64112/home/93156468,Heartland MLS as Distributed by MLS Grid,2487105,N,Y,39.0414959,-94.6041628
MLS Listing,,Single Family Residential,1305 Oakley Ave,Kansas City,MO,64127,109000,3,1.5,Eatonia Park,984,5268,1910,1,111,,Active,,,https://www.redfin.com/MO/Kansas-City/1305-Oakley-Ave-64127/home/93130614,Heartland MLS as Distributed by MLS Grid,2510410,N,Y,39.0960663,-94.5167183
MLS Listing,,Single Family Residential,12100 E 61st Ter,Kansas City,MO,64133,260000,3,3.0,Woodson Estates,3690,12408,1964,1,70,5,Active,,,https://www.redfin.com/MO/Kansas-City/12100-E-61st-Ter-64133/home/93213685,Heartland MLS as Distributed by MLS Grid,2510389,N,Y,39.0100589,-94.4386868
MLS Listing,,Single Family Residential,7741 Ward Parkway Plz,Kansas City,MO,64114,335000,3,1.5,Meadowview,1504,6715,1940,1,223,,Active,,,https://www.redfin.com/MO/Kansas-City/7741-Ward-Parkway-Plz-64114/home/74434246,Heartland MLS as Distributed by MLS Grid,2510415,N,Y,38.9856248,-94.6035318
MLS Listing,,Single Family Residential,10803 E 50th St,Kansas City,MO,64133,210000,3,1.0,Sterling Gardens,816,14814,1955,1,257,,Active,,,https://www.redfin.com/MO/Kansas-City/10803-E-50th-St-64133/home/93178299,Heartland MLS as Distributed by MLS Grid,2510672,N,Y,39.0317347,-94.4523721
MLS Listing,,Single Family Residential,5709 Central St,Kansas City,MO,64113,425000,3,1.5,Rockhill Heights,1650,6778,1953,1,258,4,Active,,,https://www.redfin.com/MO/Kansas-City/5709-Central-St-64113/home/93163463,Heartland MLS as Distributed by MLS Grid,2510338,N,Y,39.023742,-94.591091
MLS Listing,,Single Family Residential,1424 Camille St,Liberty,MO,64068,289999,3,3.0,Place Liberte,1640,7841,1987,1,177,,Active,,,https://www.redfin.com/MO/Liberty/1424-Camille-St-64068/home/102863938,Heartland MLS as Distributed by MLS Grid,2505365,N,Y,39.2727889,-94.4440932
MLS Listing,,Single Family Residential,8005 N Tracy Ave,Kansas City,MO,64118,385000,5,3.5,Ridgefield,2724,11326,1978,1,141,,Active,,,https://www.redfin.com/MO/Kansas-City/8005-N-Tracy-Ave-64118/home/78241329,Heartland MLS as Distributed by MLS Grid,2490085,N,Y,39.2384769,-94.563961
MLS Listing,,Single Family Residential,3229 Wayne Ave,Kansas City,MO,64109,260000,4,2.0,Eaton Place,2040,6534,1890,1,127,,Active,,,https://www.redfin.com/MO/Kansas-City/3229-Wayne-Ave-64109/home/93146896,Heartland MLS as Distributed by MLS Grid,2510095,N,Y,39.0672194,-94.5642359
MLS Listing,,Single Family Residential,6404 N Harrison St,Kansas City,MO,64118,319500,3,2.0,Bolling Heights,1726,22216,1955,1,185,,Active,,,https://www.redfin.com/MO/Kansas-City/6404-N-Harrison-St-64118/home/102843080,Heartland MLS as Distributed by MLS Grid,2508984,N,Y,39.2106577,-94.5684825
MLS Listing,,Single Family Residential,8814 NE 73rd Ct,Kansas City,MO,64158,270000,4,3.0,South Oaks Court,1656,7405,1994,1,163,,Active,,,https://www.redfin.com/MO/Kansas-City/8814-NE-73rd-Ct-64158/home/78260190,Heartland MLS as Distributed by MLS Grid,2509939,N,Y,39.2269287,-94.4738226
MLS Listing,,Single Family Residential,6820 NW Blair Rd,Parkville,MO,64152,295000,3,2.5,Merrimac,1440,16496,1968,1,205,,Active,,,https://www.redfin.com/MO/Kansas-City/6820-NW-Blair-Rd-64152/home/102901840,Heartland MLS as Distributed by MLS Grid,2508877,N,Y,39.219934,-94.6957297
MLS Listing,,Single Family Residential,7009 N Beaman Ave,Kansas City,MO,64151,839900,5,4.5,Overland Ridge,2938,15383,2024,1,286,72,Active,,,https://www.redfin.com/MO/Kansas-City/7009-N-Beaman-Ave-64151/home/188182156,Heartland MLS as Distributed by MLS Grid,2510566,N,Y,39.22186,-94.637869
MLS Listing,,Single Family Residential,504 E 131st Ct,Kansas City,MO,64145,265000,3,2.0,Martin City Estates,1340,12335,1955,1,198,,Active,,,https://www.redfin.com/MO/Kansas-City/504-E-131st-Ct-64145/home/93294483,Heartland MLS as Distributed by MLS Grid,2509078,N,Y,38.8895436,-94.5885573
MLS Listing,,Single Family Residential,11801 E 56th St,Kansas City,MO,64133,285000,3,3.0,Fairway Hills,1998,10150,1967,1,143,,Active,,,https://www.redfin.com/MO/Kansas-City/11801-E-56th-St-64133/home/93188928,Heartland MLS as Distributed by MLS Grid,2510465,N,Y,39.0201963,-94.4427418
MLS Listing,,Single Family Residential,4616 E 43rd Ter,Kansas City,MO,64130,131000,4,1.5,Vineyard Valley,1536,13390,1955,1,85,,Active,,,https://www.redfin.com/MO/Kansas-City/4616-E-43rd-Ter-64130/home/93171718,Heartland MLS as Distributed by MLS Grid,2510740,N,Y,39.0466869,-94.5297169
MLS Listing,,Single Family Residential,7208 E 107th Ter,Kansas City,MO,64134,155000,3,2.0,Ruskin Heights,1092,14232,1955,1,142,3,Active,,,https://www.redfin.com/MO/Kansas-City/7208-E-107th-Ter-64134/home/93283745,Heartland MLS as Distributed by MLS Grid,2510306,N,Y,38.9287967,-94.5055644
MLS Listing,,Single Family Residential,5344 Garfield Ave,Kansas City,MO,64130,185900,3,1.0,Blue Hills,1438,5093,1924,1,129,,Active,,,https://www.redfin.com/MO/Kansas-City/5344-Garfield-Ave-64130/home/93160058,Heartland MLS as Distributed by MLS Grid,2510709,N,Y,39.0287681,-94.5611534
MLS Listing,,Single Family Residential,9421 N Harden Ave,Kansas City,MO,64154,439950,4,3.0,Erika's Place,2445,6000,,1,180,,Active,,,https://www.redfin.com/MO/Kansas-City/9421-N-Harden-Ave-64151/home/192599463,Heartland MLS as Distributed by MLS Grid,2510671,N,Y,39.2254174,-94.6065686
MLS Listing,,Single Family Residential,9413 N Harden Ave,Kansas City,MO,64154,439950,4,3.0,Erika's Place,2445,6000,,1,180,,Active,,,https://www.redfin.com/MO/Kansas-City/9413-N-Harden-Ave-64151/home/192597852,Heartland MLS as Distributed by MLS Grid,2510655,N,Y,39.2254174,-94.6065686
