SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8040 Dennis Fox Ln,Knoxville,TN,37938,469500,5,3.5,Berry Patch Farms S/D Unit 1,2612,6534,2020,11,180,33,Active,,,https://www.redfin.com/TN/Knoxville/8040-Dennis-Fox-Ln-37938/home/173771060,Knoxville MLS,1275528,N,Y,36.1012382,-83.9302568
MLS Listing,,Single Family Residential,4806 Camby Ln,Knoxville,TN,37931,389000,4,2.5,Meredith Place,2038,9583,1989,48,191,,Active,,,https://www.redfin.com/TN/Knoxville/4806-Camby-Ln-37931/home/102948600,Knoxville MLS,1271242,N,Y,35.989743,-84.0569556
MLS Listing,,Single Family Residential,6752 Long Shadow Way,Knoxville,TN,37918,1399000,7,5.5,Shadow Creek S/D Resub,7153,52707,2008,124,196,,Active,,,https://www.redfin.com/TN/Knoxville/6752-Long-Shadow-Way-37918/home/62950352,Knoxville MLS,1262617,N,Y,36.0579188,-83.9580877
MLS Listing,,Single Family Residential,632 Barnsley Rd,Knoxville,TN,37934,3650000,6,7.5,Bridgemore S/D Phase 1,8126,23522,2022,127,449,150,Active,,,https://www.redfin.com/TN/Farragut/632-Barnsley-Rd-37934/home/63026486,Knoxville MLS,1262173,N,Y,35.8525911,-84.1941969
MLS Listing,,Single Family Residential,2319 Riverside Dr,Knoxville,TN,37914,630000,3,2.5,Johnson Property Greenbelt App A-2889,2498,9583,2024,1,252,,Active,,,https://www.redfin.com/TN/Knoxville/2319-Riverside-Dr-37915/home/190515568,Knoxville MLS,1276573,N,Y,35.9693214,-83.885529
MLS Listing,,Single Family Residential,3108 Walridge Rd,Knoxville,TN,37921,385000,3,2.0,Walnoaks,1700,16552,1958,1,226,,Active,,,https://www.redfin.com/TN/Knoxville/3108-Walridge-Rd-37921/home/189952217,Knoxville MLS,1276688,N,Y,35.990621,-84.0061041
MLS Listing,,Single Family Residential,8137 Pepperdine Way,Knoxville,TN,37923,270000,2,2.0,Deerfield S/D Phase 3,1032,8712,2000,1,262,102,Pre On-Market,,,https://www.redfin.com/TN/Knoxville/8137-Pepperdine-Way-37923/home/62812812,Knoxville MLS,1276687,N,Y,35.9450487,-84.0537808
MLS Listing,,Single Family Residential,800 Fairfield Rd,Knoxville,TN,37919,450000,2,3.0,Westwood,1693,11848,1996,1,266,,Pre On-Market,,,https://www.redfin.com/TN/Knoxville/800-Fairfield-Rd-37919/home/62851020,Knoxville MLS,1276679,N,Y,35.9408035,-83.9983435
MLS Listing,,Single Family Residential,5842 Lucerne Ln,Knoxville,TN,37921,275000,3,1.5,Knox County - 1,1470,44431,1930,1,187,,Active,,,https://www.redfin.com/TN/Knoxville/5842-Lucerne-Ln-37921/home/102955344,Knoxville MLS,1276673,N,Y,35.9630466,-84.0190763
MLS Listing,,Single Family Residential,6914 Stone Mill Dr,Knoxville,TN,37919,825000,3,3.5,Westmoreland Hgts,3204,31363,1950,1,257,17,Active,,,https://www.redfin.com/TN/Knoxville/6914-Stone-Mill-Dr-37919/home/87479087,Knoxville MLS,1276672,N,Y,35.9191817,-84.0113527
MLS Listing,,Single Family Residential,1139 Westland Gardens Blvd,Knoxville,TN,37922,615000,4,3.0,Westland Gardens,2384,18600,2016,1,258,13,Active,,,https://www.redfin.com/TN/Knoxville/1139-Westland-Gardens-Blvd-37922/home/144306679,Knoxville MLS,1276666,N,Y,35.8845745,-84.0793978
MLS Listing,,Condo/Co-op,808 Olde Pioneer Trl #173,Knoxville,TN,37923,331900,3,2.5,Old Colony,1248,,1989,1,266,113,Active,,,https://www.redfin.com/TN/Knoxville/808-Olde-Pioneer-Trl-37923/unit-173/home/62818235,Knoxville MLS,1276662,N,Y,35.8980957,-84.0666754
MLS Listing,,Condo/Co-op,3636 Taliluna Ave #518,Knoxville,TN,37919,215000,1,1.0,Sequoyah Square Condo Common Area,800,348480,1969,1,269,1,Active,,,https://www.redfin.com/TN/Knoxville/3636-Taliluna-Ave-37919/unit-518/home/102966620,Knoxville MLS,1276659,N,Y,35.9320511,-83.9609592
MLS Listing,,Single Family Residential,7832 Jefferson Oaks Dr,Knoxville,TN,37938,214900,3,2.5,Cedar Crest North Unit 5,2064,15681,1979,1,104,,Active,,,https://www.redfin.com/TN/Knoxville/7832-Jefferson-Oaks-Dr-37938/home/62834635,Knoxville MLS,1276636,N,Y,36.0709136,-83.9834167
MLS Listing,,Single Family Residential,1400 Graybrook Ln #1,Knoxville,TN,37920,400000,3,2.0,Graybrook Park,1790,11761,2007,1,223,62,Active,,,https://www.redfin.com/TN/Knoxville/1400-Graybrook-Ln-37920/unit-1/home/62822624,Knoxville MLS,1276634,N,Y,35.8929712,-83.8876338
MLS Listing,,Single Family Residential,818 Hammock Ln,Knoxville,TN,37934,2790000,6,6.5,Bridgemore S/D Phase 1,6936,30927,2012,1,402,217,Pre On-Market,,,https://www.redfin.com/TN/Farragut/818-Hammock-Ln-37934/home/62808035,Knoxville MLS,1276630,N,Y,35.8520404,-84.1927476
MLS Listing,,Single Family Residential,1911 N 6th Ave,Knoxville,TN,37917,275000,2,1.0,Mayfield Pt 55 & Pt 28,1052,6098,1930,1,261,,Pre On-Market,,,https://www.redfin.com/TN/Knoxville/1911-6th-Ave-37917/home/62841730,Knoxville MLS,1276629,N,Y,35.9914538,-83.9169578
MLS Listing,,Single Family Residential,10824 Sonja Dr,Knoxville,TN,37934,449000,3,2.0,Stonecrest,1614,16552,1966,1,278,,Pre On-Market,,,https://www.redfin.com/TN/Farragut/10824-Sonja-Dr-37934/home/62950844,Knoxville MLS,1276625,N,Y,35.8972561,-84.1500277
MLS Listing,,Condo/Co-op,505 Union Ave #201,Knoxville,TN,37902,425000,1,1.0,Daylight Bldg Condos Unit 201,652,,1930,1,652,195,Active,,,https://www.redfin.com/TN/Knoxville/505-Union-Ave-37902/unit-201/home/109168952,Knoxville MLS,1276620,N,Y,35.9642699,-83.9205747
MLS Listing,,Condo/Co-op,3744 Tilbury Way,Knoxville,TN,37921,269900,2,2.0,Welshire Condos,988,,2000,1,273,100,Active,,,https://www.redfin.com/TN/Knoxville/3744-Tilbury-Way-37921/home/62819858,Knoxville MLS,1276617,N,Y,36.013308,-84.0480936
