SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5 Cherryhill Cv,Little Rock,AR,72211,295000,3,2.0,Lit - West Little Rock (northwes,1748,8276,1998,5,169,,Active,,,https://www.redfin.com/AR/Little-Rock/5-Cherryhill-Cv-72211/home/95362708,CARMLS,24033482,N,Y,34.7364111,-92.4091247
MLS Listing,,Single Family Residential,2318 Breckenridge Dr,Little Rock,AR,72227,280000,3,2.5,Lit - West Little Rock (northwes,2239,13503,1971,60,125,21,Active,,,https://www.redfin.com/AR/Little-Rock/2318-Breckenridge-Dr-72227/home/82826240,CARMLS,24025776,N,Y,34.7762977,-92.385173
MLS Listing,,Single Family Residential,2 Kanis Creek Pl,Little Rock,AR,72223,365000,4,3.0,Lit - West Little Rock (northwes,1989,7405,2007,69,184,14,Active,,,https://www.redfin.com/AR/Little-Rock/2-Kanis-Creek-Pl-72223/home/82969329,CARMLS,24024472,N,Y,34.7515621,-92.4419691
MLS Listing,,Single Family Residential,2600 Richland Dr,Little Rock,AR,72206,180000,3,2.0,Pulaski County (east),1512,51836,1945,1,119,,Active,,,https://www.redfin.com/AR/Little-Rock/2600-Richland-Dr-72206/home/81364371,CARMLS,24034107,N,Y,34.72052,-92.1985154
MLS Listing,,Condo/Co-op,40 Hampshire Cir,Little Rock,AR,72212,178000,2,2.0,Lit - West Little Rock (northwes,1261,,1973,1,141,259,Active,,,https://www.redfin.com/AR/Little-Rock/40-Hampshire-Cir-72212/home/82924082,CARMLS,24034101,N,Y,34.7706617,-92.4020014
MLS Listing,,Condo/Co-op,100 Kingsbridge Way,Little Rock,AR,72212,180000,2,2.5,Lit - West Little Rock (northwes,1380,5227,1980,1,130,280,Active,,,https://www.redfin.com/AR/Little-Rock/100-Kingsbridge-Way-72212/home/83409512,CARMLS,24034097,N,Y,34.7757055,-92.3905583
MLS Listing,,Single Family Residential,9203 Tanya Dr,Little Rock,AR,72204,140000,3,2.0,Lit - West Little Rock (central),1194,9583,1974,1,117,,Active,,,https://www.redfin.com/AR/Little-Rock/9203-Tanya-Dr-72204/home/81408892,CARMLS,24034084,N,Y,34.7318998,-92.3771147
MLS Listing,,Single Family Residential,1507 Loyola Dr,Little Rock,AR,72211,585000,5,4.0,Lit - West Little Rock (northwes,3900,11761,2005,1,150,42,Active,,,https://www.redfin.com/AR/Little-Rock/1507-Loyola-Dr-72211/home/95362477,CARMLS,24034077,N,Y,34.7670495,-92.436206
MLS Listing,,Single Family Residential,9320 Timber Vly,Little Rock,AR,72204,194900,3,2.0,Lit - West Little Rock (central),1453,10890,1986,1,134,,Active,,,https://www.redfin.com/AR/Little-Rock/9320-Timber-Valley-Rd-72204/home/95348530,CARMLS,24034074,N,Y,34.6987274,-92.3791536
MLS Listing,,Single Family Residential,3101 S Gaines St,Little Rock,AR,72206,144500,4,2.5,Little Rock (downtown),1780,10454,1953,1,81,,Active,,,https://www.redfin.com/AR/Little-Rock/3101-S-Gaines-St-72206/home/95325748,CARMLS,24034067,N,Y,34.7184209,-92.2813687
MLS Listing,,Single Family Residential,13726 Mail Route Rd,Little Rock,AR,72206,330000,2,2.0,Pulaski County - Rural (south),1928,91911,2022,1,171,,Active,,,https://www.redfin.com/AR/Little-Rock/13726-Mail-Route-Rd-72206/home/187472535,CARMLS,24034036,N,Y,34.6071714,-92.3056937
MLS Listing,,Single Family Residential,1900 & 1904 Valmar St,Little Rock,AR,72204,104900,2,1.0,Little Rock (ualr),936,10454,1940,1,112,,Active,,,https://www.redfin.com/AR/Little-Rock/1900-Valmar-St-72204/home/81380742,CARMLS,24034035,N,Y,34.7336764,-92.3129697
MLS Listing,,Single Family Residential,110 Laver Cir,Little Rock,AR,72210,189000,3,2.0,"Lit - Otter Creek, Westfield & S",1319,8276,1993,1,143,45,Active,,,https://www.redfin.com/AR/Little-Rock/110-Laver-Cir-72210/home/82866595,CARMLS,24034029,N,Y,34.6682837,-92.4306008
MLS Listing,,Single Family Residential,14115 Taylor Loop Rd,Little Rock,AR,72223,850000,3,1.0,Lit - West Little Rock (northwes,1500,78408,1974,1,567,,Active,,,https://www.redfin.com/AR/Little-Rock/14115-Taylor-Loop-Rd-72223/home/81391457,CARMLS,24034019,N,Y,34.7993334,-92.4363459
MLS Listing,,Single Family Residential,4 Marbais Pl,Little Rock,AR,72223,1289000,5,4.5,Pulaski County West,6190,30927,2000,1,208,197,Active,,,https://www.redfin.com/AR/Little-Rock/4-Marbais-Pl-72223/home/82912162,CARMLS,24033993,N,Y,34.7737218,-92.4768346
MLS Listing,,Single Family Residential,5121 Copper Creek Ln,Little Rock,AR,72223,533500,3,2.5,Pulaski County West,2381,675180,1989,1,224,,Active,,,https://www.redfin.com/AR/Little-Rock/5121-Copper-Creek-Ln-72223/home/95355844,CARMLS,24033987,N,Y,34.806031,-92.5853586
MLS Listing,,Single Family Residential,91 White Oak Ln,Little Rock,AR,72227,175000,3,1.5,Lit - West Little Rock (north),1118,7405,1968,1,157,,Active,,,https://www.redfin.com/AR/Little-Rock/91-White-Oak-Ln-72227/home/81392211,CARMLS,24033986,N,Y,34.7764573,-92.3609842
MLS Listing,,Single Family Residential,7807 Mabelvale Cutoff Rd,Little Rock,AR,72103,149900,3,1.5,Lit - Southwest Little Rock (sou,1492,20473,1960,2,100,,Active,,,https://www.redfin.com/AR/Mabelvale/7807-Mabelvale-Cut-Off-Rd-72103/home/81400653,CARMLS,24033932,N,Y,34.6549009,-92.3658623
MLS Listing,,Single Family Residential,31 Kingspark Rd,Little Rock,AR,72227,289900,3,2.5,Lit - West Little Rock (central),2223,10454,1968,3,130,21,Active,,,https://www.redfin.com/AR/Little-Rock/31-Kingspark-Rd-72227/home/82975613,CARMLS,24033924,N,Y,34.7718573,-92.3881595
MLS Listing,,Single Family Residential,7020 Amherst Dr,Little Rock,AR,72205,275000,4,2.5,Lit - West Little Rock (north),2121,10454,1962,3,130,,Active,,,https://www.redfin.com/AR/Little-Rock/7020-Amherst-Dr-72205/home/82895273,CARMLS,24033915,N,Y,34.7539858,-92.3530207
MLS Listing,,Single Family Residential,25 Waters Edge Dr,Little Rock,AR,72204,364000,4,2.0,"Lit - Otter Creek, Westfield & S",2275,10018,2007,3,160,13,Active,,,https://www.redfin.com/AR/Little-Rock/25-Waters-Edge-Dr-72204/home/82832597,CARMLS,24033914,N,Y,34.6948308,-92.3990676
MLS Listing,,Townhouse,5 Hampshire Cir,Little Rock,AR,72212,194900,3,2.5,Lit - West Little Rock (northwes,1728,,1973,3,113,310,Active,,,https://www.redfin.com/AR/Little-Rock/5-Hampshire-Cir-72212/home/81414412,CARMLS,24033905,N,Y,34.77055,-92.400879
MLS Listing,,Single Family Residential,1327 E Lawson Rd,Little Rock,AR,72210,500000,3,2.0,Bryant,2302,696960,1956,3,217,,Active,,,https://www.redfin.com/AR/Little-Rock/1327-E-Lawson-Rd-72210/home/81478741,CARMLS,24033898,N,Y,34.720472,-92.560771
