SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3 Prospect St,Smithtown,NY,11787,715000,3,2.0,Smithtown,1577,32670,1887,2,453,,Active,,,https://www.redfin.com/NY/Smithtown/3-Prospect-St-11787/home/21349414,OneKey® MLS as Distributed by MLS Grid,3577397,N,Y,40.8574497,-73.1996232
MLS Listing,,Single Family Residential,232 Indian Head Rd,Kings Park,NY,11754,829000,4,3.0,Kings Park,3376,16553,1955,4,246,,Pre On-Market,,,https://www.redfin.com/NY/Kings-Park/232-Indian-Head-Rd-11754/home/40423423,OneKey® MLS as Distributed by MLS Grid,3578557,N,Y,40.8754953,-73.2553541
MLS Listing,,Single Family Residential,11 Norman Ln,Central Islip,NY,11722,665000,4,2.5,Central Islip,3134,20909,1963,6,212,,Active,,,https://www.redfin.com/NY/Central-Islip/11-Norman-Ln-11722/home/21049719,OneKey® MLS as Distributed by MLS Grid,3577955,N,Y,40.8047229,-73.2029713
MLS Listing,,Single Family Residential,1137 Norbay St,Franklin Square,NY,11010,699000,3,2.0,Franklin Square,1281,4000,1948,10,546,,Active,,,https://www.redfin.com/NY/Franklin-Square/1137-Norbay-St-11010/home/20444077,OneKey® MLS as Distributed by MLS Grid,3577206,N,Y,40.7013091,-73.6824773
MLS Listing,,Single Family Residential,187 Perkins Ave,Oceanside,NY,11572,718000,3,2.5,Oceanside,,8000,1908,12,,,Active,,,https://www.redfin.com/NY/Oceanside/187-Perkins-Ave-11572/home/20376573,OneKey® MLS as Distributed by MLS Grid,3576875,N,Y,40.635057,-73.6470563
MLS Listing,,Single Family Residential,267 Ringwood Dr,Wantagh,NY,11793,839000,3,3.0,Wantagh,,6900,1955,14,,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/NY/Wantagh/267-Ringwood-Dr-11793/home/20307312,OneKey® MLS as Distributed by MLS Grid,3575968,N,Y,40.6979312,-73.4942878
MLS Listing,,Condo/Co-op,5 Emilie Dr #5,Center Moriches,NY,11934,650000,2,3.0,Vineyards Of Moriches,,1943,2008,22,,500,Active,,,https://www.redfin.com/NY/Center-Moriches/5-Emilie-Dr-11934/unit-5/home/192234060,OneKey® MLS as Distributed by MLS Grid,3574544,N,Y,40.8162402,-72.8030897
MLS Listing,,Single Family Residential,222 Tree Rd,Centereach,NY,11720,499999,4,3.0,Centereach,1320,9583,1956,33,379,,Active,,,https://www.redfin.com/NY/Centereach/222-Tree-Rd-11720/home/21178134,OneKey® MLS as Distributed by MLS Grid,3572708,N,Y,40.8772044,-73.086066
MLS Listing,,Single Family Residential,876 Woodmere Pl,Woodmere,NY,11598,1499000,6,3.5,Woodmere,3176,8733,1920,33,472,,Active,,,https://www.redfin.com/NY/Woodmere/876-Woodmere-Pl-11598/home/20396621,OneKey® MLS as Distributed by MLS Grid,3572668,N,Y,40.6325833,-73.71443
MLS Listing,,Single Family Residential,1795 Bedford Ave,Merrick,NY,11566,950000,4,2.5,Merrick,2189,5363,2006,35,434,,Active,,,https://www.redfin.com/NY/Merrick/1795-Bedford-Ave-11566/home/20216700,OneKey® MLS as Distributed by MLS Grid,3572138,N,Y,40.6622213,-73.5604327
MLS Listing,,Single Family Residential,37 Wilmington Dr,Melville,NY,11747,2500000,4,4.0,Melville,5800,35284,1973,39,431,,Active,,,https://www.redfin.com/NY/Melville/37-Wilmington-Dr-11747/home/21065637,OneKey® MLS as Distributed by MLS Grid,3571480,N,Y,40.7784069,-73.376649
MLS Listing,,Single Family Residential,147 Juniper Ave,Smithtown,NY,11787,599900,3,1.0,Smithtown,1500,15246,1953,54,400,,Active,,,https://www.redfin.com/NY/Smithtown/147-Juniper-Ave-11787/home/21343338,OneKey® MLS as Distributed by MLS Grid,3568339,N,Y,40.8495951,-73.2058286
MLS Listing,,Single Family Residential,375 Lenox Rd,Huntington Station,NY,11746,995000,4,3.5,Huntington Station,,60548,1990,57,,,Active,,,https://www.redfin.com/NY/Huntington-Station/375-Lenox-Rd-11746/home/21082575,OneKey® MLS as Distributed by MLS Grid,3567494,N,Y,40.8423098,-73.3955748
MLS Listing,,Single Family Residential,2467 Logue St,North Bellmore,NY,11710,949000,4,2.0,North Bellmore,1664,8640,1957,132,570,,Active,,,https://www.redfin.com/NY/North-Bellmore/2467-Logue-St-11710/home/20260055,OneKey® MLS as Distributed by MLS Grid,3550213,N,Y,40.6903011,-73.5437402
MLS Listing,,Single Family Residential,70 Fairview St,Huntington,NY,11743,1595000,4,1.5,Huntington,3151,16117,1924,1,506,,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 01:30 PM,https://www.redfin.com/NY/Huntington/70-Fairview-St-11743/home/21096401,OneKey® MLS as Distributed by MLS Grid,H6326867,N,Y,40.8688769,-73.4209136
MLS Listing,,Single Family Residential,75 1st St,Laurel,NY,11948,1250000,3,3.0,Laurel,,21344,2008,1,,,Active,,,https://www.redfin.com/NY/Laurel/75-1st-St-11948/home/20962923,OneKey® MLS as Distributed by MLS Grid,3579226,N,Y,40.9716093,-72.5405447
