SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,409 E 99th St,Los Angeles,CA,90003,449000,2,1.0,Metropolitan South,576,5086,1926,4,780,,Active,,,https://www.redfin.com/CA/Los-Angeles/409-E-99th-St-90003/home/7304917,TheMLS,24-439263,N,Y,33.9467133,-118.2669221
MLS Listing,,Condo/Co-op,4250 Via Dolce #218,Marina Del Rey,CA,90292,1099000,2,2.0,C12 - Marina Del Rey,1590,191326,1974,4,691,936,Active,September-17-2024 11:00 AM,September-17-2024 02:00 PM,https://www.redfin.com/CA/Marina-del-Rey/4250-Via-Dolce-90292/unit-218/home/6783366,CRMLS,SB24190359,N,Y,33.974602,-118.4588171
MLS Listing,,Single Family Residential,1307 W Papeete St,Wilmington,CA,90744,788000,4,2.0,195 - West Wilmington,1437,5239,1953,4,548,,Pre On-Market,September-21-2024 10:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/CA/Wilmington/1307-W-Papeete-St-90744/home/7675561,CRMLS,SW24189732,N,Y,33.7870957,-118.2798116
MLS Listing,,Single Family Residential,1558 W 47th St,Los Angeles,CA,90062,699990,3,1.0,PHHT - Park Hills Heights,1395,5743,1910,5,502,,Active,,,https://www.redfin.com/CA/Los-Angeles/1558-W-47th-St-90062/home/6871152,CRMLS,SB24179781,N,Y,34.0007833,-118.3055125
MLS Listing,,Townhouse,15053 Victory Blvd #11,Van Nuys,CA,91411,529000,2,2.5,East Van Nuys,1120,18335,2006,5,472,410,Active,,,https://www.redfin.com/CA/Van-Nuys/15053-Victory-Blvd-91411/unit-11/home/17225703,TheMLS,24-439167,N,Y,34.1869809,-118.4614622
MLS Listing,,Single Family Residential,7816 Quartz Ave,Winnetka,CA,91306,969000,3,2.5,WIN - Winnetka,2108,5182,1972,5,460,,Active,,,https://www.redfin.com/CA/Winnetka/7816-Quartz-Ave-91306/home/3670810,CRMLS,BB24187453,N,Y,34.2126206,-118.5638814
MLS Listing,,Condo/Co-op,4170 Fair Ave #101,Studio City,CA,91602,849000,2,2.5,STUD - Studio City,1470,33463,2006,5,578,625,Active,,,https://www.redfin.com/CA/North-Hollywood/4170-Fair-Ave-91602/unit-101/home/8163713,CRMLS,BB24187957,N,Y,34.1441756,-118.3744381
MLS Listing,,Single Family Residential,4449 W 64th St,Los Angeles,CA,90043,1279000,3,2.0,Park Hills Heights,1664,6302,1939,5,769,,Active,September-17-2024 11:00 AM,September-17-2024 02:00 PM,https://www.redfin.com/CA/Los-Angeles/4449-W-64th-St-90043/home/6409392,TheMLS,24-436487,N,Y,33.981961,-118.3517316
MLS Listing,,Single Family Residential,17561 Bullock St,Encino,CA,91316,1149000,3,2.0,ENC - Encino,1215,5502,1949,7,946,,Active,,,https://www.redfin.com/CA/Encino/17561-Bullock-St-91316/home/4751320,CRMLS,BB24188083,N,Y,34.1798772,-118.5159596
MLS Listing,,Condo/Co-op,6815 Remmet Ave #224,Canoga Park,CA,91303,389000,1,1.0,CP - Canoga Park,619,56680,1986,11,628,390,Active,,,https://www.redfin.com/CA/Canoga-Park/6815-Remmet-Ave-91303/unit-224/home/3962218,CRMLS,BB24183428,N,Y,34.1946572,-118.6005154
MLS Listing,,Condo/Co-op,1917 Manning Ave #2,Los Angeles,CA,90025,1349000,4,2.5,C05 - Westwood - Century City,1951,6754,1988,11,691,500,Active,,,https://www.redfin.com/CA/Los-Angeles/1917-Manning-Ave-90025/unit-2/home/6799763,CRMLS,SB24184270,N,Y,34.0507298,-118.4299644
MLS Listing,,Single Family Residential,8303 Topeka Dr,Northridge,CA,91324,799900,3,2.0,NR - Northridge,1600,6799,1978,18,500,,Active,,,https://www.redfin.com/CA/Northridge/8303-Topeka-Dr-91324/home/5890766,CRMLS,SR24180727,N,Y,34.2208002,-118.5457647
MLS Listing,,Single Family Residential,348 W 88th St,Los Angeles,CA,90003,599000,3,1.0,C37 - Metropolitan South,1005,3605,1926,18,596,,Active,,,https://www.redfin.com/CA/Los-Angeles/348-W-88th-St-90003/home/7296492,CRMLS,PW24178655,N,Y,33.9572055,-118.2799964
MLS Listing,,Single Family Residential,10947 Odell Ave,Sunland,CA,91040,849000,3,1.5,659 - Sunland/Tujunga,1083,10943,1950,18,784,,Active,,,https://www.redfin.com/CA/Sunland/10947-Odell-Ave-91040/home/5502237,CRMLS,BB24162951,N,Y,34.2681593,-118.3132991
MLS Listing,,Single Family Residential,8304 Stephen Ln,West Hills,CA,91304,1050000,4,2.0,WEH - West Hills,2090,11012,1963,19,502,,Active,,,https://www.redfin.com/CA/West-Hills/8304-Stephen-Ln-91304/home/8095596,CRMLS,BB24177930,N,Y,34.2194544,-118.6383013
MLS Listing,,Single Family Residential,19517 Celtic St,Porter Ranch,CA,91326,1975000,6,6.0,PORA - Porter Ranch,4971,13088,2005,20,397,,Active,,,https://www.redfin.com/CA/Porter-Ranch/19517-Celtic-St-91326/home/5780704,CRMLS,BB24177550,N,Y,34.2718167,-118.5580671
MLS Listing,,Townhouse,646 Flower Ave #3,Venice,CA,90291,1849000,3,3.5,C11 - Venice,1970,5794,2000,22,939,333,Active,,,https://www.redfin.com/CA/Venice/646-Flower-Ave-90291/unit-3/home/8106562,CRMLS,SB24177276,N,Y,33.9987796,-118.4698585
MLS Listing,,Single Family Residential,3911 S Victoria Ave,View Park,CA,90008,1599000,3,2.0,VWPK - View Park,1900,6336,1942,25,842,,Active,,,https://www.redfin.com/CA/View-Park/3911-S-Victoria-Ave-90008/home/6888798,CRMLS,BB24171558,N,Y,34.0146315,-118.3375257
MLS Listing,,Single Family Residential,6425 Varna Ave,Van Nuys,CA,91401,1190000,4,3.0,VN - Van Nuys,2050,7205,1949,26,580,,Active,,,https://www.redfin.com/CA/Van-Nuys/6425-Varna-Ave-91401/home/5094547,CRMLS,BB24170230,N,Y,34.1874632,-118.424998
MLS Listing,,Condo/Co-op,6250 Fulton Ave #104,Van Nuys,CA,91401,425000,1,1.0,VN - Van Nuys,830,12553,1983,26,512,372,Active,,,https://www.redfin.com/CA/Van-Nuys/6250-Fulton-Ave-91401/unit-104/home/17225928,CRMLS,BB24171762,N,Y,34.1844725,-118.4222196
MLS Listing,,Single Family Residential,401 S Cabrillo Ave,San Pedro,CA,90731,1059000,3,2.0,183 - Vista Del Oro,2200,4501,1913,26,481,,Active,,,https://www.redfin.com/CA/San-Pedro/401-S-Cabrillo-Ave-90731/home/7689049,CRMLS,SB24171740,N,Y,33.7404823,-118.2948248
MLS Listing,,Single Family Residential,5103 Biloxi Ave,North Hollywood,CA,91601,1650000,3,2.0,TUL - Toluca Lake,2055,10083,1940,27,803,,Active,,,https://www.redfin.com/CA/North-Hollywood/5103-Biloxi-Ave-91601/home/5297919,CRMLS,SR24172818,N,Y,34.1632994,-118.3585629
MLS Listing,,Vacant Land,5218 Baza Ave,Woodland Hills,CA,91364,199000,,,WHLL - Woodland Hills,,11618,,32,,,Active,,,https://www.redfin.com/CA/Woodland-Hills/5218-Baza-Ave-91364/home/54781179,CRMLS,BB24170390,N,Y,34.1642657,-118.6006436
MLS Listing,,Single Family Residential,4916 Enfield Ave,Encino,CA,91316,1695000,4,3.0,ENC - Encino,1918,6036,1948,33,884,,Active,,,https://www.redfin.com/CA/Encino/4916-Enfield-Ave-91316/home/4292706,CRMLS,BB24159310,N,Y,34.1589701,-118.5236982
MLS Listing,,Condo/Co-op,1234 Wilshire Blvd #331,Los Angeles,CA,90017,599999,2,2.0,C42 - Downtown L.A.,960,71352,2006,33,625,796,Active,,,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-331/home/12294349,CRMLS,BB24168949,N,Y,34.053194,-118.265658
MLS Listing,,Townhouse,13236 Fiji Way Unit B,Marina Del Rey,CA,90292,1359000,2,2.5,C12 - Marina Del Rey,1582,64241,1969,34,859,593,Active,,,https://www.redfin.com/CA/Marina-del-Rey/13236-Fiji-Way-90292/unit-B/home/6732631,CRMLS,SB24167659,N,Y,33.9792142,-118.4344462
MLS Listing,,Condo/Co-op,801 S Grand Ave #1806,Los Angeles,CA,90017,749000,2,2.0,C42 - Downtown L.A.,1200,59001,1985,34,624,1040,Active,,,https://www.redfin.com/CA/Los-Angeles/801-S-Grand-Ave-90017/unit-1806/home/8179719,CRMLS,BB24163085,N,Y,34.0457095,-118.2585553
MLS Listing,,Condo/Co-op,4528 Colbath Ave #103,Sherman Oaks,CA,91423,595000,1,1.0,SO - Sherman Oaks,925,10580,1978,34,643,470,Active,,,https://www.redfin.com/CA/Sherman-Oaks/4528-Colbath-Ave-91423/unit-103/home/4853944,CRMLS,BB24167913,N,Y,34.153884,-118.4362785
MLS Listing,,Single Family Residential,1013 Englander St,San Pedro,CA,90731,1198000,4,2.0,193 - San Pedro - North,2049,5250,1962,39,585,,Active,,,https://www.redfin.com/CA/San-Pedro/1013-Englander-St-90731/home/7683299,CRMLS,SB24154108,N,Y,33.7647511,-118.3000059
MLS Listing,,Condo/Co-op,312 W 5th St #319,Los Angeles,CA,90013,394900,1,1.0,C42 - Downtown L.A.,650,27293,1923,39,608,365,Active,,,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-319/home/8181158,CRMLS,BB24163252,N,Y,34.0480407,-118.2512918
MLS Listing,,Single Family Residential,22641 Macfarlane Dr,Woodland Hills,CA,91364,2199000,6,3.5,WHLL - Woodland Hills,3804,17057,1955,41,578,,Active,,,https://www.redfin.com/CA/Woodland-Hills/22641-Macfarlane-Dr-91364/home/3556992,CRMLS,BB24162507,N,Y,34.163043,-118.6197558
MLS Listing,,Condo/Co-op,1310 Armacost Ave #104,Los Angeles,CA,90025,1149000,2,2.0,West L.A.,1740,13768,2005,41,660,650,Active,September-17-2024 11:00 AM,September-17-2024 02:00 PM,https://www.redfin.com/CA/Los-Angeles/1310-Armacost-Ave-90025/unit-104/home/8150956,TheMLS,24-424975,N,Y,34.0446723,-118.4622163
MLS Listing,,Single Family Residential,14560 Valley Vista Blvd,Sherman Oaks,CA,91403,2385000,4,4.0,SO - Sherman Oaks,3314,7415,1965,45,720,,Active,,,https://www.redfin.com/CA/Sherman-Oaks/14560-Valley-Vista-Blvd-91403/home/4886820,CRMLS,SR24158086,N,Y,34.1470244,-118.4516487
MLS Listing,,Single Family Residential,4254 Beethoven St,Los Angeles,CA,90066,1995000,3,3.0,Marina Del Rey,1803,4397,1926,47,1106,,Active,,,https://www.redfin.com/CA/Los-Angeles/4254-Beethoven-St-90066/home/6736357,TheMLS,24-422799,N,Y,33.9915571,-118.4335517
MLS Listing,,Condo/Co-op,939 S Broadway #413,Los Angeles,CA,90015,549000,1,1.0,C42 - Downtown L.A.,700,15498,1924,50,784,503,Active,,,https://www.redfin.com/CA/Los-Angeles/939-S-Broadway-90015/unit-413/home/173208826,CRMLS,BB24153982,N,Y,34.0416129,-118.2571335
MLS Listing,,Condo/Co-op,12711 Mitchell Ave #3,Los Angeles,CA,90066,902000,2,2.5,C13 - Palms - Mar Vista,1087,6978,1987,53,830,250,Active,,,https://www.redfin.com/CA/Los-Angeles/12711-Mitchell-Ave-90066/unit-3/home/6740326,CRMLS,SB24152168,N,Y,33.9980324,-118.4358946
MLS Listing,,Single Family Residential,7038 Texhoma Ave,Lake Balboa,CA,91406,1089000,3,2.5,LKBL - Lake Balboa,1929,7498,1951,55,565,,Active,,,https://www.redfin.com/CA/Van-Nuys/7038-Texhoma-Ave-91406/home/4535601,CRMLS,BB24150252,N,Y,34.1987156,-118.5149784
