SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,426 E Oak St,Louisville,KY,40203,264900,3,2.5,SHELBY PARK,1856,4008,1915,13,143,,Active,,,https://www.redfin.com/KY/Louisville/426-E-Oak-St-40203/home/84108835,Metro Search MLS,1669701,N,Y,38.2340942,-85.7483126
MLS Listing,,Condo/Co-op,6204 River Forest Dr,Louisville,KY,40258,225000,3,2.0,RIVER FOREST,1602,1742,1997,23,140,254,Active,,,https://www.redfin.com/KY/Louisville/6204-River-Forest-Dr-40258/home/84207617,Metro Search MLS,1666424,N,Y,38.1540812,-85.8664573
MLS Listing,,Single Family Residential,203 Roundstone Ct,Louisville,KY,40223,390000,4,2.0,PLAINVIEW,2055,13939,1976,1,190,23,Active,,,https://www.redfin.com/KY/Louisville/203-Roundstone-Ct-40223/home/84193104,Metro Search MLS,1670718,N,Y,38.2416775,-85.5711781
MLS Listing,,Single Family Residential,8412 Fox Ridge Ct,Louisville,KY,40272,439000,4,3.0,WINDSOR FOREST,3789,24829,1968,1,116,17,Active,,,https://www.redfin.com/KY/Louisville/8412-Fox-Ridge-Ct-40272/home/70995256,Metro Search MLS,1670281,N,Y,38.1298598,-85.814594
MLS Listing,,Condo/Co-op,6717 Woods Mill Dr,Louisville,KY,40272,224900,2,2.0,WOODS OF FARNSLEY MOORMAN,1368,,2021,1,164,150,Active,,,https://www.redfin.com/KY/Louisville/6717-Woods-Mill-Dr-40272/home/177020341,Metro Search MLS,1670749,N,Y,38.0926208,-85.8871708
MLS Listing,,Single Family Residential,1235 W Ashland Ave,Louisville,KY,40215,174900,3,2.0,SEELBACH,1355,7597,1935,1,129,,Active,,,https://www.redfin.com/KY/Louisville/1235-W-Ashland-Ave-40215/home/84231719,Metro Search MLS,1670747,N,Y,38.1867114,-85.7826221
MLS Listing,,Single Family Residential,4329 Pruitt Ct,Louisville,KY,40218,189000,3,1.0,BROADMOOR PARK,990,6550,1956,1,191,,Active,,,https://www.redfin.com/KY/Louisville/4329-Pruitt-Ct-40218/home/71068147,Metro Search MLS,1670748,N,Y,38.1873984,-85.6620333
MLS Listing,,Single Family Residential,7232 Durst Dr,Louisville,KY,40258,259900,3,1.5,FEYHURST,1750,8712,1964,1,149,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/KY/Louisville/7232-Durst-Dr-40258/home/84178457,Metro Search MLS,1670746,N,Y,38.1485037,-85.8587654
MLS Listing,,Single Family Residential,3927 Tulane Ave,Louisville,KY,40214,124900,2,1.5,Louisville,1378,3078,1925,1,91,,Active,,,https://www.redfin.com/KY/Louisville/3927-Tulane-Ave-40214/home/71008969,Metro Search MLS,1670745,N,Y,38.1989895,-85.762281
MLS Listing,,Single Family Residential,110 S 46th St,Louisville,KY,40212,125000,3,1.0,STUBERS,1045,3925,1925,1,120,,Active,,,https://www.redfin.com/KY/Louisville/110-S-46th-St-40212/home/84224270,Metro Search MLS,1670744,N,Y,38.2657709,-85.8230007
