SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1420 York Ave Unit 5H,New York,NY,10021,499999,1,1.0,1420 York Avenue,420,,1956,7,1190,491,Active,,,https://www.redfin.com/NY/New-York/1420-York-Ave-10021/unit-5H/home/45289650,OneKey® MLS as Distributed by MLS Grid,H6325306,N,Y,40.7690013,-73.9518302
MLS Listing,,Condo/Co-op,377 Rector Unit 5D,New York,NY,10280,620000,1,1.0,Liberty House,611,,1985,12,1015,1569,Active,,,https://www.redfin.com/NY/New-York/377-Rector-Pl-10280/unit-5D/home/45234338,OneKey® MLS as Distributed by MLS Grid,3576800,N,Y,40.709894,-74.017865
MLS Listing,,Condo/Co-op,43 W 61st St Unit 18H,New York,NY,10023,950000,1,1.0,The Sofia,810,,1930,1,1173,1261,Active,,,https://www.redfin.com/NY/New-York/43-W-61st-St-10023/unit-18H/home/45264824,OneKey® MLS as Distributed by MLS Grid,3579139,N,Y,40.7706102,-73.9834036
MLS Listing,,Condo/Co-op,1825 Riverside Dr Unit 1F,New York,NY,10034,545000,2,1.0,"1825 Rsd, Inc.",1150,,1926,2,474,1046,Active,,,https://www.redfin.com/NY/New-York/1825-Riverside-Dr-10034/unit-1F/home/45198459,OneKey® MLS as Distributed by MLS Grid,H6327151,N,Y,40.8658808,-73.9287553
MLS Listing,,Condo/Co-op,579 215 St Unit 5D,New York,NY,10034,250000,0,1.0,579 W 215th St. Owners C,550,,1964,5,455,780,Active,,,https://www.redfin.com/NY/New-York/579-W-215th-St-10034/unit-5D/home/192519003,OneKey® MLS as Distributed by MLS Grid,H6278123,N,Y,40.8718895,-73.9188667
MLS Listing,,Condo/Co-op,440 W End Ave Unit 8F,New York,NY,10024,825000,1,1.0,Upper West End,650,,1928,6,1269,1555,Active,,,https://www.redfin.com/NY/New-York/440-W-End-Ave-10024/unit-8F/home/53325625,OneKey® MLS as Distributed by MLS Grid,H6326625,N,Y,40.7856264,-73.9796742
MLS Listing,,Condo/Co-op,10 W End Ave Unit 5H,New York,NY,10023,1849950,2,2.0,10 West End Avenue Condo,1377,,2007,6,1343,3029,Active,,,https://www.redfin.com/NY/New-York/10-W-End-Ave-10023/unit-5H/home/45206162,OneKey® MLS as Distributed by MLS Grid,3578232,N,Y,40.7717454,-73.9900505
MLS Listing,,Condo/Co-op,870 Riverside Dr Unit 2B,New York,NY,10032,499000,3,1.0,870 Riverside Hdfc,1200,,1908,6,416,1249,Active,,,https://www.redfin.com/NY/New-York/870-Riverside-Dr-10032/unit-2B/home/192504172,OneKey® MLS as Distributed by MLS Grid,H6327191,N,Y,40.8368955,-73.9465033
MLS Listing,,Multi-Family (2-4 Unit),453 W 140th St,New York,NY,10031,3995000,7,5.0,New York,4863,1799,1920,6,822,,Active,,,https://www.redfin.com/NY/New-York/453-W-140th-St-10031/home/179564679,OneKey® MLS as Distributed by MLS Grid,H6327390,N,Y,40.8218597,-73.9488749
MLS Listing,,Condo/Co-op,1628 2nd Ave Unit 2B,New York,NY,10028,628888,0,1.0,New York,508,,1986,6,1238,,Active,,,https://www.redfin.com/NY/New-York/1628-2nd-Ave-10028/unit-2B/home/191034551,BNYMLS,485936,N,Y,40.7766861,-73.952281
MLS Listing,,Condo/Co-op,205 W 54th St Unit 8A,New York,NY,10019,775000,1,1.0,The Albemarle Co-Op,725,,1903,6,1069,1300,Active,,,https://www.redfin.com/NY/New-York/205-W-54th-St-10019/unit-8A/home/192481845,OneKey® MLS as Distributed by MLS Grid,3578074,N,Y,40.7640805,-73.9818551
