SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,413 S Main St #201,Memphis,TN,38103,290000,1,1.0,South Bluffs/Downtown,,,1910,96,242,,Active,,,https://www.redfin.com/TN/Memphis/413-S-Main-St-38103/unit-201/home/60812346,Memphis Area Association of Realtors(R) MLS,10174601,N,Y,35.1354014,-90.0587538
MLS Listing,,Single Family Residential,668 N Idlewild St,Memphis,TN,38107,225000,2,1.5,Overton Park,,5662,1925,1,188,,Active,,,https://www.redfin.com/TN/Memphis/668-N-Idlewild-St-38107/home/60686684,Memphis Area Association of Realtors(R) MLS,10181337,N,Y,35.1559192,-89.9978304
MLS Listing,,Single Family Residential,3435 Peyton Randolph Cv,Bartlett,TN,38134,275000,3,2.0,Bartlett - West,,13939,1985,1,196,,Active,,,https://www.redfin.com/TN/Bartlett/3435-Peyton-Randolph-Cv-38134/home/60862358,Memphis Area Association of Realtors(R) MLS,10181335,N,Y,35.2195858,-89.8821671
MLS Listing,,Single Family Residential,4213 Indian Brook Cv,Memphis,TN,38125,260000,4,2.0,Germantown Rd Extd/Winchester,,871,1990,1,144,,Active,,,https://www.redfin.com/TN/Memphis/4213-Indian-Brook-Cv-38125/home/60615146,Memphis Area Association of Realtors(R) MLS,10181334,N,Y,35.0334477,-89.8197609
MLS Listing,,Townhouse,5526 Quail Thicket Cv,Memphis,TN,38134-6512,129000,3,2.5,Covington Pike - South,,,1977,1,92,185,Active,,,https://www.redfin.com/TN/Memphis/5526-Quail-Thicket-Dr-38134/home/60894849,Memphis Area Association of Realtors(R) MLS,10181333,N,Y,35.1764645,-89.8791906
MLS Listing,,Single Family Residential,1091 Tatum Rd,Memphis,TN,38122,125000,3,1.0,Kingsbury,,12196,1950,1,125,,Active,,,https://www.redfin.com/TN/Memphis/1091-Tatum-Rd-38122/home/87675683,Memphis Area Association of Realtors(R) MLS,10181331,N,Y,35.1613272,-89.922874
MLS Listing,,Single Family Residential,4524 Winterpark Dr,Memphis,TN,38141,140000,3,2.0,Hickory Hill/Kirby High,,11761,1984,1,100,,Active,,,https://www.redfin.com/TN/Memphis/4524-Winter-Park-Dr-38141/home/60584723,Memphis Area Association of Realtors(R) MLS,10181330,N,Y,35.0250101,-89.8450468
MLS Listing,,Condo/Co-op,1759 Club Green Dr #67,Memphis,TN,38116,78000,3,2.5,Whitehaven/Southland Mall,,1742,1973,1,56,,Active,,,https://www.redfin.com/TN/Memphis/1759-Club-Green-Dr-38116/unit-67/home/192581595,Memphis Area Association of Realtors(R) MLS,10181326,N,Y,35.0161223,-90.0049204
MLS Listing,,Single Family Residential,4288 Elysian Dr,Memphis,TN,38128,159900,3,2.0,Raleigh/Singleton,,6534,1992,1,160,,Active,,,https://www.redfin.com/TN/Memphis/4288-Elysian-Dr-38128/home/60854519,Memphis Area Association of Realtors(R) MLS,10181327,N,Y,35.2451225,-89.920609
MLS Listing,,Vacant Land,721 Lucy Ave,Memphis,TN,38106,12000,,,South Memphis/61 Hwy,,8712,,1,,,Active,,,https://www.redfin.com/TN/Memphis/721-Lucy-Ave-38106/home/163465636,Memphis Area Association of Realtors(R) MLS,10181325,N,Y,35.112917,-90.038257
MLS Listing,,Vacant Land,713 Lucy Ave,Memphis,TN,38106,12000,,,South Memphis/61 Hwy,,8712,,1,,,Active,,,https://www.redfin.com/TN/Memphis/713-Lucy-Ave-38106/home/60899900,Memphis Area Association of Realtors(R) MLS,10181324,N,Y,35.1130703,-90.038532
MLS Listing,,Vacant Land,426 Lucy Ave,Memphis,TN,38106,12000,,,South Memphis/61 Hwy,,4791,,1,,,Active,,,https://www.redfin.com/TN/Memphis/426-Lucy-Ave-38106/home/163262981,Memphis Area Association of Realtors(R) MLS,10181323,N,Y,35.1142445,-90.0439286
MLS Listing,,Vacant Land,709 Lucy Ave,Memphis,TN,38106,12000,,,South Memphis/61 Hwy,,6969,,1,,,Active,,,https://www.redfin.com/TN/Memphis/709-Lucy-Ave-38106/home/163561100,Memphis Area Association of Realtors(R) MLS,10181322,N,Y,35.1130862,-90.0386784
MLS Listing,,Vacant Land,0 Waynoka Ave,Memphis,TN,38111,39900,,,Chickasaw Gardens,,9583,,1,,,Active,,,https://www.redfin.com/TN/Memphis/Waynoka-Ave-38111/home/163361621,Memphis Area Association of Realtors(R) MLS,10181321,N,Y,35.137742,-89.959249
