SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,346 S Aaron --,Mesa,AZ,85208,375000,3,2.5,SIENNA ESTATES,1581,2433,2012,2,237,99,Active,,,https://www.redfin.com/AZ/Mesa/346-S-Aaron-85208/home/28348052,ARMLS,6758060,N,Y,33.4086548,-111.6255388
MLS Listing,,Single Family Residential,10543 E Diffraction Ave,Mesa,AZ,85212,1250000,6,4.5,EASTMARK DU-7 SOUTH PARCEL 7-5,5260,12502,2015,5,238,102,Pre On-Market,,,https://www.redfin.com/AZ/Mesa/10543-E-Diffraction-Ave-85212/home/56307419,ARMLS,6757090,N,Y,33.3268409,-111.6057698
MLS Listing,,Condo/Co-op,7445 E Eagle Crest Dr #1119,Mesa,AZ,85207,475000,2,2.5,CACHET AT LAS SENDAS CONDOMINIUM,1662,90,2002,6,286,515,Active,,,https://www.redfin.com/AZ/Mesa/7445-E-Eagle-Crest-Dr-85207/unit-1119/home/28040617,ARMLS,6756312,N,Y,33.491274,-111.6737027
MLS Listing,,Single Family Residential,10710 E Evergreen St,Mesa,AZ,85207,960000,3,2.5,ADOBE MEADOWS REPLAT,3148,19600,2017,12,305,189,Active,,,https://www.redfin.com/AZ/Mesa/10710-E-Evergreen-St-85207/home/110237353,ARMLS,6753734,N,Y,33.4329426,-111.5997312
MLS Listing,,Townhouse,7950 E Keats Ave #142,Mesa,AZ,85209,295000,1,2.0,SUNLAND VILLAGE EAST GARDEN CONDO 2 APT 118-235,1151,1290,1990,14,256,262,Active,September-28-2024 10:00 AM,September-28-2024 12:00 PM,https://www.redfin.com/AZ/Mesa/7950-E-Keats-Ave-85209/unit-142/home/27597302,ARMLS,6750842,N,Y,33.3785778,-111.662601
MLS Listing,,Single Family Residential,9413 E Fairbrook St,Mesa,AZ,85207,400000,3,2.0,OASIS VERDE,1462,7044,1985,19,274,5,Active,,,https://www.redfin.com/AZ/Mesa/9413-E-Fairbrook-St-85207/home/27960270,ARMLS,6750935,N,Y,33.4353207,-111.6274405
MLS Listing,,Single Family Residential,9924 E Rotation Dr,Mesa,AZ,85212,849000,5,4.5,"EASTMARK DEVELOPMENT UNIT 5/6 SOUTH PRCLS 6-16, 6-",3467,10045,2021,19,245,113,Pre On-Market,,,https://www.redfin.com/AZ/Mesa/9924-E-Rotation-Dr-85212/home/167766958,ARMLS,6750644,N,Y,33.3365173,-111.6199773
MLS Listing,,Single Family Residential,7650 E Culver St,Mesa,AZ,85207,1225000,6,4.5,COUNTY ISLAND,3922,74052,1974,27,312,,Active,,,https://www.redfin.com/AZ/Mesa/7650-E-Culver-St-85207/home/27251575,ARMLS,6747260,N,Y,33.4629962,-111.6655601
MLS Listing,,Townhouse,1850 S Westwood -- #4,Mesa,AZ,85210,315000,2,2.0,SUNRIDGE PATIO HOMES,940,3071,1981,33,335,266,Active,,,https://www.redfin.com/AZ/Mesa/1850-S-Westwood-85210/unit-4/home/27878940,ARMLS,6744807,N,Y,33.3811634,-111.8530671
MLS Listing,,Single Family Residential,8340 E Inca St,Mesa,AZ,85207,782900,4,3.0,MONTEBELLA AT MOUNTAIN BRIDGE,2383,7860,2010,40,329,192,Active,,,https://www.redfin.com/AZ/Mesa/8340-E-Inca-St-85207/home/27369985,ARMLS,6741850,N,Y,33.4447393,-111.6508257
MLS Listing,,Townhouse,2312 W Lindner Ave #22,Mesa,AZ,85202,325000,3,1.5,LANDINGS LOT 1 THROUGH 83 & TRACK A,1386,1590,1974,82,234,438,Active,September-21-2024 10:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/AZ/Mesa/2312-W-Lindner-Ave-85202/unit-22/home/177572260,ARMLS,6725210,N,Y,33.377784,-111.884225
MLS Listing,,Townhouse,2929 E Broadway Rd #81,Mesa,AZ,85204,349000,2,2.0,TIFFANY SQUARE LOT 1-55 57-94 96-106,1206,1352,1983,105,289,198,Active,,,https://www.redfin.com/AZ/Mesa/2929-E-Broadway-Rd-85204/unit-81/home/28053295,ARMLS,6715131,N,Y,33.4077249,-111.7687052
MLS Listing,,Townhouse,1951 N 64th St #19,Mesa,AZ,85205,299000,2,2.0,RED MOUNTAIN VILLAS TRACTS A B C D E F,1113,1393,1997,112,269,230,Active,,,https://www.redfin.com/AZ/Mesa/1951-N-64th-St-85205/unit-19/home/27741983,ARMLS,6710274,N,Y,33.4515684,-111.6926377
MLS Listing,,Single Family Residential,4625 E Garnet Cir,Mesa,AZ,85206,1595000,5,4.5,SUNNY MESA 1 LOT 1-46 TR A-C,5654,22144,1993,139,282,200,Active,,,https://www.redfin.com/AZ/Mesa/4625-E-Garnet-Cir-85206/home/27138237,ARMLS,6698697,N,Y,33.3919643,-111.7315496
MLS Listing,,Single Family Residential,3346 E Rochelle St,Mesa,AZ,85213,534000,4,2.5,LEHI CROSSING PHASES 4-5,2105,4750,2013,166,254,105,Active,,,https://www.redfin.com/AZ/Mesa/3346-E-Rochelle-St-85213/home/40414611,ARMLS,6687626,N,Y,33.4805068,-111.7583432
MLS Listing,,Condo/Co-op,1645 W Baseline Rd #2084,Mesa,AZ,85202,247000,2,1.5,WATER WORKS,912,433,1982,246,271,310,Active,,,https://www.redfin.com/AZ/Mesa/1645-W-Baseline-Rd-85202/unit-2084/home/27353935,ARMLS,6651071,N,Y,33.3781594,-111.8700857
MLS Listing,,Single Family Residential,6729 E Boston St,Mesa,AZ,85205,325000,3,1.5,DESERTAIRE ESTATES,1016,9159,1959,1,320,,Active,,,https://www.redfin.com/AZ/Mesa/6729-E-Boston-St-85205/home/28296636,ARMLS,6758547,N,Y,33.4194903,-111.686249
MLS Listing,,Mobile/Manufactured Home,2727 E University Dr #40,Tempe,AZ,85288,225000,2,2.0,Sage Point,1456,,2022,1,155,,Active,,,https://www.redfin.com/AZ/Tempe/2727-E-University-Dr-85288/unit-40/home/192567404,ARMLS,6757627,N,Y,33.4189574,-111.8809952
MLS Listing,,Single Family Residential,2496 Leisure World --,Mesa,AZ,85206,350000,2,2.0,LEISURE WORLD-VERDE DEL SUR LOT 2458-2511 TR A-D,1449,9753,1987,1,242,353,Active,,,https://www.redfin.com/AZ/Mesa/2496-Leisure-World-85206/home/28225564,ARMLS,6757988,N,Y,33.3975337,-111.7046873
MLS Listing,,Single Family Residential,5345 E Mclellan Rd #118,Mesa,AZ,85205,875000,3,3.0,ALTA MESA ESTATES 1,2702,15061,1986,1,324,86,Active,September-21-2024 03:00 PM,September-21-2024 07:00 PM,https://www.redfin.com/AZ/Mesa/5345-E-McLellan-Rd-85205/unit-118/home/27538757,ARMLS,6755884,N,Y,33.4434608,-111.7123169
MLS Listing,,Townhouse,7728 E Mariposa Way,Mesa,AZ,85208,279900,2,1.75,FOUNTAIN OF THE SUN PARCEL 9 PHASE 2,1032,109,1979,1,271,325,Active,,,https://www.redfin.com/AZ/Mesa/7728-E-Mariposa-Way-85208/home/167880865,ARMLS,6749879,N,Y,33.4039547,-111.66444
MLS Listing,,Single Family Residential,634 S Pasadena --,Mesa,AZ,85210,375000,3,1.0,EL MAY VILLA AMD,1569,7802,1953,1,239,,Active,,,https://www.redfin.com/AZ/Mesa/634-S-Pasadena-85210/home/27187910,ARMLS,6747791,N,Y,33.4032509,-111.8270373
MLS Listing,,Single Family Residential,3950 E Mclellan Rd #14,Mesa,AZ,85205,1500000,4,3.0,CROSSROADS ESTATES,3327,40069,2013,1,451,225,Active,September-20-2024 11:00 AM,September-20-2024 04:00 PM,https://www.redfin.com/AZ/Mesa/3950-E-McLellan-Rd-85205/unit-14/home/28095672,ARMLS,6756771,N,Y,33.4451338,-111.7451377
MLS Listing,,Single Family Residential,7465 E Osage Ave E,Mesa,AZ,85212,535000,5,3.0,DESERT PLACE AT MORRISON RANCH PHASE 1,1947,5750,2014,1,275,91,Active,,,https://www.redfin.com/AZ/Mesa/7465-E-Osage-Ave-85212/home/56306770,ARMLS,6758697,N,Y,33.3632149,-111.6729704
MLS Listing,,Mobile/Manufactured Home,437 E Germann Rd #63,San Tan Valley,AZ,85140,119900,3,2.0,CIMARRON CROSSING,1316,,2005,1,91,,Active,,,https://www.redfin.com/AZ/Queen-Creek/437-E-Germann-Rd-85140/unit-63/home/144327025,ARMLS,6758643,N,Y,33.2774079,-111.561273
MLS Listing,,Mobile/Manufactured Home,9431 E Coralbell Ave #124,Mesa,AZ,85208,86400,3,2.0,Sierra Estates Mobile Home Park,1120,,2013,1,77,,Active,,,https://www.redfin.com/AZ/Mesa/9431-E-Coralbell-Ave-85208/unit-124/home/191532854,ARMLS,6758631,N,Y,33.4011599,-111.6244464
MLS Listing,,Single Family Residential,7304 E Northridge Cir,Mesa,AZ,85207,469000,3,2.5,WINDSONG AT LAS SENDAS,1605,4059,2002,1,292,172,Active,,,https://www.redfin.com/AZ/Mesa/7304-E-Northridge-Cir-85207/home/27896833,ARMLS,6758622,N,Y,33.464136,-111.6735357
MLS Listing,,Vacant Land,6339 E Oasis St #35,Mesa,AZ,85215,298000,,,MESA DESERT HEIGHTS,,20987,,1,,4,Active,,,https://www.redfin.com/AZ/Mesa/6339-E-Oasis-St-85215/unit-35/home/192600544,ARMLS,6758605,N,Y,33.467516,-111.69373
MLS Listing,,Single Family Residential,1940 S Talbot Cir,Mesa,AZ,85209,495000,3,2.0,SIERRA RANCH 2,1452,7492,1999,1,341,96,Active,September-21-2024 10:00 AM,September-21-2024 02:00 PM,https://www.redfin.com/AZ/Mesa/1940-S-Talbot-Cir-85209/home/27545488,ARMLS,6758604,N,Y,33.3799076,-111.6204625
