SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1270 NW 70th St,Miami,FL,33147,225000,,,EAST LIBERTY CITY HOMESIT,,5400,,1,,,Active,,,https://www.redfin.com/FL/Miami/1270-NW-70th-St-33147/home/45070834,MARMLS,A11658437,N,Y,25.838378,-80.218517
MLS Listing,,Single Family Residential,5510 NW 10th Ave,Miami,FL,33127,449000,3,1.0,BRENNER-BRAMS SUB,840,3850,1959,18,535,,Active,,,https://www.redfin.com/FL/Miami/5510-NW-10th-Ave-33127/home/42685485,MARMLS,A11648794,N,Y,25.8258749,-80.2124316
MLS Listing,,Condo/Co-op,8325 SW 72nd Ave Unit 313C,Miami,FL,33143,380000,2,2.0,THE LEDGES CONDO,1033,,1969,29,368,374,Active,,,https://www.redfin.com/FL/Miami/8325-SW-72nd-Ave-33143/unit-313C/home/43102179,MARMLS,A11640863,N,Y,25.6927218,-80.3079904
MLS Listing,,Single Family Residential,13418 SW 112th Pl,Miami,FL,33176,680000,5,3.0,EDGEWATER PARK,1592,4895,1988,36,427,120,Active,,,https://www.redfin.com/FL/Miami/13418-SW-112th-Pl-33176/home/43162881,MARMLS,A11635988,N,Y,25.6434534,-80.3776955
MLS Listing,,Single Family Residential,745 NW 47th Ter,Miami,FL,33127,619000,3,2.0,BAY VISTA PARK AMD PL,1781,5000,1927,37,348,,Active,,,https://www.redfin.com/FL/Miami/745-NW-47th-Ter-33127/home/42689839,MARMLS,A11612251,N,Y,25.8191673,-80.2088544
MLS Listing,,Condo/Co-op,1900 N Bayshore Dr #603,Miami,FL,33132,799000,2,2.0,QUANTUM ON THE BAY CONDO,1332,,2008,39,600,1300,Active,,,https://www.redfin.com/FL/Miami/1900-N-Bayshore-Dr-33132/unit-603/home/43475080,MARMLS,A11633439,N,Y,25.7950425,-80.1871288
MLS Listing,,Townhouse,2755 Coconut Ave #2755,Miami,FL,33133,975000,2,2.5,VILLAGGIO IN THE GROVE CO,1997,,2005,42,488,568,Active,,,https://www.redfin.com/FL/Miami/2755-Coconut-Ave-33133/unit-2755/home/43343262,MARMLS,A11632467,N,Y,25.7380893,-80.2390882
MLS Listing,,Condo/Co-op,555 NE 15th St Unit 10J,Miami,FL,33132,320000,1,1.5,VENETIA CONDO,840,,1980,48,381,1161,Active,,,https://www.redfin.com/FL/Miami/555-NE-15th-St-33132/unit-10J/home/42734557,MARMLS,A11631816,N,Y,25.7901247,-80.1856879
MLS Listing,,Condo/Co-op,725 NE 22nd St Unit 17B,Miami,FL,33137,545000,1,1.0,NEW WAVE CONDO,850,,2006,58,641,940,Active,,,https://www.redfin.com/FL/Miami/725-NE-22nd-St-33137/unit-17B/home/43356253,MARMLS,A11624956,N,Y,25.7985325,-80.1856539
MLS Listing,,Single Family Residential,740 NW 42nd St,Miami,FL,33127,565995,2,2.0,BRAE BURN SUB,1362,5400,1954,63,416,,Active,,,https://www.redfin.com/FL/Miami/740-NW-42nd-St-33127/home/42682685,MARMLS,A11607213,N,Y,25.8142811,-80.2087671
MLS Listing,,Single Family Residential,12922 SW 221st St,Miami,FL,33170,1150000,4,3.5,ESTATE MANSIONS 1ST ADDN,2703,15020,2014,71,425,,Active,,,https://www.redfin.com/FL/Miami/12922-SW-221st-St-33170/home/43368104,MARMLS,A11610573,N,Y,25.5610202,-80.4014278
MLS Listing,,Condo/Co-op,13120 SW 92nd Ave Unit 416B,Miami,FL,33176,343000,2,2.0,VILLAGE AT THE FALLS COND,1253,,1974,90,274,644,Active,,,https://www.redfin.com/FL/Miami/13120-SW-92nd-Ave-33176/unit-B416/home/43358202,MARMLS,A11608440,N,Y,25.6475626,-80.345427
MLS Listing,,Condo/Co-op,1581 Brickell Ave #508,Miami,FL,33129,600000,1,1.0,VILLA REGINA CONDO,717,,1982,158,837,907,Active,,,https://www.redfin.com/FL/Miami/1581-Brickell-Ave-33129/unit-508/home/42764048,MARMLS,A11567728,N,Y,25.7564058,-80.1933295
MLS Listing,,Condo/Co-op,520 NE 29th St Unit TH2,Miami,FL,33137,599000,1,1.0,MOON BAY OF MIAMI CONDO,1070,,2007,168,560,1569,Active,,,https://www.redfin.com/FL/Miami/520-NE-29th-St-33137/unit-TH2/home/43390303,MARMLS,A11561350,N,Y,25.8041367,-80.1862552
MLS Listing,,Condo/Co-op,1680 NE 191st St Unit 102-2,Miami,FL,33179,249000,2,2.0,Jade Winds Group Allamand,1674,,1968,169,149,1100,Active,,,https://www.redfin.com/FL/Miami/1680-NE-191st-St-33179/unit-102-2/home/43005123,Beaches MLS,F10431572,N,Y,25.9494773,-80.1689757
MLS Listing,,Single Family Residential,220 SW 136th Ave,Miami,FL,33184,890000,4,3.0,UNIVERSITY PARK WEST SEC,2612,7875,1984,256,341,,Active,,,https://www.redfin.com/FL/Miami/220-SW-136th-Ave-33184/home/43100207,MARMLS,A11508503,N,Y,25.7649335,-80.4148111
MLS Listing,,Condo/Co-op,9688 Fontainebleau Blvd #208,Miami,FL,33172,299000,2,2.0,GOLFVIEW CL FONTAINBL PK,1227,,1982,461,244,433,Active,,,https://www.redfin.com/FL/Miami/9688-Fontainebleau-Blvd-33172/unit-208/home/43052255,MARMLS,A11400690,N,Y,25.7722497,-80.3520643
MLS Listing,,Single Family Residential,7020 SW 95th St,Pinecrest,FL,33156,1717000,4,2.0,CARAND HOMESITES,2258,16080,1961,1,760,,Pre On-Market,,,https://www.redfin.com/FL/Pinecrest/7020-SW-95th-St-33156/home/42914987,MARMLS,A11657949,N,Y,25.6822128,-80.3096462
MLS Listing,,Single Family Residential,4540 NW 6th St,Miami,FL,33126,550000,2,2.0,MORRIS MANORS,1027,6240,1947,1,536,,Active,,,https://www.redfin.com/FL/Miami/4540-NW-6th-St-33126/home/42731182,MARMLS,A11656243,N,Y,25.7777822,-80.2702408
MLS Listing,,Single Family Residential,22150 SW 132nd Ave,Miami,FL,33170,850000,3,2.0,-,1920,33541,2000,1,443,,Active,,,https://www.redfin.com/FL/Miami/22150-SW-132nd-Ave-33170/home/43230535,MARMLS,A11655910,N,Y,25.5607702,-80.4051833
MLS Listing,,Condo/Co-op,15328 SW 77th Ln #203,Miami,FL,33193,295000,2,2.0,POINT LAKE CONDO IV,880,,1994,1,335,297,Active,,,https://www.redfin.com/FL/Miami/15328-SW-77th-Ln-33193/unit-203/home/43145421,MARMLS,A11659665,N,Y,25.6938942,-80.4411761
MLS Listing,,Condo/Co-op,1435 Brickell Ave #3212,Miami,FL,33131,2100000,2,2.5,MILLENNIUM TOWER CONDOMIN,1747,,2003,1,1202,3451,Active,,,https://www.redfin.com/FL/Miami/1435-Brickell-Ave-33131/unit-3212/home/43293305,MARMLS,A11660669,N,Y,25.7591927,-80.191943
MLS Listing,,Single Family Residential,3144 SW 21st St,Miami,FL,33145,890000,5,4.0,AUBURN HEIGHTS,1929,5000,1939,1,461,,Active,,,https://www.redfin.com/FL/Miami/3144-SW-21st-St-33145/home/42737376,MARMLS,A11660663,N,Y,25.751457,-80.2448176
