SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),900 S 1st St,Milwaukee,WI,53204,299900,4,2.5,Milwaukee,2392,1742,1900,11,125,,Active,,,https://www.redfin.com/WI/Milwaukee/900-S-1st-St-53204/home/90231083,METROMLS,1890792,N,Y,43.0220238,-87.910974
MLS Listing,,Condo/Co-op,2080 N Commerce St #409,Milwaukee,WI,53212,159900,1,1.0,Milwaukee,748,,2007,12,214,485,Active,,,https://www.redfin.com/WI/Milwaukee/2080-N-Commerce-St-53212/unit-409/home/58024407,METROMLS,1890617,N,Y,43.0580657,-87.8988312
MLS Listing,,Multi-Family (2-4 Unit),2650-2652 N 70th St,Wauwatosa,WI,53213,364900,3,2.0,Wauwatosa,1990,4791,1946,1,183,,Active,,,https://www.redfin.com/WI/Wauwatosa/2650-N-70th-St-53213/unit-2652/home/169592820,METROMLS,1891805,N,Y,43.0673189,-87.9993033
MLS Listing,,Single Family Residential,1432 W Vogel Ave,Milwaukee,WI,53221,225000,3,1.0,Milwaukee,876,6969,1960,1,257,,Active,,,https://www.redfin.com/WI/Milwaukee/1432-W-Vogel-Ave-53221/home/90250590,METROMLS,1891669,N,Y,42.9531221,-87.9319918
MLS Listing,,Single Family Residential,3124 N Bartlett Ave,Milwaukee,WI,53211,325000,4,1.5,Milwaukee,1360,3920,1892,1,239,,Active,,,https://www.redfin.com/WI/Milwaukee/3124-N-Bartlett-Ave-53211/home/57711280,METROMLS,1891870,N,Y,43.0752978,-87.888806
MLS Listing,,Multi-Family (2-4 Unit),3317 N 84th St #3319,Milwaukee,WI,53222,198000,4,2.0,Milwaukee,1800,5227,1950,1,110,,Active,,,https://www.redfin.com/WI/Milwaukee/3317-N-84th-St-53222/unit-3319/home/191533221,METROMLS,1892150,N,Y,43.0793906,-88.0178301
MLS Listing,,Condo/Co-op,1660 N Prospect Ave #1207,Milwaukee,WI,53202,389900,2,2.0,Milwaukee,1185,,1990,1,329,570,Active,,,https://www.redfin.com/WI/Milwaukee/1660-N-Prospect-Ave-53202/unit-1207/home/191591182,METROMLS,1892143,N,Y,43.0516642,-87.8911197
MLS Listing,,Condo/Co-op,5616 S 27th St #5,Milwaukee,WI,53221,164900,2,1.5,Milwaukee,1249,,1975,1,132,280,Active,,,https://www.redfin.com/WI/Milwaukee/5616-S-27th-St-53221/unit-5/home/185266856,METROMLS,1892140,N,Y,42.9421833,-87.9479823
MLS Listing,,Single Family Residential,2750 S Greeley St,Milwaukee,WI,53207,474500,3,2.5,Milwaukee,1909,3484,1890,1,249,,Active,,,https://www.redfin.com/WI/Milwaukee/2750-S-Greeley-St-53207/home/57860535,METROMLS,1892139,N,Y,42.9940857,-87.9090738
MLS Listing,,Multi-Family (2-4 Unit),3153 N Bremen St,Milwaukee,WI,53212,279000,4,2.0,Milwaukee,1464,3484,1906,1,191,,Pre On-Market,,,https://www.redfin.com/WI/Milwaukee/3153-N-Bremen-St-53212/home/90213921,METROMLS,1892137,N,Y,43.0759409,-87.9004982
