SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4153 Pleasant Ave,Minneapolis,MN,55409,650000,5,3.0,King Field,2432,5227,1921,1,267,,Active,,,https://www.redfin.com/MN/Minneapolis/4153-Pleasant-Ave-55409/home/49913064,NORTHSTARMLS as Distributed by MLS Grid,6592011,N,Y,44.9270137,-93.2827984
MLS Listing,,Single Family Residential,8825 Telford Xing,Brooklyn Park,MN,55443,549900,5,4.0,Brooklyn Park,3038,11325,1993,1,181,10,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/MN/Minneapolis/8825-Telford-Xing-55443/home/50095074,NORTHSTARMLS as Distributed by MLS Grid,6601381,N,Y,45.115891,-93.3158147
MLS Listing,,Condo/Co-op,8430 Pennsylvania Rd #209,Bloomington,MN,55438,449900,2,2.0,Bloomington,1834,343252,1980,5,245,967,Active,,,https://www.redfin.com/MN/Minneapolis/8430-Pennsylvania-Rd-55438/unit-209/home/51404354,NORTHSTARMLS as Distributed by MLS Grid,6595103,N,Y,44.849505,-93.379816
MLS Listing,,Single Family Residential,5537 14th Ave S,Minneapolis,MN,55417,489900,3,2.0,Diamond Lake,2016,6534,1932,5,243,,Active,,,https://www.redfin.com/MN/Minneapolis/5537-14th-Ave-S-55417/home/51438937,NORTHSTARMLS as Distributed by MLS Grid,6584858,N,Y,44.9020698,-93.2547735
MLS Listing,,Single Family Residential,6933 Blaisdell Ave,Richfield,MN,55423,347900,3,2.0,Richfield,1558,8712,1956,5,223,,Active,,,https://www.redfin.com/MN/Minneapolis/6933-Blaisdell-Ave-55423/home/51462635,NORTHSTARMLS as Distributed by MLS Grid,6602336,N,Y,44.876903,-93.279084
MLS Listing,,Single Family Residential,2717 Hampshire Ave S,Saint Louis Park,MN,55426,419900,3,2.0,Saint Louis Park,1846,5227,1948,6,227,,Active,,,https://www.redfin.com/MN/Minneapolis/2717-Hampshire-Ave-S-55426/home/50069847,NORTHSTARMLS as Distributed by MLS Grid,6589043,N,Y,44.9543792,-93.3654875
MLS Listing,,Single Family Residential,4941 Madison St NE,Columbia Heights,MN,55421,325000,5,3.0,Columbia Heights,2318,6534,1958,6,140,,Active,,,https://www.redfin.com/MN/Minneapolis/4941-Madison-St-NE-55421/home/49968070,NORTHSTARMLS as Distributed by MLS Grid,6601869,N,Y,45.0584211,-93.2535763
MLS Listing,,Condo/Co-op,929 Portland Ave #2003,Minneapolis,MN,55404,264900,2,2.0,Elliot Park,952,44256,2006,12,278,728,Active,,,https://www.redfin.com/MN/Minneapolis/929-Portland-Ave-55404/unit-2003/home/49996946,NORTHSTARMLS as Distributed by MLS Grid,6595955,N,Y,44.9707004,-93.2660631
MLS Listing,,Condo/Co-op,8151 33rd Ave S #601,Bloomington,MN,55425,274900,1,1.0,Bloomington,878,126149,2005,13,313,576,Active,,,https://www.redfin.com/MN/Minneapolis/8151-33rd-Ave-S-55425/unit-601/home/49924534,NORTHSTARMLS as Distributed by MLS Grid,6597259,N,Y,44.8560032,-93.2239312
MLS Listing,,Single Family Residential,5436 Nevada Ave N,Crystal,MN,55428,330000,4,2.0,Crystal,2311,10018,1954,20,143,,Active,,,https://www.redfin.com/MN/Minneapolis/5436-Nevada-Ave-N-55428/home/51304618,NORTHSTARMLS as Distributed by MLS Grid,6588876,N,Y,45.052473,-93.3725181
MLS Listing,,Condo/Co-op,929 Portland Ave #1804,Minneapolis,MN,55404,255000,2,2.0,Elliot Park,927,44256,2006,30,275,724,Active,,,https://www.redfin.com/MN/Minneapolis/929-Portland-Ave-55404/unit-1804/home/51272072,NORTHSTARMLS as Distributed by MLS Grid,6574179,N,Y,44.9707004,-93.2660631
MLS Listing,,Single Family Residential,4134 Wooddale Ave S,Saint Louis Park,MN,55416,550000,3,2.0,Saint Louis Park,1998,6534,1946,54,275,,Active,,,https://www.redfin.com/MN/Minneapolis/4134-Wooddale-Ave-S-55416/home/51317522,NORTHSTARMLS as Distributed by MLS Grid,6572559,N,Y,44.9265817,-93.344736
MLS Listing,,Single Family Residential,5521 10th Ave S,Minneapolis,MN,55417,545000,3,3.0,Diamond Lake,2353,6098,1936,64,232,,Active,,,https://www.redfin.com/MN/Minneapolis/5521-10th-Ave-S-55417/home/49906320,NORTHSTARMLS as Distributed by MLS Grid,6570168,N,Y,44.9026004,-93.2597967
MLS Listing,,Single Family Residential,9300 Wyoming Ave S,Bloomington,MN,55438,765000,4,4.0,Bloomington,4008,15246,1983,82,191,,Active,,,https://www.redfin.com/MN/Minneapolis/9300-Wyoming-Ave-S-55438/home/51413615,NORTHSTARMLS as Distributed by MLS Grid,6557139,N,Y,44.8349218,-93.3868317
MLS Listing,,Condo/Co-op,1200 Nicollet Mall #206,Minneapolis,MN,55403,149900,2,1.0,Loring Park,1005,,1977,220,149,924,Active,,,https://www.redfin.com/MN/Minneapolis/1200-Nicollet-Mall-55403/unit-206/home/49956454,NORTHSTARMLS as Distributed by MLS Grid,6485474,N,Y,44.9720603,-93.2772201
MLS Listing,,Single Family Residential,4008 10th Ave S,Minneapolis,MN,55407,330000,4,2.0,Bancroft,2318,4791,1930,1,142,,Active,,,https://www.redfin.com/MN/Minneapolis/4008-10th-Ave-S-55407/home/51347793,NORTHSTARMLS as Distributed by MLS Grid,6590520,N,Y,44.9301839,-93.2603074
MLS Listing,,Single Family Residential,5052 Belmont Ave S,Minneapolis,MN,55419,779000,4,3.0,Tangletown,2476,7405,1924,1,315,,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/MN/Minneapolis/5052-Belmont-Ave-S-55419/home/51376719,NORTHSTARMLS as Distributed by MLS Grid,6600350,N,Y,44.9108204,-93.2814773
MLS Listing,,Condo/Co-op,2540 38th Ave NE #106,Saint Anthony,MN,55421,275000,1,2.0,Saint Anthony,1152,,2006,1,239,481,Active,September-18-2024 04:00 PM,September-18-2024 05:00 PM,https://www.redfin.com/MN/Minneapolis/2540-38th-Ave-NE-55421/unit-106/home/49950498,NORTHSTARMLS as Distributed by MLS Grid,6572413,N,Y,45.037719,-93.2244823
MLS Listing,,Single Family Residential,3651 Russell Ave N,Minneapolis,MN,55412,190000,2,1.0,Cleveland,720,5227,1916,1,264,,Active,September-20-2024 04:00 PM,September-20-2024 06:00 PM,https://www.redfin.com/MN/Minneapolis/3651-Russell-Ave-N-55412/home/50059453,NORTHSTARMLS as Distributed by MLS Grid,6595404,N,Y,45.0220392,-93.3111254
MLS Listing,,Single Family Residential,2011 Kenwood Pkwy,Minneapolis,MN,55405,1249900,6,5.0,Kenwood,3546,7405,1911,1,352,,Active,,,https://www.redfin.com/MN/Minneapolis/2011-Kenwood-Pkwy-55405/home/51501358,NORTHSTARMLS as Distributed by MLS Grid,6602596,N,Y,44.9623784,-93.310998
MLS Listing,,Single Family Residential,4928 Oakland Ave,Minneapolis,MN,55417,338000,4,1.0,Field,1570,5227,1929,1,215,,Active,September-18-2024 11:00 AM,September-18-2024 01:00 PM,https://www.redfin.com/MN/Minneapolis/4928-Oakland-Ave-55417/home/51368368,NORTHSTARMLS as Distributed by MLS Grid,6603376,N,Y,44.9133397,-93.2668438
MLS Listing,,Townhouse,8404 W 97th St,Bloomington,MN,55438,250000,2,2.0,Bloomington,1372,6098,1979,1,182,256,Active,,,https://www.redfin.com/MN/Minneapolis/8404-W-97th-St-55438/home/51485329,NORTHSTARMLS as Distributed by MLS Grid,6597975,N,Y,44.8289302,-93.3944375
MLS Listing,,Single Family Residential,7516 59th Pl N,Crystal,MN,55428,280000,2,2.0,Crystal,891,13503,1951,1,314,,Active,September-19-2024 05:00 PM,September-19-2024 06:30 PM,https://www.redfin.com/MN/Minneapolis/7516-59th-Pl-N-55428/home/50140661,NORTHSTARMLS as Distributed by MLS Grid,6600420,N,Y,45.061658,-93.3747223
MLS Listing,,Single Family Residential,4231 20th Ave S,Minneapolis,MN,55407,329900,3,1.0,Standish,942,4791,1923,1,350,,Active,,,https://www.redfin.com/MN/Minneapolis/4231-20th-Ave-S-55407/home/51355542,NORTHSTARMLS as Distributed by MLS Grid,6600684,N,Y,44.9259337,-93.2432717
MLS Listing,,Single Family Residential,2718 Colfax Ave N,Minneapolis,MN,55411,169000,4,2.0,Hawthorne,1172,5227,1900,1,144,,Active,,,https://www.redfin.com/MN/Minneapolis/2718-Colfax-Ave-N-55411/home/49906751,NORTHSTARMLS as Distributed by MLS Grid,6602730,N,Y,45.0083644,-93.2915808
MLS Listing,,Multi-Family (2-4 Unit),1715 Adams St NE,Minneapolis,MN,55413,379900,4,2.0,Logan Park,2736,5227,1960,1,139,,Pre On-Market,September-22-2024 10:00 AM,September-22-2024 11:30 AM,https://www.redfin.com/MN/Minneapolis/1715-Adams-St-NE-55413/home/51370143,NORTHSTARMLS as Distributed by MLS Grid,6604334,N,Y,45.0057306,-93.256033
MLS Listing,,Single Family Residential,6229 Blaisdell Ave,Richfield,MN,55423,425000,5,2.0,Richfield,2253,10454,1953,1,189,,Pre On-Market,September-20-2024 04:30 PM,September-20-2024 06:00 PM,https://www.redfin.com/MN/Minneapolis/6229-Blaisdell-Ave-55423/home/50065126,NORTHSTARMLS as Distributed by MLS Grid,6597364,N,Y,44.889277,-93.279015
MLS Listing,,Single Family Residential,4031 Beard Ave N,Robbinsdale,MN,55422,349900,3,2.0,Robbinsdale,2100,6098,1940,1,167,,Active,,,https://www.redfin.com/MN/Minneapolis/4031-Beard-Ave-N-55422/home/51299965,NORTHSTARMLS as Distributed by MLS Grid,6604370,N,Y,45.0284366,-93.3221395
MLS Listing,,Single Family Residential,5729 14th Ave S,Minneapolis,MN,55417,475000,4,2.0,Diamond Lake,1791,6098,1946,1,265,,Pre On-Market,,,https://www.redfin.com/MN/Minneapolis/5729-14th-Ave-S-55417/home/51439525,NORTHSTARMLS as Distributed by MLS Grid,6576927,N,Y,44.8986318,-93.254891
