SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11S528 Book Rd,Naperville,IL,60564,550000,3,3.0,Naperville,2297,,1977,4,239,,Active,,,https://www.redfin.com/IL/Naperville/11S528-Book-Rd-60564/home/23153536,MRED as Distributed by MLS Grid,12157367,N,Y,41.700274,-88.1865894
MLS Listing,,Single Family Residential,1161 Sequoia Rd,Naperville,IL,60540,590000,4,2.5,Naperville,2376,129,1983,11,248,,Active,,,https://www.redfin.com/IL/Naperville/1161-Sequoia-Rd-60540/home/18071974,MRED as Distributed by MLS Grid,12152152,N,Y,41.7603557,-88.1690238
MLS Listing,,Single Family Residential,3408 Tall Grass Dr,Naperville,IL,60564,749000,4,2.5,Tall Grass,3170,10080,2000,13,236,65,Active,,,https://www.redfin.com/IL/Naperville/3408-Tall-Grass-Dr-60564/home/23337700,MRED as Distributed by MLS Grid,12155264,N,Y,41.7012987,-88.2166466
MLS Listing,,Townhouse,1139 Vail Ct,Naperville,IL,60540,335000,2,2.5,Estes Park,1296,2407,1995,13,258,240,Active,,,https://www.redfin.com/IL/Naperville/1139-Vail-Ct-60540/home/18069903,MRED as Distributed by MLS Grid,12154747,N,Y,41.7493083,-88.1815322
MLS Listing,,Townhouse,860 Shandrew Dr,Naperville,IL,60540,439900,2,2.5,Vintage Club,2070,,2001,34,213,356,Active,,,https://www.redfin.com/IL/Naperville/860-Shandrew-Dr-60540/home/17986529,MRED as Distributed by MLS Grid,12137602,N,Y,41.7537913,-88.198785
MLS Listing,,Single Family Residential,11131 Anvil Ct,Naperville,IL,60564,635000,5,3.0,Wheatland Highlands,2646,22651,1992,34,240,,Active,,,https://www.redfin.com/IL/Naperville/11131-Anvil-Ct-60564/home/23156880,MRED as Distributed by MLS Grid,12138456,N,Y,41.6799249,-88.2097532
MLS Listing,,Single Family Residential,808 Burning Tree Ln,Naperville,IL,60563,599900,4,2.5,Cress Creek,2583,13939,1965,34,232,,Active,,,https://www.redfin.com/IL/Naperville/808-Burning-Tree-Ln-60563/home/18078184,MRED as Distributed by MLS Grid,12136960,N,Y,41.7887047,-88.1632589
MLS Listing,,Single Family Residential,280 Westbrook Cir,Naperville,IL,60565,419900,3,1.5,Old Farm,1597,,1986,49,263,,Active,,,https://www.redfin.com/IL/Naperville/280-Westbrook-Cir-60565/home/18267449,MRED as Distributed by MLS Grid,12084859,N,Y,41.7197244,-88.1424884
MLS Listing,,Vacant Land,1924 Saddle Farm Ln,Naperville,IL,60564,395000,,,The Paddocks,,12632,,68,,,Active,,,https://www.redfin.com/IL/Naperville/1924-Saddle-Farm-Ln-60564/home/18241991,MRED as Distributed by MLS Grid,12105505,N,Y,41.723007,-88.185821
Redfin Data,,Single Family Residential,30W356 Claymore Ln,Naperville,IL,60563,399900,4,2.0,Naperville,1488,13494,1963,11,269,,Pre On-Market,,,https://www.redfin.com/IL/Naperville/30W356-Claymore-Ln-60563/home/18080899,Coming Soon,101534,N,Y,41.7929641,-88.2143721
MLS Listing,,Single Family Residential,5056 Prairie Sage Ln,Naperville,IL,60564,674900,4,2.5,High Meadow,2822,11600,1996,1,239,17,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/IL/Naperville/5056-Prairie-Sage-Ln-60564/home/12735552,MRED as Distributed by MLS Grid,12165593,N,Y,41.6798134,-88.2000624
MLS Listing,,Single Family Residential,4824 Shumard Ln,Naperville,IL,60564,940000,4,3.5,Ashwood Park,4040,14418,2018,1,233,127,Active,September-21-2024 01:00 AM,September-21-2024 03:00 PM,https://www.redfin.com/IL/Naperville/4824-Shumard-Ln-60564/home/109647678,MRED as Distributed by MLS Grid,12165112,N,Y,41.6817039,-88.2324623
MLS Listing,,Single Family Residential,1130 Hidden Spring Dr,Naperville,IL,60540,699900,4,3.5,Brush Hill,2508,,1973,1,279,,Active,,,https://www.redfin.com/IL/Naperville/1130-Hidden-Spring-Dr-60540/home/18076114,MRED as Distributed by MLS Grid,12164990,N,Y,41.7774667,-88.1730962
MLS Listing,,Townhouse,245 Box Car Ave,Naperville,IL,60540,598000,2,3.0,Naperville Station,2110,1786,2003,1,283,510,Active,,,https://www.redfin.com/IL/Naperville/245-Box-Car-Ave-60540/home/17987262,MRED as Distributed by MLS Grid,12138482,N,Y,41.7791809,-88.15219
MLS Listing,,Single Family Residential,4540 Shumard Ln,Naperville,IL,60564,1350000,7,6.5,Ashwood Park,5019,15245,2018,2,269,127,Active,,,https://www.redfin.com/IL/Naperville/4540-Shumard-Ln-60564/home/23233800,MRED as Distributed by MLS Grid,12151855,N,Y,41.687005,-88.2330346
MLS Listing,,Single Family Residential,27 48th St,Naperville,IL,60563,525000,4,3.0,Naperville,2500,,1960,2,210,,Active,,,https://www.redfin.com/IL/Naperville/27W130-48th-St-60563/home/192566461,MRED as Distributed by MLS Grid,12160642,N,Y,41.797261,-88.1503175
MLS Listing,,Single Family Residential,3512 White Eagle Dr,Naperville,IL,60564,1550000,5,5.0,White Eagle,6292,13939,1999,3,246,92,Active,,,https://www.redfin.com/IL/Naperville/3512-White-Eagle-Dr-60564/home/23298199,MRED as Distributed by MLS Grid,12147589,N,Y,41.7184497,-88.2234005
MLS Listing,,Single Family Residential,8 Bunting Ln,Naperville,IL,60565,569900,3,2.0,Maplebrook II,3222,19279,1967,3,177,,Active,,,https://www.redfin.com/IL/Naperville/8-Bunting-Ln-60565/home/18039722,MRED as Distributed by MLS Grid,12164152,N,Y,41.7466733,-88.1304034
MLS Listing,,Condo/Co-op,50 Plymouth Ct Unit 201A,Naperville,IL,60565,295000,3,2.0,Naperville,1250,,1982,4,236,390,Active,,,https://www.redfin.com/IL/Naperville/50-Plymouth-Ct-60565/unit-201A/home/18038669,MRED as Distributed by MLS Grid,12163576,N,Y,41.7289366,-88.1325171
MLS Listing,,Single Family Residential,230 Ridgefield Ln,Naperville,IL,60565,475000,3,2.5,Old Farm,1723,10890,1974,4,276,,Active,,,https://www.redfin.com/IL/Naperville/230-Ridgefield-Ln-60565/home/14353928,MRED as Distributed by MLS Grid,12162718,N,Y,41.7314035,-88.141646
MLS Listing,,Single Family Residential,809 Shiloh Cir,Naperville,IL,60540,524999,4,2.5,Hobson West,2086,12623,1979,4,252,49,Active,,,https://www.redfin.com/IL/Naperville/809-Shiloh-Cir-60540/home/18070224,MRED as Distributed by MLS Grid,12163729,N,Y,41.7501319,-88.1603562
MLS Listing,,Single Family Residential,1621 Hedg Ct,Naperville,IL,60565,1200000,5,5.0,Evergreen Woods,5007,16117,2007,4,240,,Active,,,https://www.redfin.com/IL/Naperville/1621-Hedg-Ct-60565/home/18037509,MRED as Distributed by MLS Grid,12162759,N,Y,41.7392479,-88.1170498
MLS Listing,,Townhouse,914 Havenshire Ct,Naperville,IL,60565,418000,2,2.5,Naperville,1676,2990,2000,4,249,350,Active,,,https://www.redfin.com/IL/Naperville/914-Havenshire-Ct-60565/home/18069202,MRED as Distributed by MLS Grid,12159491,N,Y,41.7455977,-88.1659963
MLS Listing,,Condo/Co-op,1105 N Mill St #315,Naperville,IL,60563,250000,2,2.0,Naperville,1218,,1974,4,205,482,Active,,,https://www.redfin.com/IL/Naperville/1105-N-Mill-St-60563/unit-315/home/18077266,MRED as Distributed by MLS Grid,12163443,N,Y,41.7881075,-88.1546754
MLS Listing,,Single Family Residential,3515 Brooksedge Ave,Naperville,IL,60564,960000,5,4.5,Tall Grass,3826,10454,2003,4,251,65,Active,,,https://www.redfin.com/IL/Naperville/3515-Brooksedge-Ave-60564/home/23348872,MRED as Distributed by MLS Grid,12163022,N,Y,41.7053303,-88.2151222
MLS Listing,,Single Family Residential,320 S Birchwood Dr,Naperville,IL,60540,549000,4,2.5,Will-O-Way,2422,10018,1971,4,227,,Active,,,https://www.redfin.com/IL/Naperville/320-S-Birchwood-Dr-60540/home/18075648,MRED as Distributed by MLS Grid,12163244,N,Y,41.7695412,-88.1781362
MLS Listing,,Single Family Residential,2528 Saddlebrook Dr,Naperville,IL,60564,1300000,4,5.0,White Eagle,5075,15681,1995,4,256,97,Active,,,https://www.redfin.com/IL/Naperville/2528-Saddlebrook-Dr-60564/home/23190579,MRED as Distributed by MLS Grid,12152410,N,Y,41.7189851,-88.2115592
MLS Listing,,Single Family Residential,5s420 Scots Dr,Naperville,IL,60563,449900,4,2.0,Longwood,3084,10890,1988,4,146,,Active,,,https://www.redfin.com/IL/Naperville/5S420-Scots-Dr-60563/home/18079461,MRED as Distributed by MLS Grid,12163118,N,Y,41.7905821,-88.2068155
MLS Listing,,Townhouse,4109 Royal Mews Cir,Naperville,IL,60564,510000,3,2.5,Naperville,2021,1218,2015,5,252,370,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/IL/Naperville/4109-Royal-Mews-Cir-60564/home/113882017,MRED as Distributed by MLS Grid,12160507,N,Y,41.6927074,-88.2063468
MLS Listing,,Single Family Residential,443 Waterbury Ct,Naperville,IL,60565,495000,3,2.5,Naperville,1364,16117,1979,5,363,,Active,,,https://www.redfin.com/IL/Naperville/443-Waterbury-Ct-60565/home/23154991,MRED as Distributed by MLS Grid,12162682,N,Y,41.7256704,-88.1497532
MLS Listing,,Single Family Residential,529 De Lasalle Ave,Naperville,IL,60565,800000,5,4.0,Knoch Knolls,4670,12998,1989,5,171,8,Active,,,https://www.redfin.com/IL/Naperville/529-De-Lasalle-Ave-60565/home/23157154,MRED as Distributed by MLS Grid,12162922,N,Y,41.7141612,-88.1550447
MLS Listing,,Single Family Residential,1133 Sandpiper Ln,Naperville,IL,60540,749900,4,2.5,Maplebrook I,,,1965,5,,,Active,,,https://www.redfin.com/IL/Naperville/1133-Sandpiper-Ln-60540/home/18040724,MRED as Distributed by MLS Grid,12162677,N,Y,41.7527371,-88.1362116
