SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,100 E Marthona Rd,Madison,TN,37115,505000,3,2.0,Harlan Heights,1826,20037,2006,1,277,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/TN/Madison/100-E-Marthona-Rd-37115/home/108106298,REALTRACS as Distributed by MLS Grid,2704903,N,Y,36.2638651,-86.7275504
MLS Listing,,Single Family Residential,205 Sterling Point Cir,Nashville,TN,37209,609000,3,3.5,Sterling Point,1990,871,2020,2,306,185,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/TN/Nashville/205-Sterling-Point-Cir-37209/home/148402041,REALTRACS as Distributed by MLS Grid,2704555,N,Y,36.1576126,-86.8636219
MLS Listing,,Single Family Residential,70 Elberta St,Nashville,TN,37210,429000,2,1.0,Sterling Heights,1308,10454,1945,2,328,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/70-Elberta-St-37210/home/86348835,REALTRACS as Distributed by MLS Grid,2704529,N,Y,36.1180856,-86.7387461
MLS Listing,,Townhouse,4325 Ashland City Hwy #6,Nashville,TN,37218,375000,3,3.0,Ashland Place Townhomes,1518,871,2018,6,247,160,Active,,,https://www.redfin.com/TN/Nashville/4325-Ashland-City-Hwy-37218/unit-6/home/144184679,REALTRACS as Distributed by MLS Grid,2703181,N,Y,36.2073014,-86.858011
MLS Listing,,Townhouse,1880 Shaylin Loop,Antioch,TN,37013,278500,2,2.5,Barnes Crossing,1224,435,2007,14,228,160,Active,,,https://www.redfin.com/TN/Antioch/1880-Shaylin-Loop-37013/home/79870102,REALTRACS as Distributed by MLS Grid,2699737,N,Y,36.0315135,-86.7062052
MLS Listing,,Condo/Co-op,1920 Adelicia St #408,Nashville,TN,37212,496000,1,1.0,The Adelicia,727,2613,2007,15,682,503,Active,,,https://www.redfin.com/TN/Nashville/1920-Adelicia-St-37212/unit-408/home/86348831,REALTRACS as Distributed by MLS Grid,2694043,N,Y,36.1484013,-86.7976337
MLS Listing,,Single Family Residential,1808 Bryce Cir,Nashville,TN,37211,595000,3,2.5,Holt Woods,2428,8276,1999,19,245,13,Active,,,https://www.redfin.com/TN/Nashville/1808-Bryce-Cir-37211/home/60721230,REALTRACS as Distributed by MLS Grid,2696141,N,Y,36.0203244,-86.7269497
MLS Listing,,Single Family Residential,4301 Oakcrest Ln,Hermitage,TN,37076,509900,4,2.5,Oakcrest,2560,10454,1988,19,199,25,Active,,,https://www.redfin.com/TN/Hermitage/4301-Oakcrest-Ln-37076/home/108059009,REALTRACS as Distributed by MLS Grid,2698011,N,Y,36.1928752,-86.5997201
MLS Listing,,Single Family Residential,3508 Gondola Dr,Antioch,TN,37013,269900,2,1.5,Chelsea Of Priest Lake,1116,4791,1986,26,242,,Active,,,https://www.redfin.com/TN/Antioch/3508-Gondola-Dr-37013/home/108133167,REALTRACS as Distributed by MLS Grid,2695242,N,Y,36.0822448,-86.6049325
MLS Listing,,Single Family Residential,2944 Jenry Dr,Nashville,TN,37214,619900,3,2.5,Donelson Downs,2605,6969,2019,28,238,80,Active,,,https://www.redfin.com/TN/Nashville/2944-Jenry-Dr-37214/home/168703197,REALTRACS as Distributed by MLS Grid,2692712,N,Y,36.1723908,-86.6522334
MLS Listing,,Single Family Residential,3045 Casa Dr,Nashville,TN,37214,189000,1,1.0,Percy Priest Lake,936,8276,1985,28,202,,Active,,,https://www.redfin.com/TN/Nashville/3045-Casa-Dr-37214/home/108091154,REALTRACS as Distributed by MLS Grid,2694325,N,Y,36.1437257,-86.6436633
MLS Listing,,Condo/Co-op,2025 Woodmont Blvd #241,Nashville,TN,37215,239500,1,1.0,Hillmont Condominiums,603,435,1995,28,397,499,Active,,,https://www.redfin.com/TN/Nashville/2025-Woodmont-Blvd-37215/unit-241/home/87812523,REALTRACS as Distributed by MLS Grid,2694323,N,Y,36.1133035,-86.8103157
