SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,35-05 72nd St Unit 3G,Jackson Heights,NY,11372,335000,1,1.0,Jac Towers,,,1936,6,,838,Active,September-21-2024 03:00 PM,September-21-2024 04:30 PM,https://www.redfin.com/NY/Jackson-Heights/3505-72nd-St-11372/unit-3G/home/20645114,OneKey® MLS as Distributed by MLS Grid,3578517,N,Y,40.750586,-73.893645
MLS Listing,,Condo/Co-op,1420 York Ave Unit 5H,New York,NY,10021,499999,1,1.0,1420 York Avenue,420,,1956,8,1190,491,Active,September-21-2024 12:00 PM,September-21-2024 01:30 PM,https://www.redfin.com/NY/New-York/1420-York-Ave-10021/unit-5H/home/45289650,OneKey® MLS as Distributed by MLS Grid,H6325306,N,Y,40.7690013,-73.9518302
MLS Listing,,Single Family Residential,211-17 47th Ave,Bayside,NY,11361,845000,2,2.0,Bayside,896,2336,1960,13,943,,Active,,,https://www.redfin.com/NY/Bayside/21117-47th-Ave-11361/home/20813393,OneKey® MLS as Distributed by MLS Grid,3576889,N,Y,40.75653,-73.7701017
MLS Listing,,Condo/Co-op,377 Rector Unit 5D,New York,NY,10280,620000,1,1.0,Liberty House,611,,1985,13,1015,1569,Active,,,https://www.redfin.com/NY/New-York/377-Rector-Pl-10280/unit-5D/home/45234338,OneKey® MLS as Distributed by MLS Grid,3576800,N,Y,40.709894,-74.017865
MLS Listing,,Condo/Co-op,64-75 Austin St Unit 7A,Rego Park,NY,11374,839000,2,2.0,Major Plaza Condominium,914,,2015,14,918,468,Active,September-22-2024 04:30 PM,September-22-2024 06:00 PM,https://www.redfin.com/NY/Rego-Park/6475-Austin-St-11374/unit-7A/home/109706913,OneKey® MLS as Distributed by MLS Grid,3576493,N,Y,40.7265719,-73.8601692
MLS Listing,,Single Family Residential,91-27 71st Ave Ave,Forest Hills,NY,11375,1390000,4,2.5,Forest Hills,2073,2200,1925,15,671,,Active,September-21-2024 01:30 PM,September-21-2024 04:30 PM,https://www.redfin.com/NY/Forest-Hills/9127-71st-Ave-11375/home/20873921,OneKey® MLS as Distributed by MLS Grid,3575905,N,Y,40.7095042,-73.8514553
MLS Listing,,Condo/Co-op,33-25 92nd St Unit 2E,Jackson Heights,NY,11372,259000,1,1.0,Southridge Coops,,,,21,,689,Active,September-21-2024 01:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/NY/Jackson-Heights/33-25-92nd-St-11372/unit-2E/home/192153669,OneKey® MLS as Distributed by MLS Grid,3575112,N,Y,40.755626407,-73.87567988
MLS Listing,,Single Family Residential,10205 217th St,Queens Village,NY,11429,749000,3,3.0,Queens Village,1628,4000,1925,49,460,,Active,September-21-2024 01:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/NY/Queens-Village/10205-217th-St-11429/home/20737467,OneKey® MLS as Distributed by MLS Grid,3569358,N,Y,40.7133288,-73.7411183
MLS Listing,,Multi-Family (2-4 Unit),771 E 223rd St,Bronx,NY,10466,799900,9,2.0,BRONX,2200,2448,1925,51,364,,Active,,,https://www.redfin.com/NY/Bronx/771-E-223rd-St-10466/home/44739125,OneKey® MLS as Distributed by MLS Grid,H6318119,N,Y,40.8857638,-73.8586763
MLS Listing,,Condo/Co-op,69-10 Yellowstone Blvd #427,Forest Hills,NY,11375,340000,1,1.0,The Mayflower,,,1942,69,,1063,Active,,,https://www.redfin.com/NY/Forest-Hills/6910-Yellowstone-Blvd-11375/unit-427/home/20630059,OneKey® MLS as Distributed by MLS Grid,3565242,N,Y,40.7240934,-73.8471788
MLS Listing,,Single Family Residential,172-58 126th Ave,Jamaica,NY,11434,675000,3,1.0,Jamaica,1050,3450,1962,141,643,,Active,,,https://www.redfin.com/NY/Jamaica/17258-126th-Ave-11434/home/20706565,OneKey® MLS as Distributed by MLS Grid,3548066,N,Y,40.6811004,-73.7699277
MLS Listing,,Condo/Co-op,2575 Palisade Ave Unit 4KJ,Bronx,NY,10463,849000,3,2.0,Riveredge,1600,,1958,217,531,2146,Active,,,https://www.redfin.com/NY/Bronx/2575-Palisade-Ave-10463/unit-4KJ/home/189642687,OneKey® MLS as Distributed by MLS Grid,H6278683,N,Y,40.8818819,-73.921791
MLS Listing,,Multi-Family (2-4 Unit),927 E 96th St,Canarsie,NY,11236,849000,7,3.0,Canarsie,,1979,1965,1,,,Active,,,https://www.redfin.com/NY/Brooklyn/927-E-96th-St-11236/home/40890547,OneKey® MLS as Distributed by MLS Grid,3454051,N,Y,40.6475221,-73.9059931
MLS Listing,,Multi-Family (2-4 Unit),230-09 64th Ave,Bayside,NY,11364,1638000,6,5.0,Bayside,,4000,2006,1,,,Active,,,https://www.redfin.com/NY/Oakland-Gardens/23009-64th-Ave-11364/home/20806824,OneKey® MLS as Distributed by MLS Grid,3579481,N,Y,40.749858,-73.7474869
MLS Listing,,Multi-Family (2-4 Unit),232-10 Hillside Ave,Queens Village,NY,11427,949000,4,3.0,Queens Village,,1980,1945,1,,,Active,,,https://www.redfin.com/NY/Queens-Village/23210-Hillside-Ave-11427/home/20805919,OneKey® MLS as Distributed by MLS Grid,3579480,N,Y,40.7331081,-73.7374973
MLS Listing,,Single Family Residential,73-54 186th St,Fresh Meadows,NY,11366,1388000,3,3.5,Fresh Meadows,1848,4773,1940,1,751,,Active,,,https://www.redfin.com/NY/Fresh-Meadows/7354-186th-St-11366/home/20818243,OneKey® MLS as Distributed by MLS Grid,3578946,N,Y,40.7310286,-73.7843391
MLS Listing,,Multi-Family (2-4 Unit),611 Beach 66th St,Arverne,NY,11692,599000,6,3.0,Arverne,,4000,2001,1,,,Active,September-21-2024 12:30 PM,September-21-2024 02:30 PM,https://www.redfin.com/NY/Arverne/611-Beach-66th-St-11692/home/20667849,OneKey® MLS as Distributed by MLS Grid,3579479,N,Y,40.5973444,-73.7958003
MLS Listing,,Condo/Co-op,837 Washington Ave Unit 3A,Bronx,NY,10451,375000,1,1.0,The Aurora Condominium,671,22168,2008,1,559,380,Active,,,https://www.redfin.com/NY/Bronx/837-Washington-Ave-10451/unit-3A/home/44768767,OneKey® MLS as Distributed by MLS Grid,H6326245,N,Y,40.8225186,-73.9117785
MLS Listing,,Multi-Family (2-4 Unit),123-10 116th Ave,South Ozone Park,NY,11420,789000,4,2.0,South Ozone Park,,2375,1930,1,,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/NY/South-Ozone-Park/12310-116th-Ave-11420/home/20722163,OneKey® MLS as Distributed by MLS Grid,3578838,N,Y,40.6761923,-73.8147434
MLS Listing,,Single Family Residential,118-22 235th St,Cambria Heights,NY,11411,700000,6,2.5,Cambria Heights,1910,4000,1945,1,366,,Active,,,https://www.redfin.com/NY/Cambria-Heights/11822-235th-St-11411/home/20698999,OneKey® MLS as Distributed by MLS Grid,3576855,N,Y,40.6890294,-73.7284464
