SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,99 Tremont At Oak Sq #415,Boston,MA,02135,875000,2,2.0,Brighton,1149,,2018,17,762,602,Active,,,https://www.redfin.com/MA/Brighton/99-Tremont-St-02135/unit-415/home/145879545,MLS PIN,73283134,N,Y,42.3511618,-71.1726583
MLS Listing,,Single Family Residential,Lot A Staniford St,Newton,MA,02466,2449900,4,4.5,Auburndale,3563,11534,2024,1,688,,Active,,,https://www.redfin.com/MA/Newton/Lot-A-Staniford-St-02466/home/192581008,MLS PIN,73290715,N,Y,42.353811,-71.247275
MLS Listing,,Single Family Residential,11 California Park,Watertown,MA,02472,1148000,4,1.5,Watertown,1906,5271,1927,1,602,,Active,September-20-2024 05:00 PM,September-20-2024 06:30 PM,https://www.redfin.com/MA/Watertown/11-California-Park-02472/home/11683601,MLS PIN,73290582,N,Y,42.3639747,-71.1926551
MLS Listing,,Multi-Family (2-4 Unit),341 Linwood Ave,Newton,MA,02460,1149900,4,2.0,Newton,2319,4800,1900,1,496,,Active,September-18-2024 04:30 PM,September-18-2024 06:00 PM,https://www.redfin.com/MA/Newtonville/341-Linwood-Ave-02460/home/11417210,MLS PIN,73290566,N,Y,42.357137,-71.2118298
MLS Listing,,Single Family Residential,54 Woodward St,Newton,MA,02461,3280000,6,5.5,Newton,5472,9106,2024,3,599,,Active,,,https://www.redfin.com/MA/Newton-Highlands/54-Woodward-St-02461/home/11455219,MLS PIN,73289748,N,Y,42.3202587,-71.2139634
MLS Listing,,Multi-Family (2-4 Unit),28-30 Madison Ave,Newton,MA,02460,1495000,6,2.0,Newtonville,2880,6090,1916,3,519,,Active,,,https://www.redfin.com/MA/Newtonville/2830-Madison-Ave-02460/home/11418812,MLS PIN,73289724,N,Y,42.3500044,-71.2026625
MLS Listing,,Vacant Land,Lot 3 Chapin Rd,Newton,MA,02459,1750000,,,Newton Center,,15010,,4,,,Active,,,https://www.redfin.com/MA/Newton/3-Chapin-Rd-02459/home/191334407,MLS PIN,73289702,N,Y,42.3332001,-71.2010523
MLS Listing,,Vacant Land,Lot 2 Chapin Rd,Newton,MA,02459,1750000,,,Newton Center,,15199,,4,,,Active,,,https://www.redfin.com/MA/Newton/2-Chapin-Rd-02459/home/191333639,MLS PIN,73289701,N,Y,42.3333466,-71.2012606
MLS Listing,,Single Family Residential,20 Beacon St,Newton,MA,02467,2995000,6,4.5,Chestnut Hill,4450,16554,1930,4,673,,Active,,,https://www.redfin.com/MA/Chestnut-Hill/20-Beacon-St-02467/home/11464046,MLS PIN,73289606,N,Y,42.331518,-71.1584714
MLS Listing,,Single Family Residential,9 The Ledges,Newton,MA,02459,23000000,6,8.0,Newton,12060,43270,1915,4,1907,,Active,,,https://www.redfin.com/MA/Newton-Center/9-The-Ledges-Rd-02459/home/11459112,MLS PIN,73289589,N,Y,42.3321809,-71.184142
MLS Listing,,Multi-Family (2-4 Unit),82-84 Crescent St,Newton,MA,02466,1550000,7,5.0,Newton,3072,13622,1884,4,505,,Active,,,https://www.redfin.com/MA/Auburndale/82-84-Crescent-St-02466/home/191978402,MLS PIN,73289498,N,Y,42.34615,-71.237556
MLS Listing,,Single Family Residential,115 Dorset Rd,Newton,MA,02468,1300000,5,3.5,Waban,3140,12746,1920,4,414,,Active,,,https://www.redfin.com/MA/Waban/115-Dorset-Rd-02468/home/11456166,MLS PIN,73289390,N,Y,42.3294944,-71.2373745
