SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,759 60th St,Oakland,CA,94609,1495000,4,4.0,BUSHROD,1830,5062,1910,12,817,,Active,,,https://www.redfin.com/CA/Oakland/759-60th-St-94609/home/1159322,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41072280,N,Y,37.8451086,-122.2697682
MLS Listing,,Multi-Family (2-4 Unit),1245 11th Ave,Oakland,CA,94606,699000,,,Listing,2352,4750,1943,19,297,,Active,,,https://www.redfin.com/CA/Oakland/1245-11th-Ave-94606/home/1680356,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41071534,N,Y,37.7913228,-122.2492011
MLS Listing,,Single Family Residential,1291 55th St,Emeryville,CA,94608,985000,10,7.5,EMERYVILLE,3817,3852,1910,28,258,,Active,,,https://www.redfin.com/CA/Emeryville/1291-55th-St-94608/home/1497348,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41070580,N,Y,37.8377486,-122.2854785
MLS Listing,,Condo/Co-op,1615 Broadway #9,Oakland,CA,94612,945000,3,2.0,DOWNTOWN,1906,2246,1914,28,496,1079,Active,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Oakland/1615-Broadway-94612/unit-9/home/40092775,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41070472,N,Y,37.806217,-122.270177
MLS Listing,,Condo/Co-op,288 3rd St #212,Oakland,CA,94607,579000,1,1.0,JACK LONDON SQ.,833,29963,2006,33,695,594,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/CA/Oakland/288-3rd-St-94607/unit-212/home/12114907,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41070138,N,Y,37.7952885,-122.2715475
MLS Listing,,Single Family Residential,1637 85th Ave,Oakland,CA,94621,765000,4,4.0,EAST OAKLAND,2614,5320,1910,34,293,,Active,September-21-2024 01:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/CA/Oakland/1637-85th-Ave-94621/home/1224367,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41069747,N,Y,37.7549839,-122.1750391
MLS Listing,,Townhouse,90 Starview Dr,Oakland,CA,94618,1650000,4,3.5,HILLER HIGHLANDS,2921,2099,1979,35,565,240,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/CA/Oakland/90-Starview-Dr-94618/home/1269111,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41069722,N,Y,37.853351,-122.2255161
MLS Listing,,Multi-Family (2-4 Unit),1015 Campbell St,Oakland,CA,94607,845000,6,,Oakland,3325,13385,1924,47,254,,Active,,,https://www.redfin.com/CA/Oakland/1015-Campbell-St-94607/home/185468923,San Francisco MLS,424053265,N,Y,37.8094434,-122.2975302
MLS Listing,,Single Family Residential,6676 Pine Needle Dr,Oakland,CA,94611,1295000,4,3.0,MONTCLAIR AREA,1975,9950,1964,49,656,,Active,September-22-2024 01:30 PM,September-22-2024 04:30 PM,https://www.redfin.com/CA/Oakland/6676-Pine-Needle-Dr-94611/home/1064244,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41068341,N,Y,37.8487275,-122.2122486
MLS Listing,,Condo/Co-op,438 W Grand Ave #433,Oakland,CA,94612,515000,1,1.0,Uptown,722,1256,2008,49,713,771,Active,,,https://www.redfin.com/CA/Oakland/438-W-Grand-Ave-94612/unit-433/home/12435822,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41068230,N,Y,37.8118317,-122.267668
MLS Listing,,Single Family Residential,812 Foothill Blvd,Oakland,CA,94606,1150000,5,2.5,CLINTON,1874,2920,1912,71,614,,Active,,,https://www.redfin.com/CA/Oakland/812-Foothill-Blvd-94606/home/1981217,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41065772,N,Y,37.7947646,-122.2491151
MLS Listing,,Single Family Residential,2007 57th Ave,Oakland,CA,94621,729000,3,2.5,KINGSLAND,1515,3130,1920,72,481,,Active,,,https://www.redfin.com/CA/Oakland/2007-57th-Ave-94621/home/1547100,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41065721,N,Y,37.7694984,-122.1971722
MLS Listing,,Condo/Co-op,32 Emery Bay Dr,Emeryville,CA,94608,580000,2,1.0,EMERYBAY VILLAGE,828,332339,1981,163,700,556,Active,,,https://www.redfin.com/CA/Emeryville/32-Emery-Bay-Dr-94608/home/531355,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41055330,N,Y,37.8354308,-122.2855717
MLS Listing,,Vacant Land,6568 Girvin Dr,Oakland,CA,94611,345000,,,Listing,7938,7938,,1,43,,Active,,,https://www.redfin.com/CA/Oakland/6568-Girvin-Dr-94611/home/192608705,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073476,N,Y,37.829234,-122.1916943
MLS Listing,,Condo/Co-op,127 Bayo Vista Ave #205,Oakland,CA,94611,449000,2,1.0,OAKLAND,1013,11992,1972,1,443,776,Active,,,https://www.redfin.com/CA/Oakland/127-Bayo-Vista-Ave-94611/unit-205/home/1903596,MLSListings,ML81980683,N,Y,37.8212951,-122.2508296
MLS Listing,,Condo/Co-op,466 Crescent St #114,Oakland,CA,94610,695000,3,2.0,Oakland,1367,,1971,1,508,495,Active,,,https://www.redfin.com/CA/Oakland/466-Crescent-St-94610/unit-114/home/771051,San Francisco MLS,424066228,N,Y,37.8134229,-122.2498794
MLS Listing,,Multi-Family (2-4 Unit),969 54th St,Oakland,CA,94608,599000,2,2.0,Listing,1295,6667,1908,1,463,,Active,,,https://www.redfin.com/CA/Emeryville/969-54th-St-94608/home/529438,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073437,N,Y,37.8383212,-122.2769833
MLS Listing,,Multi-Family (5+ Unit),555 Oakland Ave,Oakland,CA,94611,4600000,,,Listing,16923,8550,1965,1,272,,Active,,,https://www.redfin.com/CA/Oakland/555-Oakland-Ave-94611/home/526054,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41073439,N,Y,37.8201783,-122.2525155
