SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,2501 SE 119th St,Mcloud,OK,74851,220000,,,Unplatted,,848549,,25,,,Active,,,https://www.redfin.com/OK/McLoud/2501-SE-119th-St-74851/home/192183825,MLSOK,1131393,N,Y,35.3488251,-97.1590389
MLS Listing,,Vacant Land,9600 Ridgecrest Dr,Newalla,OK,74857,155000,,,4-10-1E 10 AC N/2 SE/4 SE/4 NW/4TR 14 S/2 NE/4 SE/,,435600,,31,,25,Active,,,https://www.redfin.com/OK/Newalla/9600-Ridgecrest-Dr-74857/home/78361014,MLSOK,1130460,N,Y,35.371721,-97.205072
MLS Listing,,Single Family Residential,3116 N Virginia Ave,Oklahoma City,OK,73118,294000,4,2.0,Military Park Add,1555,5001,1940,39,189,,Active,,,https://www.redfin.com/OK/Oklahoma-City/3116-N-Virginia-Ave-73118/home/78484301,MLSOK,1129004,N,Y,35.5012145,-97.5451763
MLS Listing,,Single Family Residential,12100 Moritz Ct,Oklahoma City,OK,73162,290000,4,2.0,Willow Creek Estates #4,2247,7253,1979,45,129,30,Active,,,https://www.redfin.com/OK/Oklahoma-City/12100-Moritz-Ct-73162/home/78478415,MLSOK,1125355,N,Y,35.5932607,-97.663588
MLS Listing,,Single Family Residential,825 NW 20th St,Oklahoma City,OK,73106,543999,4,2.5,University Add,2403,7000,1915,45,226,,Active,,,https://www.redfin.com/OK/Oklahoma-City/825-NW-20th-St-73106/home/71770146,MLSOK,1127665,N,Y,35.4903361,-97.526984
MLS Listing,,Single Family Residential,12508 SE 74th St,Oklahoma City,OK,73150,635000,4,3.0,Unpltd Pt Sec 33 11n 1w,3275,218236,1989,46,194,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/OK/Oklahoma-City/12508-SE-74th-St-73150/home/78494433,MLSOK,1128167,N,Y,35.3912927,-97.3085139
MLS Listing,,Single Family Residential,9017 Paseo Del Vita,Oklahoma City,OK,73131,930000,4,3.5,Casa Bella,3780,46174,2013,53,246,80,Active,,,https://www.redfin.com/OK/Oklahoma-City/9017-Paseo-del-Vita-73131/home/72039084,MLSOK,1126705,N,Y,35.561867,-97.440767
MLS Listing,,Single Family Residential,5105 SE 53rd St,Oklahoma City,OK,73135,235900,4,2.5,Frolich Meadows Sec 5,2291,8398,1977,53,103,,Active,,,https://www.redfin.com/OK/Oklahoma-City/5105-SE-53rd-St-73135/home/78473629,MLSOK,1124999,N,Y,35.4118103,-97.4297909
MLS Listing,,Single Family Residential,2520 Sunshine Ln,Yukon,OK,73099,379000,4,2.5,Homestead at Horn Valley,3000,8398,2020,57,126,29,Active,,,https://www.redfin.com/OK/Yukon/2520-Sunshine-Ln-73099/home/113442327,MLSOK,1119422,N,Y,35.4963157,-97.7027385
MLS Listing,,Single Family Residential,1413 NW 19th St,Oklahoma City,OK,73106,334000,3,2.5,University Place Add,2052,7501,1921,72,163,,Active,,,https://www.redfin.com/OK/Oklahoma-City/1413-NW-19th-St-73106/home/71749369,MLSOK,1119819,N,Y,35.4893548,-97.5350361
MLS Listing,,Single Family Residential,10101 Laramie Rd,Yukon,OK,73099,571900,4,2.5,Northwest Passage Estate 8,2516,219107,2003,81,227,,Active,,,https://www.redfin.com/OK/Yukon/10101-Laramie-Rd-73099/home/71945250,MLSOK,1122245,N,Y,35.573351,-97.699421
MLS Listing,,Single Family Residential,5709 Asheville Way,Choctaw,OK,73020,535000,4,3.5,Asheville Ph IV,3582,37483,2018,95,149,63,Active,,,https://www.redfin.com/OK/Choctaw/5709-Asheville-Way-73020/home/142663291,MLSOK,1119247,N,Y,35.4111352,-97.2641372
MLS Listing,,Condo/Co-op,5900 Mosteller Dr #33,Oklahoma City,OK,73112,169900,1,1.5,360 At Founders Plaza,1152,,1960,137,147,1238,Active,,,https://www.redfin.com/OK/Oklahoma-City/5900-Mosteller-Dr-73112/unit-33/home/78458634,MLSOK,1112081,N,Y,35.5312002,-97.571413
MLS Listing,,Single Family Residential,20498 SE 119th St,Mcloud,OK,74851,1175000,4,4.0,0,4751,517493,2022,144,247,,Active,,,https://www.redfin.com/OK/McLoud/20498-SE-119th-St-74851/home/144012563,MLSOK,1108864,N,Y,35.348189,-97.1692557
MLS Listing,,Single Family Residential,10013 Gramercy Dr,Oklahoma City,OK,73139,329900,4,3.0,Brookwood Village 2,2630,10019,1977,1,125,,Active,,,https://www.redfin.com/OK/Oklahoma-City/10013-Gramercy-Dr-73139/home/71499376,MLSOK,1135027,N,Y,35.3676875,-97.5232379
