SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,14041 Stonegate Ln,Orland Park,IL,60467,474900,4,2.5,Orland Park,2535,,1990,5,187,,Active,,,https://www.redfin.com/IL/Orland-Park/14041-Stonegate-Ln-60467/home/13026716,MRED as Distributed by MLS Grid,12164067,N,Y,41.6341471,-87.8987818
MLS Listing,,Single Family Residential,11904 Greenfield Dr,Orland Park,IL,60467,529900,4,2.5,Brook Hills West,2580,11822,1994,17,205,,Active,,,https://www.redfin.com/IL/Orland-Park/11904-Greenfield-Dr-60467/home/13001890,MRED as Distributed by MLS Grid,12152944,N,Y,41.5697126,-87.9076019
MLS Listing,,Townhouse,10535 154th Pl,Orland Park,IL,60462,365000,2,2.5,Sheffield Square,1783,,2014,30,205,268,Active,,,https://www.redfin.com/IL/Orland-Park/10535-W-154th-Pl-60462/home/113099859,MRED as Distributed by MLS Grid,12138377,N,Y,41.609352,-87.874612
Redfin Data,,Single Family Residential,9880 Avenida del Norte St,Orland Park,IL,60462,298500,3,2.0,Orland Park,1170,9115,1971,23,255,,Pre On-Market,,,https://www.redfin.com/IL/Orland-Park/9880-Avenida-del-Norte-St-60462/home/13024342,Coming Soon,101249,N,Y,41.6193468,-87.860596
MLS Listing,,Single Family Residential,15405 Tulip Ct,Orland Park,IL,60462,369900,3,2.0,Orland Park,1900,9240,1971,1,195,,Active,,,https://www.redfin.com/IL/Orland-Park/15405-Tulip-Ct-60462/home/13021054,MRED as Distributed by MLS Grid,12163439,N,Y,41.6112042,-87.8129451
MLS Listing,,Single Family Residential,9855 W 145th Pl,Orland Park,IL,60462,515000,4,2.5,Orland Park,2254,20000,1966,1,228,,Active,,,https://www.redfin.com/IL/Orland-Park/9855-W-145th-Pl-60462/home/13023825,MRED as Distributed by MLS Grid,12166008,N,Y,41.6253996,-87.8597695
MLS Listing,,Single Family Residential,14741 Sprucecreek Ln,Orland Park,IL,60467,479998,3,2.5,Orland Park,2100,9625,1989,1,229,,Active,,,https://www.redfin.com/IL/Orland-Park/14741-Sprucecreek-Ln-60467/home/13024986,MRED as Distributed by MLS Grid,12165917,N,Y,41.6215241,-87.90965
MLS Listing,,Single Family Residential,15432 Tee Brook Dr,Orland Park,IL,60462,449950,3,2.5,Orland Park,,,1978,1,,,Active,,,https://www.redfin.com/IL/Orland-Park/15432-Teebrook-Dr-60462/home/13017780,MRED as Distributed by MLS Grid,12165789,N,Y,41.6098471,-87.8283879
MLS Listing,,Single Family Residential,111 Ruggles Ct,Orland Park,IL,60467,375000,3,2.0,Heather Estates,1483,15245,1974,2,253,,Active,,,https://www.redfin.com/IL/Orland-Park/111-Ruggles-Ct-60467/home/13027162,MRED as Distributed by MLS Grid,12163110,N,Y,41.6332932,-87.9109885
MLS Listing,,Townhouse,16821 Spicebush Ln,Orland Park,IL,60467,425000,3,3.0,Mallard Landings,1593,,1996,2,267,275,Active,September-21-2024 11:00 AM,September-21-2024 01:30 PM,https://www.redfin.com/IL/Orland-Park/16821-Spicebush-Ln-60467/home/13001462,MRED as Distributed by MLS Grid,12160076,N,Y,41.58328,-87.87315
MLS Listing,,Condo/Co-op,11901 Windemere Ct #101,Orland Park,IL,60467,285000,2,2.0,Long Run Creek,,,2002,2,,325,Active,,,https://www.redfin.com/IL/Orland-Park/11901-Windemere-Ct-60467/unit-101/home/12677233,MRED as Distributed by MLS Grid,12160275,N,Y,41.6303059,-87.9097199
MLS Listing,,Townhouse,17745 New Hampshire Ct,Orland Park,IL,60467,399999,2,2.0,Eagle Ridge II,1675,,1997,2,239,258,Active,,,https://www.redfin.com/IL/Orland-Park/17745-New-Hampshire-Ct-60467/home/12760673,MRED as Distributed by MLS Grid,12164481,N,Y,41.5667111,-87.8841611
MLS Listing,,Condo/Co-op,15263 Catalina Dr Unit 1N,Orland Park,IL,60462,195000,2,2.0,Orland Park,,,1978,2,,263,Active,September-22-2024 12:00 PM,September-22-2024 02:00 PM,https://www.redfin.com/IL/Orland-Park/15263-Catalina-Dr-60462/unit-1N/home/192576314,MRED as Distributed by MLS Grid,12164676,N,Y,41.6126954,-87.8010891
MLS Listing,,Single Family Residential,10821 Jillian Rd,Orland Park,IL,60467,799000,4,3.0,Ashburn Sound,3000,,1992,2,266,,Active,,,https://www.redfin.com/IL/Orland-Park/10821-Jillian-Rd-60467/home/13014268,MRED as Distributed by MLS Grid,12164919,N,Y,41.6078614,-87.8833814
MLS Listing,,Townhouse,17839 Bernard Dr,Orland Park,IL,60467,329900,2,2.0,Orland Park,1675,,1995,2,197,259,Active,,,https://www.redfin.com/IL/Orland-Park/17839-Bernard-Dr-60467/home/192574275,MRED as Distributed by MLS Grid,12164506,N,Y,41.56513,-87.886511
MLS Listing,,Vacant Land,14530 Waters Edge Trl,Orland Park,IL,60467,119900,,,Orland Park,,14374,,3,,,Active,,,https://www.redfin.com/IL/Orland-Park/14530-Waters-Edge-Trl-60467/home/147905032,MRED as Distributed by MLS Grid,12164464,N,Y,41.624817,-87.903068
MLS Listing,,Single Family Residential,10753 Voss Dr,Orland Park,IL,60467,554980,4,3.0,Eagle Ridge,2900,10000,1993,3,191,,Active,,,https://www.redfin.com/IL/Orland-Park/10753-Voss-Dr-60467/home/12997880,MRED as Distributed by MLS Grid,12164445,N,Y,41.5635635,-87.8801375
MLS Listing,,Townhouse,10587 153rd Pl,Orland Park,IL,60462,365000,3,2.5,Sheffield Square,1783,1071,2014,4,205,268,Active,,,https://www.redfin.com/IL/Orland-Park/10587-153rd-Pl-60462/home/113099525,MRED as Distributed by MLS Grid,12164167,N,Y,41.6114873,-87.8745947
MLS Listing,,Single Family Residential,13402 Westgate Ct,Orland Park,IL,60462,410000,4,2.5,Orland on the Green,1962,10001,1978,4,209,,Active,,,https://www.redfin.com/IL/Orland-Park/13402-Westgate-Ct-60462/home/190607945,MRED as Distributed by MLS Grid,12164208,N,Y,41.6470589,-87.8378826
MLS Listing,,Townhouse,16730 Winterberry Ln,Orland Park,IL,60467,389900,2,2.0,Mallard Landings,1593,,1996,4,245,275,Active,,,https://www.redfin.com/IL/Orland-Park/16730-Winterberry-Ln-60467/home/12999965,MRED as Distributed by MLS Grid,12164157,N,Y,41.585221,-87.872693
MLS Listing,,Condo/Co-op,9146 W 140th St Unit 2SW,Orland Park,IL,60462,216000,2,1.0,Orland Park,1000,,1982,4,216,289,Active,,,https://www.redfin.com/IL/Orland-Park/9146-W-140th-St-60462/unit-2SW/home/144963175,MRED as Distributed by MLS Grid,12155976,N,Y,41.6369346,-87.8444785
MLS Listing,,Condo/Co-op,15710 Orlan Brook Dr #157,Orland Park,IL,60462,275500,2,2.0,Orland Park,1200,,1980,5,230,400,Active,,,https://www.redfin.com/IL/Orland-Park/15710-Orlan-Brook-Dr-60462/unit-157/home/13017308,MRED as Distributed by MLS Grid,12163663,N,Y,41.6060751,-87.8313743
MLS Listing,,Townhouse,7332 W 155th St,Orland Park,IL,60462,305900,2,2.0,Orland Park,1860,,1980,5,164,215,Active,,,https://www.redfin.com/IL/Orland-Park/7332-W-155th-St-60462/home/13018508,MRED as Distributed by MLS Grid,12163425,N,Y,41.6106427,-87.7981338
MLS Listing,,Condo/Co-op,15703 Deerfield Ct Unit 1S,Orland Park,IL,60462,258000,2,2.0,Golfview,1400,,1987,5,184,178,Active,,,https://www.redfin.com/IL/Orland-Park/15703-Deerfield-Ct-60462/unit-1S/home/13016865,MRED as Distributed by MLS Grid,12163307,N,Y,41.6049899,-87.8171754
MLS Listing,,Townhouse,15127 Heather Ct #27,Orland Park,IL,60462,269000,2,2.5,Catalina,1829,,1986,5,147,225,Active,,,https://www.redfin.com/IL/Orland-Park/15127-Heather-Ct-60462/unit-27/home/13020866,MRED as Distributed by MLS Grid,12160016,N,Y,41.616065,-87.8027132
MLS Listing,,Condo/Co-op,9900 Treetop Dr Unit 2E,Orland Park,IL,60462,170000,2,2.0,Orland Park,1000,,1980,6,170,250,Active,,,https://www.redfin.com/IL/Orland-Park/9900-Treetop-Dr-60462/unit-2E/home/192526689,MRED as Distributed by MLS Grid,12162843,N,Y,41.6094854,-87.8599184
MLS Listing,,Single Family Residential,14901 S 82nd Ave,Orland Park,IL,60462,525000,4,2.5,Orland Park,2590,20778,1985,6,203,,Active,September-22-2024 11:00 AM,September-22-2024 12:30 PM,https://www.redfin.com/IL/Orland-Park/14901-S-82nd-Ave-60462/home/13022592,MRED as Distributed by MLS Grid,12162604,N,Y,41.6192659,-87.8187674
MLS Listing,,Condo/Co-op,17738 New Hampshire Ct #17738,Orland Park,IL,60467,298900,2,2.5,Eagle Ridge II,2060,,1996,6,145,238,Active,,,https://www.redfin.com/IL/Orland-Park/17738-New-Hampshire-Ct-60467/unit-17738/home/192522288,MRED as Distributed by MLS Grid,12154107,N,Y,41.5669277,-87.8845773
MLS Listing,,Condo/Co-op,7425 W Tiffany Dr Unit 3C,Orland Park,IL,60462,224900,2,2.0,Tiffany Manor,1230,,1991,7,183,187,Active,,,https://www.redfin.com/IL/Orland-Park/7425-Tiffany-Dr-60462/unit-3C/home/13018020,MRED as Distributed by MLS Grid,12154664,N,Y,41.6045132,-87.8007206
MLS Listing,,Single Family Residential,10901 Fawn Trail Dr,Orland Park,IL,60467,658000,4,3.0,Orland Park,3450,25900,1998,7,191,,Active,,,https://www.redfin.com/IL/Orland-Park/10901-Fawn-Trail-Dr-60467/home/13001685,MRED as Distributed by MLS Grid,12156301,N,Y,41.5727248,-87.8834127
MLS Listing,,Condo/Co-op,17815 Bernard Dr #151,Orland Park,IL,60467,365000,2,2.0,Eagle Ridge,1500,,1999,7,243,212,Active,,,https://www.redfin.com/IL/Orland-Park/17815-Bernard-Dr-60467/unit-151/home/12759787,MRED as Distributed by MLS Grid,12145242,N,Y,41.5649272,-87.8863814
MLS Listing,,Single Family Residential,10155 Hibiscus Dr,Orland Park,IL,60462,374900,3,1.0,Orland Hills Gardens,1200,7448,1958,7,312,,Active,September-21-2024 12:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/IL/Orland-Park/10155-Hibiscus-Dr-60462/home/13022775,MRED as Distributed by MLS Grid,12158885,N,Y,41.6163301,-87.8674386
MLS Listing,,Single Family Residential,16810 Robin Ln,Orland Park,IL,60467,825000,4,3.5,Mallard Landings,2981,14226,1992,7,277,40,Active,September-28-2024 12:00 PM,September-28-2024 02:00 PM,https://www.redfin.com/IL/Orland-Park/16810-Robin-Ln-60467/home/13001386,MRED as Distributed by MLS Grid,12159855,N,Y,41.5838633,-87.8750176
MLS Listing,,Single Family Residential,11030 Buck Horn Ln,Orland Park,IL,60467,989000,6,4.5,Deer Haven,4050,15503,2014,8,244,71,Active,,,https://www.redfin.com/IL/Orland-Park/11030-Buck-Horn-Ln-60467/home/113032150,MRED as Distributed by MLS Grid,12160702,N,Y,41.627851,-87.8882648
MLS Listing,,Condo/Co-op,9024 W 140th St Unit 3C,Orland Park,IL,60462,195000,2,1.0,Evergreen,1000,,1979,8,195,348,Active,,,https://www.redfin.com/IL/Orland-Park/9024-W-140th-St-60462/unit-3C/home/12802840,MRED as Distributed by MLS Grid,12159816,N,Y,41.636994,-87.840272
MLS Listing,,Condo/Co-op,15808 86th Ave #135,Orland Park,IL,60462,269000,3,2.0,Orland Park,1400,,1978,9,192,351,Active,,,https://www.redfin.com/IL/Orland-Park/15808-86th-Ave-60462/unit-135/home/13015927,MRED as Distributed by MLS Grid,12159743,N,Y,41.6037131,-87.8288503
MLS Listing,,Single Family Residential,14302 S 81sst Ct,Orland Park,IL,60462,749000,4,2.5,Orland Park,2905,10000,2006,9,258,,Active,,,https://www.redfin.com/IL/Orland-Park/14302-S-81st-Ct-60462/home/13021975,MRED as Distributed by MLS Grid,12156945,N,Y,41.630867,-87.818231
MLS Listing,,Vacant Land,17250 110th Ct,Orland Park,IL,60467,200000,,,Orland Park,,74923,,9,,,Active,,,https://www.redfin.com/IL/Orland-Park/17250-110-Ct-60467/home/147763746,MRED as Distributed by MLS Grid,12157779,N,Y,41.576489,-87.887604
MLS Listing,,Vacant Land,13811 S 92nd Ave,Orland Park,IL,60462,49900,,,Orland Park,,20908,,10,,,Active,,,https://www.redfin.com/IL/Orland-Park/13811-92nd-Ave-60462/home/148054134,MRED as Distributed by MLS Grid,12158563,N,Y,41.639208,-87.843892
