SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,8125 Resort Village Dr #51010,Orlando,FL,32821,220000,2,2.0,LAKE BUENA VISTA RESIDENCE VILLAGE IV,1060,1060,2007,13,208,842,Active,,,https://www.redfin.com/FL/Orlando/8125-Resort-Village-Dr-32821/unit-51010/home/183859659,Stellar MLS as Distributed by MLS Grid,O6238529,N,Y,28.35259,-81.4869802
MLS Listing,,Single Family Residential,7433 Penrill Ct,Orlando,FL,32818,385000,4,2.0,ROBINSON HILLS D,1731,5498,2006,19,222,38,Active,,,https://www.redfin.com/FL/Orlando/7433-Penrill-Ct-32818/home/46611187,Stellar MLS as Distributed by MLS Grid,O6236694,N,Y,28.6100404,-81.4861361
MLS Listing,,Condo/Co-op,5500 Metrowest Blvd #204,Orlando,FL,32811,179900,1,1.0,PALMS CLUB,714,17414,1999,20,252,267,Active,,,https://www.redfin.com/FL/Orlando/5500-Metrowest-Blvd-32811/unit-204/home/192158654,Stellar MLS as Distributed by MLS Grid,O6236280,N,Y,28.5130029,-81.4575143
MLS Listing,,Condo/Co-op,2209 Tipperary Ct #1,Orlando,FL,32812,300000,3,2.5,DOVER GREEN CONDO PH 02,1605,,1986,29,187,550,Active,,,https://www.redfin.com/FL/Orlando/2209-Tipperary-Ct-32812/unit-1/home/46709558,Stellar MLS as Distributed by MLS Grid,O6229870,N,Y,28.517628,-81.316849
MLS Listing,,Condo/Co-op,8815 Worldquest Blvd #2201,Orlando,FL,32821,265000,3,2.0,WORLDQUEST RESIDENCE,1437,1437,2006,40,184,560,Active,,,https://www.redfin.com/FL/Orlando/8815-Worldquest-Blvd-32821/unit-2201/home/46632561,Stellar MLS as Distributed by MLS Grid,O6230073,N,Y,28.349063,-81.5061655
MLS Listing,,Single Family Residential,1618 New Amsterdam Way,Orlando,FL,32818,475000,4,3.0,VILLAGE GREEN PH 01,2318,11927,1977,54,205,,Active,,,https://www.redfin.com/FL/Orlando/1618-New-Amsterdam-Way-32818/home/46830075,Stellar MLS as Distributed by MLS Grid,O6226321,N,Y,28.5645856,-81.4970052
MLS Listing,,Single Family Residential,11624 Delmar Ave,Orlando,FL,32836,975000,4,2.0,ORLANDO,2303,50094,1989,55,423,,Active,,,https://www.redfin.com/FL/Orlando/11624-Delmar-Ave-32836/home/46899610,Stellar MLS as Distributed by MLS Grid,O6224672,N,Y,28.4380635,-81.5535069
MLS Listing,,Single Family Residential,8692 Palos Verde Dr,Orlando,FL,32825,504900,4,2.0,RIO PINAR EAST,2810,13409,1979,65,180,,Active,,,https://www.redfin.com/FL/Orlando/8692-Palos-Verde-Dr-32825/home/46933660,Stellar MLS as Distributed by MLS Grid,O6215747,N,Y,28.5284818,-81.2612267
MLS Listing,,Single Family Residential,4521 Jim Glenn Dr,Orlando,FL,32808,335900,3,2.5,PINE HILLS PARK SUB,1646,9019,1960,72,204,,Active,,,https://www.redfin.com/FL/Orlando/4521-Jim-Glenn-Dr-32808/home/46720449,Stellar MLS as Distributed by MLS Grid,O6220109,N,Y,28.6108072,-81.4445202
MLS Listing,,Townhouse,1239 Woodman Way,Orlando,FL,32818,214994,2,2.0,LAKE SHERWOOD HILLS PH 03,1240,5815,1985,86,173,,Active,,,https://www.redfin.com/FL/Orlando/1239-Woodman-Way-32818/home/46829643,Stellar MLS as Distributed by MLS Grid,O6215880,N,Y,28.5579787,-81.4947918
MLS Listing,,Condo/Co-op,1489 Magellan Cir #603,Orlando,FL,32818,324000,3,2.0,MAGELLAN CIRCLE CONDOMINIUMS,1808,12652,1974,119,179,350,Active,,,https://www.redfin.com/FL/Orlando/1489-Magellan-Cir-32818/unit-603/home/46839235,Stellar MLS as Distributed by MLS Grid,O6205670,N,Y,28.5589351,-81.4763476
MLS Listing,,Single Family Residential,544 Eartha Ln,Orlando,FL,32805,265000,3,2.0,LAKE MANN ESTATES,1112,8449,1961,131,238,,Active,,,https://www.redfin.com/FL/Orlando/544-Eartha-Ln-32805/home/46910119,Stellar MLS as Distributed by MLS Grid,O6201805,N,Y,28.5347443,-81.417403
MLS Listing,,Single Family Residential,14819 Braywood Trl,Orlando,FL,32824,699900,5,3.0,WYNDHAM LAKES ESTATES,3219,6159,2007,282,217,115,Active,,,https://www.redfin.com/FL/Orlando/14819-Braywood-Trl-32824/home/46644806,Stellar MLS as Distributed by MLS Grid,O6162672,N,Y,28.3593288,-81.333968
MLS Listing,,Single Family Residential,787 Willie Mays Pkwy,Orlando,FL,32811,375000,8,3.0,WASHINGTON PARK SEC 01,3481,24308,1973,1,108,,Active,,,https://www.redfin.com/FL/Orlando/787-Willie-Mays-Pkwy-32811/home/46904381,Stellar MLS as Distributed by MLS Grid,O6242613,N,Y,28.5327554,-81.4380616
MLS Listing,,Single Family Residential,7315 Windham Harbour Ave,Orlando,FL,32829,599999,5,3.0,VISTA LAKES VLGS N-16 & N-17 WIN,3194,8751,2006,1,188,62,Active,,,https://www.redfin.com/FL/Orlando/7315-Windham-Harbour-Ave-32829/home/46597759,Stellar MLS as Distributed by MLS Grid,O6242252,N,Y,28.4577354,-81.2609437
MLS Listing,,Condo/Co-op,10776 Regent Square Dr #1704,Orlando,FL,32825,299500,3,2.5,REGENT PARK PH 09,1423,898,2007,1,210,379,Active,,,https://www.redfin.com/FL/Orlando/10776-Regent-Square-Dr-32825/unit-1704/home/46671438,Stellar MLS as Distributed by MLS Grid,V4938506,N,Y,28.5424375,-81.2409301
MLS Listing,,Condo/Co-op,3416 Seneca Club Loop Unit 56-103,Orlando,FL,32808,318000,3,2.5,WESTWOOD CONDO 2,1639,880,2018,1,194,215,Active,,,https://www.redfin.com/FL/Orlando/3416-Seneca-Club-Loop-32808/unit-56-103/home/147346861,Stellar MLS as Distributed by MLS Grid,O6239927,N,Y,28.5860725,-81.4234128
MLS Listing,,Single Family Residential,915 Bordeaux Pl,Orlando,FL,32808,294900,4,2.0,PINE HILLS SUB 10,1484,6658,1954,1,199,,Active,,,https://www.redfin.com/FL/Orlando/915-Bordeaux-Pl-32808/home/46812082,Stellar MLS as Distributed by MLS Grid,TB8304918,N,Y,28.5574129,-81.4456848
MLS Listing,,Single Family Residential,1708 Glendale Rd,Orlando,FL,32808,314900,4,2.0,ROBINSWOOD HILLS,1916,9838,1959,1,164,,Active,,,https://www.redfin.com/FL/Orlando/1708-Glendale-Rd-32808/home/46806655,Stellar MLS as Distributed by MLS Grid,TB8304801,N,Y,28.5647731,-81.4569943
MLS Listing,,Townhouse,1192 Woodman Way,Orlando,FL,32818,210000,2,2.0,LAKE SHERWOOD HILLS PH 03,836,3881,1985,1,251,,Active,,,https://www.redfin.com/FL/Orlando/1192-Woodman-Way-32818/home/46829648,Stellar MLS as Distributed by MLS Grid,O6241936,N,Y,28.5574984,-81.4948302
MLS Listing,,Single Family Residential,14992 Faversham Cir,Orlando,FL,32826,525000,4,3.0,UNIVERSITY ESTATES,2353,10235,1993,1,223,78,Active,September-21-2024 09:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/FL/Orlando/14992-Faversham-Cir-32826/home/46684175,Stellar MLS as Distributed by MLS Grid,O6241037,N,Y,28.6098162,-81.1772571
MLS Listing,,Condo/Co-op,4170 Plantation Cove Dr,Orlando,FL,32810,160000,2,2.0,PLANTATION COVE CONDO,950,4546,1984,1,168,350,Active,,,https://www.redfin.com/FL/Orlando/4170-Plantation-Cove-Dr-32810/home/189893252,Stellar MLS as Distributed by MLS Grid,O6241551,N,Y,28.623697,-81.430409
MLS Listing,,Single Family Residential,1015 Lake Emerald Dr,Orlando,FL,32806,549000,3,2.0,LAKES & HILLS SUB,1251,10741,1951,1,439,,Active,,,https://www.redfin.com/FL/Orlando/1015-Lake-Emerald-Dr-32806/home/46932584,Stellar MLS as Distributed by MLS Grid,TB8304765,N,Y,28.529713,-81.3624342
MLS Listing,,Single Family Residential,3690 Gatlin Place Cir,Orlando,FL,32812,720000,4,2.5,GATLIN PLACE PH 02,2409,14401,1994,1,299,33,Active,,,https://www.redfin.com/FL/Orlando/3690-Gatlin-Place-Cir-32812/home/46744111,Stellar MLS as Distributed by MLS Grid,O6242305,N,Y,28.5004044,-81.3246786
MLS Listing,,Single Family Residential,1578 Providence Cir,Orlando,FL,32818,425000,3,2.0,VILLAGE GREEN PH 02,1812,10561,1980,1,235,,Active,,,https://www.redfin.com/FL/Orlando/1578-Providence-Cir-32818/home/46830326,Stellar MLS as Distributed by MLS Grid,O6242212,N,Y,28.5640334,-81.494049
MLS Listing,,Single Family Residential,,Orlando,FL,32818,284900,3,2.5,,1644,9933,1987,1,173,,Active,,,https://www.redfin.com/FL/Orlando/Undisclosed-address-32818/home/46829278,Stellar MLS as Distributed by MLS Grid,O6242515,N,Y,28.5664241,-81.5005277
MLS Listing,,Condo/Co-op,3373 S Kirkman Rd #922,Orlando,FL,32811,190000,2,2.0,GRAND RESERVE/KIRKMAN PARKE CO,1212,13292,1999,1,157,535,Active,,,https://www.redfin.com/FL/Orlando/3373-S-Kirkman-Rd-32811/unit-922/home/46635446,Stellar MLS as Distributed by MLS Grid,O6242425,N,Y,28.5053171,-81.4569088
MLS Listing,,Single Family Residential,10402 Autumn Glen Ct,Orlando,FL,32836,859900,5,3.5,EMERALD FOREST,3006,12097,1997,1,286,58,Active,,,https://www.redfin.com/FL/Orlando/10402-Autumn-Glen-Ct-32836/home/46751746,Stellar MLS as Distributed by MLS Grid,O6238859,N,Y,28.4166704,-81.5000108
MLS Listing,,Condo/Co-op,151 E Washington St #308,Orlando,FL,32801,200000,1,1.0,METROPOLITAN/LK EOLA,650,83466,1963,1,308,350,Active,,,https://www.redfin.com/FL/Orlando/151-E-Washington-St-32801/unit-308/home/46605230,Stellar MLS as Distributed by MLS Grid,O6242145,N,Y,28.5439149,-81.3763173
MLS Listing,,Condo/Co-op,6336 Parc Corniche Dr #3303,Orlando,FL,32821,120000,2,2.0,PARC CORNICHE CONDO PH 01,759,759,1989,1,158,777,Active,,,https://www.redfin.com/FL/Orlando/6336-Parc-Corniche-Dr-32821/unit-3303/home/189890556,Stellar MLS as Distributed by MLS Grid,O6242469,N,Y,28.398505,-81.464973
MLS Listing,,Single Family Residential,3665 Dubsdread Cir,Orlando,FL,32804,469900,2,2.0,GOLFVIEW,1391,6717,1958,1,338,,Active,,,https://www.redfin.com/FL/Orlando/3665-Dubsdread-Cir-32804/home/46754808,Stellar MLS as Distributed by MLS Grid,O6242388,N,Y,28.5875981,-81.3826227
MLS Listing,,Condo/Co-op,1940 Lake Atriums Cir #108,Orlando,FL,32839,135000,1,1.0,PLAZA/MILLENIUM CONDO,660,7214,1986,1,205,247,Active,,,https://www.redfin.com/FL/Orlando/1940-Lake-Atriums-Cir-32839/unit-108/home/46635797,Stellar MLS as Distributed by MLS Grid,O6242453,N,Y,28.4897193,-81.4066496
MLS Listing,,Condo/Co-op,10246 Turkey Lake Rd Unit B-34 A/k/a Unit 162,Orlando,FL,32819,270000,2,2.0,SAND LAKE VILLAGE CONDO SEC 01 PH 02,1124,657,1984,1,240,499,Active,,,https://www.redfin.com/FL/Orlando/10246-Turkey-Lake-Rd-32819/unit-B-34-A-k-a-Unit-162/home/192594659,Stellar MLS as Distributed by MLS Grid,O6242354,N,Y,28.4196309,-81.4768896
MLS Listing,,Single Family Residential,10605 Whitman Cir,Orlando,FL,32821,375000,3,2.5,Windmill Pointe,1873,7644,1980,1,200,110,Active,,,https://www.redfin.com/FL/Orlando/10605-Whitman-Cir-32821/home/46732261,Beaches MLS,RX-11021685,N,Y,28.4135389,-81.4513963
MLS Listing,,Single Family Residential,1201 Carlsbad Pl,Orlando,FL,32808,259990,3,1.0,LAKE LAWNE SHORES,904,8575,1957,1,288,,Active,,,https://www.redfin.com/FL/Orlando/1201-Carlsbad-Pl-32808/home/46818033,Stellar MLS as Distributed by MLS Grid,O6241947,N,Y,28.5572463,-81.4311819
MLS Listing,,Vacant Land,20860 Quinlan St,Orlando,FL,32833,105999,,,CAPE ORLANDO ESTATES,,44867,,1,,3,Active,,,https://www.redfin.com/FL/Orlando/20860-Quinlan-St-32833/home/192592386,Stellar MLS as Distributed by MLS Grid,O6242387,N,Y,28.4715668,-81.0625315
MLS Listing,,Single Family Residential,4522 Sandhurst Dr,Orlando,FL,32817,479900,4,2.0,SUNCREST,2002,9639,1990,1,240,,Active,,,https://www.redfin.com/FL/Orlando/4522-Sandhurst-Dr-32817/home/46714304,Stellar MLS as Distributed by MLS Grid,O6241850,N,Y,28.6043202,-81.2370598
MLS Listing,,Townhouse,5372 Caramella Dr,Orlando,FL,32829,349999,3,2.5,CROWNTREE LAKES #2 & 3,1594,2538,2014,1,220,253,Active,,,https://www.redfin.com/FL/Orlando/5372-Caramella-Dr-32829/home/46598671,Stellar MLS as Distributed by MLS Grid,O6241176,N,Y,28.4818048,-81.2476313
MLS Listing,,Single Family Residential,5446 Seedling Ln,Orlando,FL,32811,285000,3,2.0,CEDAR VILLAGE PH 02,1038,4091,1998,1,275,,Active,,,https://www.redfin.com/FL/Orlando/5446-Seedling-Ln-32811/home/46895855,Stellar MLS as Distributed by MLS Grid,O6241312,N,Y,28.5335197,-81.4535724
MLS Listing,,Single Family Residential,8831 Ribault Ave,Orlando,FL,32832,669000,5,3.0,RANDAL PARK PH 1A,2439,4805,2013,1,274,7,Active,,,https://www.redfin.com/FL/Orlando/8831-Ribault-Ave-32832/home/46676485,Stellar MLS as Distributed by MLS Grid,O6239861,N,Y,28.4388679,-81.2353174
MLS Listing,,Condo/Co-op,4177 N Orange Blossom Trl #210,Orlando,FL,32804,415000,3,2.0,FAIRVIEW GRANDE PH 1,1822,1880,2009,1,228,735,Active,,,https://www.redfin.com/FL/Orlando/4177-N-Orange-Blossom-Trl-32804/unit-210/home/52952092,Stellar MLS as Distributed by MLS Grid,S5112365,N,Y,28.5896767,-81.4099189
