SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2450 Tamarisk Rd,Palm Springs,CA,92262,1199000,4,2.0,Sun Villas,1660,11326,1979,5,722,,Active,,,https://www.redfin.com/CA/Palm-Springs/2450-Tamarisk-Rd-92262/home/5688743,GPSMLS,219116584,N,Y,33.8342094,-116.5205167
MLS Listing,,Single Family Residential,2199 N Berne Dr,Palm Springs,CA,92262,1449000,3,2.5,Other (OTHR),1995,13504,1959,7,726,,Active,September-20-2024 05:30 PM,September-20-2024 08:00 PM,https://www.redfin.com/CA/Palm-Springs/2199-N-Berne-Dr-92262/home/5657770,CRMLS,BB24187497,N,Y,33.8498123,-116.5405152
MLS Listing,,Single Family Residential,21840 Snow View Dr E,Palm Springs,CA,92262,495000,3,1.0,699 - Not Defined,984,7841,1958,40,503,,Active,,,https://www.redfin.com/CA/Palm-Springs/21840-Snowview-Dr-92262/home/5713061,CRMLS,OC24162826,N,Y,33.8901138,-116.6155204
MLS Listing,,Townhouse,1111 Ramon Rd #31,Palm Springs,CA,92264,474900,2,2.0,Ramona Villas,1069,1641,1980,51,444,450,Active,,,https://www.redfin.com/CA/Palm-Springs/1111-E-Ramon-Rd-92264/unit-31/home/5693203,GPSMLS,219114594,N,Y,33.8156567,-116.5341561
MLS Listing,,Townhouse,2480 S Linden Way Unit F,Palm Springs,CA,92264,505000,2,2.0,Canyon Sands,1180,,1974,96,428,595,Active,,,https://www.redfin.com/CA/Palm-Springs/2480-S-Linden-Way-92264/unit-F/home/3050993,GPSMLS,219112905,N,Y,33.7950964,-116.4991452
MLS Listing,,Single Family Residential,1990 E Calle Felicia,Palm Springs,CA,92262,995000,3,3.0,Sunrise Park,2592,13068,1982,250,384,,Active,,,https://www.redfin.com/CA/Palm-Springs/1990-E-Calle-Felicia-92262/home/5667970,GPSMLS,219104960,N,Y,33.8218886,-116.5255804
MLS Listing,,Townhouse,2260 N Indian Canyon Dr Unit C,Palm Springs,CA,92262,395000,3,2.0,Indian Canyon Gardens,1344,,1971,1,294,345,Active,,,https://www.redfin.com/CA/Palm-Springs/2260-N-Indian-Canyon-Dr-92262/unit-C/home/5663174,CRMLS,PW24192323,N,Y,33.8499861,-116.5438928
MLS Listing,,Single Family Residential,1055 E Granvia Valmonte,Palm Springs,CA,92262,1947000,3,2.0,Ruth Hardy Park/Movie Colony East,2034,13504,1964,1,957,,Active,,,https://www.redfin.com/CA/Palm-Springs/1055-E-Granvia-Valmonte-92262/home/5685058,GPSMLS,219116788,N,Y,33.831936,-116.535873
MLS Listing,,Condo/Co-op,2732 Dancing Sands Dr,Palm Springs,CA,92262,945000,3,5.0,Palm Springs Central,2029,,2019,1,466,423,Active,,,https://www.redfin.com/CA/Palm-Springs/2732-Dancing-Sands-Dr-92262/home/176118493,TheMLS,24-439923,N,Y,33.8228605,-116.5157591
MLS Listing,,Condo/Co-op,238 S Canyon Cir,Palm Springs,CA,92264,639000,2,2.0,Palm Springs South End,1678,,1980,1,381,657,Active,,,https://www.redfin.com/CA/Palm-Springs/238-Canyon-Cir-S-92264/home/5710552,TheMLS,24-440467,N,Y,33.7796169,-116.5481219
