SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,10662 N 33rd Pl,Phoenix,AZ,85028,499999,4,2.0,DESERT COVE TOWNHOMES,2309,6527,1986,3,217,,Active,,,https://www.redfin.com/AZ/Phoenix/10662-N-33rd-Pl-85028/home/27503049,ARMLS,6756902,N,Y,33.584954,-112.0090474
MLS Listing,,Single Family Residential,23440 N 21st Pl,Phoenix,AZ,85024,539900,3,2.0,MOUNTAINGATE NORTH,1550,5999,1998,3,348,33,Active,September-21-2024 09:30 AM,September-21-2024 12:30 PM,https://www.redfin.com/AZ/Phoenix/23440-N-21st-Pl-85024/home/27503338,ARMLS,6755532,N,Y,33.6999983,-112.0372184
MLS Listing,,Single Family Residential,4240 N 63rd Ave,Phoenix,AZ,85033,399000,3,2.0,"MARYVALE TERRACE 27 LOTS 10674-10696,10703-10721",1532,9792,1961,5,260,,Active,,,https://www.redfin.com/AZ/Phoenix/4240-N-63rd-Ave-85033/home/28426004,ARMLS,6755534,N,Y,33.4985578,-112.1953927
MLS Listing,,Single Family Residential,4225 S 94th Ave,Tolleson,AZ,85353,425000,3,2.0,SUNSET FARMS UNIT 6,1760,6000,2022,10,241,98,Active,,,https://www.redfin.com/AZ/Tolleson/4225-S-94th-Ave-85353/home/175206366,ARMLS,6753728,N,Y,33.4077346,-112.2613247
MLS Listing,,Townhouse,17365 N Cave Creek Rd #210,Phoenix,AZ,85032,315000,2,2.0,TRE CAMPANA CONDOMINIUM,1158,1726,2006,10,272,230,Active,,,https://www.redfin.com/AZ/Phoenix/17365-N-Cave-Creek-Rd-85032/unit-210/home/28194728,ARMLS,6752660,N,Y,33.6437926,-112.0297938
MLS Listing,,Single Family Residential,3348 W Roma Ave,Phoenix,AZ,85017,382500,4,2.0,LYNNHAVEN PLAT 2,1850,6508,1955,18,207,,Active,,,https://www.redfin.com/AZ/Phoenix/3348-W-Roma-Ave-85017/home/27583347,ARMLS,6749980,N,Y,33.5009347,-112.1320254
MLS Listing,,Multi-Family (2-4 Unit),30 W Culver St,Phoenix,AZ,85003,875000,6,3.0,BLOUNT ADDITION,,,1948,22,,,Active,,,https://www.redfin.com/AZ/Phoenix/30-W-Culver-St-85003/home/27509391,ARMLS,6682482,N,Y,33.4629051,-112.0752493
MLS Listing,,Single Family Residential,3727 W Port Royale Ln,Phoenix,AZ,85053,428900,4,1.75,DEERVIEW UNIT 6,2052,7190,1970,24,209,,Active,,,https://www.redfin.com/AZ/Phoenix/3727-W-Port-Royale-Ln-85053/home/27992301,ARMLS,6747628,N,Y,33.6209833,-112.1392033
MLS Listing,,Single Family Residential,4230 W Palace Station Rd,New River,AZ,85087,582500,4,2.0,CIRCLE MOUNTAIN RANCH,1799,6304,2018,25,324,96,Active,,,https://www.redfin.com/AZ/New-River/4230-W-Palace-Station-Rd-85087/home/146063722,ARMLS,6747349,N,Y,33.8864488,-112.1512417
MLS Listing,,Single Family Residential,707 W Coles Rd,Phoenix,AZ,85041,529500,3,2.0,EMBARCADERO AT SOUTH MOUNTAIN,1697,7856,2017,25,312,145,Active,,,https://www.redfin.com/AZ/Phoenix/707-W-Coles-Rd-85041/home/27790900,ARMLS,6744304,N,Y,33.3700529,-112.0836959
