SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1112 Kelton Ave,Dormont,PA,15216,320000,3,2.5,Dormont,1293,3449,1921,4,247,,Active,,,https://www.redfin.com/PA/Pittsburgh/1112-Kelton-Ave-15216/home/74770778,West Penn MLS,1671741,N,Y,40.3898569,-80.0345207
MLS Listing,,Condo/Co-op,316 Eutaw St,Mt Washington,PA,15211,469000,3,3.5,Mt Washington,1992,1176,2016,6,235,100,Active,,,https://www.redfin.com/PA/Pittsburgh/316-Eutaw-St-15211/home/102221866,West Penn MLS,1671531,N,Y,40.4230886,-80.0071392
MLS Listing,,Single Family Residential,7912 Lloyd Ave,Swissvale,PA,15218,142900,2,1.5,Swissvale,856,3598,1937,7,167,,Active,,,https://www.redfin.com/PA/Pittsburgh/7912-Lloyd-Ave-15218/home/74547648,West Penn MLS,1671196,N,Y,40.4242676,-79.87784
MLS Listing,,Single Family Residential,475 Diablo Dr,Upper St. Clair,PA,15241,355000,3,2.5,Upper St. Clair,1673,14004,1974,15,212,,Active,,,https://www.redfin.com/PA/Pittsburgh/475-Diablo-Dr-15241/home/73533072,West Penn MLS,1670080,N,Y,40.3051068,-80.0718722
MLS Listing,,Condo/Co-op,5930 Howe St #203,Shadyside,PA,15232,395000,2,2.0,Shadyside,1525,418,1890,26,259,530,Active,,,https://www.redfin.com/PA/Pittsburgh/5930-Howe-St-15232/unit-203/home/74748918,West Penn MLS,1668795,N,Y,40.4528275,-79.9255398
MLS Listing,,Single Family Residential,183 34th St,Lawrenceville,PA,15201,415000,2,2.0,Lawrenceville,1336,1289,1900,27,311,,Active,,,https://www.redfin.com/PA/Pittsburgh/183-34th-St-15201/home/74651781,West Penn MLS,1668342,N,Y,40.4630148,-79.9679016
MLS Listing,,Single Family Residential,2922 Glenmore Ave,Dormont,PA,15216,395000,5,2.0,Dormont,2136,4800,1915,79,185,,Active,,,https://www.redfin.com/PA/Pittsburgh/2922-Glenmore-Ave-15216/home/74700579,West Penn MLS,1660604,N,Y,40.3954377,-80.035656
MLS Listing,,Single Family Residential,2267 Chapparal Dr,Plum Boro,PA,15239,243000,3,2.0,Plum Boro,1506,6660,1982,82,161,,Active,,,https://www.redfin.com/PA/Pittsburgh/2267-Chapparal-Dr-15239/home/73541497,West Penn MLS,1660410,N,Y,40.4777836,-79.7138922
MLS Listing,,Townhouse,4106 Garden Way,Lawrenceville,PA,15201,339000,3,2.0,Lawrenceville,1416,757,1880,84,239,,Active,,,https://www.redfin.com/PA/Pittsburgh/4106-Garden-Way-15201/home/74652721,West Penn MLS,1659702,N,Y,40.4659724,-79.9550527
MLS Listing,,Single Family Residential,1956 Worcester Dr,Scott Twp - Sal,PA,15243,240000,3,2.0,Scott Twp - SAL,1163,6368,1953,91,206,,Active,,,https://www.redfin.com/PA/Pittsburgh/1956-Worcester-Dr-15243/home/74532360,West Penn MLS,1658859,N,Y,40.3660275,-80.0840962
MLS Listing,,Condo/Co-op,5491 Penn Ave Unit A203,Friendship Park,PA,15206,265000,1,1.0,Friendship Park,905,,2010,145,293,367,Active,,,https://www.redfin.com/PA/Pittsburgh/5491-Penn-Ave-15206/unit-A203/home/74446717,West Penn MLS,1650358,N,Y,40.4645024,-79.9327789
MLS Listing,,Single Family Residential,8334 Peebles Rd,Mccandless,PA,15237,249900,3,1.5,McCandless,1144,8999,1952,1,218,,Active,,,https://www.redfin.com/PA/Pittsburgh/8334-Peebles-Rd-15237/home/74716509,West Penn MLS,1672283,N,Y,40.5616176,-80.012416
MLS Listing,,Multi-Family (2-4 Unit),539-541 Campbell St,Wilkinsburg,PA,15221,48000,4,2.0,Wilkinsburg,,1742,1900,1,,,Active,,,https://www.redfin.com/PA/Pittsburgh/539-541-Campbell-St-15221/home/192600778,West Penn MLS,1672330,N,Y,40.436883,-79.879683
MLS Listing,,Condo/Co-op,1308 Kenzie Dr,Robinson Twp - Nwa,PA,15205,245000,3,2.0,Robinson Twp - NWA,1100,688,1986,1,223,250,Active,,,https://www.redfin.com/PA/Pittsburgh/1308-Kenzie-Dr-15205/home/74562006,West Penn MLS,1672320,N,Y,40.4418077,-80.1380377
MLS Listing,,Single Family Residential,2345 Perricrest Dr,Banksville/westwood,PA,15220,299500,3,1.5,Banksville/Westwood,976,5532,1960,1,307,,Active,,,https://www.redfin.com/PA/Pittsburgh/2345-Perricrest-Dr-15220/home/74699258,West Penn MLS,1672280,N,Y,40.4036515,-80.0460279
MLS Listing,,Single Family Residential,723 Mclain St,Allentown,PA,15210,169000,3,1.5,Allentown,1414,3920,1900,1,120,,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/PA/Pittsburgh/723-McLain-St-15210/home/74621373,West Penn MLS,1672304,N,Y,40.4244029,-79.9949768
MLS Listing,,Single Family Residential,4936 Barberry St,Pittsburgh,PA,15207,189900,4,2.0,Pittsburgh,1122,4791,1953,1,169,,Active,,,https://www.redfin.com/PA/Pittsburgh/4936-Barberry-St-15207/home/73494234,BRIGHT MLS,PAAY2000242,N,Y,40.3759777,-79.9157268
MLS Listing,,Single Family Residential,810 Linda Ln,Mt. Lebanon,PA,15243,359900,3,2.5,Mt. Lebanon,2105,7200,1959,1,171,,Active,,,https://www.redfin.com/PA/Pittsburgh/810-Linda-Ln-15243/home/73495538,West Penn MLS,1672298,N,Y,40.3820609,-80.0635221
MLS Listing,,Single Family Residential,1354 Herman St,Troy Hill,PA,15212,235900,4,1.5,Troy Hill,1820,,1910,1,130,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/PA/Pittsburgh/1354-Herman-St-15212/home/74557143,West Penn MLS,1672249,N,Y,40.4605628,-79.9870162
MLS Listing,,Multi-Family (2-4 Unit),310 Lafayette Ave,Fineview,PA,15214,399000,4,3.0,Fineview,,6250,1886,1,,,Active,,,https://www.redfin.com/PA/Pittsburgh/310-Lafayette-Ave-15214/home/73578890,West Penn MLS,1672162,N,Y,40.4653836,-80.0075059
MLS Listing,,Single Family Residential,34 Wentworth Ave,West View,PA,15229,255000,3,1.5,West View,1298,3598,1950,1,196,,Active,,,https://www.redfin.com/PA/Pittsburgh/34-Wentworth-Ave-15229/home/74568216,West Penn MLS,1672064,N,Y,40.5207756,-80.0306081
MLS Listing,,Single Family Residential,110 Van Wyck Ave,Brentwood,PA,15227,197950,3,1.0,Brentwood,1113,3449,1930,1,178,,Active,September-19-2024 05:00 PM,September-19-2024 07:00 PM,https://www.redfin.com/PA/Pittsburgh/110-Van-Wyck-Ave-15227/home/74525503,West Penn MLS,1672248,N,Y,40.3740961,-79.977122
MLS Listing,,Single Family Residential,439 Blossom Dr,Baldwin Boro,PA,15236,275000,3,1.5,Baldwin Boro,,6098,1960,1,,,Active,September-21-2024 12:00 AM,September-21-2024 02:00 PM,https://www.redfin.com/PA/Pittsburgh/439-Blossom-Dr-15236/home/74616631,West Penn MLS,1672060,N,Y,40.3439463,-79.9989599
MLS Listing,,Single Family Residential,2808 Brentwood Ave,Brentwood,PA,15227,215000,5,2.0,Brentwood,1734,3402,1926,1,124,,Active,,,https://www.redfin.com/PA/Pittsburgh/2808-Brentwood-Ave-15227/home/74487985,West Penn MLS,1671317,N,Y,40.3838413,-79.9761279
MLS Listing,,Single Family Residential,1031 Jefferson Heights Rd,Penn Hills,PA,15235,294500,3,1.5,Penn Hills,1672,41817,1950,1,176,,Active,,,https://www.redfin.com/PA/Pittsburgh/1031-Jefferson-Heights-Rd-15235/home/73579892,West Penn MLS,1672203,N,Y,40.4480609,-79.81235
MLS Listing,,Townhouse,106 Green Commons Dr,Scott Twp - Sal,PA,15243,497000,3,2.5,Scott Twp - SAL,2254,7775,2013,1,220,260,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/PA/Pittsburgh/106-Green-Commons-Dr-15243/home/74446914,West Penn MLS,1672185,N,Y,40.3720754,-80.0880512
MLS Listing,,Single Family Residential,208 39th St,Lawrenceville,PA,15201,775000,3,3.0,Lawrenceville,2074,1045,2020,1,374,,Active,,,https://www.redfin.com/PA/Pittsburgh/208-39th-St-15201/home/166747609,West Penn MLS,1672016,N,Y,40.4672097,-79.9635641
MLS Listing,,Single Family Residential,1612 Buena Vista St,Central North Side,PA,15212,505000,3,1.5,Central North Side,1962,1136,1890,1,257,,Active,,,https://www.redfin.com/PA/Pittsburgh/1612-Buena-Vista-St-15212/home/74551544,West Penn MLS,1672182,N,Y,40.4584502,-80.0148134
MLS Listing,,Single Family Residential,826 Beechland St,Lincoln Place,PA,15120,149900,2,1.0,Lincoln Place,,15002,1949,1,,,Active,,,https://www.redfin.com/PA/Homestead/826-Beechland-St-15120/home/74484360,West Penn MLS,1672150,N,Y,40.3803408,-79.9195285
MLS Listing,,Single Family Residential,8813 Lincoln Blvd,Mccandless,PA,15237,230000,4,1.5,McCandless,1428,6599,1940,1,161,,Active,,,https://www.redfin.com/PA/Pittsburgh/8813-Lincoln-Blvd-15237/home/74715975,West Penn MLS,1671933,N,Y,40.5640721,-80.0459337
MLS Listing,,Single Family Residential,5410 Butler St,Lawrenceville,PA,15201,175000,2,,Lawrenceville,624,1350,1900,1,280,,Active,,,https://www.redfin.com/PA/Pittsburgh/5410-Butler-St-15201/home/74465470,West Penn MLS,1672068,N,Y,40.4828312,-79.9505871
MLS Listing,,Condo/Co-op,552 N Neville St #45,Oakland,PA,15213,253000,2,2.0,Oakland,1298,,1972,1,195,1114,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/PA/Pittsburgh/552-N-Neville-St-15213/unit-45/home/74665313,West Penn MLS,1672144,N,Y,40.448532,-79.9485178
