SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2405 Brycewood Ln,Plano,TX,75025,495000,3,2.5,Knolls At Russell Creek Ph 1,2017,6098,1998,5,245,27,Active,,,https://www.redfin.com/TX/Plano/2405-Brycewood-Ln-75025/home/32252247,NTREIS,20723971,N,Y,33.1005112,-96.7370727
MLS Listing,,Single Family Residential,5708 Robbie Rd,Plano,TX,75024,598900,3,3.5,Town Homes At Legacy Town Center Ph Two,1990,871,2006,9,301,383,Active,,,https://www.redfin.com/TX/Plano/5708-Robbie-Rd-75024/home/31717450,NTREIS,20724800,N,Y,33.079376,-96.819152
MLS Listing,,Condo/Co-op,2601 Preston Rd #6209,Plano,TX,75093,299900,2,2.0,Marquis At Preston Tulane Condo,1302,1394,1995,21,230,533,Active,,,https://www.redfin.com/TX/Plano/2601-Preston-Rd-75093/unit-6209/home/31691801,NTREIS,20695573,N,Y,33.034053,-96.7951229
MLS Listing,,Single Family Residential,3537 Big Horn Trl,Plano,TX,75075,675000,4,3.0,High Place Ph Three,2849,9148,1979,56,237,,Active,,,https://www.redfin.com/TX/Plano/3537-Big-Horn-Trl-75075/home/31865522,NTREIS,20677435,N,Y,33.0374157,-96.760698
MLS Listing,,Single Family Residential,3100 Edwards Dr,Plano,TX,75025,594900,4,2.5,Highlands Of Russell Park Ph 3,2456,8712,1998,62,242,41,Active,,,https://www.redfin.com/TX/Plano/3100-Edwards-Dr-75025/home/32264963,NTREIS,20671758,N,Y,33.1029308,-96.7524255
MLS Listing,,Single Family Residential,5413 Glenscape Cir,Plano,TX,75094,975000,4,3.0,Heritage Ridge Estates,3222,7928,2019,97,303,67,Active,,,https://www.redfin.com/TX/Plano/5413-Glenscape-Cir-75094/home/169611374,NTREIS,20636639,N,Y,33.009672,-96.6295734
MLS Listing,,Single Family Residential,4576 Hallmark Dr,Plano,TX,75024,625000,4,3.0,Deerfield Add Ph One,2736,8276,1987,125,228,69,Active,,,https://www.redfin.com/TX/Plano/4576-Hallmark-Dr-75024/home/32200518,NTREIS,20612877,N,Y,33.0714458,-96.7850191
MLS Listing,,Single Family Residential,4725 Mulholland Dr,Plano,TX,75074,794900,4,4.0,Parkway Heights Ph 1,3699,6882,2013,131,215,76,Active,,,https://www.redfin.com/TX/Plano/4725-Mulholland-Dr-75074/home/51675559,NTREIS,20612788,N,Y,33.0069587,-96.6459321
MLS Listing,,Single Family Residential,2713 White Dove Dr,Plano,TX,75093,730000,3,3.5,Preston Lakes Ph Five,3248,4792,2007,1,225,147,Active,,,https://www.redfin.com/TX/Plano/2713-White-Dove-Dr-75093/home/31670782,NTREIS,20729940,N,Y,33.0366493,-96.7929322
MLS Listing,,Single Family Residential,829 Pimernel Ln,Plano,TX,75075,549000,6,3.0,Thunderbird Estates,2425,7405,1993,1,226,,Active,,,https://www.redfin.com/TX/Plano/829-Pimernel-Ln-75075/home/32081702,NTREIS,20732091,N,Y,33.0407085,-96.711921
